candidate_id,route,route_name,top_pair_count,bottom_pair_count,top_termination_nm,bottom_termination_nm,cavity_thickness_nm,mdc_m,mdc_sio2_nm,mdc_tio2_nm,cap_thickness_nm,target_wavelength_nm,te_tm_angle_grid_deg
F0_0106,A,high_top_DBR_RCLED,7,10,120,0,205,n/a,n/a,n/a,120,453,0:0.5:60
F0_0107,A,high_top_DBR_RCLED,7,10,120,60,205,n/a,n/a,n/a,120,453,0:0.5:60
F0_0108,A,high_top_DBR_RCLED,7,10,120,120,205,n/a,n/a,n/a,120,453,0:0.5:60
F0_0109,A,high_top_DBR_RCLED,7,10,0,0,230,n/a,n/a,n/a,0,453,0:0.5:60
F0_0110,A,high_top_DBR_RCLED,7,10,0,60,230,n/a,n/a,n/a,0,453,0:0.5:60
F0_0111,A,high_top_DBR_RCLED,7,10,0,120,230,n/a,n/a,n/a,0,453,0:0.5:60
F0_0112,A,high_top_DBR_RCLED,7,10,40,0,230,n/a,n/a,n/a,40,453,0:0.5:60
F0_0113,A,high_top_DBR_RCLED,7,10,40,60,230,n/a,n/a,n/a,40,453,0:0.5:60
F0_0114,A,high_top_DBR_RCLED,7,10,40,120,230,n/a,n/a,n/a,40,453,0:0.5:60
F0_0115,A,high_top_DBR_RCLED,7,10,80,0,230,n/a,n/a,n/a,80,453,0:0.5:60
F0_0116,A,high_top_DBR_RCLED,7,10,80,60,230,n/a,n/a,n/a,80,453,0:0.5:60
F0_0117,A,high_top_DBR_RCLED,7,10,80,120,230,n/a,n/a,n/a,80,453,0:0.5:60
F0_0118,A,high_top_DBR_RCLED,7,10,120,0,230,n/a,n/a,n/a,120,453,0:0.5:60
F0_0119,A,high_top_DBR_RCLED,7,10,120,60,230,n/a,n/a,n/a,120,453,0:0.5:60
F0_0120,A,high_top_DBR_RCLED,7,10,120,120,230,n/a,n/a,n/a,120,453,0:0.5:60
F0_0121,A,high_top_DBR_RCLED,7,10,0,0,255,n/a,n/a,n/a,0,453,0:0.5:60
F0_0122,A,high_top_DBR_RCLED,7,10,0,60,255,n/a,n/a,n/a,0,453,0:0.5:60
F0_0123,A,high_top_DBR_RCLED,7,10,0,120,255,n/a,n/a,n/a,0,453,0:0.5:60
F0_0124,A,high_top_DBR_RCLED,7,10,40,0,255,n/a,n/a,n/a,40,453,0:0.5:60
F0_0125,A,high_top_DBR_RCLED,7,10,40,60,255,n/a,n/a,n/a,40,453,0:0.5:60
F0_0126,A,high_top_DBR_RCLED,7,10,40,120,255,n/a,n/a,n/a,40,453,0:0.5:60
F0_0127,A,high_top_DBR_RCLED,7,10,80,0,255,n/a,n/a,n/a,80,453,0:0.5:60
F0_0128,A,high_top_DBR_RCLED,7,10,80,60,255,n/a,n/a,n/a,80,453,0:0.5:60
F0_0129,A,high_top_DBR_RCLED,7,10,80,120,255,n/a,n/a,n/a,80,453,0:0.5:60
F0_0130,A,high_top_DBR_RCLED,7,10,120,0,255,n/a,n/a,n/a,120,453,0:0.5:60
F0_0131,A,high_top_DBR_RCLED,7,10,120,60,255,n/a,n/a,n/a,120,453,0:0.5:60
F0_0132,A,high_top_DBR_RCLED,7,10,120,120,255,n/a,n/a,n/a,120,453,0:0.5:60
F0_0133,A,high_top_DBR_RCLED,7,10,0,0,280,n/a,n/a,n/a,0,453,0:0.5:60
F0_0134,A,high_top_DBR_RCLED,7,10,0,60,280,n/a,n/a,n/a,0,453,0:0.5:60
F0_0135,A,high_top_DBR_RCLED,7,10,0,120,280,n/a,n/a,n/a,0,453,0:0.5:60
F0_0136,A,high_top_DBR_RCLED,7,10,40,0,280,n/a,n/a,n/a,40,453,0:0.5:60
F0_0137,A,high_top_DBR_RCLED,7,10,40,60,280,n/a,n/a,n/a,40,453,0:0.5:60
F0_0138,A,high_top_DBR_RCLED,7,10,40,120,280,n/a,n/a,n/a,40,453,0:0.5:60
F0_0139,A,high_top_DBR_RCLED,7,10,80,0,280,n/a,n/a,n/a,80,453,0:0.5:60
F0_0140,A,high_top_DBR_RCLED,7,10,80,60,280,n/a,n/a,n/a,80,453,0:0.5:60
F0_0141,A,high_top_DBR_RCLED,7,10,80,120,280,n/a,n/a,n/a,80,453,0:0.5:60
F0_0142,A,high_top_DBR_RCLED,7,10,120,0,280,n/a,n/a,n/a,120,453,0:0.5:60
F0_0143,A,high_top_DBR_RCLED,7,10,120,60,280,n/a,n/a,n/a,120,453,0:0.5:60
F0_0144,A,high_top_DBR_RCLED,7,10,120,120,280,n/a,n/a,n/a,120,453,0:0.5:60
F0_0145,A,high_top_DBR_RCLED,8,10,0,0,205,n/a,n/a,n/a,0,453,0:0.5:60
F0_0146,A,high_top_DBR_RCLED,8,10,0,60,205,n/a,n/a,n/a,0,453,0:0.5:60
F0_0147,A,high_top_DBR_RCLED,8,10,0,120,205,n/a,n/a,n/a,0,453,0:0.5:60
F0_0148,A,high_top_DBR_RCLED,8,10,40,0,205,n/a,n/a,n/a,40,453,0:0.5:60
F0_0149,A,high_top_DBR_RCLED,8,10,40,60,205,n/a,n/a,n/a,40,453,0:0.5:60
F0_0150,A,high_top_DBR_RCLED,8,10,40,120,205,n/a,n/a,n/a,40,453,0:0.5:60
F0_0151,A,high_top_DBR_RCLED,8,10,80,0,205,n/a,n/a,n/a,80,453,0:0.5:60
F0_0152,A,high_top_DBR_RCLED,8,10,80,60,205,n/a,n/a,n/a,80,453,0:0.5:60
F0_0153,A,high_top_DBR_RCLED,8,10,80,120,205,n/a,n/a,n/a,80,453,0:0.5:60
F0_0154,A,high_top_DBR_RCLED,8,10,120,0,205,n/a,n/a,n/a,120,453,0:0.5:60
F0_0155,A,high_top_DBR_RCLED,8,10,120,60,205,n/a,n/a,n/a,120,453,0:0.5:60
F0_0156,A,high_top_DBR_RCLED,8,10,120,120,205,n/a,n/a,n/a,120,453,0:0.5:60
F0_0157,A,high_top_DBR_RCLED,8,10,0,0,230,n/a,n/a,n/a,0,453,0:0.5:60
F0_0158,A,high_top_DBR_RCLED,8,10,0,60,230,n/a,n/a,n/a,0,453,0:0.5:60
F0_0159,A,high_top_DBR_RCLED,8,10,0,120,230,n/a,n/a,n/a,0,453,0:0.5:60
F0_0160,A,high_top_DBR_RCLED,8,10,40,0,230,n/a,n/a,n/a,40,453,0:0.5:60
F0_0161,A,high_top_DBR_RCLED,8,10,40,60,230,n/a,n/a,n/a,40,453,0:0.5:60
F0_0162,A,high_top_DBR_RCLED,8,10,40,120,230,n/a,n/a,n/a,40,453,0:0.5:60
F0_0163,A,high_top_DBR_RCLED,8,10,80,0,230,n/a,n/a,n/a,80,453,0:0.5:60
F0_0164,A,high_top_DBR_RCLED,8,10,80,60,230,n/a,n/a,n/a,80,453,0:0.5:60
F0_0165,A,high_top_DBR_RCLED,8,10,80,120,230,n/a,n/a,n/a,80,453,0:0.5:60
F0_0166,A,high_top_DBR_RCLED,8,10,120,0,230,n/a,n/a,n/a,120,453,0:0.5:60
F0_0167,A,high_top_DBR_RCLED,8,10,120,60,230,n/a,n/a,n/a,120,453,0:0.5:60
F0_0168,A,high_top_DBR_RCLED,8,10,120,120,230,n/a,n/a,n/a,120,453,0:0.5:60
F0_0169,A,high_top_DBR_RCLED,8,10,0,0,255,n/a,n/a,n/a,0,453,0:0.5:60
F0_0170,A,high_top_DBR_RCLED,8,10,0,60,255,n/a,n/a,n/a,0,453,0:0.5:60
F0_0171,A,high_top_DBR_RCLED,8,10,0,120,255,n/a,n/a,n/a,0,453,0:0.5:60
F0_0172,A,high_top_DBR_RCLED,8,10,40,0,255,n/a,n/a,n/a,40,453,0:0.5:60
F0_0173,A,high_top_DBR_RCLED,8,10,40,60,255,n/a,n/a,n/a,40,453,0:0.5:60
F0_0174,A,high_top_DBR_RCLED,8,10,40,120,255,n/a,n/a,n/a,40,453,0:0.5:60
F0_0175,A,high_top_DBR_RCLED,8,10,80,0,255,n/a,n/a,n/a,80,453,0:0.5:60
F0_0176,A,high_top_DBR_RCLED,8,10,80,60,255,n/a,n/a,n/a,80,453,0:0.5:60
F0_0177,A,high_top_DBR_RCLED,8,10,80,120,255,n/a,n/a,n/a,80,453,0:0.5:60
F0_0178,A,high_top_DBR_RCLED,8,10,120,0,255,n/a,n/a,n/a,120,453,0:0.5:60
F0_0179,A,high_top_DBR_RCLED,8,10,120,60,255,n/a,n/a,n/a,120,453,0:0.5:60
F0_0180,A,high_top_DBR_RCLED,8,10,120,120,255,n/a,n/a,n/a,120,453,0:0.5:60
F0_0181,A,high_top_DBR_RCLED,8,10,0,0,280,n/a,n/a,n/a,0,453,0:0.5:60
F0_0182,A,high_top_DBR_RCLED,8,10,0,60,280,n/a,n/a,n/a,0,453,0:0.5:60
F0_0183,A,high_top_DBR_RCLED,8,10,0,120,280,n/a,n/a,n/a,0,453,0:0.5:60
F0_0184,A,high_top_DBR_RCLED,8,10,40,0,280,n/a,n/a,n/a,40,453,0:0.5:60
F0_0185,A,high_top_DBR_RCLED,8,10,40,60,280,n/a,n/a,n/a,40,453,0:0.5:60
F0_0186,A,high_top_DBR_RCLED,8,10,40,120,280,n/a,n/a,n/a,40,453,0:0.5:60
F0_0187,A,high_top_DBR_RCLED,8,10,80,0,280,n/a,n/a,n/a,80,453,0:0.5:60
F0_0188,A,high_top_DBR_RCLED,8,10,80,60,280,n/a,n/a,n/a,80,453,0:0.5:60
F0_0189,A,high_top_DBR_RCLED,8,10,80,120,280,n/a,n/a,n/a,80,453,0:0.5:60
F0_0190,A,high_top_DBR_RCLED,8,10,120,0,280,n/a,n/a,n/a,120,453,0:0.5:60
F0_0191,A,high_top_DBR_RCLED,8,10,120,60,280,n/a,n/a,n/a,120,453,0:0.5:60
F0_0192,A,high_top_DBR_RCLED,8,10,120,120,280,n/a,n/a,n/a,120,453,0:0.5:60
F0_0193,A,high_top_DBR_RCLED,9,10,0,0,205,n/a,n/a,n/a,0,453,0:0.5:60
F0_0194,A,high_top_DBR_RCLED,9,10,0,60,205,n/a,n/a,n/a,0,453,0:0.5:60
F0_0195,A,high_top_DBR_RCLED,9,10,40,0,205,n/a,n/a,n/a,40,453,0:0.5:60
F0_0196,A,high_top_DBR_RCLED,9,10,40,60,205,n/a,n/a,n/a,40,453,0:0.5:60
F0_0197,A,high_top_DBR_RCLED,9,10,40,120,205,n/a,n/a,n/a,40,453,0:0.5:60
F0_0198,A,high_top_DBR_RCLED,9,10,80,0,205,n/a,n/a,n/a,80,453,0:0.5:60
F0_0199,A,high_top_DBR_RCLED,9,10,80,60,205,n/a,n/a,n/a,80,453,0:0.5:60
F0_0200,A,high_top_DBR_RCLED,9,10,80,120,205,n/a,n/a,n/a,80,453,0:0.5:60
F0_0201,A,high_top_DBR_RCLED,9,10,120,0,205,n/a,n/a,n/a,120,453,0:0.5:60
F0_0202,A,high_top_DBR_RCLED,9,10,120,60,205,n/a,n/a,n/a,120,453,0:0.5:60
F0_0203,A,high_top_DBR_RCLED,9,10,120,120,205,n/a,n/a,n/a,120,453,0:0.5:60
F0_0204,A,high_top_DBR_RCLED,9,10,0,0,230,n/a,n/a,n/a,0,453,0:0.5:60
F0_0205,A,high_top_DBR_RCLED,9,10,0,60,230,n/a,n/a,n/a,0,453,0:0.5:60
F0_0206,A,high_top_DBR_RCLED,9,10,0,120,230,n/a,n/a,n/a,0,453,0:0.5:60
F0_0207,A,high_top_DBR_RCLED,9,10,40,0,230,n/a,n/a,n/a,40,453,0:0.5:60
F0_0208,A,high_top_DBR_RCLED,9,10,40,60,230,n/a,n/a,n/a,40,453,0:0.5:60
F0_0209,A,high_top_DBR_RCLED,9,10,40,120,230,n/a,n/a,n/a,40,453,0:0.5:60
F0_0210,A,high_top_DBR_RCLED,9,10,80,0,230,n/a,n/a,n/a,80,453,0:0.5:60
F0_0211,A,high_top_DBR_RCLED,9,10,80,60,230,n/a,n/a,n/a,80,453,0:0.5:60
F0_0212,A,high_top_DBR_RCLED,9,10,80,120,230,n/a,n/a,n/a,80,453,0:0.5:60
F0_0213,A,high_top_DBR_RCLED,9,10,120,0,230,n/a,n/a,n/a,120,453,0:0.5:60
F0_0214,A,high_top_DBR_RCLED,9,10,120,60,230,n/a,n/a,n/a,120,453,0:0.5:60
F0_0215,A,high_top_DBR_RCLED,9,10,120,120,230,n/a,n/a,n/a,120,453,0:0.5:60
F0_0216,A,high_top_DBR_RCLED,9,10,0,0,255,n/a,n/a,n/a,0,453,0:0.5:60
F0_0217,A,high_top_DBR_RCLED,9,10,0,60,255,n/a,n/a,n/a,0,453,0:0.5:60
F0_0218,A,high_top_DBR_RCLED,9,10,0,120,255,n/a,n/a,n/a,0,453,0:0.5:60
F0_0219,A,high_top_DBR_RCLED,9,10,40,0,255,n/a,n/a,n/a,40,453,0:0.5:60
F0_0220,A,high_top_DBR_RCLED,9,10,40,60,255,n/a,n/a,n/a,40,453,0:0.5:60
F0_0221,A,high_top_DBR_RCLED,9,10,40,120,255,n/a,n/a,n/a,40,453,0:0.5:60
F0_0222,A,high_top_DBR_RCLED,9,10,80,0,255,n/a,n/a,n/a,80,453,0:0.5:60
F0_0223,A,high_top_DBR_RCLED,9,10,80,60,255,n/a,n/a,n/a,80,453,0:0.5:60
F0_0224,A,high_top_DBR_RCLED,9,10,80,120,255,n/a,n/a,n/a,80,453,0:0.5:60
F0_0225,A,high_top_DBR_RCLED,9,10,120,0,255,n/a,n/a,n/a,120,453,0:0.5:60
F0_0226,A,high_top_DBR_RCLED,9,10,120,60,255,n/a,n/a,n/a,120,453,0:0.5:60
F0_0227,A,high_top_DBR_RCLED,9,10,120,120,255,n/a,n/a,n/a,120,453,0:0.5:60
F0_0228,A,high_top_DBR_RCLED,9,10,0,0,280,n/a,n/a,n/a,0,453,0:0.5:60
F0_0229,A,high_top_DBR_RCLED,9,10,0,60,280,n/a,n/a,n/a,0,453,0:0.5:60
F0_0230,A,high_top_DBR_RCLED,9,10,0,120,280,n/a,n/a,n/a,0,453,0:0.5:60
F0_0231,A,high_top_DBR_RCLED,9,10,40,0,280,n/a,n/a,n/a,40,453,0:0.5:60
F0_0232,A,high_top_DBR_RCLED,9,10,40,60,280,n/a,n/a,n/a,40,453,0:0.5:60
F0_0233,A,high_top_DBR_RCLED,9,10,40,120,280,n/a,n/a,n/a,40,453,0:0.5:60
F0_0234,A,high_top_DBR_RCLED,9,10,80,0,280,n/a,n/a,n/a,80,453,0:0.5:60
F0_0235,A,high_top_DBR_RCLED,9,10,80,60,280,n/a,n/a,n/a,80,453,0:0.5:60
F0_0236,A,high_top_DBR_RCLED,9,10,80,120,280,n/a,n/a,n/a,80,453,0:0.5:60
F0_0237,A,high_top_DBR_RCLED,9,10,120,0,280,n/a,n/a,n/a,120,453,0:0.5:60
F0_0238,A,high_top_DBR_RCLED,9,10,120,60,280,n/a,n/a,n/a,120,453,0:0.5:60
F0_0239,A,high_top_DBR_RCLED,9,10,120,120,280,n/a,n/a,n/a,120,453,0:0.5:60
F0_0240,A,high_top_DBR_RCLED,5,11,0,0,205,n/a,n/a,n/a,0,453,0:0.5:60
F0_0241,A,high_top_DBR_RCLED,5,11,0,60,205,n/a,n/a,n/a,0,453,0:0.5:60
F0_0242,A,high_top_DBR_RCLED,5,11,0,120,205,n/a,n/a,n/a,0,453,0:0.5:60
F0_0243,A,high_top_DBR_RCLED,5,11,40,0,205,n/a,n/a,n/a,40,453,0:0.5:60
F0_0244,A,high_top_DBR_RCLED,5,11,40,60,205,n/a,n/a,n/a,40,453,0:0.5:60
F0_0245,A,high_top_DBR_RCLED,5,11,40,120,205,n/a,n/a,n/a,40,453,0:0.5:60
F0_0246,A,high_top_DBR_RCLED,5,11,80,0,205,n/a,n/a,n/a,80,453,0:0.5:60
F0_0247,A,high_top_DBR_RCLED,5,11,80,60,205,n/a,n/a,n/a,80,453,0:0.5:60
F0_0248,A,high_top_DBR_RCLED,5,11,80,120,205,n/a,n/a,n/a,80,453,0:0.5:60
