from_monitor,to_monitor,wavelength_nm,flux_a,flux_b,delta_F,abs_delta_F
N1_DIAG_LOWER_OUTSIDE,N1_DIAG_LOWER_INSIDE,449,0.6624968165683591,0.6625042890728399,7.472504480743325e-06,7.472504480743325e-06
N1_DIAG_LOWER_OUTSIDE,N1_DIAG_LOWER_INSIDE,450,0.7386410379182621,0.7386263242494858,-1.4713668776256128e-05,1.4713668776256128e-05
N1_DIAG_LOWER_OUTSIDE,N1_DIAG_LOWER_INSIDE,451,0.7468778213398682,0.7468872495437591,9.428203890826659e-06,9.428203890826659e-06
N1_DIAG_LOWER_OUTSIDE,N1_DIAG_LOWER_INSIDE,452,0.7516125077823929,0.7516068719647623,-5.635817630578188e-06,5.635817630578188e-06
N1_DIAG_LOWER_OUTSIDE,N1_DIAG_LOWER_INSIDE,453,0.7566477988115651,0.7566395845710248,-8.214240540316275e-06,8.214240540316275e-06
N1_DIAG_LOWER_OUTSIDE,N1_DIAG_LOWER_INSIDE,454,0.7616249960037613,0.7616361952795069,1.1199275745554793e-05,1.1199275745554793e-05
N1_DIAG_LOWER_OUTSIDE,N1_DIAG_LOWER_INSIDE,455,0.7665219639936293,0.7665149111014824,-7.052892146863776e-06,7.052892146863776e-06
N1_DIAG_LOWER_INSIDE,N1_DIAG_UPPER_INSIDE,445,0.7719238570027422,0.7714663313513941,-0.00045752565134815626,0.00045752565134815626
N1_DIAG_LOWER_INSIDE,N1_DIAG_UPPER_INSIDE,446,0.7685054206526635,0.7683415217959769,-0.0001638988566865507,0.0001638988566865507
N1_DIAG_LOWER_INSIDE,N1_DIAG_UPPER_INSIDE,447,0.7648456034697252,0.7640733445759609,-0.0007722588937643105,0.0007722588937643105
N1_DIAG_LOWER_INSIDE,N1_DIAG_UPPER_INSIDE,448,0.5053708003605148,0.5017782647438417,-0.003592535616673165,0.003592535616673165
N1_DIAG_LOWER_INSIDE,N1_DIAG_UPPER_INSIDE,449,0.6625042890728399,0.6616666072005969,-0.0008376818722429791,0.0008376818722429791
N1_DIAG_LOWER_INSIDE,N1_DIAG_UPPER_INSIDE,450,0.7386263242494858,0.7381945112178687,-0.00043181303161710094,0.00043181303161710094
N1_DIAG_LOWER_INSIDE,N1_DIAG_UPPER_INSIDE,451,0.7468872495437591,0.7464514682762596,-0.00043578126749943547,0.00043578126749943547
N1_DIAG_LOWER_INSIDE,N1_DIAG_UPPER_INSIDE,452,0.7516068719647623,0.7514058837640037,-0.00020098820075853396,0.00020098820075853396
N1_DIAG_LOWER_INSIDE,N1_DIAG_UPPER_INSIDE,453,0.7566395845710248,0.7562025230349483,-0.00043706153607647735,0.00043706153607647735
N1_DIAG_LOWER_INSIDE,N1_DIAG_UPPER_INSIDE,454,0.7616361952795069,0.7612556964872514,-0.0003804987922554348,0.0003804987922554348
N1_DIAG_LOWER_INSIDE,N1_DIAG_UPPER_INSIDE,455,0.7665149111014824,0.7663267705039287,-0.00018814059755367651,0.00018814059755367651
N1_DIAG_UPPER_INSIDE,N1_DIAG_UPPER_OUTSIDE,445,0.7714663313513941,0.7714693338201968,3.002468802693059e-06,3.002468802693059e-06
N1_DIAG_UPPER_INSIDE,N1_DIAG_UPPER_OUTSIDE,446,0.7683415217959769,0.7683371249594861,-4.396836490783151e-06,4.396836490783151e-06
N1_DIAG_UPPER_INSIDE,N1_DIAG_UPPER_OUTSIDE,447,0.7640733445759609,0.7640765961085789,3.251532618042674e-06,3.251532618042674e-06
N1_DIAG_UPPER_INSIDE,N1_DIAG_UPPER_OUTSIDE,448,0.5017782647438417,0.5017710540848656,-7.210658976131157e-06,7.210658976131157e-06
N1_DIAG_UPPER_INSIDE,N1_DIAG_UPPER_OUTSIDE,449,0.6616666072005969,0.6616702820290514,3.674828454536261e-06,3.674828454536261e-06
N1_DIAG_UPPER_INSIDE,N1_DIAG_UPPER_OUTSIDE,450,0.7381945112178687,0.7381911215459077,-3.3896719610071457e-06,3.3896719610071457e-06
N1_DIAG_UPPER_INSIDE,N1_DIAG_UPPER_OUTSIDE,451,0.7464514682762596,0.7464524444713861,9.76195126511925e-07,9.76195126511925e-07
N1_DIAG_UPPER_INSIDE,N1_DIAG_UPPER_OUTSIDE,452,0.7514058837640037,0.7514068705172251,9.867532213547747e-07,9.867532213547747e-07
N1_DIAG_UPPER_INSIDE,N1_DIAG_UPPER_OUTSIDE,453,0.7562025230349483,0.7561982368898383,-4.286145109944073e-06,4.286145109944073e-06
N1_DIAG_UPPER_INSIDE,N1_DIAG_UPPER_OUTSIDE,454,0.7612556964872514,0.7612591241497939,3.427662542465626e-06,3.427662542465626e-06
N1_DIAG_UPPER_INSIDE,N1_DIAG_UPPER_OUTSIDE,455,0.7663267705039287,0.7663263201897823,-4.503141464162752e-07,4.503141464162752e-07
N1_DIAG_UPPER_OUTSIDE,N1_DIAG_PML_UPPER,445,0.7714693338201968,0.7714651864335424,-4.147386654329566e-06,4.147386654329566e-06
N1_DIAG_UPPER_OUTSIDE,N1_DIAG_PML_UPPER,446,0.7683371249594861,0.768340683817696,3.5588582099066457e-06,3.5588582099066457e-06
N1_DIAG_UPPER_OUTSIDE,N1_DIAG_PML_UPPER,447,0.7640765961085789,0.7640711317288454,-5.464379733477465e-06,5.464379733477465e-06
N1_DIAG_UPPER_OUTSIDE,N1_DIAG_PML_UPPER,448,0.5017710540848656,0.5017797967102042,8.742625338675758e-06,8.742625338675758e-06
N1_DIAG_UPPER_OUTSIDE,N1_DIAG_PML_UPPER,449,0.6616702820290514,0.6616620470262383,-8.235002813106185e-06,8.235002813106185e-06
N1_DIAG_UPPER_OUTSIDE,N1_DIAG_PML_UPPER,450,0.7381911215459077,0.738200439799851,9.31825394323571e-06,9.31825394323571e-06
N1_DIAG_UPPER_OUTSIDE,N1_DIAG_PML_UPPER,451,0.7464524444713861,0.7464456399181597,-6.8045532264360276e-06,6.8045532264360276e-06
N1_DIAG_UPPER_OUTSIDE,N1_DIAG_PML_UPPER,452,0.7514068705172251,0.7514086881300582,1.8176128331326424e-06,1.8176128331326424e-06
N1_DIAG_UPPER_OUTSIDE,N1_DIAG_PML_UPPER,453,0.7561982368898383,0.7562002827781729,2.045888334523127e-06,2.045888334523127e-06
N1_DIAG_UPPER_OUTSIDE,N1_DIAG_PML_UPPER,454,0.7612591241497939,0.7612560670537116,-3.057096082281774e-06,3.057096082281774e-06
N1_DIAG_UPPER_OUTSIDE,N1_DIAG_PML_UPPER,455,0.7663263201897823,0.7663272063923467,8.862025644429394e-07,8.862025644429394e-07
