wavelength_nm,order_n,u_x,reflected_fraction,absolute_efficiency
452,-4,-0.7285749886039793,0.05007588433877788,0.012422940951599452
452,-3,-0.5464312414529845,0.03002790539315243,0.007449392068159158
452,-2,-0.36428749430198964,0.015981897760349195,0.003964826079318384
452,-1,-0.18214374715099482,0.01697506250169109,0.004211212680370311
452,0,0.0,0.21374690951214115,0.05302682659565001
452,1,0.18214374715099482,0.06360591645823642,0.015779502544324375
452,2,0.36428749430198964,0.12931736595296237,0.032081350583478004
452,3,0.5464312414529845,0.0019466987907678715,0.000482941528593872
452,4,0.7285749886039793,0.014055755373636592,0.003486984230882493
452,5,0.9107187357549742,0.11484063434418404,0.028489929596655035
453,-5,-0.9127336002146094,0.3355517607495393,0.0815900319634795
453,-4,-0.7301868801716874,0.05359463264721895,0.01303163416871905
453,-3,-0.5476401601287656,0.02641591211554362,0.006423077944926648
453,-2,-0.3650934400858437,0.017608440719195588,0.0042815249662139475
453,-1,-0.18254672004292186,0.01704788758046968,0.004145225432563122
453,0,0.0,0.21267781939694247,0.051713005599370795
453,1,0.18254672004292186,0.06305054354352631,0.015330856412554618
453,2,0.3650934400858437,0.13670717985848077,0.033240603921658604
453,3,0.5476401601287656,0.0023954487088491765,0.0005824577891807363
453,4,0.7301868801716874,0.014748528837443545,0.0035861320965009124
453,5,0.9127336002146094,0.12020184584279073,0.029227301393011676
454,-5,-0.914748464674244,0.32308191635289485,0.07699227048089698
454,-4,-0.7317987717393951,0.056878307915144394,0.013554426434425544
454,-3,-0.5488490788045464,0.023447406119017154,0.005587651126901681
454,-2,-0.36589938586969756,0.0196732190449368,0.0046882407379410605
454,-1,-0.18294969293484878,0.01714219430977123,0.004085083052102472
454,0,0.0,0.2118203256953199,0.05047799639603578
454,1,0.18294969293484878,0.061936796298137184,0.01475989317860089
454,2,0.36589938586969756,0.1432379342070609,0.03413441983409897
454,3,0.5488490788045464,0.0030714253202077857,0.0007319382393318981
454,4,0.7317987717393951,0.014984449464684529,0.0035708801012934994
454,5,0.914748464674244,0.12472602527282509,0.02972292594464951
455,-5,-0.9167633291338791,0.31186679554161467,0.07277765367438314
455,-4,-0.7334106633071032,0.05983909518868737,0.013964131507708468
455,-3,-0.5500579974803275,0.021073442559724483,0.0049177268188334115
455,-2,-0.3667053316535516,0.02221428990016993,0.005183956484271458
455,-1,-0.1833526658267758,0.017367666646264036,0.004052941981588025
455,0,0.0,0.21141563600179938,0.0493362363619608
455,1,0.1833526658267758,0.06057389650534244,0.014135605728457522
455,2,0.3667053316535516,0.14862878724992204,0.03468421312930388
455,3,0.5500579974803275,0.004026844261151396,0.0009397097774701953
455,4,0.7334106633071032,0.014909958246717538,0.003479407853261914
455,5,0.9167633291338791,0.12808358789860688,0.02988975785404949
