angle_deg,intensity_proxy
-58.97344070976207,1.4872930209490952e-08
-58.86240393678012,1.0329882999553693e-08
-58.751722214049956,6.466198196523729e-09
-58.64139174816628,3.410910426615068e-09
-58.531408810723825,1.2787417021104686e-09
-58.42176973676931,1.6724941837767602e-10
-58.312470923300324,1.5427501334533484e-10
-58.20350882780943,1.2957546698185444e-09
-58.09487996687213,3.623948465808948e-09
-57.98658091477663,7.146138069602592e-09
-57.87860830219438,1.184383544234822e-08
-57.770958814889624,1.767253609098683e-08
-57.663629192466495,2.456204028462245e-08
-57.55661622715268,3.241735442512049e-08
-57.44991676261811,4.112017260866111e-08
-57.34352769282732,5.05309255348272e-08
-57.237445960924745,6.049137056323542e-08
-57.13166855815133,7.082768317553301e-08
-57.026192522791696,8.135399669966166e-08
-56.92101493915078,9.187632424935576e-08
-56.816132936558745,1.0219678480020093e-07
-56.71154368840345,1.121180445480196e-07
-56.607244411189534,1.2144787555556776e-07
-56.503232363622914,1.3000372655153626e-07
-56.399504845720315,1.3761719593170043e-07
-56.29605919794279,1.4413829480981535e-07
-56.192892800352176,1.4943938859981987e-07
-56.09000307179042,1.5341870923346095e-07
-55.987387469080225,1.5600333679834544e-07
-55.885043486246964,1.5715155909969206e-07
-55.78296865376096,1.5685453028758632e-07
-55.681160537799265,1.5513716503504497e-07
-55.57961673952677,1.5205822248846295e-07
-55.47833489439563,1.4770955393708622e-07
-55.37731267146262,1.422145093748354e-07
-55.276547772724015,1.3572552029795065e-07
-55.176037932467004,1.2842089858168072e-07
-55.075780916637626,1.2050091345721224e-07
-54.97577452222446,1.1218322979746577e-07
-54.87601657665749,1.0369781045306252e-07
-54.77650493722212,9.528140262032518e-08
-54.67723749048727,8.717174258371039e-08
-54.5782121517477,7.960162413844732e-08
-54.47942686447983,7.279298313880742e-08
-54.38087959981064,6.695115361446684e-08
-54.282568355999494,6.225944955448189e-08
-54.18449115793227,5.887422070963645e-08
-54.08664605662754,5.692052068060228e-08
-53.98903112875451,5.648851135080903e-08
-53.891644476162206,5.763070973262172e-08
-53.79448422541982,6.036016199235703e-08
-53.69754852736772,6.464960538508076e-08
-53.60083555667886,7.043165274014092e-08
-53.504343511430285,7.760000674308164e-08
-53.40807061268459,8.601168335906914e-08
-53.31201510408083,9.549019616161488e-08
-53.216175251434755,1.0582962688976286e-07
-53.12054934234811,1.167994830486651e-07
-53.02513568582671,1.281502215280757e-07
-52.92993261190705,1.3961929869550804e-07
-52.83493847129136,1.509375927779895e-07
-52.740151634990475,1.6183603401018842e-07
-52.645570493974915,1.7205227229412895e-07
-52.55119345883336,1.8133721113966525e-07
-52.45701895943875,1.8946124043984764e-07
-52.36304544462159,1.9622000903835198e-07
-52.26927138185027,2.0143959078273206e-07
-52.17569525691843,2.04980914412382e-07
-52.08231557363882,2.0674334767329683e-07
-51.9891308535438,2.0666734885648567e-07
-51.8961396355923,2.0473612382267883e-07
-51.80334047588273,2.0097625275274357e-07
-51.71073194737209,1.954572775771579e-07
-51.61831263960105,1.8829026751732536e-07
-51.526081158424454,1.7962540567239094e-07
-51.43403612574782,1.6964866341468103e-07
-51.342176179268826,1.5857765089469012e-07
-51.25049997222457,1.4665675067291075e-07
-51.15900617314364,1.3415165696585517e-07
-51.067693465603426,1.213434549071726e-07
-50.97656054799229,1.0852238239185812e-07
-50.88560613327656,9.598142142334284e-08
-50.7948289487722,8.400986646831889e-08
-50.70422773592103,7.288701430086391e-08
-50.613801250071404,6.287611344232934e-08
-50.5235482602633,5.4218701916842436e-08
-50.43346754901757,4.712945005112113e-08
-50.34355791212937,4.179161090686119e-08
-50.253818158465634,3.8353165128379234e-08
-50.16424710976652,3.692373001148274e-08
-50.07484360045067,3.757228493723292e-08
-49.985606477424184,4.032574742696422e-08
-49.89653459989347,4.516841638399723e-08
-49.80762683918137,5.204228196372281e-08
-49.71888207854712,6.084818526915544e-08
-49.63029921300947,7.144779595213341e-08
-49.54187714917329,8.366636199472778e-08
-49.45361480505946,9.729617357193752e-08
-49.36551110993778,1.1210067201844804e-07
-49.277565004163215,1.2781912555207018e-07
-49.18977543901511,1.4417178551697099e-07
-49.10214137653926,1.6086543044416272e-07
-49.01466178939312,1.7759920011059843e-07
-48.92733566069365,1.9407061793150297e-07
-48.840161983868065,2.0998169736838997e-07
-48.753139762507345,2.2504502651751066e-07
-48.666268010222204,2.3898972462267864e-07
-48.57954575050194,2.5156716492252593e-07
-48.49297201657554,2.625563600152912e-07
