geometry_uid,exact_hash,major_role,subrole,parent_reference,wavelength_nm,phi_deg,projector_error,projector_margin,Txx,throughput
H1C1B_V2_010,3f1dc26c576ffc1bc4c074f90d1c58ade24eb09b6926603aa8208ee52da19611,SELECTIVITY_FRONTIER,G6_STRICT_NEIGHBOR_PHASE_DIVERSIFICATION,GLOBAL_006,450.0,99.58328165695178,0.13472293664637902,0.051773200362063565,0.9724008116870992,0.5619014145124166
H1C1B_V2_010,3f1dc26c576ffc1bc4c074f90d1c58ade24eb09b6926603aa8208ee52da19611,SELECTIVITY_FRONTIER,G6_STRICT_NEIGHBOR_PHASE_DIVERSIFICATION,GLOBAL_006,450.5,94.67007156898751,0.12033682855867711,0.06615930844976547,1.0177971302594304,0.5785152563519145
H1C1B_V2_010,3f1dc26c576ffc1bc4c074f90d1c58ade24eb09b6926603aa8208ee52da19611,SELECTIVITY_FRONTIER,G6_STRICT_NEIGHBOR_PHASE_DIVERSIFICATION,GLOBAL_006,451.0,90.92482178773611,0.10956943925235962,0.07692669775608296,1.0007776291245785,0.5619627589400606
H1C1B_V2_010,3f1dc26c576ffc1bc4c074f90d1c58ade24eb09b6926603aa8208ee52da19611,SELECTIVITY_FRONTIER,G6_STRICT_NEIGHBOR_PHASE_DIVERSIFICATION,GLOBAL_006,451.5,83.96446043286744,0.09072783623952907,0.09576830076891352,0.9448226227747347,0.5195488548045055
H1C1B_V2_010,3f1dc26c576ffc1bc4c074f90d1c58ade24eb09b6926603aa8208ee52da19611,SELECTIVITY_FRONTIER,G6_STRICT_NEIGHBOR_PHASE_DIVERSIFICATION,GLOBAL_006,452.0,74.71970379117329,0.06508265257598522,0.12141348443245736,1.0182986558113385,0.5445928769088864
H1C1B_V2_010,3f1dc26c576ffc1bc4c074f90d1c58ade24eb09b6926603aa8208ee52da19611,SELECTIVITY_FRONTIER,G6_STRICT_NEIGHBOR_PHASE_DIVERSIFICATION,GLOBAL_006,452.5,79.56905184015181,0.07926102795425916,0.10723510905418343,0.5747444050650641,0.3121103931269848
H1C1B_V2_010,3f1dc26c576ffc1bc4c074f90d1c58ade24eb09b6926603aa8208ee52da19611,SELECTIVITY_FRONTIER,G6_STRICT_NEIGHBOR_PHASE_DIVERSIFICATION,GLOBAL_006,453.0,69.20144960369328,0.029398072082327364,0.15709806492611522,1.0210755842288557,0.5260012137104804
H1C1B_V2_010,3f1dc26c576ffc1bc4c074f90d1c58ade24eb09b6926603aa8208ee52da19611,SELECTIVITY_FRONTIER,G6_STRICT_NEIGHBOR_PHASE_DIVERSIFICATION,GLOBAL_006,453.5,58.54381023763847,0.01551559177047579,0.1709805452379668,0.7949133649467185,0.4037206472250148
H1C1B_V2_010,3f1dc26c576ffc1bc4c074f90d1c58ade24eb09b6926603aa8208ee52da19611,SELECTIVITY_FRONTIER,G6_STRICT_NEIGHBOR_PHASE_DIVERSIFICATION,GLOBAL_006,454.0,41.0973587381834,0.005782262622390788,0.1807138743860518,0.5919524934562224,0.2976976125056778
H1C1B_V2_012,9191ce264313547454e8730bd323ea9ae49244af138113c2fa5b75e1a627857b,SELECTIVITY_FRONTIER,G15_STRICT_NEIGHBOR_PHASE_DIVERSIFICATION,GLOBAL_015,450.0,81.83347276769564,0.08356494214297816,0.10293119486546443,1.0010214773128325,0.5461497073527534
