monitor,wavelength_nm,z_nm,monitor_T_signed,raw_power_W,sourcepower_W,raw_over_sourcepower,path_C_available,path_A,path_B,path_C,path_AB_diff
N1_DIAG_LOWER_OUTSIDE,453.00000000000006,-110.0,0.7573963321373786,7.128002325732482e-16,9.411192031544703e-16,0.7573963321373786,False,0.7573963321373786,0.7573963321373786,nan,0.0
N1_DIAG_LOWER_OUTSIDE,453.9999999999999,-110.0,0.7629924044550733,7.181131986593861e-16,9.411800097436883e-16,0.7629924044550733,False,0.7629924044550733,0.7629924044550733,nan,0.0
N1_DIAG_LOWER_OUTSIDE,455.00000000000006,-110.0,0.7685243441423668,7.233661742609989e-16,9.412404171376484e-16,0.7685243441423667,False,0.7685243441423668,0.7685243441423667,nan,1.1102230246251565e-16
N1_DIAG_LOWER_INSIDE,445.0,-90.0,0.7812162025245599,7.348259817087122e-16,9.406179484425257e-16,0.7812162025245599,False,0.7812162025245599,0.7812162025245599,nan,0.0
N1_DIAG_LOWER_INSIDE,445.99999999999994,-90.0,0.7747434457488706,7.287872750278828e-16,9.406820787279249e-16,0.7747434457488706,False,0.7747434457488706,0.7747434457488706,nan,0.0
N1_DIAG_LOWER_INSIDE,446.99999999999994,-90.0,0.7769869049210602,7.309471523249507e-16,9.407457805215044e-16,0.7769869049210602,False,0.7769869049210602,0.7769869049210602,nan,0.0
N1_DIAG_LOWER_INSIDE,448.00000000000006,-90.0,0.7611672413498728,7.161130350323849e-16,9.408090576289282e-16,0.7611672413498729,False,0.7611672413498728,0.7611672413498729,nan,-1.1102230246251565e-16
N1_DIAG_LOWER_INSIDE,449.0,-90.0,0.6958621318983009,6.547171357896628e-16,9.408719138137389e-16,0.6958621318983009,False,0.6958621318983009,0.6958621318983009,nan,0.0
N1_DIAG_LOWER_INSIDE,450.0,-90.0,0.7332512459691101,6.899412865642104e-16,9.409343527979164e-16,0.7332512459691101,False,0.7332512459691101,0.7332512459691101,nan,0.0
N1_DIAG_LOWER_INSIDE,450.9999999999999,-90.0,0.7425346007192457,6.987223700113476e-16,9.40996378262427e-16,0.7425346007192458,False,0.7425346007192457,0.7425346007192458,nan,-1.1102230246251565e-16
N1_DIAG_LOWER_INSIDE,451.99999999999994,-90.0,0.7555064025115173,7.109753394866272e-16,9.410579938477607e-16,0.7555064025115172,False,0.7555064025115173,0.7555064025115172,nan,1.1102230246251565e-16
N1_DIAG_LOWER_INSIDE,453.00000000000006,-90.0,0.7573879308393686,7.127923259503595e-16,9.411192031544703e-16,0.7573879308393685,False,0.7573879308393686,0.7573879308393685,nan,1.1102230246251565e-16
N1_DIAG_LOWER_INSIDE,453.9999999999999,-90.0,0.762986980967759,7.181080941815428e-16,9.411800097436883e-16,0.7629869809677591,False,0.762986980967759,0.7629869809677591,nan,-1.1102230246251565e-16
N1_DIAG_LOWER_INSIDE,455.00000000000006,-90.0,0.7685305571875275,7.233720222302177e-16,9.412404171376484e-16,0.7685305571875275,False,0.7685305571875275,0.7685305571875275,nan,0.0
N1_DIAG_UPPER_INSIDE,445.0,590.0,0.7766261714929378,7.305085161364603e-16,9.406179484425257e-16,0.7766261714929378,False,0.7766261714929378,0.7766261714929378,nan,0.0
N1_DIAG_UPPER_INSIDE,445.99999999999994,590.0,0.7779334772924924,7.317880805315448e-16,9.406820787279249e-16,0.7779334772924925,False,0.7779334772924924,0.7779334772924925,nan,-1.1102230246251565e-16
N1_DIAG_UPPER_INSIDE,446.99999999999994,590.0,0.7689568752311058,7.233929357766637e-16,9.407457805215044e-16,0.7689568752311058,False,0.7689568752311058,0.7689568752311058,nan,0.0
N1_DIAG_UPPER_INSIDE,448.00000000000006,590.0,0.7788113659767343,7.327127872952698e-16,9.408090576289282e-16,0.7788113659767344,False,0.7788113659767343,0.7788113659767344,nan,-1.1102230246251565e-16
N1_DIAG_UPPER_INSIDE,449.0,590.0,0.7472039418737549,7.030232027999296e-16,9.408719138137389e-16,0.747203941873755,False,0.7472039418737549,0.747203941873755,nan,-1.1102230246251565e-16
N1_DIAG_UPPER_INSIDE,450.0,590.0,0.7351521913573879,6.917299513828336e-16,9.409343527979164e-16,0.7351521913573877,False,0.7351521913573879,0.7351521913573877,nan,1.1102230246251565e-16
N1_DIAG_UPPER_INSIDE,450.9999999999999,590.0,0.7388792181578391,6.952826682599003e-16,9.40996378262427e-16,0.7388792181578392,False,0.7388792181578391,0.7388792181578392,nan,-1.1102230246251565e-16
N1_DIAG_UPPER_INSIDE,451.99999999999994,590.0,0.7572814098308296,7.126457243136043e-16,9.410579938477607e-16,0.7572814098308295,False,0.7572814098308296,0.7572814098308295,nan,1.1102230246251565e-16
N1_DIAG_UPPER_INSIDE,453.00000000000006,590.0,0.7525668128362224,7.082550792169249e-16,9.411192031544703e-16,0.7525668128362223,False,0.7525668128362224,0.7525668128362223,nan,1.1102230246251565e-16
N1_DIAG_UPPER_INSIDE,453.9999999999999,590.0,0.765301921963904,7.202868703708506e-16,9.411800097436883e-16,0.7653019219639041,False,0.765301921963904,0.7653019219639041,nan,-1.1102230246251565e-16
N1_DIAG_UPPER_INSIDE,455.00000000000006,590.0,0.7639704877246586,7.190799005468103e-16,9.412404171376484e-16,0.7639704877246586,False,0.7639704877246586,0.7639704877246586,nan,0.0
N1_DIAG_UPPER_OUTSIDE,445.0,610.0,0.776603347390339,7.304870473758988e-16,9.406179484425257e-16,0.776603347390339,False,0.776603347390339,0.776603347390339,nan,0.0
N1_DIAG_UPPER_OUTSIDE,445.99999999999994,610.0,0.7779535181339553,7.318069325919515e-16,9.406820787279249e-16,0.7779535181339553,False,0.7779535181339553,0.7779535181339553,nan,0.0
N1_DIAG_UPPER_OUTSIDE,446.99999999999994,610.0,0.7689329899479792,7.233704657973459e-16,9.407457805215044e-16,0.7689329899479792,False,0.7689329899479792,0.7689329899479792,nan,0.0
N1_DIAG_UPPER_OUTSIDE,448.00000000000006,610.0,0.7788363522353641,7.32736294593705e-16,9.408090576289282e-16,0.7788363522353642,False,0.7788363522353641,0.7788363522353642,nan,-1.1102230246251565e-16
N1_DIAG_UPPER_OUTSIDE,449.0,610.0,0.7471925707201997,7.030125040009218e-16,9.408719138137389e-16,0.7471925707201997,False,0.7471925707201997,0.7471925707201997,nan,0.0
