D5_score,bottom_pair_count,bottom_termination_nm,candidate_id,cavity_spacer_nm,combined_accept,failure_mode,pass_level,scale_profile,score,shortlist_role,source_table,top_pair_count,top_termination_nm
,4,56.0,R2_4D2_OPT_09487,254.0,,offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold,,,-27.723518,,d3_near_pass,10,80.0
,6,34.0,R2_4D2_OPT_12500,253.0,,offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold,,,-28.10633,,d3_near_pass,10,78.0
,7,26.0,R2_4D2_OPT_09406,253.0,,offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold,,,-28.256491,,d3_near_pass,10,76.0
,4,76.0,R2_4D2_OPT_12308,326.0,,offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold,,,-28.929165,,d3_near_pass,7,60.0
,7,61.0,R2_4D2_OPT_03038,340.0,,offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold,,,-29.873768,,d3_near_pass,10,53.0
,8,69.0,R2_4D2_OPT_08978,248.0,,offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold,,,-30.737522,,d3_near_pass,8,74.0
,7,18.0,R2_4D2_OPT_03579,271.0,,offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold,,,-31.889505,,d3_near_pass,10,11.0
,12,60.0,R2_4D2_OPT_09488,333.0,,offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold,,,-32.087817,,d3_near_pass,8,88.0
,12,66.0,R2_4D2_OPT_12941,332.0,,offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold,,,-32.279388,,d3_near_pass,9,81.0
,7,23.0,R2_4D2_OPT_12875,267.0,,offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold,,,-32.631388,,d3_near_pass,9,9.0
,9,68.0,R2_4D2_OPT_13048,255.0,,offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold,,,-33.216635,,d3_near_pass,4,55.0
,12,46.0,R2_4D2_OPT_12359,185.0,,offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold,,,-33.503532,,d3_near_pass,6,22.0
,11,66.0,R2_4D2_OPT_12908,324.0,,offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold,,,-33.653243,,d3_near_pass,8,90.0
,11,42.0,R2_4D2_OPT_12320,180.0,,offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold,,,-33.667663,,d3_near_pass,6,37.0
,7,87.0,R2_4D2_OPT_12627,250.0,,offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold,,,-34.303657,,d3_near_pass,7,47.0
,12,45.0,R2_4D2_OPT_12339,180.0,,offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold,,,-34.439088,,d3_near_pass,6,35.0
,7,90.0,R2_4D2_OPT_12542,233.0,,offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold,,,-34.73362,,d3_near_pass,10,26.0
,12,62.0,R2_4D2_OPT_12318,180.0,,offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold,,,-35.335044,,d3_near_pass,6,18.0
,12,61.0,R2_4D2_OPT_12943,329.0,,offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold,,,-35.473527,,d3_near_pass,8,85.0
,12,19.0,R2_4D2_OPT_08877,355.0,,offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold,,,-35.865096,,d3_near_pass,5,35.0
,7,21.0,R2_4D2_OPT_12877,268.0,,offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold,,,-36.001793,,d3_near_pass,9,6.0
,10,74.0,R2_4D2_OPT_13024,231.0,,offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold,,,-36.450911,,d3_near_pass,6,88.0
,8,24.0,R2_4D2_OPT_12496,255.0,,offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold,,,-36.664229,,d3_near_pass,9,70.0
,12,72.0,R2_4D2_OPT_12923,337.0,,offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold,,,-37.184768,,d3_near_pass,9,70.0
,9,31.0,R2_4D2_OPT_12269,256.0,,offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold,,,-39.311699,,d3_near_pass,6,38.0
,,,R2_4B_OPT_06361,352.0,,,,,,,d4_best_spacers,,
,,,R2_4B_OPT_06176,178.0,,,,,,,d4_best_spacers,,
,,,R2_4D2_OPT_13003,184.0,,,,,,,d4_best_spacers,,
,,,R2_4D2_OPT_13010,272.0,,,,,,,d4_best_spacers,,
,,,R2_4D2_OPT_13013,358.0,,,,,,,d4_best_spacers,,
,,,R2_4D2_OPT_12232,424.0,,,,,,,d4_best_spacers,,
,,,R2_4D2_OPT_03742,174.0,,,,,,,d4_best_spacers,,
