geometry_id,geometry_hash,wavelength_nm,p_T_total,s_T_total,delta_s_minus_p_T_total,abs_delta_T_total,p_R_total,s_R_total,delta_s_minus_p_R_total,abs_delta_R_total,p_eta_plus1,s_eta_plus1,delta_s_minus_p_eta_plus1,abs_delta_eta_plus1,p_eta_0,s_eta_0,delta_s_minus_p_eta_0,abs_delta_eta_0,p_eta_minus1,s_eta_minus1,delta_s_minus_p_eta_minus1,abs_delta_eta_minus1,p_directionality,s_directionality,delta_s_minus_p_directionality,abs_delta_directionality
K6X_D100_D110_D115_D220_D225_D230,3e20850f5b7402c4416f521873aca37e9073de4318f168d9617b996729a1f136,450,0.7784499267606438,0.828757234627169,0.05030730786652515,0.05030730786652515,0.221549212394101,0.17191040345534814,-0.04963880893875286,0.04963880893875286,0.05644978471064068,0.017961593480089553,-0.038488191230551125,0.038488191230551125,0.6153727915428343,0.7683046151045414,0.1529318235617071,0.1529318235617071,0.006286422399989639,0.005051528220898774,-0.0012348941790908657,0.0012348941790908657,0.8997959441681892,0.7804935685591133,-0.11930237560907586,0.11930237560907586
K6X_D100_D110_D115_D220_D225_D230,3e20850f5b7402c4416f521873aca37e9073de4318f168d9617b996729a1f136,451,0.7992113131957552,0.8150376794270021,0.01582636623124689,0.01582636623124689,0.2005861681412931,0.18571139575838333,-0.014874772382909768,0.014874772382909768,0.06492891071730834,0.02227630384993789,-0.04265260686737045,0.04265260686737045,0.6411113691081675,0.7423855248759001,0.10127415576773269,0.10127415576773269,0.005931215646915142,0.004980524948870233,-0.0009506906980449089,0.0009506906980449089,0.9162968519639877,0.8172742329772413,-0.09902261898674636,0.09902261898674636
K6X_D100_D110_D115_D220_D225_D230,3e20850f5b7402c4416f521873aca37e9073de4318f168d9617b996729a1f136,452,0.8139207880790068,0.8056554064643067,-0.00826538161470014,0.00826538161470014,0.18594495709545833,0.1951517047741922,0.009206747678733862,0.009206747678733862,0.0605522603122423,0.02759157693532295,-0.03296068337691935,0.03296068337691935,0.6768153658319619,0.7157389368506285,0.038923571018666614,0.038923571018666614,0.004756382946258953,0.004619246637021169,-0.0001371363092377842,0.0001371363092377842,0.9271706973389038,0.8565933396069014,-0.07057735773200235,0.07057735773200235
K6X_D100_D110_D115_D220_D225_D230,3e20850f5b7402c4416f521873aca37e9073de4318f168d9617b996729a1f136,453,0.8165338509022639,0.7996044340878021,-0.016929416814461806,0.016929416814461806,0.18321412230773446,0.20122476710866977,0.01801064480093531,0.01801064480093531,0.055230719167956015,0.03281193653367961,-0.022418782634276407,0.022418782634276407,0.6967426707080522,0.6923608932277088,-0.004381777480343407,0.004381777480343407,0.004116496008357953,0.003973188184488445,-0.00014330782386950784,0.00014330782386950784,0.9306370821928494,0.8919892697135235,-0.038647812479325805,0.038647812479325805
K6X_D100_D110_D115_D220_D225_D230,3e20850f5b7402c4416f521873aca37e9073de4318f168d9617b996729a1f136,454,0.8100284937743479,0.7956375458854378,-0.014390947888910155,0.014390947888910155,0.18987918103590687,0.20517912100108168,0.015299939965174814,0.015299939965174814,0.05392952555915561,0.03713459370529028,-0.01679493185386533,0.01679493185386533,0.6982924012914995,0.6752273116069556,-0.023065089684543905,0.023065089684543905,0.0041304595942659,0.003181767893259047,-0.000948691701006853,0.000948691701006853,0.9288587555895631,0.9210799842272093,-0.007778771362353831,0.007778771362353831
K6X_D100_D110_D115_D220_D225_D230,3e20850f5b7402c4416f521873aca37e9073de4318f168d9617b996729a1f136,455,0.7961622559603498,0.7953176791406071,-0.0008445768197427039,0.0008445768197427039,0.2039751349694607,0.20546856337637595,0.0014934284069152426,0.0014934284069152426,0.0582684943649671,0.03943927418219059,-0.01882922018277651,0.01882922018277651,0.6828033734560439,0.6675457977005836,-0.015257575755460273,0.015257575755460273,0.0044600085366780905,0.002426142801944999,-0.0020338657347330914,0.0020338657347330914,0.9288998090123219,0.9420489994674038,0.013149190455081894,0.013149190455081894
K6X_D100_D105_D115_D120_D125_D130,929f0b81018a32b2c705664ed717b9a6e5d0c0b98cb35196f05747b6b565a528,445,0.9558855772274175,0.9667532937900248,0.010867716562607321,0.010867716562607321,0.043685748696156955,0.03338315033479617,-0.010302598361360785,0.010302598361360785,0.30819879215492857,0.30988388968507696,0.001685097530148394,0.001685097530148394,0.5122998155365458,0.51266352812286,0.0003637125863141799,0.0003637125863141799,0.05258309875405251,0.04750046993702284,-0.005082628817029672,0.005082628817029672,0.8542523888281347,0.8670885598148445,0.01283617098670975,0.01283617098670975
K6X_D100_D105_D115_D120_D125_D130,929f0b81018a32b2c705664ed717b9a6e5d0c0b98cb35196f05747b6b565a528,446,0.956545459768868,0.9677002905143892,0.01115483074552126,0.01115483074552126,0.04306265167721002,0.03206142254177972,-0.0110012291354303,0.0110012291354303,0.2998694625262098,0.3017413451026836,0.0018718825764738045,0.0018718825764738045,0.5222225096295481,0.5214864955343272,-0.0007360140952208383,0.0007360140952208383,0.05212200338395936,0.0474977043665938,-0.004624299017365559,0.004624299017365559,0.8519225366751896,0.8639965821726583,0.01207404549746871,0.01207404549746871
K6X_D100_D105_D115_D120_D125_D130,929f0b81018a32b2c705664ed717b9a6e5d0c0b98cb35196f05747b6b565a528,447,0.9571615234732055,0.9694069449502604,0.012245421477054874,0.012245421477054874,0.042488445436765755,0.030900630272884554,-0.011587815163881202,0.011587815163881202,0.2918326355016071,0.2938687306625201,0.0020360951609130207,0.0020360951609130207,0.5318476455512297,0.5308321858612921,-0.0010154596899375479,0.0010154596899375479,0.05162626145334849,0.047630833458658664,-0.003995427994689826,0.003995427994689826,0.8496872204765765,0.8605244677801194,0.010837247303542852,0.010837247303542852
K6X_D100_D105_D115_D120_D125_D130,929f0b81018a32b2c705664ed717b9a6e5d0c0b98cb35196f05747b6b565a528,448,0.9577136226743289,0.9705323862827021,0.012818763608373196,0.012818763608373196,0.04197778593106984,0.029780908456803437,-0.012196877474266406,0.012196877474266406,0.28406052998030057,0.2859636025800584,0.0019030725997578046,0.0019030725997578046,0.5411938677948444,0.5401537197624918,-0.001040148032352528,0.001040148032352528,0.05110294238413941,0.04765146607569049,-0.003451476308448921,0.003451476308448921,0.8475283060423343,0.8571663256468156,0.009638019604481296,0.009638019604481296
K6X_D100_D105_D115_D120_D125_D130,929f0b81018a32b2c705664ed717b9a6e5d0c0b98cb35196f05747b6b565a528,449,0.9581886357675327,0.970903808577386,0.012715172809853348,0.012715172809853348,0.041537612804748845,0.028875656255957814,-0.012661956548791032,0.012661956548791032,0.2765398004190823,0.27845137620807253,0.0019115757889902052,0.0019115757889902052,0.5502671335049925,0.5485464888450534,-0.0017206446599390413,0.0017206446599390413,0.05055522025512507,0.04755180185346474,-0.0030034184016603307,0.0030034184016603307,0.8454417919572094,0.8541369991046874,0.008695207147478068,0.008695207147478068
K6X_D100_D105_D115_D120_D125_D130,929f0b81018a32b2c705664ed717b9a6e5d0c0b98cb35196f05747b6b565a528,450,0.9585732868336772,0.9719124099742718,0.0133391231405946,0.0133391231405946,0.04117550975826775,0.028142534973686177,-0.013032974784581576,0.013032974784581576,0.26925676584003433,0.271323885105355,0.0020671192653206605,0.0020671192653206605,0.5590734480344098,0.5570881855523064,-0.0019852624821034004,0.0019852624821034004,0.04998555964996369,0.04756155130813419,-0.0024240083418295005,0.0024240083418295005,0.8434243968958628,0.8508506633508889,0.007426266455026087,0.007426266455026087
K6X_D100_D105_D115_D120_D125_D130,929f0b81018a32b2c705664ed717b9a6e5d0c0b98cb35196f05747b6b565a528,451,0.9588566161883394,0.9729665417357481,0.014109925547408753,0.014109925547408753,0.04089889319394816,0.02741284551341647,-0.013486047680531691,0.013486047680531691,0.262194623257601,0.26419512865456135,0.0020005053969603392,0.0020005053969603392,0.5676234404814603,0.5659784176890743,-0.0016450227923859861,0.0016450227923859861,0.04939730056440186,0.047552141244057086,-0.0018451593203447705,0.0018451593203447705,0.8414679688790005,0.8474657331898328,0.00599776431083221,0.00599776431083221
K6X_D100_D105_D115_D120_D125_D130,929f0b81018a32b2c705664ed717b9a6e5d0c0b98cb35196f05747b6b565a528,452,0.9590353806631189,0.9731737572072198,0.014138376544100884,0.014138376544100884,0.040711121789427984,0.02674424533892076,-0.013966876450507225,0.013966876450507225,0.2553353679648949,0.2572686038471354,0.0019332358822404805,0.0019332358822404805,0.5759330780863976,0.5741261712539387,-0.0018069068324588766,0.0018069068324588766,0.0487953704149922,0.04739744177297309,-0.0013979286420191112,0.0013979286420191112,0.8395579129063819,0.8444282109727663,0.004870298066384393,0.004870298066384393
K6X_D100_D105_D115_D120_D125_D130,929f0b81018a32b2c705664ed717b9a6e5d0c0b98cb35196f05747b6b565a528,453,0.9591183621227378,0.9736127227522492,0.014494360629511371,0.014494360629511371,0.040607776889788914,0.02621829210826684,-0.014389484781522074,0.014389484781522074,0.2486640326120206,0.2507496671407875,0.0020856345287668943,0.0020856345287668943,0.5840210974583181,0.5819902957550971,-0.002030801703221008,0.002030801703221008,0.048186026131659496,0.04729089320284919,-0.0008951329288103063,0.0008951329288103063,0.8376755378267704,0.8413273242127735,0.003651786386003053,0.003651786386003053
K6X_D100_D105_D115_D120_D125_D130,929f0b81018a32b2c705664ed717b9a6e5d0c0b98cb35196f05747b6b565a528,454,0.9591262386670529,0.9745562305077394,0.015429991840686497,0.015429991840686497,0.04057585220199229,0.02573175418615137,-0.014844098015840915,0.014844098015840915,0.24217296829762414,0.24432683914753858,0.0021538708499144466,0.0021538708499144466,0.5919038277239745,0.5903386914017545,-0.0015651363222199954,0.0015651363222199954,0.047575643211159424,0.04724206273289959,-0.0003335804782598345,0.0003335804782598345,0.8358037232226143,0.8379729030489272,0.002169179826312928,0.002169179826312928
K6X_D100_D105_D115_D120_D125_D130,929f0b81018a32b2c705664ed717b9a6e5d0c0b98cb35196f05747b6b565a528,455,0.9590854189668494,0.9748844354072433,0.015799016440393943,0.015799016440393943,0.04059749253545439,0.02522901308738527,-0.015368479448069117,0.015368479448069117,0.23586374444729077,0.2379612261978367,0.0020974817505459153,0.0020974817505459153,0.5995894319823218,0.5983377959922078,-0.0012516359901140195,0.0012516359901140195,0.046968973301854795,0.047074080028580066,0.00010510672672527088,0.00010510672672527088,0.8339337341321549,0.8348482486194642,0.0009145144873092814,0.0009145144873092814
K6X_D100_D140_D145_D155_D225_D230,b3675b12a5a697a0cb36ebd8799b9f4e45182e7384a43255e7f003887d9785d6,445,0.8075158578181046,0.7795040496974045,-0.028011808120700143,0.028011808120700143,0.19154258592527995,0.22104092937254877,0.029498343447268816,0.029498343447268816,0.3602224368581806,0.24539292368000967,-0.11482951317817094,0.11482951317817094,0.004007907630794874,0.001989602399694134,-0.0020183052311007394,0.0020183052311007394,0.23819685194407764,0.2915568966670509,0.05336004472297329,0.05336004472297329,0.6019565939780603,0.4570127680113545,-0.14494382596670585,0.14494382596670585
K6X_D100_D140_D145_D155_D225_D230,b3675b12a5a697a0cb36ebd8799b9f4e45182e7384a43255e7f003887d9785d6,446,0.8105541135916915,0.7757846845976956,-0.03476942899399593,0.03476942899399593,0.18859806892442954,0.22457656325578385,0.035978494331354305,0.035978494331354305,0.3743115210468073,0.26823156501930423,-0.10607995602750309,0.10607995602750309,0.004330038286164188,0.001638778677956159,-0.0026912596082080296,0.0026912596082080296,0.23493517311252393,0.27920099096366274,0.04426581785113881,0.04426581785113881,0.6143841643052341,0.48998102521993614,-0.12440313908529799,0.12440313908529799
