wavelength_nm,target_bin_deg,candidate_id,dimer_case_id,fdtd_status,selected_phase_deg,phase_error_to_target_deg,Tx,y_leakage,conversion_to_leakage_ratio,matrix_error,pass_flag,source_stage_or_source_file
450,240,H500DIMER12A_007_B240_x_pair_swap_G100_O-28,H500DIMER12A_007_B240_x_pair_swap_G100_O-28_3B4_WL450NM,ok,228.150085,11.849915,0.682515,0.099484,6.860554,0.381790,true,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10a_h500_lp_240bin_single_dimer_refinement\stage12_10a_240bin_candidate_plan.csv
451,240,H500DIMER12A_007_B240_x_pair_swap_G100_O-28,H500DIMER12A_007_B240_x_pair_swap_G100_O-28_3B4_WL451NM,ok,221.626354,18.373646,0.359517,0.106476,3.376517,0.544210,false,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10a_h500_lp_240bin_single_dimer_refinement\stage12_10a_240bin_candidate_plan.csv
449,240,H500DIMER12A_008_B240_x_pair_swap_G90_O-32,H500DIMER12A_008_B240_x_pair_swap_G90_O-32_3B4_WL449NM,ok,194.592422,45.407578,0.931235,0.079719,11.681472,0.292590,false,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10a_h500_lp_240bin_single_dimer_refinement\stage12_10a_240bin_candidate_plan.csv
450,240,H500DIMER12A_008_B240_x_pair_swap_G90_O-32,H500DIMER12A_008_B240_x_pair_swap_G90_O-32_3B4_WL450NM,ok,229.184795,10.815205,0.742750,0.096649,7.685004,0.360730,true,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10a_h500_lp_240bin_single_dimer_refinement\stage12_10a_240bin_candidate_plan.csv
451,240,H500DIMER12A_008_B240_x_pair_swap_G90_O-32,H500DIMER12A_008_B240_x_pair_swap_G90_O-32_3B4_WL451NM,ok,223.759192,16.240808,0.422690,0.103591,4.080390,0.495051,false,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10a_h500_lp_240bin_single_dimer_refinement\stage12_10a_240bin_candidate_plan.csv
449,240,H500DIMER12A_009_B240_x_pair_swap_G90_O-24,H500DIMER12A_009_B240_x_pair_swap_G90_O-24_3B4_WL449NM,ok,211.508694,28.491306,0.876898,0.083702,10.476407,0.308959,false,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10a_h500_lp_240bin_single_dimer_refinement\stage12_10a_240bin_candidate_plan.csv
450,240,H500DIMER12A_009_B240_x_pair_swap_G90_O-24,H500DIMER12A_009_B240_x_pair_swap_G90_O-24_3B4_WL450NM,ok,231.228177,8.771823,0.729947,0.097186,7.510828,0.364889,true,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10a_h500_lp_240bin_single_dimer_refinement\stage12_10a_240bin_candidate_plan.csv
451,240,H500DIMER12A_009_B240_x_pair_swap_G90_O-24,H500DIMER12A_009_B240_x_pair_swap_G90_O-24_3B4_WL451NM,ok,221.815466,18.184534,0.390811,0.103928,3.760402,0.515683,false,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10a_h500_lp_240bin_single_dimer_refinement\stage12_10a_240bin_candidate_plan.csv
449,240,H500DIMER12A_012_B240_x_pair_swap_G85_O-32,H500DIMER12A_012_B240_x_pair_swap_G85_O-32_3B4_WL449NM,ok,204.479717,35.520283,0.907929,0.081655,11.119146,0.299892,false,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10a_h500_lp_240bin_single_dimer_refinement\stage12_10a_240bin_candidate_plan.csv
450,240,H500DIMER12A_012_B240_x_pair_swap_G85_O-32,H500DIMER12A_012_B240_x_pair_swap_G85_O-32_3B4_WL450NM,ok,232.684836,7.315164,0.784767,0.094311,8.321054,0.346675,true,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10a_h500_lp_240bin_single_dimer_refinement\stage12_10a_240bin_candidate_plan.csv
451,240,H500DIMER12A_012_B240_x_pair_swap_G85_O-32,H500DIMER12A_012_B240_x_pair_swap_G85_O-32_3B4_WL451NM,ok,225.033801,14.966199,0.452778,0.099203,4.564178,0.468084,false,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10a_h500_lp_240bin_single_dimer_refinement\stage12_10a_240bin_candidate_plan.csv
449,240,H500DIMER12A_016_B240_x_pair_swap_G90_O-36,H500DIMER12A_016_B240_x_pair_swap_G90_O-36_3B4_WL449NM,ok,195.101778,44.898222,0.925186,0.081359,11.371687,0.296545,false,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10a_h500_lp_240bin_single_dimer_refinement\stage12_10a_240bin_candidate_plan.csv
450,240,H500DIMER12A_016_B240_x_pair_swap_G90_O-36,H500DIMER12A_016_B240_x_pair_swap_G90_O-36_3B4_WL450NM,ok,228.411633,11.588367,0.715525,0.097559,7.334261,0.369253,true,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10a_h500_lp_240bin_single_dimer_refinement\stage12_10a_240bin_candidate_plan.csv
451,240,H500DIMER12A_016_B240_x_pair_swap_G90_O-36,H500DIMER12A_016_B240_x_pair_swap_G90_O-36_3B4_WL451NM,ok,222.806850,17.193150,0.388215,0.105193,3.690515,0.520544,false,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10a_h500_lp_240bin_single_dimer_refinement\stage12_10a_240bin_candidate_plan.csv
449,300,H500DIMER12D_002_B300_x_pair_swap_G80_O-30,H500DIMER12D_002_B300_x_pair_swap_G80_O-30_3B4_WL449NM,ok,312.699260,12.699260,0.972728,0.013843,70.267809,0.119294,true,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10d_h500_lp_300bin_single_dimer_refinement\stage12_10d_300bin_candidate_plan.csv
450,300,H500DIMER12D_002_B300_x_pair_swap_G80_O-30,H500DIMER12D_002_B300_x_pair_swap_G80_O-30_3B4_WL450NM,ok,307.474239,7.474239,0.987489,0.073365,13.460022,0.272570,true,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10d_h500_lp_300bin_single_dimer_refinement\stage12_10d_300bin_candidate_plan.csv
451,300,H500DIMER12D_002_B300_x_pair_swap_G80_O-30,H500DIMER12D_002_B300_x_pair_swap_G80_O-30_3B4_WL451NM,ok,311.175703,11.175703,1.002055,0.260584,3.845420,0.509951,false,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10d_h500_lp_300bin_single_dimer_refinement\stage12_10d_300bin_candidate_plan.csv
449,300,H500DIMER12D_003_B300_x_pair_swap_G90_O-30,H500DIMER12D_003_B300_x_pair_swap_G90_O-30_3B4_WL449NM,ok,314.715719,14.715719,1.006287,0.014163,71.048907,0.118636,true,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10d_h500_lp_300bin_single_dimer_refinement\stage12_10d_300bin_candidate_plan.csv
450,300,H500DIMER12D_003_B300_x_pair_swap_G90_O-30,H500DIMER12D_003_B300_x_pair_swap_G90_O-30_3B4_WL450NM,ok,310.693295,10.693295,0.986508,0.054637,18.055529,0.235339,true,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10d_h500_lp_300bin_single_dimer_refinement\stage12_10d_300bin_candidate_plan.csv
451,300,H500DIMER12D_003_B300_x_pair_swap_G90_O-30,H500DIMER12D_003_B300_x_pair_swap_G90_O-30_3B4_WL451NM,ok,304.868286,4.868286,1.002041,0.222317,4.507269,0.471025,false,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10d_h500_lp_300bin_single_dimer_refinement\stage12_10d_300bin_candidate_plan.csv
449,300,H500DIMER12D_004_B300_x_pair_swap_G80_O-40,H500DIMER12D_004_B300_x_pair_swap_G80_O-40_3B4_WL449NM,ok,315.724575,15.724575,0.992986,0.024376,40.736321,0.156679,true,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10d_h500_lp_300bin_single_dimer_refinement\stage12_10d_300bin_candidate_plan.csv
450,300,H500DIMER12D_004_B300_x_pair_swap_G80_O-40,H500DIMER12D_004_B300_x_pair_swap_G80_O-40_3B4_WL450NM,ok,316.453351,16.453351,1.005218,0.042803,23.484862,0.206351,true,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10d_h500_lp_300bin_single_dimer_refinement\stage12_10d_300bin_candidate_plan.csv
451,300,H500DIMER12D_004_B300_x_pair_swap_G80_O-40,H500DIMER12D_004_B300_x_pair_swap_G80_O-40_3B4_WL451NM,ok,309.565844,9.565844,0.980281,0.219427,4.467450,0.473118,false,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10d_h500_lp_300bin_single_dimer_refinement\stage12_10d_300bin_candidate_plan.csv
449,300,H500DIMER12D_005_B300_x_pair_swap_G80_O-20,H500DIMER12D_005_B300_x_pair_swap_G80_O-20_3B4_WL449NM,ok,307.900019,7.900019,0.978161,0.000977,1001.399288,0.031604,true,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10d_h500_lp_300bin_single_dimer_refinement\stage12_10d_300bin_candidate_plan.csv
450,300,H500DIMER12D_005_B300_x_pair_swap_G80_O-20,H500DIMER12D_005_B300_x_pair_swap_G80_O-20_3B4_WL450NM,ok,306.697579,6.697579,0.992870,0.079343,12.513692,0.282688,true,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10d_h500_lp_300bin_single_dimer_refinement\stage12_10d_300bin_candidate_plan.csv
451,300,H500DIMER12D_005_B300_x_pair_swap_G80_O-20,H500DIMER12D_005_B300_x_pair_swap_G80_O-20_3B4_WL451NM,ok,310.235072,10.235072,0.998208,0.308972,3.230742,0.556351,false,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10d_h500_lp_300bin_single_dimer_refinement\stage12_10d_300bin_candidate_plan.csv
449,300,H500DIMER12D_006_B300_x_pair_noswap_G80_O-30,H500DIMER12D_006_B300_x_pair_noswap_G80_O-30_3B4_WL449NM,ok,312.417503,12.417503,0.975489,0.032724,29.809825,0.183156,true,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10d_h500_lp_300bin_single_dimer_refinement\stage12_10d_300bin_candidate_plan.csv
450,300,H500DIMER12D_006_B300_x_pair_noswap_G80_O-30,H500DIMER12D_006_B300_x_pair_noswap_G80_O-30_3B4_WL450NM,ok,315.662073,15.662073,0.995819,0.047985,20.752870,0.219514,true,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10d_h500_lp_300bin_single_dimer_refinement\stage12_10d_300bin_candidate_plan.csv
451,300,H500DIMER12D_006_B300_x_pair_noswap_G80_O-30,H500DIMER12D_006_B300_x_pair_noswap_G80_O-30_3B4_WL451NM,ok,307.136578,7.136578,0.986911,0.217769,4.531912,0.469742,false,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10d_h500_lp_300bin_single_dimer_refinement\stage12_10d_300bin_candidate_plan.csv
449,300,H500DIMER12D_007_B300_x_pair_noswap_G100_O-24,H500DIMER12D_007_B300_x_pair_noswap_G100_O-24_3B4_WL449NM,ok,307.526662,7.526662,0.975170,0.006724,145.029548,0.083037,true,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10d_h500_lp_300bin_single_dimer_refinement\stage12_10d_300bin_candidate_plan.csv
450,300,H500DIMER12D_007_B300_x_pair_noswap_G100_O-24,H500DIMER12D_007_B300_x_pair_noswap_G100_O-24_3B4_WL450NM,ok,304.836109,4.836109,1.002368,0.075504,13.275763,0.274455,true,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10d_h500_lp_300bin_single_dimer_refinement\stage12_10d_300bin_candidate_plan.csv
451,300,H500DIMER12D_007_B300_x_pair_noswap_G100_O-24,H500DIMER12D_007_B300_x_pair_noswap_G100_O-24_3B4_WL451NM,ok,307.207132,7.207132,0.995356,0.267222,3.724836,0.518140,false,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10d_h500_lp_300bin_single_dimer_refinement\stage12_10d_300bin_candidate_plan.csv
449,300,H500DIMER12D_008_B300_y_pair_swap_G80_O-30,H500DIMER12D_008_B300_y_pair_swap_G80_O-30_3B4_WL449NM,ok,12.990063,72.990063,0.419077,0.994573,0.421363,1.541319,false,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10d_h500_lp_300bin_single_dimer_refinement\stage12_10d_300bin_candidate_plan.csv
450,300,H500DIMER12D_008_B300_y_pair_swap_G80_O-30,H500DIMER12D_008_B300_y_pair_swap_G80_O-30_3B4_WL450NM,ok,350.644732,50.644732,0.618374,0.987505,0.626199,1.264278,false,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10d_h500_lp_300bin_single_dimer_refinement\stage12_10d_300bin_candidate_plan.csv
451,300,H500DIMER12D_008_B300_y_pair_swap_G80_O-30,H500DIMER12D_008_B300_y_pair_swap_G80_O-30_3B4_WL451NM,ok,338.678991,38.678991,0.874964,0.988062,0.885535,1.064350,false,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10d_h500_lp_300bin_single_dimer_refinement\stage12_10d_300bin_candidate_plan.csv
449,300,H500DIMER12D_009_B300_y_pair_noswap_G80_O-30,H500DIMER12D_009_B300_y_pair_noswap_G80_O-30_3B4_WL449NM,ok,12.990094,72.990094,0.419076,0.994573,0.421363,1.541321,false,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10d_h500_lp_300bin_single_dimer_refinement\stage12_10d_300bin_candidate_plan.csv
450,300,H500DIMER12D_009_B300_y_pair_noswap_G80_O-30,H500DIMER12D_009_B300_y_pair_noswap_G80_O-30_3B4_WL450NM,ok,351.445706,51.445706,0.618208,0.987505,0.626031,1.264554,false,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10d_h500_lp_300bin_single_dimer_refinement\stage12_10d_300bin_candidate_plan.csv
451,300,H500DIMER12D_009_B300_y_pair_noswap_G80_O-30,H500DIMER12D_009_B300_y_pair_noswap_G80_O-30_3B4_WL451NM,ok,339.071887,39.071887,0.874680,0.988062,0.885248,1.064675,false,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10d_h500_lp_300bin_single_dimer_refinement\stage12_10d_300bin_candidate_plan.csv
449,300,H500DIMER12D_010_B300_diag_pair_swap_G80_O-30,H500DIMER12D_010_B300_diag_pair_swap_G80_O-30_3B4_WL449NM,ok,296.657875,3.342125,0.957898,0.472390,2.027770,0.739335,false,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10d_h500_lp_300bin_single_dimer_refinement\stage12_10d_300bin_candidate_plan.csv
450,300,H500DIMER12D_010_B300_diag_pair_swap_G80_O-30,H500DIMER12D_010_B300_diag_pair_swap_G80_O-30_3B4_WL450NM,ok,289.394419,10.605581,0.955570,0.628636,1.520068,0.843954,false,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10d_h500_lp_300bin_single_dimer_refinement\stage12_10d_300bin_candidate_plan.csv
451,300,H500DIMER12D_010_B300_diag_pair_swap_G80_O-30,H500DIMER12D_010_B300_diag_pair_swap_G80_O-30_3B4_WL451NM,ok,286.866089,13.133911,0.918088,0.765894,1.198715,0.951333,false,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10d_h500_lp_300bin_single_dimer_refinement\stage12_10d_300bin_candidate_plan.csv
449,300,H500DIMER12D_011_B300_diag_pair_noswap_G80_O-30,H500DIMER12D_011_B300_diag_pair_noswap_G80_O-30_3B4_WL449NM,ok,299.129702,0.870298,0.953731,0.466446,2.044673,0.742831,false,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10d_h500_lp_300bin_single_dimer_refinement\stage12_10d_300bin_candidate_plan.csv
450,300,H500DIMER12D_011_B300_diag_pair_noswap_G80_O-30,H500DIMER12D_011_B300_diag_pair_noswap_G80_O-30_3B4_WL450NM,ok,286.808208,13.191792,0.919070,0.650446,1.412983,0.895960,false,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10d_h500_lp_300bin_single_dimer_refinement\stage12_10d_300bin_candidate_plan.csv
451,300,H500DIMER12D_011_B300_diag_pair_noswap_G80_O-30,H500DIMER12D_011_B300_diag_pair_noswap_G80_O-30_3B4_WL451NM,ok,284.693621,15.306379,0.863382,0.799315,1.080152,1.032626,false,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10d_h500_lp_300bin_single_dimer_refinement\stage12_10d_300bin_candidate_plan.csv
449,60,H500DIMER2B_006_B180_x_pair_swap_G60_O-20,H500DIMER2B_006_B180_x_pair_swap_G60_O-20_WL449NM,ok,74.334458,14.334458,0.991275,0.009072,109.266450,0.095665,,D:\project\blue_apcd_microled_metasurface\reports\stage11_3b1_lp_h500_frozen_sixbin_449_451_results.csv
450,60,H500DIMER2B_006_B180_x_pair_swap_G60_O-20,H500DIMER2B_006_B180_x_pair_swap_G60_O-20_3B4_WL450NM,ok,63.970499,3.970499,0.991815,0.002479,400.019911,0.049995,true,D:\project\blue_apcd_microled_metasurface\outputs\stage12_1_h500_lp_k6_forward_layout\stage12_1_k6_forward_layout_plan.csv
451,60,H500DIMER2B_006_B180_x_pair_swap_G60_O-20,H500DIMER2B_006_B180_x_pair_swap_G60_O-20_WL451NM,ok,56.990416,3.009584,0.983085,0.033413,29.422172,0.184358,,D:\project\blue_apcd_microled_metasurface\reports\stage11_3b1_lp_h500_frozen_sixbin_449_451_results.csv
449,180,H500DIMER2C_026_B240_x_pair_swap_G60_O-20,H500DIMER2C_026_B240_x_pair_swap_G60_O-20_WL449NM,ok,174.374026,5.625974,0.960432,0.074032,12.973181,0.277732,,D:\project\blue_apcd_microled_metasurface\reports\stage11_3b1_lp_h500_frozen_sixbin_449_451_results.csv
450,180,H500DIMER2C_026_B240_x_pair_swap_G60_O-20,H500DIMER2C_026_B240_x_pair_swap_G60_O-20_3B4_WL450NM,ok,175.920835,4.079165,0.921171,0.083398,11.045499,0.301124,true,D:\project\blue_apcd_microled_metasurface\outputs\stage12_1_h500_lp_k6_forward_layout\stage12_1_k6_forward_layout_plan.csv
451,180,H500DIMER2C_026_B240_x_pair_swap_G60_O-20,H500DIMER2C_026_B240_x_pair_swap_G60_O-20_WL451NM,ok,212.564402,32.564402,0.782728,0.089577,8.738091,0.338617,,D:\project\blue_apcd_microled_metasurface\reports\stage11_3b1_lp_h500_frozen_sixbin_449_451_results.csv
449,0,H500DIMER2C_029_B240_x_pair_noswap_G60_O-20,H500DIMER2C_029_B240_x_pair_noswap_G60_O-20_WL449NM,ok,2.188354,2.188354,1.000742,0.004371,228.941257,0.066112,,D:\project\blue_apcd_microled_metasurface\reports\stage11_3b1_lp_h500_frozen_sixbin_449_451_results.csv
450,0,H500DIMER2C_029_B240_x_pair_noswap_G60_O-20,H500DIMER2C_029_B240_x_pair_noswap_G60_O-20_3B4_WL450NM,ok,356.760734,3.239266,1.015647,0.001251,811.995781,0.035152,true,D:\project\blue_apcd_microled_metasurface\outputs\stage12_1_h500_lp_k6_forward_layout\stage12_1_k6_forward_layout_plan.csv
451,0,H500DIMER2C_029_B240_x_pair_noswap_G60_O-20,H500DIMER2C_029_B240_x_pair_noswap_G60_O-20_WL451NM,ok,346.272761,13.727239,0.982771,0.000313,3143.358004,0.018045,,D:\project\blue_apcd_microled_metasurface\reports\stage11_3b1_lp_h500_frozen_sixbin_449_451_results.csv
449,120,H500DIMER2H_003_B120_y_pair_noswap_G22_O-30,H500DIMER2H_003_B120_y_pair_noswap_G22_O-30_3B2_WL449NM,ok,140.006844,20.006844,0.969970,0.048113,20.160105,0.222716,true,D:\project\blue_apcd_microled_metasurface\reports\stage11_3b2_lp_h500_spectral_rescue_candidates.csv
450,120,H500DIMER2H_003_B120_y_pair_noswap_G22_O-30,H500DIMER2H_003_B120_y_pair_noswap_G22_O-30_3B2_WL450NM,ok,142.959239,22.959239,0.969356,0.037165,26.082261,0.196770,true,D:\project\blue_apcd_microled_metasurface\reports\stage11_3b2_lp_h500_spectral_rescue_candidates.csv
451,120,H500DIMER2H_003_B120_y_pair_noswap_G22_O-30,H500DIMER2H_003_B120_y_pair_noswap_G22_O-30_3B2_WL451NM,ok,135.018127,15.018127,0.906126,0.028353,31.958224,0.184820,true,D:\project\blue_apcd_microled_metasurface\reports\stage11_3b2_lp_h500_spectral_rescue_candidates.csv
