tuple_id,mode,offset_deg,slot_0_candidate_id,slot_60_candidate_id,slot_120_candidate_id,slot_180_candidate_id,slot_240_candidate_id,slot_300_candidate_id,min_worst_ratio,min_worst_Tx,max_worst_matrix_error,max_candidate_phase_span_deg,max_relative_phase_error_deg,rms_relative_phase_error_deg,worst_wavelength_nm,tuple_pass_flag,failed_gates,recommendation
offset_038,global_offset_relabel,38.000000,H500DIMER2C_004_B120_x_pair_swap_G60_O-20,H500DIMER2H_003_B120_y_pair_noswap_G22_O-30,H500DIMER2H_001_B120_y_pair_noswap_G20_O-30,H500DIMER12A_004_B240_x_pair_swap_G90_O-30,H500DIMER2D_006_B240_x_pair_swap_G80_O-30,H500DIMER12D_001_B300_x_pair_swap_G70_O-30,3.523155,0.433866,0.532763,138.750059,85.736201,35.219461,450,false,ratio;Tx;matrix_error;relative_phase;rms_phase;candidate_gate,expand_240_300_or_global_search
offset_098,global_offset_relabel,98.000000,H500DIMER2H_003_B120_y_pair_noswap_G22_O-30,H500DIMER2H_001_B120_y_pair_noswap_G20_O-30,H500DIMER12A_004_B240_x_pair_swap_G90_O-30,H500DIMER2D_006_B240_x_pair_swap_G80_O-30,H500DIMER12D_001_B300_x_pair_swap_G70_O-30,H500DIMER2C_004_B120_x_pair_swap_G60_O-20,3.523155,0.433866,0.532763,138.750059,85.736201,35.219461,450,false,ratio;Tx;matrix_error;relative_phase;rms_phase;candidate_gate,expand_240_300_or_global_search
offset_158,global_offset_relabel,158.000000,H500DIMER2H_001_B120_y_pair_noswap_G20_O-30,H500DIMER12A_004_B240_x_pair_swap_G90_O-30,H500DIMER2D_006_B240_x_pair_swap_G80_O-30,H500DIMER12D_001_B300_x_pair_swap_G70_O-30,H500DIMER2C_004_B120_x_pair_swap_G60_O-20,H500DIMER2H_003_B120_y_pair_noswap_G22_O-30,3.523155,0.433866,0.532763,138.750059,85.736201,35.219461,450,false,ratio;Tx;matrix_error;relative_phase;rms_phase;candidate_gate,expand_240_300_or_global_search
offset_218,global_offset_relabel,218.000000,H500DIMER12A_004_B240_x_pair_swap_G90_O-30,H500DIMER2D_006_B240_x_pair_swap_G80_O-30,H500DIMER12D_001_B300_x_pair_swap_G70_O-30,H500DIMER2C_004_B120_x_pair_swap_G60_O-20,H500DIMER2H_003_B120_y_pair_noswap_G22_O-30,H500DIMER2H_001_B120_y_pair_noswap_G20_O-30,3.523155,0.433866,0.532763,138.750059,85.736201,35.219461,450,false,ratio;Tx;matrix_error;relative_phase;rms_phase;candidate_gate,expand_240_300_or_global_search
offset_278,global_offset_relabel,278.000000,H500DIMER2D_006_B240_x_pair_swap_G80_O-30,H500DIMER12D_001_B300_x_pair_swap_G70_O-30,H500DIMER2C_004_B120_x_pair_swap_G60_O-20,H500DIMER2H_003_B120_y_pair_noswap_G22_O-30,H500DIMER2H_001_B120_y_pair_noswap_G20_O-30,H500DIMER12A_004_B240_x_pair_swap_G90_O-30,3.523155,0.433866,0.532763,138.750059,85.736201,35.219461,450,false,ratio;Tx;matrix_error;relative_phase;rms_phase;candidate_gate,expand_240_300_or_global_search
offset_338,global_offset_relabel,338.000000,H500DIMER12D_001_B300_x_pair_swap_G70_O-30,H500DIMER2C_004_B120_x_pair_swap_G60_O-20,H500DIMER2H_003_B120_y_pair_noswap_G22_O-30,H500DIMER2H_001_B120_y_pair_noswap_G20_O-30,H500DIMER12A_004_B240_x_pair_swap_G90_O-30,H500DIMER2D_006_B240_x_pair_swap_G80_O-30,3.523155,0.433866,0.532763,138.750059,85.736201,35.219461,450,false,ratio;Tx;matrix_error;relative_phase;rms_phase;candidate_gate,expand_240_300_or_global_search
offset_073,global_offset_relabel,73.000000,H500DIMER2C_004_B120_x_pair_swap_G60_O-20,H500DIMER2H_003_B120_y_pair_noswap_G22_O-30,H500DIMER12A_004_B240_x_pair_swap_G90_O-30,H500DIMER12A_005_B240_x_pair_swap_G90_O-26,H500DIMER12D_001_B300_x_pair_swap_G70_O-30,H500DIMER2D_006_B240_x_pair_swap_G80_O-30,3.523155,0.391807,0.532763,138.750059,88.013858,41.558400,449,false,ratio;Tx;matrix_error;relative_phase;rms_phase;candidate_gate,expand_240_300_or_global_search
offset_075,global_offset_relabel,75.000000,H500DIMER2C_004_B120_x_pair_swap_G60_O-20,H500DIMER2H_003_B120_y_pair_noswap_G22_O-30,H500DIMER12A_004_B240_x_pair_swap_G90_O-30,H500DIMER12A_005_B240_x_pair_swap_G90_O-26,H500DIMER12D_001_B300_x_pair_swap_G70_O-30,H500DIMER2D_006_B240_x_pair_swap_G80_O-30,3.523155,0.391807,0.532763,138.750059,90.013858,42.352912,449,false,ratio;Tx;matrix_error;relative_phase;rms_phase;candidate_gate,expand_240_300_or_global_search
offset_033,global_offset_relabel,33.000000,H500DIMER2C_004_B120_x_pair_swap_G60_O-20,H500DIMER2H_003_B120_y_pair_noswap_G22_O-30,H500DIMER2H_001_B120_y_pair_noswap_G20_O-30,H500DIMER12A_004_B240_x_pair_swap_G90_O-30,H500DIMER2D_006_B240_x_pair_swap_G80_O-30,H500DIMER12D_001_B300_x_pair_swap_G70_O-30,3.523155,0.433866,0.532763,138.750059,90.736201,36.401208,450,false,ratio;Tx;matrix_error;relative_phase;rms_phase;candidate_gate,expand_240_300_or_global_search
offset_093,global_offset_relabel,93.000000,H500DIMER2H_003_B120_y_pair_noswap_G22_O-30,H500DIMER2H_001_B120_y_pair_noswap_G20_O-30,H500DIMER12A_004_B240_x_pair_swap_G90_O-30,H500DIMER2D_006_B240_x_pair_swap_G80_O-30,H500DIMER12D_001_B300_x_pair_swap_G70_O-30,H500DIMER2C_004_B120_x_pair_swap_G60_O-20,3.523155,0.433866,0.532763,138.750059,90.736201,36.401208,450,false,ratio;Tx;matrix_error;relative_phase;rms_phase;candidate_gate,expand_240_300_or_global_search
