run_reason,target_bin_deg,candidate_id,dimer_case_id,wavelength_nm,source_stage_or_source_file
expanded_240_300,300,H500DIMER12D_004_B300_x_pair_swap_G80_O-40,H500DIMER12D_004_B300_x_pair_swap_G80_O-40_3B4_WL449NM,449,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10d_h500_lp_300bin_single_dimer_refinement\stage12_10d_300bin_candidate_plan.csv
expanded_240_300,300,H500DIMER12D_004_B300_x_pair_swap_G80_O-40,H500DIMER12D_004_B300_x_pair_swap_G80_O-40_3B4_WL450NM,450,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10d_h500_lp_300bin_single_dimer_refinement\stage12_10d_300bin_candidate_plan.csv
expanded_240_300,300,H500DIMER12D_004_B300_x_pair_swap_G80_O-40,H500DIMER12D_004_B300_x_pair_swap_G80_O-40_3B4_WL451NM,451,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10d_h500_lp_300bin_single_dimer_refinement\stage12_10d_300bin_candidate_plan.csv
expanded_240_300,300,H500DIMER12D_005_B300_x_pair_swap_G80_O-20,H500DIMER12D_005_B300_x_pair_swap_G80_O-20_3B4_WL449NM,449,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10d_h500_lp_300bin_single_dimer_refinement\stage12_10d_300bin_candidate_plan.csv
expanded_240_300,300,H500DIMER12D_005_B300_x_pair_swap_G80_O-20,H500DIMER12D_005_B300_x_pair_swap_G80_O-20_3B4_WL450NM,450,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10d_h500_lp_300bin_single_dimer_refinement\stage12_10d_300bin_candidate_plan.csv
expanded_240_300,300,H500DIMER12D_005_B300_x_pair_swap_G80_O-20,H500DIMER12D_005_B300_x_pair_swap_G80_O-20_3B4_WL451NM,451,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10d_h500_lp_300bin_single_dimer_refinement\stage12_10d_300bin_candidate_plan.csv
expanded_240_300,300,H500DIMER12D_006_B300_x_pair_noswap_G80_O-30,H500DIMER12D_006_B300_x_pair_noswap_G80_O-30_3B4_WL449NM,449,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10d_h500_lp_300bin_single_dimer_refinement\stage12_10d_300bin_candidate_plan.csv
expanded_240_300,300,H500DIMER12D_006_B300_x_pair_noswap_G80_O-30,H500DIMER12D_006_B300_x_pair_noswap_G80_O-30_3B4_WL450NM,450,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10d_h500_lp_300bin_single_dimer_refinement\stage12_10d_300bin_candidate_plan.csv
expanded_240_300,300,H500DIMER12D_006_B300_x_pair_noswap_G80_O-30,H500DIMER12D_006_B300_x_pair_noswap_G80_O-30_3B4_WL451NM,451,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10d_h500_lp_300bin_single_dimer_refinement\stage12_10d_300bin_candidate_plan.csv
expanded_240_300,300,H500DIMER12D_008_B300_y_pair_swap_G80_O-30,H500DIMER12D_008_B300_y_pair_swap_G80_O-30_3B4_WL449NM,449,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10d_h500_lp_300bin_single_dimer_refinement\stage12_10d_300bin_candidate_plan.csv
expanded_240_300,300,H500DIMER12D_008_B300_y_pair_swap_G80_O-30,H500DIMER12D_008_B300_y_pair_swap_G80_O-30_3B4_WL450NM,450,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10d_h500_lp_300bin_single_dimer_refinement\stage12_10d_300bin_candidate_plan.csv
expanded_240_300,300,H500DIMER12D_008_B300_y_pair_swap_G80_O-30,H500DIMER12D_008_B300_y_pair_swap_G80_O-30_3B4_WL451NM,451,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10d_h500_lp_300bin_single_dimer_refinement\stage12_10d_300bin_candidate_plan.csv
expanded_240_300,300,H500DIMER12D_009_B300_y_pair_noswap_G80_O-30,H500DIMER12D_009_B300_y_pair_noswap_G80_O-30_3B4_WL449NM,449,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10d_h500_lp_300bin_single_dimer_refinement\stage12_10d_300bin_candidate_plan.csv
expanded_240_300,300,H500DIMER12D_009_B300_y_pair_noswap_G80_O-30,H500DIMER12D_009_B300_y_pair_noswap_G80_O-30_3B4_WL450NM,450,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10d_h500_lp_300bin_single_dimer_refinement\stage12_10d_300bin_candidate_plan.csv
expanded_240_300,300,H500DIMER12D_009_B300_y_pair_noswap_G80_O-30,H500DIMER12D_009_B300_y_pair_noswap_G80_O-30_3B4_WL451NM,451,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10d_h500_lp_300bin_single_dimer_refinement\stage12_10d_300bin_candidate_plan.csv
