source_file,match_count
D:\project\blue_apcd_microled_metasurface\outputs\blue10k6_lp_apcd_stage11_2d_h500_dimer_final_gap\h500_6bin_best_dimer_geometry_lookup.csv,110
D:\project\blue_apcd_microled_metasurface\outputs\blue10k6_lp_apcd_stage11_2e_h500_dimer_240_fine_pull\h500_dimer_240_fine_pull_plan_stage11_2e.csv,108
D:\project\blue_apcd_microled_metasurface\outputs\stage12_9_h500_lp_k6_xgrad_leakage_cancellation\stage12_9_candidate_variant_plan.csv,102
D:\project\worktrees\blue_apcd_lp_stage11_4\reports\stage11_3b4_lp_h500_planned_cases.csv,99
D:\project\blue_apcd_microled_metasurface\outputs\blue10k6_lp_apcd_stage11_2c_h500_dimer_alt_pairs\h500_dimer_alt_patch_fdtd_results_stage11_2c.csv,99
D:\project\blue_apcd_microled_metasurface\outputs\blue10k6_lp_apcd_stage11_2c_h500_dimer_alt_pairs\h500_dimer_alt_patch_plan_stage11_2c.csv,99
D:\project\blue_apcd_microled_metasurface\outputs\blue10k6_lp_apcd_stage11_2d_h500_dimer_final_gap\h500_dimer_final_gap_fdtd_results_stage11_2d.csv,99
D:\project\blue_apcd_microled_metasurface\outputs\blue10k6_lp_apcd_stage11_2d_h500_dimer_final_gap\h500_dimer_final_gap_patch_plan_stage11_2d.csv,99
D:\project\blue_apcd_microled_metasurface\reports\stage11_3b4_lp_h500_planned_cases.csv,99
D:\project\blue_apcd_microled_metasurface_wt_stage11_4a0\reports\stage11_3b4_lp_h500_planned_cases.csv,99
D:\project\worktrees\blue_apcd_lp_stage11_4\reports\stage11_4a1_lp_hnew_results.csv,87
D:\project\blue_apcd_microled_metasurface\reports\stage11_4a1_lp_hnew_results.csv,87
D:\project\blue_apcd_microled_metasurface\outputs\stage12_11a_h500_lp_k6_phase_origin_search\stage12_11a_top_phase_origin_tuples.csv,85
D:\project\blue_apcd_microled_metasurface\outputs\stage12_8_h500_lp_k6_xgrad_selectivity_refinement\stage12_8_candidate_variant_plan.csv,78
D:\project\blue_apcd_microled_metasurface\outputs\stage11_2i_h500_lp_actual_dimer_6bin_freeze\all_strict_candidates_by_bin.csv,67
D:\project\blue_apcd_microled_metasurface\outputs\stage11_2g_h500_120_selectivity_readonly\all_near_120_candidates.csv,60
D:\project\blue_apcd_microled_metasurface\outputs\stage12_10a_h500_lp_240bin_single_dimer_refinement\stage12_10a_existing_240bin_candidate_audit.csv,59
D:\project\blue_apcd_microled_metasurface\outputs\stage12_10b_h500_lp_240bin_broad_family_scout\stage12_10a_existing_240bin_candidate_audit.csv,59
D:\project\worktrees\blue_apcd_lp_stage11_4\reports\stage11_3b2_lp_h500_spectral_rescue_candidates.csv,54
