rank,diameters_nm,phase_fit_RMS_band_max,maximum_phase_error_over_band,maximum_step_drift_peak_to_peak,amplitude_CV_band_max,minimum_T_over_band,all_legacy_engineering_gates_pass
23,"130,135,155,175,195,230",10.846105575561523,19.439510345458984,22.614486694335938,0.04843591898679733,0.740563690662384,False
24,"110,130,135,155,175,195",10.87156867980957,19.656349182128906,19.69135093688965,0.04856186732649803,0.740563690662384,False
25,"130,145,155,185,195,230",11.01858139038086,15.798666000366211,22.614486694335938,0.0349932424724102,0.8141019940376282,False
26,"105,125,135,150,175,190",11.078702926635742,18.227262496948242,23.090913772583008,0.04991568624973297,0.740563690662384,False
27,"130,145,155,175,195,230",11.140789985656738,15.536304473876953,22.614486694335938,0.03405113145709038,0.8141019940376282,False
28,"115,130,145,155,175,195",11.154766082763672,16.651113510131836,17.554298400878906,0.014795146882534027,0.909990131855011,False
29,"115,125,135,150,175,190",11.1771240234375,22.34056282043457,23.090913772583008,0.04952215775847435,0.740563690662384,False
30,"125,135,155,175,190,210",11.215295791625977,18.930049896240234,23.423418045043945,0.06703381985425949,0.7140700817108154,False
31,"125,135,150,175,195,230",11.271327018737793,20.64657974243164,26.52430534362793,0.05007462203502655,0.740563690662384,False
32,"125,135,155,175,190,225",11.287981033325195,18.9818172454834,30.939939498901367,0.06677677482366562,0.6641677618026733,False
33,"110,130,135,150,175,195",11.352436065673828,23.240522384643555,19.69135093688965,0.04948355630040169,0.740563690662384,False
34,"105,115,130,145,155,185",11.373749732971191,22.52752113342285,15.735498428344727,0.006668861955404282,0.9550254940986633,False
35,"125,135,150,160,190,225",11.392621040344238,18.601543426513672,46.29981994628906,0.18720780313014984,0.27601373195648193,False
36,"125,135,150,160,190,210",11.4198579788208,19.80253028869629,46.29981994628906,0.1886923611164093,0.27601373195648193,False
37,"105,120,130,145,155,185",11.508383750915527,19.396934509277344,15.735498428344727,0.006778343115001917,0.9550254940986633,False
38,"105,125,135,150,175,195",11.686775207519531,21.770870208740234,23.090913772583008,0.04982614889740944,0.740563690662384,False
39,"100,115,130,145,155,190",11.763056755065918,22.0704402923584,18.264352798461914,0.006593901198357344,0.9550254940986633,False
40,"120,130,145,170,185,210",11.781296730041504,23.255420684814453,40.431671142578125,0.15771254897117615,0.3582616448402405,False
41,"125,135,150,175,185,210",11.874676704406738,23.10611343383789,23.423418045043945,0.06938327103853226,0.7140700817108154,False
