case,diameter_nm,wavelength_nm,T_total,R_total,residual
D130,130,445.99999999999994,0.9603151818021003,0.040418719372640494,-0.0007339011747407864
D130,130,446.99999999999994,0.9603575096008897,0.03946430312938232,0.0001781872697279585
D130,130,448.00000000000006,0.961505248843568,0.03775666276034549,0.0007380883960864809
D130,130,449.0,0.9631451222186025,0.0374002818302383,-0.0005454040488407919
D130,130,450.0,0.9622934145529639,0.03596697356094512,0.0017396118860909665
D130,130,450.9999999999999,0.9649632706965108,0.03584994174974394,-0.0008132124462547144
D130,130,451.99999999999994,0.9630684444530452,0.03465697532311849,0.0022745802238363297
D130,130,453.00000000000006,0.9661449866522597,0.03457501936274056,-0.0007200060150002324
D130,130,453.9999999999999,0.9639558472057442,0.03358144863051766,0.0024627041637381095
D130,130,455.00000000000006,0.9669854708708395,0.03343061893151122,-0.00041608980235074283
D145,145,445.0,0.9940490205894709,0.0043304332393090976,0.001620546171220036
D145,145,445.99999999999994,0.9950311813683708,0.0037083248196859452,0.0012604938119432896
D145,145,446.99999999999994,0.9961462264672777,0.0031402191525189594,0.0007135543802033561
D145,145,448.00000000000006,0.9972499384731731,0.002604316986381288,0.00014574454044559773
D145,145,449.0,0.9981695650785417,0.002086982116057378,-0.0002565471945990875
D145,145,450.0,0.9987689284875144,0.0015923843083720409,-0.00036131279588645887
D145,145,450.9999999999999,0.9990080513266564,0.0011451477811432625,-0.00015319910779963914
D145,145,451.99999999999994,0.9989630803237467,0.0007833776644394982,0.00025354201181380237
D145,145,453.00000000000006,0.9987833448384408,0.0005475803549433929,0.0006690748066158285
D145,145,453.9999999999999,0.998592399204985,0.00047998263231833056,0.0009276181626966765
D145,145,455.00000000000006,0.9983737444930297,0.000651736624615003,0.0009745188823552614
D155,155,445.0,0.9499203597382859,0.04558615902804492,0.004493481233669154
D155,155,445.99999999999994,0.9636518537508025,0.03677192465716736,-0.00042377840796989363
D155,155,446.99999999999994,0.9681337788044755,0.030151915330454117,0.0017143058650703966
D155,155,448.00000000000006,0.9713764593831308,0.02495156850344625,0.003671972113422975
D155,155,449.0,0.9774347251396973,0.022151663571958885,0.00041361128834380145
D155,155,450.0,0.9797773217003987,0.019692026801416632,0.0005306514981847053
D155,155,450.9999999999999,0.9800601945972598,0.01733113120869672,0.002608674194043488
D155,155,451.99999999999994,0.9832476856708693,0.01611648534430177,0.0006358289848289421
D155,155,453.00000000000006,0.9851720953347619,0.014864987252287874,-3.7082587049784566e-05
D155,155,453.9999999999999,0.9847927002463533,0.013514045396968412,0.0016932543566782407
D155,155,455.00000000000006,0.9866014702554994,0.012881917355392838,0.0005166123891077821
D180,180,445.0,0.9906507248546584,0.009302387886896713,4.688725844484952e-05
D180,180,445.99999999999994,0.9916329770438431,0.007312997071906224,0.0010540258842506537
D180,180,446.99999999999994,0.9941054744512914,0.005687316508529899,0.00020720904017871872
D180,180,448.00000000000006,0.9954897699725904,0.004283497033902655,0.00022673299350692375
D180,180,449.0,0.9955948244165443,0.0033186446937345793,0.0010865308897210768
D180,180,450.0,0.9975183314455143,0.002618526442919138,-0.00013685788843341038
D180,180,450.9999999999999,0.9971298855380326,0.0021729124894855644,0.0006972019724818235
D180,180,451.99999999999994,0.997054887238882,0.002141829689784763,0.0008032830713332107
D180,180,453.00000000000006,0.9978859018990762,0.0023914235210739303,-0.0002773254201501522
D180,180,453.9999999999999,0.9958320584480592,0.0029612888450551616,0.0012066527068856176
D180,180,455.00000000000006,0.9958993868201673,0.0040900492878129975,1.056389201968197e-05
D230,230,445.0,0.8307695015813638,0.16516972263352853,0.0040607757851077175
D230,230,445.99999999999994,0.8511437816908131,0.14490606016805987,0.003950158141127064
D230,230,446.99999999999994,0.8656144873024305,0.13104631361308305,0.0033391990844864328
D230,230,448.00000000000006,0.8747973852003537,0.12242549319205542,0.0027771216075909155
D230,230,449.0,0.8790745610214156,0.11877981344393253,0.0021456255346519043
D230,230,450.0,0.8796897381514579,0.11911857988616589,0.0011916819623762065
D230,230,450.9999999999999,0.8762421896054357,0.12300553060850998,0.000752279786054369
D230,230,451.99999999999994,0.8704187486905852,0.1300570243576795,-0.00047577304826471045
D230,230,453.00000000000006,0.8611189031575387,0.1396188143671847,-0.0007377175247234025
D230,230,453.9999999999999,0.8499412891057769,0.15197957277411883,-0.0019208618798957633
D230,230,455.00000000000006,0.8358053030320982,0.16652179441021153,-0.0023270974423097446
