diameter_nm,wavelength_nm,legacy_T,corrected_T,abs_delta_T,legacy_magnitude,corrected_magnitude,scaled_relative_residual
230,447,0.8581012784172664,0.8656144873024305,0.007513208885164158,0.919006588933139,0.9407501458314427,0.004026599717617421
100,448,0.9893796881371504,0.9927947598798894,0.0034150717427390287,0.986902140581494,1.0075027104662675,2.687746959780743e-05
130,448,0.96564385373437,0.961505248843568,0.004138604890801978,0.9749925257497188,0.9914972899037077,0.00383842561000956
145,448,0.9964128635536249,0.9972499384731731,0.0008370749195482086,0.9904042916566851,1.009761151859289,0.0012755432450509707
155,448,0.9696298580268501,0.9713764593831308,0.001746601356280686,0.977002993445569,0.9965720944225913,0.0008001318291488861
180,448,0.9958941008370745,0.9954897699725904,0.0004043308644841037,0.9901480097421382,1.0088684683145002,0.0019001965103810255
230,448,0.8565259587525258,0.8747973852003537,0.018271426447827865,0.9182560235288617,0.9457370099216028,0.008895393853142022
100,449,0.989800019454802,0.9930255478342448,0.003225528379442788,0.9872084272161863,1.0076316727677241,0.0008168094974172993
130,449,0.969037313382617,0.9631451222186025,0.005892191164014515,0.9768000255981556,0.9923594282231976,0.005475466716220521
145,449,0.9974828092843406,0.9981695650785417,0.0006867557942010771,0.9910330568593381,1.0102388556530697,0.0020975468178209516
155,449,0.9724899640662762,0.9774347251396973,0.004944761073421122,0.9785382323577235,0.9996930982109811,9.45445457867949e-05
180,449,0.9949781605718454,0.9955948244165443,0.0006166638446989392,0.9897876858598205,1.0089354079228585,0.002131116495596102
230,449,0.854194544465147,0.8790745610214156,0.02488001655626859,0.9170944994124555,0.9480577663640949,0.011982202365803768
100,450,0.9902269373304001,0.9933613800265981,0.003134442696198003,0.987526333538405,1.0078117983957495,0.0016217971527760899
130,450,0.9662023098745235,0.9622934145529639,0.00390889532155958,0.975474426227965,0.991922861471851,0.005221593497809786
145,450,0.9983212826075268,0.9987689284875144,0.0004476458799875793,0.9915553502221597,1.010551175810032,0.0029758285973167033
155,450,0.9748661374200183,0.9797773217003987,0.0049111842803803984,0.9798371222441136,1.000899492969684,0.0006884249899517305
180,450,0.9944391366842791,0.9975183314455143,0.0030791947612351933,0.9896224570167772,1.0099185608739167,0.00165384460194099
230,450,0.8500240422202571,0.8796897381514579,0.02966569593120083,0.9149508531481841,0.9483970079901285,0.014043875856598964
100,451,0.9905524787972192,0.9936831989247754,0.003130720127556219,0.9877841827808337,1.0079809353315805,0.0016341566431819512
130,451,0.9687679309128099,0.9649632706965108,0.003804660216299105,0.9768618157913903,0.9933111812649715,0.005163630339530583
145,451,0.9988799939814142,0.9990080513266564,0.00012805734524212742,0.9919288622706479,1.0106777370302016,0.003145816269711282
155,451,0.9769008211808079,0.9800601945972598,0.003159373416451894,0.9809538868751755,1.0010434127600238,0.0016018131960152191
180,451,0.9932598655244039,0.9971298855380326,0.0038700200136286833,0.9891345615504884,1.0097261276213398,0.001270952937670337
230,451,0.8452587232404071,0.8762421896054357,0.030983466365028578,0.9124705094090206,0.9465437550930814,0.014895486667031334
100,452,0.9909213439117872,0.9938662158614394,0.0029448719496522058,0.9880700430133551,1.0080800755228865,0.002064759455463483
130,452,0.9665525209294753,0.9630684444530452,0.00348407647643012,0.975846758571103,0.9923340119340913,0.005347648893918629
145,452,0.9991136989680334,0.9989630803237467,0.00015061864428667082,0.9921468993870807,1.0106620039063519,0.003619958457662022
155,452,0.9786852425918489,0.9832476856708693,0.0045624430790204284,0.9819503749663002,1.0026819538194673,0.0012225722038131605
180,452,0.9909919644119238,0.997054887238882,0.006062922826958195,0.9881064899051215,1.0096972501494599,0.0005007277808448988
230,452,0.8390193132108172,0.8704187486905852,0.03139943547976798,0.9091903160273955,0.9433973686123104,0.014927265419444362
100,453,0.9913050999233052,0.9940206444265184,0.0027155445032132075,0.9883628089762966,1.0081689795826692,0.002381094498901768
130,453,0.9681211998684565,0.9661449866522597,0.001976213216196787,0.976735909067792,0.9939371461852647,0.0047561505329314245
145,453,0.9989665394721851,0.9987833448384408,0.0001831946337442769,0.9921753929098421,1.0105819922568984,0.003836009798764831
155,453,0.9802789470766804,0.9851720953347619,0.0048931482580815144,0.9828505085452558,1.003675406622259,0.0012574537275275737
180,453,0.9889827334985107,0.9978859018990762,0.008903168400565487,0.9872023521208266,1.0101272977736233,0.0007317101305466179
230,453,0.8319168534655269,0.8611189031575387,0.02920204969201179,0.9054269044600276,0.9383569437791429,0.013590221439441797
100,454,0.9915876057822246,0.9942667533875055,0.002679147605280874,0.9885988402782137,1.0083058801448745,0.0019873740640539623
130,454,0.9667505332223933,0.9639558472057442,0.002794686016649117,0.9761415052718354,0.9928131793719068,0.0047811645880978405
145,454,0.998334397532208,0.998592399204985,0.00025800167277700847,0.9919564912022559,1.0104968377537444,0.00320427337868159
155,454,0.9817223036702345,0.9847927002463533,0.00307039657611885,0.9836686810442345,1.0034868774667405,0.0017790372045055013
180,454,0.986494157898377,0.9958320584480592,0.009337900549682199,0.9860572372004206,1.0090989549672782,0.00137204658152194
230,454,0.8237846198230202,0.8499412891057769,0.026156669282756728,0.901077278417673,0.9322548306669416,0.012363401072984587
100,455,0.9918942972637813,0.9945050045057257,0.0026107072419443433,0.988855648750614,1.0084352243787589,0.0023523491972195286
130,455,0.9674130736655432,0.9669854708708395,0.00042760279470366314,0.976574770091255,0.9943883305062997,0.0038778553502322468
145,455,0.9969873104839055,0.9983737444930297,0.0013864340091241933,0.9913904363359821,1.0103944536703202,0.002969820252058397
155,455,0.9830451660093685,0.9866014702554994,0.003556304246130848,0.9844345815362168,1.0044205081700637,0.0018615490006459478
180,455,0.9823695935171802,0.9958993868201673,0.013529793302987092,0.9840981081714505,1.009142376942114,0.003173665532809278
230,455,0.8141019740863931,0.8358053030320982,0.021703328945705147,0.895860394993197,0.9244793435556579,0.009529351617560794
