evaluation_label,wavelength_nm,angle_deg,T_TE,T_TM,T_unpolarized,energy_residual,candidate_id,static_structure_id,topology
448nm,448.0,-16.0,0.12018735795306923,0.14365989116918304,0.13192362456112613,2.220446049250313e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,-15.0,0.1275010097076053,0.1484661118714721,0.13798356078953872,2.220446049250313e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,-14.0,0.13377423770854102,0.1522085524041022,0.1429913950563216,2.220446049250313e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,-13.0,0.1389007967573419,0.1548573547764533,0.1468790757668976,4.440892098500626e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,-12.0,0.14286510842878603,0.15645729589678845,0.14966120216278722,1.1102230246251565e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,-11.0,0.1457324295702221,0.15711651145222316,0.15142447051122263,4.440892098500626e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,-10.0,0.14762875512076828,0.15698816878594984,0.15230846195335906,2.220446049250313e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,-9.0,0.14871672821109588,0.15624977302486615,0.15248325061798101,0.0,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,-8.0,0.14917303836164,0.1550842110409251,0.15212862470128255,0.0,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,-7.0,0.14917065200971913,0.15366508315107305,0.1514178675803961,1.1102230246251565e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,-6.0,0.14886696931517773,0.15214716792861466,0.1505070686218962,2.220446049250313e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,-5.0,0.14839739012979974,0.15066157951029355,0.14952948482004663,4.440892098500626e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,-4.0,0.14787297693880258,0.14931449511666595,0.14859373602773426,2.220446049250313e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,-3.0,0.14738074432578654,0.14818816158570564,0.1477844529557461,4.440892098500626e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,-2.0,0.14698530292588594,0.14734303406775556,0.14716416849682074,2.220446049250313e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,-1.0,0.14673091086986317,0.14682017254215984,0.1467755417060115,2.220446049250313e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,0.0,0.14664330182691643,0.14664330182691632,0.14664330182691637,2.220446049250313e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,1.0,0.14673091086986317,0.14682017254215984,0.1467755417060115,2.220446049250313e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
