trace,source_x_um,angle_deg,intensity_proxy
case,-0.7,-47.04305072780886,9.846614077361944e-07
case,-0.7,-46.958995474962926,1.013572575275017e-06
case,-0.7,-46.875072062153805,1.0335532082520474e-06
case,-0.7,-46.791279691737856,1.0442776343800049e-06
case,-0.7,-46.70761757339803,1.0456098644275392e-06
case,-0.7,-46.624084924049136,1.0376015326480533e-06
case,-0.7,-46.540680967744755,1.02048705252092e-06
case,-0.7,-46.45740493558569,9.946761123954313e-07
case,-0.7,-46.37425606562987,9.607436687497184e-07
case,-0.7,-46.29123360280377,9.19417625051713e-07
case,-0.7,-46.20833679881527,8.715644113989797e-07
case,-0.7,-46.12556491206784,8.181727040204892e-07
case,-0.7,-46.04291720757627,7.603355441846477e-07
case,-0.7,-45.96039295688358,6.992311329478128e-07
case,-0.7,-45.87799143797939,6.36102591402222e-07
case,-0.7,-45.79571193521955,5.722369855793074e-07
case,-0.7,-45.71355373924702,5.089439209011852e-07
case,-0.7,-45.63151614691408,4.475340130462879e-07
case,-0.7,-45.54959846120565,3.892975403302335e-07
case,-0.7,-45.46779999116394,3.3548357725435287e-07
case,-0.7,-45.386120051814274,2.872798998254543e-07
case,-0.7,-45.3045579640919,2.457939407145093e-07
case,-0.7,-45.223113054770195,2.1203505644248302e-07
case,-0.7,-45.14178465638981,1.868983497327199e-07
case,-0.7,-45.06057210718896,1.711502681565973e-07
case,-0.7,-44.979474751034836,1.6541617545941267e-07
case,-0.7,-44.898491937355956,1.701700647546202e-07
case,-0.7,-44.81762302107569,1.8572655341513434e-07
case,-0.7,-44.73686736254672,2.1223526829826448e-07
case,-0.7,-44.656224327486456,2.4967769727138756e-07
case,-0.7,-44.575693286913555,2.978665492393475e-07
case,-0.7,-44.495273617085324,3.5644763041460714e-07
case,-0.7,-44.41496469943605,4.2490420983884497e-07
case,-0.7,-44.334765920516254,5.025638125956567e-07
case,-0.7,-44.25467667193294,5.886073451935824e-07
case,-0.7,-44.17469635029065,6.820804246961937e-07
case,-0.7,-44.094824357133405,7.81906751779147e-07
case,-0.7,-44.01506009888752,8.869033384429912e-07
case,-0.7,-43.93540298680525,9.957973740306646e-07
case,-0.7,-43.855852436909366,1.1072444888951476e-06
case,-0.7,-43.776407869938346,1.2198481539128474e-06
case,-0.7,-43.69706871129252,1.3321799363856035e-06
case,-0.7,-43.617834390981024,1.4428003190215193e-06
case,-0.7,-43.53870434356931,1.5502797788886798e-06
case,-0.7,-43.45967800812773,1.653219817700515e-06
case,-0.7,-43.38075482818059,1.7502736336642947e-06
case,-0.7,-43.30193425165608,1.8401661284905055e-06
case,-0.7,-43.22321573083688,1.9217129510414443e-06
case,-0.7,-43.144598722311514,1.9938382914448655e-06
case,-0.7,-43.066082686926286,2.0555911561970457e-06
case,-0.7,-42.987667089738075,2.106159875642812e-06
case,-0.7,-42.9093513999676,2.1448846199936253e-06
case,-0.7,-42.83113509095352,2.1712677284066433e-06
case,-0.7,-42.75301764010706,2.184981687213013e-06
case,-0.7,-42.674998528867306,2.1858746277082374e-06
case,-0.7,-42.59707724265723,2.173973250504196e-06
case,-0.7,-42.51925327084009,2.149483121748183e-06
case,-0.7,-42.44152610667673,2.112786325958089e-06
case,-0.7,-42.36389524728319,2.064436500195173e-06
case,-0.7,-42.286360193589125,2.0051513141683805e-06
case,-0.7,-42.208920450296645,1.9358025000009833e-06
case,-0.7,-42.13157552583987,1.8574035731586606e-06
case,-0.7,-42.05432493234481,1.7710954218202348e-06
case,-0.7,-41.97716818559011,1.6781299751761823e-06
case,-0.7,-41.90010480496797,1.5798521912118e-06
case,-0.7,-41.82313431344589,1.4776806309649887e-06
case,-0.7,-41.74625623752882,1.3730869085950523e-06
case,-0.7,-41.66947010722175,1.2675743244770892e-06
case,-0.7,-41.59277545599291,1.1626560016398053e-06
case,-0.7,-41.516171820737455,1.0598328539664863e-06
case,-0.7,-41.43965874174155,9.605717175388052e-07
case,-0.7,-41.36323576264706,8.662839742680631e-07
case,-0.7,-41.28690243041654,7.783049895650575e-07
case,-0.7,-41.21065829529886,6.978746733727069e-07
case,-0.7,-41.13450291079522,6.261194566355073e-07
case,-0.7,-41.058435833625545,5.640359534987578e-07
case,-0.7,-40.9824566236954,5.124765535855347e-07
case,-0.7,-40.90656484406337,4.7213715902570894e-07
case,-0.7,-40.830760060908744,4.435472480029161e-07
case,-0.7,-40.755041843499725,4.270624109854676e-07
case,-0.7,-40.67940976416201,4.228594680974623e-07
case,-0.7,-40.60386339824775,4.3093423687579604e-07
case,-0.7,-40.52840232410505,4.511019795724031e-07
case,-0.7,-40.45302612304761,4.830005188284783e-07
case,-0.7,-40.37773437932496,5.260959705920025e-07
case,-0.7,-40.30252668009314,5.796910041780695e-07
case,-0.7,-40.22740261538536,6.429355019634851e-07
case,-0.7,-40.15236177808361,7.148394559079384e-07
case,-0.7,-40.07740376389007,7.942879054061668e-07
case,-0.7,-40.00252817129928,8.800576913525832e-07
case,-0.7,-39.92773460157049,9.70835775141197e-07
case,-0.7,-39.85302265870036,1.0652388489710778e-06
case,-0.7,-39.778391949396,1.1618339455623566e-06
case,-0.7,-39.70384208304849,1.2591597414289774e-06
case,-0.7,-39.62937267170645,1.3557482383594076e-06
case,-0.7,-39.55498333005027,1.4501465028201598e-06
case,-0.7,-39.48067367536635,1.5409381426542267e-06
case,-0.7,-39.40644332752186,1.6267642046729168e-06
case,-0.7,-39.3322919089398,1.7063431854548835e-06
case,-0.7,-39.25821904457424,1.7784898607355211e-06
case,-0.7,-39.18422436188597,1.8421326560081912e-06
case,-0.7,-39.11030749081844,1.8963293021317244e-06
case,-0.7,-39.03646806377397,1.9402805445672427e-06
case,-0.7,-38.96270571559022,1.973341703029523e-06
case,-0.7,-38.889020083517025,1.9950319094719413e-06
case,-0.7,-38.815410807193416,2.005040886030783e-06
case,-0.7,-38.74187752862501,2.003233160400731e-06
case,-0.7,-38.66841989216162,1.989649653634695e-06
case,-0.7,-38.59503754447513,1.964506614064485e-06
case,-0.7,-38.52173013453765,1.9281919104078765e-06
case,-0.7,-38.44849731359993,1.881258736624613e-06
case,-0.7,-38.37533873517005,1.824416820156063e-06
case,-0.7,-38.302254054992304,1.7585212632679901e-06
case,-0.7,-38.22924293102639,1.6845591837461727e-06
case,-0.7,-38.15630502342689,1.603634355607384e-06
case,-0.7,-38.08343999452283,1.5169500822311235e-06
case,-0.7,-38.010647508797625,1.425790562858392e-06
case,-0.7,-37.93792723286927,1.331501038239353e-06
case,-0.7,-37.8652788354706,1.2354670218781017e-06
case,-0.7,-37.79270198743,1.139092939404604e-06
case,-0.7,-37.720196361652135,1.0437805097455071e-06
case,-0.7,-37.647761633099066,9.509072076800529e-07
case,-0.7,-37.57539747877144,8.618051478462074e-07
case,-0.7,-37.50310357769009,7.77740725183662e-07
case,-0.7,-37.43087961087758,6.998953361364524e-07
case,-0.7,-37.35872526134026,6.293474887597847e-07
case,-0.7,-37.28664021405025,5.670565883577093e-07
case,-0.7,-37.21462415592782,5.13848658698737e-07
case,-0.7,-37.14267677582391,4.7040422759764126e-07
case,-0.7,-37.07079776450282,4.3724857019533705e-07
case,-0.7,-36.99898681462517,4.1474446419077645e-07
case,-0.7,-36.92724362073092,4.0308756924033735e-07
case,-0.7,-36.85556787922277,4.023044984763568e-07
case,-0.7,-36.783959288349536,4.122536044028299e-07
case,-0.7,-36.71241754818993,4.326284551434396e-07
case,-0.7,-36.640942360636316,4.62963931013014e-07
case,-0.7,-36.569533429378794,5.026448265352304e-07
case,-0.7,-36.49819045988941,5.50916800203204e-07
case,-0.7,-36.426913159406524,6.06899474311503e-07
case,-0.7,-36.35570123691935,6.696014508639881e-07
case,-0.7,-36.28455440315275,7.379369775987243e-07
case,-0.7,-36.21347237055206,8.107439711998467e-07
case,-0.7,-36.142454853268184,8.868030833154623e-07
