geometry_id,wavelength_nm,polarization,lf_T_proxy,lf_eta_m-3,lf_eta_m-2,lf_eta_m-1,lf_eta_m+0,lf_eta_m+1,lf_eta_m+2,lf_eta_m+3,lf_source,lf_scope
K6X_D110_D190_D210_D215_D220_D225,454,s,0.7118481993675232,0.04322369769215584,0.04495746269822121,0.05380478501319885,0.6012627482414246,0.05678064003586769,0.15674692392349243,0.04322369769215584,FORMAL_M7A_LF_BASELINE,FULL_TRACKED_ORDER_VECTOR
K6X_D110_D190_D210_D215_D220_D225,455,s,0.7269562482833862,0.06485240906476974,0.02266782335937023,0.05544361099600792,0.6010519862174988,0.07046069204807281,0.12067098915576935,0.06485240906476974,FORMAL_M7A_LF_BASELINE,FULL_TRACKED_ORDER_VECTOR
K6X_D150_D205_D215_D220_D225_D230,445,p,0.4061133861541748,0.20437568426132202,0.03314797952771187,0.0127544105052948,0.1771470159292221,0.2162119746208191,0.15198729932308197,0.20437568426132202,FORMAL_M7A_LF_BASELINE,FULL_TRACKED_ORDER_VECTOR
K6X_D150_D205_D215_D220_D225_D230,446,p,0.3829888701438904,0.19950979948043823,0.020237086340785027,0.024612970650196075,0.18852125108242035,0.16985465586185455,0.19775435328483582,0.19950979948043823,FORMAL_M7A_LF_BASELINE,FULL_TRACKED_ORDER_VECTOR
K6X_D150_D205_D215_D220_D225_D230,447,p,0.3849417269229889,0.1806638538837433,0.01581615023314953,0.034168850630521774,0.2108164280653,0.13995644450187683,0.23791439831256866,0.1806638538837433,FORMAL_M7A_LF_BASELINE,FULL_TRACKED_ORDER_VECTOR
K6X_D150_D205_D215_D220_D225_D230,448,p,0.39916932582855225,0.1553378850221634,0.020713048055768013,0.03920688107609749,0.2343214452266693,0.12564098834991455,0.2694418132305145,0.1553378850221634,FORMAL_M7A_LF_BASELINE,FULL_TRACKED_ORDER_VECTOR
K6X_D150_D205_D215_D220_D225_D230,449,p,0.4056723713874817,0.13278259336948395,0.031296584755182266,0.03866992145776749,0.2491973340511322,0.117805115878582,0.29746589064598083,0.13278259336948395,FORMAL_M7A_LF_BASELINE,FULL_TRACKED_ORDER_VECTOR
K6X_D150_D205_D215_D220_D225_D230,450,p,0.40019410848617554,0.11014112085103989,0.04716337099671364,0.034817662090063095,0.2549399733543396,0.11043646186590195,0.33236032724380493,0.11014112085103989,FORMAL_M7A_LF_BASELINE,FULL_TRACKED_ORDER_VECTOR
K6X_D150_D205_D215_D220_D225_D230,451,p,0.3767993450164795,0.08864852786064148,0.06690633296966553,0.02700020745396614,0.2501181662082672,0.09968096762895584,0.378997266292572,0.08864852786064148,FORMAL_M7A_LF_BASELINE,FULL_TRACKED_ORDER_VECTOR
K6X_D150_D205_D215_D220_D225_D230,452,p,0.3403058350086212,0.06386902183294296,0.08944771438837051,0.01826873980462551,0.23482923209667206,0.0872078537940979,0.44250839948654175,0.06386902183294296,FORMAL_M7A_LF_BASELINE,FULL_TRACKED_ORDER_VECTOR
K6X_D150_D205_D215_D220_D225_D230,453,p,0.3145653009414673,0.04181540384888649,0.10339418053627014,0.013985014520585537,0.21760180592536926,0.08297848701477051,0.4984097182750702,0.04181540384888649,FORMAL_M7A_LF_BASELINE,FULL_TRACKED_ORDER_VECTOR
K6X_D150_D205_D215_D220_D225_D230,454,p,0.33532729744911194,0.02757798694074154,0.0845070406794548,0.02768401987850666,0.19753442704677582,0.1101088598370552,0.5250096917152405,0.02757798694074154,FORMAL_M7A_LF_BASELINE,FULL_TRACKED_ORDER_VECTOR
K6X_D150_D205_D215_D220_D225_D230,455,p,0.4498911499977112,0.014407084323465824,0.09986551105976105,0.16593298316001892,0.14399829506874084,0.13995987176895142,0.42142918705940247,0.014407084323465824,FORMAL_M7A_LF_BASELINE,FULL_TRACKED_ORDER_VECTOR
K6X_D150_D205_D215_D220_D225_D230,445,s,0.4061133861541748,0.20437568426132202,0.03314797952771187,0.0127544105052948,0.1771470159292221,0.2162119746208191,0.15198729932308197,0.20437568426132202,FORMAL_M7A_LF_BASELINE,FULL_TRACKED_ORDER_VECTOR
K6X_D150_D205_D215_D220_D225_D230,446,s,0.3829888701438904,0.19950979948043823,0.020237086340785027,0.024612970650196075,0.18852125108242035,0.16985465586185455,0.19775435328483582,0.19950979948043823,FORMAL_M7A_LF_BASELINE,FULL_TRACKED_ORDER_VECTOR
K6X_D150_D205_D215_D220_D225_D230,447,s,0.3849417269229889,0.1806638538837433,0.01581615023314953,0.034168850630521774,0.2108164280653,0.13995644450187683,0.23791439831256866,0.1806638538837433,FORMAL_M7A_LF_BASELINE,FULL_TRACKED_ORDER_VECTOR
K6X_D150_D205_D215_D220_D225_D230,448,s,0.39916932582855225,0.1553378850221634,0.020713048055768013,0.03920688107609749,0.2343214452266693,0.12564098834991455,0.2694418132305145,0.1553378850221634,FORMAL_M7A_LF_BASELINE,FULL_TRACKED_ORDER_VECTOR
K6X_D150_D205_D215_D220_D225_D230,449,s,0.4056723713874817,0.13278259336948395,0.031296584755182266,0.03866992145776749,0.2491973340511322,0.117805115878582,0.29746589064598083,0.13278259336948395,FORMAL_M7A_LF_BASELINE,FULL_TRACKED_ORDER_VECTOR
K6X_D150_D205_D215_D220_D225_D230,450,s,0.40019410848617554,0.11014112085103989,0.04716337099671364,0.034817662090063095,0.2549399733543396,0.11043646186590195,0.33236032724380493,0.11014112085103989,FORMAL_M7A_LF_BASELINE,FULL_TRACKED_ORDER_VECTOR
K6X_D150_D205_D215_D220_D225_D230,451,s,0.3767993450164795,0.08864852786064148,0.06690633296966553,0.02700020745396614,0.2501181662082672,0.09968096762895584,0.378997266292572,0.08864852786064148,FORMAL_M7A_LF_BASELINE,FULL_TRACKED_ORDER_VECTOR
K6X_D150_D205_D215_D220_D225_D230,452,s,0.3403058350086212,0.06386902183294296,0.08944771438837051,0.01826873980462551,0.23482923209667206,0.0872078537940979,0.44250839948654175,0.06386902183294296,FORMAL_M7A_LF_BASELINE,FULL_TRACKED_ORDER_VECTOR
K6X_D150_D205_D215_D220_D225_D230,453,s,0.3145653009414673,0.04181540384888649,0.10339418053627014,0.013985014520585537,0.21760180592536926,0.08297848701477051,0.4984097182750702,0.04181540384888649,FORMAL_M7A_LF_BASELINE,FULL_TRACKED_ORDER_VECTOR
K6X_D150_D205_D215_D220_D225_D230,454,s,0.33532729744911194,0.02757798694074154,0.0845070406794548,0.02768401987850666,0.19753442704677582,0.1101088598370552,0.5250096917152405,0.02757798694074154,FORMAL_M7A_LF_BASELINE,FULL_TRACKED_ORDER_VECTOR
K6X_D150_D205_D215_D220_D225_D230,455,s,0.4498911499977112,0.014407084323465824,0.09986551105976105,0.16593298316001892,0.14399829506874084,0.13995987176895142,0.42142918705940247,0.014407084323465824,FORMAL_M7A_LF_BASELINE,FULL_TRACKED_ORDER_VECTOR
K6X_D105_D120_D125_D130_D165_D190,445,p,0.885211706161499,0.02015654370188713,0.005366666242480278,0.016754459589719772,0.10097101330757141,0.7674862146377563,0.06910855323076248,0.02015654370188713,FORMAL_M7A_LF_BASELINE,FULL_TRACKED_ORDER_VECTOR
K6X_D105_D120_D125_D130_D165_D190,446,p,0.8869419097900391,0.017831560224294662,0.004857340827584267,0.015528351068496704,0.10336881130933762,0.7680447697639465,0.07253767549991608,0.017831560224294662,FORMAL_M7A_LF_BASELINE,FULL_TRACKED_ORDER_VECTOR
K6X_D105_D120_D125_D130_D165_D190,447,p,0.8897961974143982,0.014972629025578499,0.0038473401218652725,0.013478371314704418,0.10850555449724197,0.7678122520446777,0.07641121745109558,0.014972629025578499,FORMAL_M7A_LF_BASELINE,FULL_TRACKED_ORDER_VECTOR
K6X_D105_D120_D125_D130_D165_D190,448,p,0.8963309526443481,0.010864781215786934,0.002363357925787568,0.011248250491917133,0.12239304184913635,0.7626896500587463,0.07957609742879868,0.010864781215786934,FORMAL_M7A_LF_BASELINE,FULL_TRACKED_ORDER_VECTOR
K6X_D105_D120_D125_D130_D165_D190,449,p,0.9126450419425964,0.004705534316599369,0.0009820385603234172,0.013443702831864357,0.16364747285842896,0.7355538606643677,0.07696184515953064,0.004705534316599369,FORMAL_M7A_LF_BASELINE,FULL_TRACKED_ORDER_VECTOR
K6X_D105_D120_D125_D130_D165_D190,450,p,0.9447652101516724,0.000893777993042022,0.007292518857866526,0.04356755316257477,0.2597702741622925,0.6414273977279663,0.046154625713825226,0.000893777993042022,FORMAL_M7A_LF_BASELINE,FULL_TRACKED_ORDER_VECTOR
K6X_D105_D120_D125_D130_D165_D190,451,p,0.9363252520561218,0.012353059835731983,0.021641792729496956,0.08097387850284576,0.26017722487449646,0.5951741337776184,0.01732686720788479,0.012353059835731983,FORMAL_M7A_LF_BASELINE,FULL_TRACKED_ORDER_VECTOR
K6X_D105_D120_D125_D130_D165_D190,452,p,0.9099389314651489,0.018370959907770157,0.0234795194119215,0.07539897412061691,0.19204756617546082,0.6424923539161682,0.0298396535217762,0.018370959907770157,FORMAL_M7A_LF_BASELINE,FULL_TRACKED_ORDER_VECTOR
K6X_D105_D120_D125_D130_D165_D190,453,p,0.8973453044891357,0.01878921128809452,0.022200340405106544,0.06632208079099655,0.15650440752506256,0.6745188236236572,0.04287593811750412,0.01878921128809452,FORMAL_M7A_LF_BASELINE,FULL_TRACKED_ORDER_VECTOR
K6X_D105_D120_D125_D130_D165_D190,454,p,0.8914138674736023,0.017982304096221924,0.021135278046131134,0.060429807752370834,0.13886593282222748,0.6921181082725525,0.05148617550730705,0.017982304096221924,FORMAL_M7A_LF_BASELINE,FULL_TRACKED_ORDER_VECTOR
K6X_D105_D120_D125_D130_D165_D190,455,p,0.8879660367965698,0.016938576474785805,0.020615117624402046,0.0571296289563179,0.12932421267032623,0.7015122175216675,0.05754164978861809,0.016938576474785805,FORMAL_M7A_LF_BASELINE,FULL_TRACKED_ORDER_VECTOR
K6X_D105_D120_D125_D130_D165_D190,445,s,0.885211706161499,0.02015654370188713,0.005366666242480278,0.016754459589719772,0.10097101330757141,0.7674862146377563,0.06910855323076248,0.02015654370188713,FORMAL_M7A_LF_BASELINE,FULL_TRACKED_ORDER_VECTOR
K6X_D105_D120_D125_D130_D165_D190,446,s,0.8869419097900391,0.017831560224294662,0.004857340827584267,0.015528351068496704,0.10336881130933762,0.7680447697639465,0.07253767549991608,0.017831560224294662,FORMAL_M7A_LF_BASELINE,FULL_TRACKED_ORDER_VECTOR
K6X_D105_D120_D125_D130_D165_D190,447,s,0.8897961974143982,0.014972629025578499,0.0038473401218652725,0.013478371314704418,0.10850555449724197,0.7678122520446777,0.07641121745109558,0.014972629025578499,FORMAL_M7A_LF_BASELINE,FULL_TRACKED_ORDER_VECTOR
K6X_D105_D120_D125_D130_D165_D190,448,s,0.8963309526443481,0.010864781215786934,0.002363357925787568,0.011248250491917133,0.12239304184913635,0.7626896500587463,0.07957609742879868,0.010864781215786934,FORMAL_M7A_LF_BASELINE,FULL_TRACKED_ORDER_VECTOR
K6X_D105_D120_D125_D130_D165_D190,449,s,0.9126450419425964,0.004705534316599369,0.0009820385603234172,0.013443702831864357,0.16364747285842896,0.7355538606643677,0.07696184515953064,0.004705534316599369,FORMAL_M7A_LF_BASELINE,FULL_TRACKED_ORDER_VECTOR
K6X_D105_D120_D125_D130_D165_D190,450,s,0.9447652101516724,0.000893777993042022,0.007292518857866526,0.04356755316257477,0.2597702741622925,0.6414273977279663,0.046154625713825226,0.000893777993042022,FORMAL_M7A_LF_BASELINE,FULL_TRACKED_ORDER_VECTOR
K6X_D105_D120_D125_D130_D165_D190,451,s,0.9363252520561218,0.012353059835731983,0.021641792729496956,0.08097387850284576,0.26017722487449646,0.5951741337776184,0.01732686720788479,0.012353059835731983,FORMAL_M7A_LF_BASELINE,FULL_TRACKED_ORDER_VECTOR
