angle,intensity
-47.46533303523996,5.845426731493683e-07
-47.38060635429739,5.864003333644232e-07
-47.296015614934234,5.882717220957923e-07
-47.21155998139733,5.901561975547023e-07
-47.12723862575797,5.920531141563252e-07
-47.04305072780886,5.939618231518625e-07
-46.95899547496294,5.958816732397444e-07
-46.875072062153805,5.978120111543331e-07
-46.79127969173787,5.997521822306527e-07
-46.70761757339804,6.017015309437338e-07
-46.624084924049136,6.036594014213215e-07
-46.54068096774476,6.056251379287934e-07
-46.4574049355857,6.075980853252733e-07
-46.374256065629865,6.095775894900758e-07
-46.29123360280378,6.115629977187355e-07
-46.20833679881528,6.135536590880408e-07
-46.12556491206785,6.155489247896364e-07
-46.042917207576274,6.175481484319042e-07
-45.96039295688359,6.195506863100035e-07
-45.877991437979404,6.21555897644095e-07
-45.79571193521955,6.235631447859299e-07
-45.71355373924703,6.255717933941652e-07
-45.63151614691409,6.275812125788858e-07
-45.54959846120565,6.295907750160068e-07
-45.46779999116396,6.315998570323623e-07
-45.386120051814295,6.336078386624335e-07
-45.3045579640919,6.356141036778382e-07
-45.2231130547702,6.376180395908176e-07
-45.14178465638982,6.396190376331131e-07
-45.06057210718897,6.416164927117504e-07
-44.97947475103485,6.436098033433674e-07
-44.89849193735598,6.455983715688495e-07
-44.817623021075704,6.475816028501404e-07
-44.736867362546725,6.495589059511854e-07
-44.65622432748646,6.515296928050906e-07
-44.575693286913555,6.534933783696131e-07
-44.49527361708533,6.554493804732265e-07
-44.414964699436055,6.573971196540162e-07
-44.334765920516254,6.5933601899375e-07
-44.25467667193295,6.612655039494945e-07
-44.17469635029067,6.631850021851689e-07
-44.09482435713341,6.650939434054685e-07
-44.01506009888752,6.669917591945762e-07
-43.935402986805265,6.688778828620878e-07
-43.85585243690937,6.70751749298556e-07
-43.776407869938346,6.726127948430269e-07
-43.697068711292545,6.744604571649195e-07
-43.61783439098103,6.762941751625125e-07
-43.538704343569314,6.781133888802851e-07
-43.45967800812774,6.799175394472476e-07
-43.38075482818059,6.817060690383339e-07
-43.30193425165608,6.8347842086082e-07
-43.223215730836884,6.852340391676415e-07
-43.144598722311514,6.869723692993597e-07
-43.06608268692629,6.88692857756388e-07
-42.98766708973808,6.903949523029982e-07
-42.909351399967605,6.920781021044304e-07
-42.83113509095352,6.937417578983388e-07
-42.75301764010706,6.953853722015888e-07
-42.67499852886731,6.970083995533234e-07
-42.597077242657235,6.986102967950005e-07
-42.51925327084011,7.00190523387945e-07
-42.44152610667673,7.017485417688013e-07
-42.36389524728321,7.032838177430598e-07
-42.286360193589125,7.04795820916682e-07
-42.208920450296645,7.062840251656307e-07
-42.13157552583988,7.077479091429676e-07
-42.05432493234483,7.091869568229549e-07
-41.97716818559011,7.106006580814389e-07
-41.90010480496798,7.119885093116039e-07
-41.823134313445905,7.133500140740069e-07
-41.74625623752882,7.14684683779619e-07
-41.66947010722176,7.159920384044327e-07
-41.59277545599291,7.172716072340305e-07
-41.516171820737455,7.18522929636331e-07
-41.439658741741574,7.197455558605926e-07
-41.36323576264706,7.209390478605817e-07
-41.286902430416546,7.22102980139701e-07
-41.21065829529888,7.232369406157003e-07
-41.13450291079522,7.243405315025088e-07
-41.058435833625545,7.25413370206569e-07
-40.98245662369541,7.264550902349946e-07
-40.906564844063375,7.274653421127266e-07
-40.83076006090875,7.28443794305822e-07
-40.75504184349973,7.293901341479121e-07
-40.67940976416201,7.30304068766809e-07
-40.60386339824777,7.311853260081917e-07
-40.52840232410506,7.32033655353264e-07
-40.45302612304761,7.328488288272543e-07
-40.37773437932498,7.33630641895601e-07
-40.302526680093145,7.343789143446876e-07
-40.22740261538538,7.350934911439771e-07
-40.152361778083616,7.357742432864434e-07
-40.077403763890075,7.364210686042157e-07
-40.00252817129929,7.370338925564119e-07
-39.92773460157049,7.376126689861861e-07
-39.85302265870036,7.381573808440981e-07
-39.77839194939601,7.386680408749867e-07
-39.70384208304849,7.391446922656317e-07
-39.62937267170647,7.395874092505846e-07
-39.55498333005028,7.399962976736702e-07
-39.480673675366354,7.403714955027862e-07
-39.40644332752187,7.407131732957494e-07
-39.3322919089398,7.410215346151034e-07
-39.25821904457425,7.412968163899239e-07
-39.184224361885974,7.415392892228448e-07
-39.11030749081845,7.417492576406613e-07
-39.03646806377399,7.41927060287064e-07
-38.96270571559023,7.42073070056221e-07
-38.889020083517025,7.421876941660973e-07
-38.81541080719342,7.42271374170606e-07
-38.74187752862501,7.423245859098447e-07
-38.66841989216162,7.423478393978803e-07
-38.59503754447515,7.423416786477342e-07
-38.521730134537655,7.423066814333845e-07
-38.44849731359994,7.422434589888414e-07
-38.375338735170054,7.421526556444744e-07
-38.302254054992304,7.420349484010357e-07
-38.22924293102639,7.418910464419304e-07
-38.1563050234269,7.417216905845335e-07
-38.08343999452283,7.415276526714741e-07
-38.01064750879763,7.413097349030338e-07
-37.937927232869285,7.410687691119271e-07
-37.86527883547062,7.408056159819227e-07
-37.79270198743,7.405211642119055e-07
-37.72019636165214,7.402163296271404e-07
-37.647761633099066,7.398920542396128e-07
-37.57539747877144,7.395493052594939e-07
-37.503103577690105,7.391890740598454e-07
-37.430879610877604,7.388123750968615e-07
-37.35872526134026,7.384202447879763e-07
-37.28664021405026,7.380137403503208e-07
-37.21462415592783,7.375939386020644e-07
-37.142676775823915,7.371619347292512e-07
