operation,status,error
getnamed dbr::sio222.x span,failed,"""In getnamed, no items matching the name 'dbr::sio222' can be found"""
getnamed dbr::sio222.y,failed,"""In getnamed, no items matching the name 'dbr::sio222' can be found"""
getnamed dbr::sio222.y span,failed,"""In getnamed, no items matching the name 'dbr::sio222' can be found"""
getnamed dbr::sio222.z,failed,"""In getnamed, no items matching the name 'dbr::sio222' can be found"""
getnamed dbr::sio222.z span,failed,"""In getnamed, no items matching the name 'dbr::sio222' can be found"""
getnamed dbr::sio222.enabled,failed,"""In getnamed, no items matching the name 'dbr::sio222' can be found"""
getnamed dbr::sio222.monitor type,failed,"""In getnamed, no items matching the name 'dbr::sio222' can be found"""
getnamed dbr::sio222.projection direction,failed,"""In getnamed, no items matching the name 'dbr::sio222' can be found"""
getnamed dbr::sio222.material index,failed,"""In getnamed, no items matching the name 'dbr::sio222' can be found"""
getnamed dbr::sio222.far field filter,failed,"""In getnamed, no items matching the name 'dbr::sio222' can be found"""
getnamed dbr::sio222.2D resolution,failed,"""In getnamed, no items matching the name 'dbr::sio222' can be found"""
getnamed dbr::sio222.3D resolution,failed,"""In getnamed, no items matching the name 'dbr::sio222' can be found"""
getnamed dbr::sio222.Assume structure is periodic,failed,"""In getnamed, no items matching the name 'dbr::sio222' can be found"""
getnamed dbr::sio222.override near field mesh,failed,"""In getnamed, no items matching the name 'dbr::sio222' can be found"""
getnamed dbr::TiO2.x,failed,"""In getnamed, no items matching the name 'dbr::TiO2' can be found"""
getnamed dbr::TiO2.x span,failed,"""In getnamed, no items matching the name 'dbr::TiO2' can be found"""
getnamed dbr::TiO2.y,failed,"""In getnamed, no items matching the name 'dbr::TiO2' can be found"""
getnamed dbr::TiO2.y span,failed,"""In getnamed, no items matching the name 'dbr::TiO2' can be found"""
getnamed dbr::TiO2.z,failed,"""In getnamed, no items matching the name 'dbr::TiO2' can be found"""
getnamed dbr::TiO2.z span,failed,"""In getnamed, no items matching the name 'dbr::TiO2' can be found"""
getnamed dbr::TiO2.enabled,failed,"""In getnamed, no items matching the name 'dbr::TiO2' can be found"""
getnamed dbr::TiO2.monitor type,failed,"""In getnamed, no items matching the name 'dbr::TiO2' can be found"""
getnamed dbr::TiO2.projection direction,failed,"""In getnamed, no items matching the name 'dbr::TiO2' can be found"""
getnamed dbr::TiO2.material index,failed,"""In getnamed, no items matching the name 'dbr::TiO2' can be found"""
getnamed dbr::TiO2.far field filter,failed,"""In getnamed, no items matching the name 'dbr::TiO2' can be found"""
getnamed dbr::TiO2.2D resolution,failed,"""In getnamed, no items matching the name 'dbr::TiO2' can be found"""
getnamed dbr::TiO2.3D resolution,failed,"""In getnamed, no items matching the name 'dbr::TiO2' can be found"""
getnamed dbr::TiO2.Assume structure is periodic,failed,"""In getnamed, no items matching the name 'dbr::TiO2' can be found"""
getnamed dbr::TiO2.override near field mesh,failed,"""In getnamed, no items matching the name 'dbr::TiO2' can be found"""
