spectral_peak_nm,spectral_FWHM_nm,T448,T450,T453,max_angle_450_deg,angular_FWHM_450_deg,I0_over_Imax_450,strict_normal,near_normal,angle_symmetry_error_max,energy_residual_max,spectral_boundary_clipped,angular_boundary_clipped,sequence_json,spectral_target_pass,angular_target_pass,combined_pass,candidate_id,scan_mode,sample_index,sample_id,error_bound_nm,layer_errors_json
453.00000000000296,3.435107859625191,0.10137223372911856,0.24060665239889512,0.9926508876019252,-11.0,6.526128026458055,0.24303694488810584,False,False,0.0,9.992007221626409e-16,False,False,"[[""H"",47],[""L"",77],[""H"",46],[""L"",79],[""H"",47],[""L"",313],[""H"",47],[""L"",78],[""H"",46],[""L"",77],[""H"",47],[""L"",78]]",False,False,False,ZL1_N3_M3_L78_H46,independent_layer_1nm,21,independent_layer_1nm_ZL1_N3_M3_L78_H46_0021,1,"[1,-1,0,1,1,1,1,0,0,-1,1,0]"
450.3800000000024,3.3632747224115747,0.32589535445932727,0.9451106729031618,0.29541597512537726,-4.0,17.969459896674746,0.9523394278505658,False,True,0.0,6.661338147750939e-16,False,False,"[[""H"",46],[""L"",79],[""H"",45],[""L"",78],[""H"",46],[""L"",313],[""H"",45],[""L"",79],[""H"",46],[""L"",79],[""H"",45],[""L"",77]]",True,True,True,ZL1_N3_M3_L78_H46,independent_layer_1nm,22,independent_layer_1nm_ZL1_N3_M3_L78_H46_0022,1,"[0,1,-1,0,0,1,-1,1,0,1,-1,-1]"
449.66000000000224,3.360456139926157,0.5007134577085642,0.9516878720200075,0.20568144441516673,0.0,14.896961614541121,1.0,True,True,0.0,7.771561172376096e-16,False,False,"[[""H"",47],[""L"",77],[""H"",46],[""L"",78],[""H"",46],[""L"",312],[""H"",45],[""L"",78],[""H"",47],[""L"",78],[""H"",45],[""L"",77]]",True,True,True,ZL1_N3_M3_L78_H46,independent_layer_1nm,23,independent_layer_1nm_ZL1_N3_M3_L78_H46_0023,1,"[1,-1,0,0,0,0,-1,0,1,0,-1,-1]"
449.76000000000226,3.361234655778105,0.47098758264174323,0.974004316810819,0.21635772099501338,0.0,15.245823451086606,1.0,True,True,0.0,6.661338147750939e-16,False,False,"[[""H"",45],[""L"",79],[""H"",45],[""L"",78],[""H"",45],[""L"",312],[""H"",46],[""L"",79],[""H"",47],[""L"",77],[""H"",47],[""L"",78]]",True,True,True,ZL1_N3_M3_L78_H46,independent_layer_1nm,24,independent_layer_1nm_ZL1_N3_M3_L78_H46_0024,1,"[-1,1,-1,0,-1,0,0,1,1,-1,1,0]"
451.7600000000027,3.401029902147741,0.16348852011337991,0.47381428844426593,0.6514264657056776,-8.0,10.170091913659167,0.48057365781086636,False,False,0.0,7.771561172376096e-16,False,False,"[[""H"",47],[""L"",78],[""H"",45],[""L"",79],[""H"",47],[""L"",312],[""H"",47],[""L"",78],[""H"",45],[""L"",79],[""H"",45],[""L"",78]]",False,False,False,ZL1_N3_M3_L78_H46,independent_layer_1nm,25,independent_layer_1nm_ZL1_N3_M3_L78_H46_0025,1,"[1,0,-1,1,1,0,1,0,-1,1,-1,0]"
450.1200000000023,3.363237563334053,0.3765617314300942,0.9866270277933993,0.2595618167887359,-2.0,16.89116393158359,0.9945189067598702,False,True,0.0,7.771561172376096e-16,False,False,"[[""H"",47],[""L"",79],[""H"",45],[""L"",77],[""H"",46],[""L"",313],[""H"",45],[""L"",79],[""H"",46],[""L"",78],[""H"",45],[""L"",78]]",True,True,True,ZL1_N3_M3_L78_H46,independent_layer_1nm,26,independent_layer_1nm_ZL1_N3_M3_L78_H46_0026,1,"[1,1,-1,-1,0,1,-1,1,0,0,-1,0]"
449.50000000000216,3.3456420822457744,0.5476464830554606,0.9104558074808116,0.19044114044658406,0.0,14.417161353947407,1.0,True,True,0.0,6.661338147750939e-16,False,False,"[[""H"",46],[""L"",77],[""H"",46],[""L"",78],[""H"",46],[""L"",312],[""H"",45],[""L"",79],[""H"",45],[""L"",79],[""H"",46],[""L"",78]]",True,True,True,ZL1_N3_M3_L78_H46,independent_layer_1nm,27,independent_layer_1nm_ZL1_N3_M3_L78_H46_0027,1,"[0,-1,0,0,0,0,-1,1,-1,1,0,0]"
448.76000000000204,3.3380530722552635,0.8191461034145215,0.6444802909815306,0.13925819627426522,0.0,13.69099923940031,1.0,True,True,0.0,4.440892098500626e-16,False,False,"[[""H"",45],[""L"",77],[""H"",47],[""L"",77],[""H"",45],[""L"",312],[""H"",45],[""L"",79],[""H"",46],[""L"",77],[""H"",47],[""L"",77]]",True,True,True,ZL1_N3_M3_L78_H46,independent_layer_1nm,28,independent_layer_1nm_ZL1_N3_M3_L78_H46_0028,1,"[-1,-1,1,-1,-1,0,-1,1,0,-1,1,-1]"
449.00000000000205,3.328791455092528,0.7255909278560879,0.7316491100709428,0.15333090334032276,0.0,13.735179393259589,1.0,True,True,0.0,5.551115123125783e-16,False,False,"[[""H"",46],[""L"",77],[""H"",45],[""L"",79],[""H"",47],[""L"",311],[""H"",45],[""L"",78],[""H"",45],[""L"",77],[""H"",45],[""L"",77]]",True,True,True,ZL1_N3_M3_L78_H46,independent_layer_1nm,29,independent_layer_1nm_ZL1_N3_M3_L78_H46_0029,1,"[0,-1,-1,1,1,-1,-1,0,-1,-1,-1,-1]"
449.0800000000021,3.3268970765955714,0.6934803400021256,0.7642780295125591,0.15853952644894015,0.0,13.75881883227668,1.0,True,True,0.0,8.881784197001252e-16,False,False,"[[""H"",46],[""L"",77],[""H"",45],[""L"",79],[""H"",45],[""L"",312],[""H"",46],[""L"",78],[""H"",45],[""L"",77],[""H"",46],[""L"",78]]",True,True,True,ZL1_N3_M3_L78_H46,independent_layer_1nm,30,independent_layer_1nm_ZL1_N3_M3_L78_H46_0030,1,"[0,-1,-1,1,-1,0,0,0,-1,-1,0,0]"
