variant_id,case_id,object_name,axis,material_assignment_method,index,center_m,thickness_m,status
axis_z_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,axis_z_absolute_interfaces_03_TiO2,z,object_defined_index,2.535,-4.735e-07,4.5000000000000006e-08,created
axis_z_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,axis_z_absolute_interfaces_04_SiO2,z,object_defined_index,1.426,-4.115e-07,7.9e-08,created
axis_z_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,axis_z_absolute_interfaces_05_TiO2,z,object_defined_index,2.535,-3.495e-07,4.5000000000000006e-08,created
axis_z_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,axis_z_absolute_interfaces_06_SiO2,z,object_defined_index,1.426,-2.875e-07,7.9e-08,created
axis_z_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,axis_z_absolute_interfaces_07_TiO2,z,object_defined_index,2.535,-2.255e-07,4.5000000000000006e-08,created
axis_z_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,axis_z_absolute_interfaces_08_SiO2,z,object_defined_index,1.426,-1.635e-07,7.9e-08,created
axis_z_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,axis_z_absolute_interfaces_09_TiO2,z,object_defined_index,2.535,-1.015e-07,4.5000000000000006e-08,created
axis_z_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,axis_z_absolute_interfaces_10_SiO2,z,object_defined_index,1.426,-3.949999999999999e-08,7.9e-08,created
axis_z_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,axis_z_absolute_interfaces_11_TiO2,z,object_defined_index,2.535,2.2500000000000016e-08,4.5000000000000006e-08,created
axis_z_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,axis_z_absolute_interfaces_12_SiO2,z,object_defined_index,1.426,8.450000000000002e-08,7.9e-08,created
axis_z_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,axis_z_absolute_interfaces_13_TiO2,z,object_defined_index,2.535,1.4650000000000002e-07,4.5000000000000006e-08,created
axis_z_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,axis_z_absolute_interfaces_14_SiO2,z,object_defined_index,1.426,2.0850000000000005e-07,7.9e-08,created
axis_z_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,axis_z_absolute_interfaces_15_TiO2,z,object_defined_index,2.535,2.7050000000000005e-07,4.5000000000000006e-08,created
axis_z_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,axis_z_absolute_interfaces_16_SiO2,z,object_defined_index,1.426,3.3250000000000005e-07,7.9e-08,created
axis_z_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,axis_z_absolute_interfaces_17_TiO2,z,object_defined_index,2.535,3.9450000000000005e-07,4.5000000000000006e-08,created
axis_z_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,axis_z_absolute_interfaces_18_SiO2,z,object_defined_index,1.426,4.5650000000000004e-07,7.9e-08,created
axis_z_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,axis_z_absolute_interfaces_19_TiO2,z,object_defined_index,2.535,5.185e-07,4.5000000000000006e-08,created
axis_z_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,axis_z_absolute_interfaces_20_SiO2,z,object_defined_index,1.426,5.805e-07,7.9e-08,created
index_grid_or_explicit_material_variant,single_SiO2_79nm,index_grid_or_explicit_material_variant_01_SiO2,x,direct_index_explicit_air_background,1.426,0.0,7.9e-08,created
index_grid_or_explicit_material_variant,single_TiO2_45nm,index_grid_or_explicit_material_variant_01_TiO2,x,direct_index_explicit_air_background,2.535,0.0,4.5000000000000006e-08,created
index_grid_or_explicit_material_variant,TiO2_SiO2_10pair_QWinteger453_proxy,index_grid_or_explicit_material_variant_01_TiO2,x,direct_index_explicit_air_background,2.535,-5.975e-07,4.5000000000000006e-08,created
index_grid_or_explicit_material_variant,TiO2_SiO2_10pair_QWinteger453_proxy,index_grid_or_explicit_material_variant_02_SiO2,x,direct_index_explicit_air_background,1.426,-5.355e-07,7.9e-08,created
index_grid_or_explicit_material_variant,TiO2_SiO2_10pair_QWinteger453_proxy,index_grid_or_explicit_material_variant_03_TiO2,x,direct_index_explicit_air_background,2.535,-4.735e-07,4.5000000000000006e-08,created
index_grid_or_explicit_material_variant,TiO2_SiO2_10pair_QWinteger453_proxy,index_grid_or_explicit_material_variant_04_SiO2,x,direct_index_explicit_air_background,1.426,-4.115e-07,7.9e-08,created
index_grid_or_explicit_material_variant,TiO2_SiO2_10pair_QWinteger453_proxy,index_grid_or_explicit_material_variant_05_TiO2,x,direct_index_explicit_air_background,2.535,-3.495e-07,4.5000000000000006e-08,created
index_grid_or_explicit_material_variant,TiO2_SiO2_10pair_QWinteger453_proxy,index_grid_or_explicit_material_variant_06_SiO2,x,direct_index_explicit_air_background,1.426,-2.875e-07,7.9e-08,created
index_grid_or_explicit_material_variant,TiO2_SiO2_10pair_QWinteger453_proxy,index_grid_or_explicit_material_variant_07_TiO2,x,direct_index_explicit_air_background,2.535,-2.255e-07,4.5000000000000006e-08,created
index_grid_or_explicit_material_variant,TiO2_SiO2_10pair_QWinteger453_proxy,index_grid_or_explicit_material_variant_08_SiO2,x,direct_index_explicit_air_background,1.426,-1.635e-07,7.9e-08,created
index_grid_or_explicit_material_variant,TiO2_SiO2_10pair_QWinteger453_proxy,index_grid_or_explicit_material_variant_09_TiO2,x,direct_index_explicit_air_background,2.535,-1.015e-07,4.5000000000000006e-08,created
index_grid_or_explicit_material_variant,TiO2_SiO2_10pair_QWinteger453_proxy,index_grid_or_explicit_material_variant_10_SiO2,x,direct_index_explicit_air_background,1.426,-3.949999999999999e-08,7.9e-08,created
index_grid_or_explicit_material_variant,TiO2_SiO2_10pair_QWinteger453_proxy,index_grid_or_explicit_material_variant_11_TiO2,x,direct_index_explicit_air_background,2.535,2.2500000000000016e-08,4.5000000000000006e-08,created
index_grid_or_explicit_material_variant,TiO2_SiO2_10pair_QWinteger453_proxy,index_grid_or_explicit_material_variant_12_SiO2,x,direct_index_explicit_air_background,1.426,8.450000000000002e-08,7.9e-08,created
index_grid_or_explicit_material_variant,TiO2_SiO2_10pair_QWinteger453_proxy,index_grid_or_explicit_material_variant_13_TiO2,x,direct_index_explicit_air_background,2.535,1.4650000000000002e-07,4.5000000000000006e-08,created
index_grid_or_explicit_material_variant,TiO2_SiO2_10pair_QWinteger453_proxy,index_grid_or_explicit_material_variant_14_SiO2,x,direct_index_explicit_air_background,1.426,2.0850000000000005e-07,7.9e-08,created
index_grid_or_explicit_material_variant,TiO2_SiO2_10pair_QWinteger453_proxy,index_grid_or_explicit_material_variant_15_TiO2,x,direct_index_explicit_air_background,2.535,2.7050000000000005e-07,4.5000000000000006e-08,created
index_grid_or_explicit_material_variant,TiO2_SiO2_10pair_QWinteger453_proxy,index_grid_or_explicit_material_variant_16_SiO2,x,direct_index_explicit_air_background,1.426,3.3250000000000005e-07,7.9e-08,created
index_grid_or_explicit_material_variant,TiO2_SiO2_10pair_QWinteger453_proxy,index_grid_or_explicit_material_variant_17_TiO2,x,direct_index_explicit_air_background,2.535,3.9450000000000005e-07,4.5000000000000006e-08,created
index_grid_or_explicit_material_variant,TiO2_SiO2_10pair_QWinteger453_proxy,index_grid_or_explicit_material_variant_18_SiO2,x,direct_index_explicit_air_background,1.426,4.5650000000000004e-07,7.9e-08,created
index_grid_or_explicit_material_variant,TiO2_SiO2_10pair_QWinteger453_proxy,index_grid_or_explicit_material_variant_19_TiO2,x,direct_index_explicit_air_background,2.535,5.185e-07,4.5000000000000006e-08,created
index_grid_or_explicit_material_variant,TiO2_SiO2_10pair_QWinteger453_proxy,index_grid_or_explicit_material_variant_20_SiO2,x,direct_index_explicit_air_background,1.426,5.805e-07,7.9e-08,created
