model,variant,group,value,eta_plus1_mae
M5_direct_MLP_frozen,raw,wavelength,449,0.26670239838248494
M5_direct_MLP_frozen,raw,wavelength,450,0.24838151796576297
M5_direct_MLP_frozen,raw,wavelength,451,0.2400410606002137
M5_direct_MLP_frozen,raw,wavelength,452,0.23592987457397535
M5_direct_MLP_frozen,raw,wavelength,453,0.2294939647205449
M5_direct_MLP_frozen,raw,wavelength,454,0.22316909198587206
M5_direct_MLP_frozen,raw,wavelength,455,0.2289846824191334
M5_direct_MLP_frozen,constrained,polarization,p,0.24016926168928324
M5_direct_MLP_frozen,constrained,polarization,s,0.24914253727303287
M5_direct_MLP_frozen,constrained,wavelength,445,0.2693762412759698
M5_direct_MLP_frozen,constrained,wavelength,446,0.26551096897807575
M5_direct_MLP_frozen,constrained,wavelength,447,0.2613645469565701
M5_direct_MLP_frozen,constrained,wavelength,448,0.26639266222430447
M5_direct_MLP_frozen,constrained,wavelength,449,0.2579076043033711
M5_direct_MLP_frozen,constrained,wavelength,450,0.24022139359980843
M5_direct_MLP_frozen,constrained,wavelength,451,0.23238492241458233
M5_direct_MLP_frozen,constrained,wavelength,452,0.23040425011160412
M5_direct_MLP_frozen,constrained,wavelength,453,0.2234100863753257
M5_direct_MLP_frozen,constrained,wavelength,454,0.21872787875873867
M5_direct_MLP_frozen,constrained,wavelength,455,0.22551433929438838
M5_ResMLP_frozen,raw,polarization,p,0.2537908279922954
M5_ResMLP_frozen,raw,polarization,s,0.2729929499022825
M5_ResMLP_frozen,raw,wavelength,445,0.2906644545509123
M5_ResMLP_frozen,raw,wavelength,446,0.2881485418680014
M5_ResMLP_frozen,raw,wavelength,447,0.285651937488954
M5_ResMLP_frozen,raw,wavelength,448,0.2891862180838308
M5_ResMLP_frozen,raw,wavelength,449,0.27801256648584244
M5_ResMLP_frozen,raw,wavelength,450,0.26157772551788716
M5_ResMLP_frozen,raw,wavelength,451,0.25229913262906034
M5_ResMLP_frozen,raw,wavelength,452,0.2466226245171998
M5_ResMLP_frozen,raw,wavelength,453,0.23805860280142235
M5_ResMLP_frozen,raw,wavelength,454,0.2300199657358251
M5_ResMLP_frozen,raw,wavelength,455,0.23706900874124281
M5_ResMLP_frozen,constrained,polarization,p,0.23332823196463184
M5_ResMLP_frozen,constrained,polarization,s,0.27740046116496103
M5_ResMLP_frozen,constrained,wavelength,445,0.2770246002842017
M5_ResMLP_frozen,constrained,wavelength,446,0.2754928171522902
M5_ResMLP_frozen,constrained,wavelength,447,0.2744081982422539
M5_ResMLP_frozen,constrained,wavelength,448,0.2763971504655682
M5_ResMLP_frozen,constrained,wavelength,449,0.26659007273680263
M5_ResMLP_frozen,constrained,wavelength,450,0.25184368736261625
M5_ResMLP_frozen,constrained,wavelength,451,0.2471280520602168
M5_ResMLP_frozen,constrained,wavelength,452,0.243447156000892
M5_ResMLP_frozen,constrained,wavelength,453,0.23470185228399407
M5_ResMLP_frozen,constrained,wavelength,454,0.22790626406777628
M5_ResMLP_frozen,constrained,wavelength,455,0.2340679615561488
M5_CircularCNN_frozen,raw,polarization,p,0.13481950494463332
M5_CircularCNN_frozen,raw,polarization,s,0.13209689616379777
M5_CircularCNN_frozen,raw,wavelength,445,0.15186921138120066
M5_CircularCNN_frozen,raw,wavelength,446,0.1445565670608363
M5_CircularCNN_frozen,raw,wavelength,447,0.13947176987723295
M5_CircularCNN_frozen,raw,wavelength,448,0.14335713589996507
M5_CircularCNN_frozen,raw,wavelength,449,0.15078862740179635
M5_CircularCNN_frozen,raw,wavelength,450,0.12914189296336812
M5_CircularCNN_frozen,raw,wavelength,451,0.12355396829303407
M5_CircularCNN_frozen,raw,wavelength,452,0.12219097263002208
M5_CircularCNN_frozen,raw,wavelength,453,0.12124455438020698
M5_CircularCNN_frozen,raw,wavelength,454,0.11639974560285161
M5_CircularCNN_frozen,raw,wavelength,455,0.12546576060585685
M5_CircularCNN_frozen,constrained,polarization,p,0.1264471600910724
M5_CircularCNN_frozen,constrained,polarization,s,0.12997047466014408
M5_CircularCNN_frozen,constrained,wavelength,445,0.14859853050918978
M5_CircularCNN_frozen,constrained,wavelength,446,0.14072043047691887
M5_CircularCNN_frozen,constrained,wavelength,447,0.1336033760397613
M5_CircularCNN_frozen,constrained,wavelength,448,0.13760044287814702
M5_CircularCNN_frozen,constrained,wavelength,449,0.14396247001124088
M5_CircularCNN_frozen,constrained,wavelength,450,0.1218482833427217
M5_CircularCNN_frozen,constrained,wavelength,451,0.1186447860707209
M5_CircularCNN_frozen,constrained,wavelength,452,0.11832414066919496
M5_CircularCNN_frozen,constrained,wavelength,453,0.1162094428318349
M5_CircularCNN_frozen,constrained,wavelength,454,0.11206389363112526
M5_CircularCNN_frozen,constrained,wavelength,455,0.11872119467083496
M5B_corrected_no_refit_residual_mlp,raw,polarization,p,0.16487409197013933
M5B_corrected_no_refit_residual_mlp,raw,polarization,s,0.1297577554204698
M5B_corrected_no_refit_residual_mlp,raw,wavelength,445,0.13813833498046382
M5B_corrected_no_refit_residual_mlp,raw,wavelength,446,0.14205358681864924
M5B_corrected_no_refit_residual_mlp,raw,wavelength,447,0.1294254868040059
M5B_corrected_no_refit_residual_mlp,raw,wavelength,448,0.15766096224472678
M5B_corrected_no_refit_residual_mlp,raw,wavelength,449,0.16814007896600858
M5B_corrected_no_refit_residual_mlp,raw,wavelength,450,0.1459085272251811
M5B_corrected_no_refit_residual_mlp,raw,wavelength,451,0.14589678532629086
M5B_corrected_no_refit_residual_mlp,raw,wavelength,452,0.14728226513619228
M5B_corrected_no_refit_residual_mlp,raw,wavelength,453,0.15227986521815143
M5B_corrected_no_refit_residual_mlp,raw,wavelength,454,0.15098642009700106
M5B_corrected_no_refit_residual_mlp,raw,wavelength,455,0.14270284783167925
