case_id,geometry_id,polarization,wavelength_nm,eta_plus1_ensemble_disagreement,eta_plus1_abs_error
NP_K6_M2_BATCH1_G03_S,K6X_D100_D200_D205_D210_D215_D220,s,448,0.9438757767933074,0.1248385496951664
NP_K6_M2_BATCH1_G03_S,K6X_D100_D200_D205_D210_D215_D220,s,449,0.9657034939325938,0.15807787799612655
NP_K6_M2_BATCH1_G03_S,K6X_D100_D200_D205_D210_D215_D220,s,450,0.9649832643561721,0.18833702783592568
NP_K6_M2_BATCH1_G03_S,K6X_D100_D200_D205_D210_D215_D220,s,451,0.9539920979175032,0.21627556549966132
NP_K6_M2_BATCH1_G03_S,K6X_D100_D200_D205_D210_D215_D220,s,452,0.9313612198201283,0.24269998349175836
NP_K6_M2_BATCH1_G03_S,K6X_D100_D200_D205_D210_D215_D220,s,453,0.9019734618742088,0.2507676011375916
NP_K6_M2_BATCH1_G03_S,K6X_D100_D200_D205_D210_D215_D220,s,454,0.8584091710015221,0.22670625865397964
NP_K6_M2_BATCH1_G03_S,K6X_D100_D200_D205_D210_D215_D220,s,455,0.6504479023473924,0.13881877070797338
NP_K6_M2_BATCH1_G04_P,K6X_D100_D110_D115_D220_D225_D230,p,445,0.10019489881153713,0.026704162396017125
NP_K6_M2_BATCH1_G04_P,K6X_D100_D110_D115_D220_D225_D230,p,446,0.09374643303060284,0.035104817029787135
NP_K6_M2_BATCH1_G04_P,K6X_D100_D110_D115_D220_D225_D230,p,447,0.08536804980081654,0.04571786983623481
NP_K6_M2_BATCH1_G04_P,K6X_D100_D110_D115_D220_D225_D230,p,448,0.07694555286534024,0.06074801377321088
NP_K6_M2_BATCH1_G04_P,K6X_D100_D110_D115_D220_D225_D230,p,449,0.06763601005158466,0.054560395417879125
NP_K6_M2_BATCH1_G04_P,K6X_D100_D110_D115_D220_D225_D230,p,450,0.06115264446124792,0.04757194939114821
NP_K6_M2_BATCH1_G04_P,K6X_D100_D110_D115_D220_D225_D230,p,451,0.060830240773097365,0.017375719366403926
NP_K6_M2_BATCH1_G04_P,K6X_D100_D110_D115_D220_D225_D230,p,452,0.07292171399613553,0.04695339863193898
NP_K6_M2_BATCH1_G04_P,K6X_D100_D110_D115_D220_D225_D230,p,453,0.09590508852393027,0.11992164048458089
NP_K6_M2_BATCH1_G04_P,K6X_D100_D110_D115_D220_D225_D230,p,454,0.11612281220555504,0.16231752160564136
NP_K6_M2_BATCH1_G04_P,K6X_D100_D110_D115_D220_D225_D230,p,455,0.12292147220744726,0.15675673220035438
NP_K6_M2_BATCH1_G04_S,K6X_D100_D110_D115_D220_D225_D230,s,445,0.04307137051128282,0.10854306677642295
NP_K6_M2_BATCH1_G04_S,K6X_D100_D110_D115_D220_D225_D230,s,446,0.03675552070687817,0.11838557507666686
NP_K6_M2_BATCH1_G04_S,K6X_D100_D110_D115_D220_D225_D230,s,447,0.030193966637736068,0.11580450325925873
NP_K6_M2_BATCH1_G04_S,K6X_D100_D110_D115_D220_D225_D230,s,448,0.02705025375028124,0.11175091926977011
NP_K6_M2_BATCH1_G04_S,K6X_D100_D110_D115_D220_D225_D230,s,449,0.028129818530857442,0.10598240885127377
NP_K6_M2_BATCH1_G04_S,K6X_D100_D110_D115_D220_D225_D230,s,450,0.035165924757517966,0.0924832780590704
NP_K6_M2_BATCH1_G04_S,K6X_D100_D110_D115_D220_D225_D230,s,451,0.046919449320206676,0.0668517469777436
NP_K6_M2_BATCH1_G04_S,K6X_D100_D110_D115_D220_D225_D230,s,452,0.06759539195902094,0.02217456114821537
NP_K6_M2_BATCH1_G04_S,K6X_D100_D110_D115_D220_D225_D230,s,453,0.10072953112951082,0.03055092164261397
NP_K6_M2_BATCH1_G04_S,K6X_D100_D110_D115_D220_D225_D230,s,454,0.13177098232795714,0.060417070777690034
NP_K6_M2_BATCH1_G04_S,K6X_D100_D110_D115_D220_D225_D230,s,455,0.1420473591530403,0.05380826534258219
NP_K6_M2_BATCH1_G05_P,K6X_D100_D130_D135_D155_D160_D225,p,445,0.18076660163223562,0.3396609315534783
NP_K6_M2_BATCH1_G05_P,K6X_D100_D130_D135_D155_D160_D225,p,446,0.16827018611096572,0.3918629636327273
NP_K6_M2_BATCH1_G05_P,K6X_D100_D130_D135_D155_D160_D225,p,447,0.14386885082459594,0.4639642790445391
NP_K6_M2_BATCH1_G05_P,K6X_D100_D130_D135_D155_D160_D225,p,448,0.12300162004188574,0.6434349237919892
NP_K6_M2_BATCH1_G05_P,K6X_D100_D130_D135_D155_D160_D225,p,449,0.10469604637074607,0.4950807213111602
NP_K6_M2_BATCH1_G05_P,K6X_D100_D130_D135_D155_D160_D225,p,450,0.08689770806529885,0.47240131897054116
NP_K6_M2_BATCH1_G05_P,K6X_D100_D130_D135_D155_D160_D225,p,451,0.0690140944749556,0.4734341076389973
NP_K6_M2_BATCH1_G05_P,K6X_D100_D130_D135_D155_D160_D225,p,452,0.05059707451087071,0.4764450031959322
NP_K6_M2_BATCH1_G05_P,K6X_D100_D130_D135_D155_D160_D225,p,453,0.030867790217855892,0.4779489839260118
NP_K6_M2_BATCH1_G05_P,K6X_D100_D130_D135_D155_D160_D225,p,454,0.010081689825995667,0.47748177993274665
NP_K6_M2_BATCH1_G05_P,K6X_D100_D130_D135_D155_D160_D225,p,455,0.013372611130617267,0.4779397128493451
NP_K6_M2_BATCH1_G05_S,K6X_D100_D130_D135_D155_D160_D225,s,445,0.1661325592664485,0.3799478841493914
NP_K6_M2_BATCH1_G05_S,K6X_D100_D130_D135_D155_D160_D225,s,446,0.12278764364335586,0.4292930627771754
NP_K6_M2_BATCH1_G05_S,K6X_D100_D130_D135_D155_D160_D225,s,447,0.0691949322131637,0.467824078487047
NP_K6_M2_BATCH1_G05_S,K6X_D100_D130_D135_D155_D160_D225,s,448,0.03598114973081221,0.4942608420740231
NP_K6_M2_BATCH1_G05_S,K6X_D100_D130_D135_D155_D160_D225,s,449,0.02414655519761487,0.5121686528581014
NP_K6_M2_BATCH1_G05_S,K6X_D100_D130_D135_D155_D160_D225,s,450,0.028641420141769215,0.5255669647267317
NP_K6_M2_BATCH1_G05_S,K6X_D100_D130_D135_D155_D160_D225,s,451,0.03634698556577981,0.536547275302569
NP_K6_M2_BATCH1_G05_S,K6X_D100_D130_D135_D155_D160_D225,s,452,0.04325223426614747,0.5448284422875495
NP_K6_M2_BATCH1_G05_S,K6X_D100_D130_D135_D155_D160_D225,s,453,0.04895763083071397,0.5491239128539761
NP_K6_M2_BATCH1_G05_S,K6X_D100_D130_D135_D155_D160_D225,s,454,0.05468074270328635,0.5473063610484371
NP_K6_M2_BATCH1_G05_S,K6X_D100_D130_D135_D155_D160_D225,s,455,0.06150491457528647,0.5398870660138214
NP_K6_M2_BATCH1_G06_P,K6X_D100_D105_D115_D120_D125_D130,p,445,0.09235753920959767,0.040993820002438286
NP_K6_M2_BATCH1_G06_P,K6X_D100_D105_D115_D120_D125_D130,p,446,0.09211865658736802,0.038902503832898394
NP_K6_M2_BATCH1_G06_P,K6X_D100_D105_D115_D120_D125_D130,p,447,0.09238266625233993,0.036676552304655885
NP_K6_M2_BATCH1_G06_P,K6X_D100_D105_D115_D120_D125_D130,p,448,0.09406233540252652,0.0337293385607324
NP_K6_M2_BATCH1_G06_P,K6X_D100_D105_D115_D120_D125_D130,p,449,0.09586995796538804,0.03105546114031002
NP_K6_M2_BATCH1_G06_P,K6X_D100_D105_D115_D120_D125_D130,p,450,0.09863932066750078,0.028070701454167762
