sample_role,future_training_role,geometry_id,geometry_hash,candidate_id_primary,candidate_aliases,topology_family,N,M,H_nm,L_nm,C_nm,effective_central_L_thickness_nm,physical_layer_count,total_thickness_nm,compiled_sequence,material_model,propagation_direction,record_id,source_id,fidelity_level,simulation_method,tmm_angular_FWHM_450_deg,tmm_max_transmission_angle_450_deg,strict_normal_450,near_normal_450,normal_to_40_60_ratio,angular_FWHM_valid,quality_status,has_angular_fwhm_label,has_max_angle_label,angular_label_status,angular_missing_reason
canonical_tmm_sweep,sparse_angular_analysis,GEO_f5e00009a83e0a1f,f5e00009a83e0a1f5458f10b94ef57aadadc05c189583ce030b802c9a35d1c05,EX_N2_L78_H42_C153,EX_N2_L78_H42_C153,Explicit,2,,42,78,153,,9,633,L78 H42 L78 H42 L153 H42 L78 H42 L78,native_m1,GaN -> reverse(stack) -> Air,TMM_GEO_f5e00009a83e0a1f,tmm_coarse,coarse,TMM,,,,,4.3388887114348265,false,accepted,false,false,missing,not_computed
canonical_tmm_sweep,sparse_angular_analysis,GEO_d8fe1978e53021bb,d8fe1978e53021bbe1a26f3a14bb72a00a236eceb6f6addf62012d1036db1f60,EX_N2_L78_H42_C154,EX_N2_L78_H42_C154,Explicit,2,,42,78,154,,9,634,L78 H42 L78 H42 L154 H42 L78 H42 L78,native_m1,GaN -> reverse(stack) -> Air,TMM_GEO_d8fe1978e53021bb,tmm_coarse,coarse,TMM,,,,,4.667691208089361,false,accepted,false,false,missing,not_computed
canonical_tmm_sweep,sparse_angular_analysis,GEO_f8632f167708ebfb,f8632f167708ebfb54eb480f7acc60bf6346b17bf26645fa29608924a4894d6c,EX_N2_L78_H42_C155,EX_N2_L78_H42_C155,Explicit,2,,42,78,155,,9,635,L78 H42 L78 H42 L155 H42 L78 H42 L78,native_m1,GaN -> reverse(stack) -> Air,TMM_GEO_f8632f167708ebfb,tmm_coarse,coarse,TMM,,,,,5.018368936963538,false,accepted,false,false,missing,not_computed
canonical_tmm_sweep,sparse_angular_analysis,GEO_3e6aa28cbedc11a2,3e6aa28cbedc11a2f3a54e732696f5b127db0a89325527e0a6b8370f2fe97c49,EX_N2_L78_H42_C156,EX_N2_L78_H42_C156,Explicit,2,,42,78,156,,9,636,L78 H42 L78 H42 L156 H42 L78 H42 L78,native_m1,GaN -> reverse(stack) -> Air,TMM_GEO_3e6aa28cbedc11a2,tmm_coarse,coarse,TMM,,,,,5.3863664610921775,false,accepted,false,false,missing,not_computed
canonical_tmm_sweep,sparse_angular_analysis,GEO_a66d47c96cb0f599,a66d47c96cb0f599e149662e83f8a269a747298a0d9212123de2a08585578d54,EX_N2_L78_H42_C157,EX_N2_L78_H42_C157,Explicit,2,,42,78,157,,9,637,L78 H42 L78 H42 L157 H42 L78 H42 L78,native_m1,GaN -> reverse(stack) -> Air,TMM_GEO_a66d47c96cb0f599,tmm_coarse,coarse,TMM,,,,,5.763741465597911,false,accepted,false,false,missing,not_computed
canonical_tmm_sweep,sparse_angular_analysis,GEO_d311a6e971f0d0c2,d311a6e971f0d0c202bfc731aeb6e13f88a21d84c17d3677445722523ba093c5,EX_N2_L78_H42_C158,EX_N2_L78_H42_C158,Explicit,2,,42,78,158,,9,638,L78 H42 L78 H42 L158 H42 L78 H42 L78,native_m1,GaN -> reverse(stack) -> Air,TMM_GEO_d311a6e971f0d0c2,tmm_coarse,coarse,TMM,,,,,6.138228925420713,false,accepted,false,false,missing,not_computed
canonical_tmm_sweep,sparse_angular_analysis,GEO_4092083e65afc807,4092083e65afc807c14ed43096543b13092fb79a83a42c7774aa39db3ab0755b,EX_N2_L78_H42_C159,EX_N2_L78_H42_C159,Explicit,2,,42,78,159,,9,639,L78 H42 L78 H42 L159 H42 L78 H42 L78,native_m1,GaN -> reverse(stack) -> Air,TMM_GEO_4092083e65afc807,tmm_coarse,coarse,TMM,,,,,6.492575812113467,false,accepted,false,false,missing,not_computed
canonical_tmm_sweep,sparse_angular_analysis,GEO_1b3ff74bbe54d3c6,1b3ff74bbe54d3c60edddafaa30fc7b7bd5b6bf368d4ad07fd2d1318bc753497,EX_N2_L78_H42_C160,EX_N2_L78_H42_C160,Explicit,2,,42,78,160,,9,640,L78 H42 L78 H42 L160 H42 L78 H42 L78,native_m1,GaN -> reverse(stack) -> Air,TMM_GEO_1b3ff74bbe54d3c6,tmm_coarse,coarse,TMM,,,,,6.804594405429734,false,accepted,false,false,missing,not_computed
canonical_tmm_sweep,sparse_angular_analysis,GEO_f1086b24c0169b5a,f1086b24c0169b5ae3841faf658410eb9945f980959ff182fcc2d7300eb63b50,EX_N2_L78_H42_C161,EX_N2_L78_H42_C161,Explicit,2,,42,78,161,,9,641,L78 H42 L78 H42 L161 H42 L78 H42 L78,native_m1,GaN -> reverse(stack) -> Air,TMM_GEO_f1086b24c0169b5a,tmm_coarse,coarse,TMM,,,,,7.048476136788403,false,accepted,false,false,missing,not_computed
canonical_tmm_sweep,sparse_angular_analysis,GEO_fc888557ff23fff3,fc888557ff23fff3d48f0c369d45fd9c5d4f3e1ebe571113d7106491eac8ffa4,EX_N2_L78_H42_C162,EX_N2_L78_H42_C162,Explicit,2,,42,78,162,,9,642,L78 H42 L78 H42 L162 H42 L78 H42 L78,native_m1,GaN -> reverse(stack) -> Air,TMM_GEO_fc888557ff23fff3,tmm_coarse,coarse,TMM,,,,,7.1977619911173045,false,accepted,false,false,missing,not_computed
canonical_tmm_sweep,sparse_angular_analysis,GEO_ffc7ded655ae2cfe,ffc7ded655ae2cfeea8c875a3387f03f3e7e40486a64a97c09959876308a6bae,EX_N2_L79_H42_C152,EX_N2_L79_H42_C152,Explicit,2,,42,79,152,,9,636,L79 H42 L79 H42 L152 H42 L79 H42 L79,native_m1,GaN -> reverse(stack) -> Air,TMM_GEO_ffc7ded655ae2cfe,tmm_coarse,coarse,TMM,,,,,4.254134504924263,false,accepted,false,false,missing,not_computed
canonical_tmm_sweep,sparse_angular_analysis,GEO_ab83b559c9bcaf91,ab83b559c9bcaf91d87e455b8fa6364bc8b88ae8db5312f66b5993b8c6eab046,EX_N2_L79_H42_C153,EX_N2_L79_H42_C153,Explicit,2,,42,79,153,,9,637,L79 H42 L79 H42 L153 H42 L79 H42 L79,native_m1,GaN -> reverse(stack) -> Air,TMM_GEO_ab83b559c9bcaf91,tmm_coarse,coarse,TMM,,,,,4.5753325206361275,false,accepted,false,false,missing,not_computed
canonical_tmm_sweep,sparse_angular_analysis,GEO_41ea427aa145a7e5,41ea427aa145a7e5806518b0d4a02019cfa0b935a211c4b8b0f819376dd37f03,EX_N2_L79_H42_C154,EX_N2_L79_H42_C154,Explicit,2,,42,79,154,,9,638,L79 H42 L79 H42 L154 H42 L79 H42 L79,native_m1,GaN -> reverse(stack) -> Air,TMM_GEO_41ea427aa145a7e5,tmm_coarse,coarse,TMM,,,,,4.91981859460575,false,accepted,false,false,missing,not_computed
canonical_tmm_sweep,sparse_angular_analysis,GEO_baabc3917250ce3e,baabc3917250ce3e1386a2b5c3b87d7e799c6171fa043a145eda6ca1eb716330,EX_N2_L79_H42_C155,EX_N2_L79_H42_C155,Explicit,2,,42,79,155,,9,639,L79 H42 L79 H42 L155 H42 L79 H42 L79,native_m1,GaN -> reverse(stack) -> Air,TMM_GEO_baabc3917250ce3e,tmm_coarse,coarse,TMM,,,,,5.28423950668957,false,accepted,false,false,missing,not_computed
canonical_tmm_sweep,sparse_angular_analysis,GEO_abb5288065b7f522,abb5288065b7f522f8a1b74685e427b8eac89afa5004380dfafd12fbc85acf32,EX_N2_L79_H42_C156,EX_N2_L79_H42_C156,Explicit,2,,42,79,156,,9,640,L79 H42 L79 H42 L156 H42 L79 H42 L79,native_m1,GaN -> reverse(stack) -> Air,TMM_GEO_abb5288065b7f522,tmm_coarse,coarse,TMM,,,,,5.662263237462634,false,accepted,false,false,missing,not_computed
canonical_tmm_sweep,sparse_angular_analysis,GEO_7da837563d62d734,7da837563d62d734ec7bdae942bb86995b346ca33e957fdcdda9178938062814,EX_N2_L79_H42_C157,EX_N2_L79_H42_C157,Explicit,2,,42,79,157,,9,641,L79 H42 L79 H42 L157 H42 L79 H42 L79,native_m1,GaN -> reverse(stack) -> Air,TMM_GEO_7da837563d62d734,tmm_coarse,coarse,TMM,,,,,6.043611034949332,false,accepted,false,false,missing,not_computed
canonical_tmm_sweep,sparse_angular_analysis,GEO_2a88fe4a74b41faf,2a88fe4a74b41faf092eb300d3ab8d7d24b0f738a1297d991af8f779916970d9,EX_N2_L79_H42_C158,EX_N2_L79_H42_C158,Explicit,2,,42,79,158,,9,642,L79 H42 L79 H42 L158 H42 L79 H42 L79,native_m1,GaN -> reverse(stack) -> Air,TMM_GEO_2a88fe4a74b41faf,tmm_coarse,coarse,TMM,,,,,6.413210031030377,false,accepted,false,false,missing,not_computed
canonical_tmm_sweep,sparse_angular_analysis,GEO_bba5323b71f57764,bba5323b71f577644bac8edfc2e16a7497795272da22e9ecd69c3d479c041b2d,EX_N2_L79_H42_C159,EX_N2_L79_H42_C159,Explicit,2,,42,79,159,,9,643,L79 H42 L79 H42 L159 H42 L79 H42 L79,native_m1,GaN -> reverse(stack) -> Air,TMM_GEO_bba5323b71f57764,tmm_coarse,coarse,TMM,,,,,6.750842271239683,false,accepted,false,false,missing,not_computed
canonical_tmm_sweep,sparse_angular_analysis,GEO_932536a4b5b4c7d9,932536a4b5b4c7d99692e3e20d14fe2a6b6d1659f03aeecc8a656028fbf12631,EX_N2_L79_H42_C160,EX_N2_L79_H42_C160,Explicit,2,,42,79,160,,9,644,L79 H42 L79 H42 L160 H42 L79 H42 L79,native_m1,GaN -> reverse(stack) -> Air,TMM_GEO_932536a4b5b4c7d9,tmm_coarse,coarse,TMM,,,,,7.031814168088428,false,accepted,false,false,missing,not_computed
canonical_tmm_sweep,sparse_angular_analysis,GEO_1fb1685ffb268a20,1fb1685ffb268a20c56c6ab270dc9fe33cb70ba30c1013d6556ba7d9239c66d6,EX_N2_L79_H42_C161,EX_N2_L79_H42_C161,Explicit,2,,42,79,161,,9,645,L79 H42 L79 H42 L161 H42 L79 H42 L79,native_m1,GaN -> reverse(stack) -> Air,TMM_GEO_1fb1685ffb268a20,tmm_coarse,coarse,TMM,,,,,7.229159500894471,false,accepted,false,false,missing,not_computed
canonical_tmm_sweep,sparse_angular_analysis,GEO_866cf98938b21a3e,866cf98938b21a3e98f6d3167e743ca38db6a6a434b5ccbfed07cde237ca5c7e,EX_N2_L79_H42_C162,EX_N2_L79_H42_C162,Explicit,2,,42,79,162,,9,646,L79 H42 L79 H42 L162 H42 L79 H42 L79,native_m1,GaN -> reverse(stack) -> Air,TMM_GEO_866cf98938b21a3e,tmm_coarse,coarse,TMM,,,,,7.317543409664406,false,accepted,false,false,missing,not_computed
canonical_tmm_sweep,sparse_angular_analysis,GEO_55093f31dd433c23,55093f31dd433c230d7e133ea7ef9e061463029cfa4e0a76ad2b3905659eeecc,EX_N2_L80_H42_C152,EX_N2_L80_H42_C152,Explicit,2,,42,80,152,,9,640,L80 H42 L80 H42 L152 H42 L80 H42 L80,native_m1,GaN -> reverse(stack) -> Air,TMM_GEO_55093f31dd433c23,tmm_coarse,coarse,TMM,,,,,4.483452521793119,false,accepted,false,false,missing,not_computed
canonical_tmm_sweep,sparse_angular_analysis,GEO_346896dd07b19566,346896dd07b19566c297d7e4e6a23dcabb6665003aab676f6f6485eb74be064f,EX_N2_L80_H42_C153,EX_N2_L80_H42_C153,Explicit,2,,42,80,153,,9,641,L80 H42 L80 H42 L153 H42 L80 H42 L80,native_m1,GaN -> reverse(stack) -> Air,TMM_GEO_346896dd07b19566,tmm_coarse,coarse,TMM,,,,,4.820820919279111,false,accepted,false,false,missing,not_computed
canonical_tmm_sweep,sparse_angular_analysis,GEO_9d5bf9e0ff3722b2,9d5bf9e0ff3722b21b9eaffcaefced0328d3d16a7050a39f00721601d809b374,EX_N2_L80_H42_C154,EX_N2_L80_H42_C154,Explicit,2,,42,80,154,,9,642,L80 H42 L80 H42 L154 H42 L80 H42 L80,native_m1,GaN -> reverse(stack) -> Air,TMM_GEO_9d5bf9e0ff3722b2,tmm_coarse,coarse,TMM,,,,,5.18017741457191,false,accepted,false,false,missing,not_computed
canonical_tmm_sweep,sparse_angular_analysis,GEO_2cd8baad4152183d,2cd8baad4152183d43249b7ec3f6487b67137fcc9415973d294881aa3a381e06,EX_N2_L80_H42_C155,EX_N2_L80_H42_C155,Explicit,2,,42,80,155,,9,643,L80 H42 L80 H42 L155 H42 L80 H42 L80,native_m1,GaN -> reverse(stack) -> Air,TMM_GEO_2cd8baad4152183d,tmm_coarse,coarse,TMM,,,,,5.556636919595742,false,accepted,false,false,missing,not_computed
canonical_tmm_sweep,sparse_angular_analysis,GEO_aeffca830b04e592,aeffca830b04e592cd67ee60e60c62a31d38a0ce06689357ce4ca5e98df02999,EX_N2_L80_H42_C156,EX_N2_L80_H42_C156,Explicit,2,,42,80,156,,9,644,L80 H42 L80 H42 L156 H42 L80 H42 L80,native_m1,GaN -> reverse(stack) -> Air,TMM_GEO_aeffca830b04e592,tmm_coarse,coarse,TMM,,,,,5.941780533919246,false,accepted,false,false,missing,not_computed
