candidate_id,wavelength_nm,S0,S1,S2,S3,DoLP,LP_TARGET_FRACTION
GLOBAL_018,453.0,1.0192131650478151,1.0126050081193871,0.03467567846602782,0.014889473339742141,0.9940987679862725,0.996758206646537
GLOBAL_018,454.0,0.9692610881250718,0.8283889793553163,0.037763655686371765,-0.010990313564910158,0.8555479076734198,0.9273301536110063
GLOBAL_018,455.0,0.5715560522599455,-0.3256732590752689,-0.026093868358635395,0.016070959808855156,0.5716271272633285,0.2150994571857393
GLOBAL_018,456.0,0.9250250019107049,0.12597142911229575,0.0009840591541301,0.0009538187058741512,0.13618580299202182,0.5680908239518353
GLOBAL_018,457.0,1.3358054197403095,0.1896671803833343,0.00798292051628641,0.00022898730760229948,0.1421128408403659,0.5709935659716844
GLOBAL_018,458.0,1.6151358688999016,0.046311586769416824,0.004009706547384676,-0.00014952275209240487,0.02878076445832938,0.5143367464190367
GLOBAL_018,459.0,1.6990453405108064,0.03918663129773692,-0.0028259414364493734,0.0009148457779370629,0.023123806362741816,0.5115319557293143
GLOBAL_018,460.0,1.7860148151395705,-0.0009285798558451575,0.0039727754993068454,-0.0005802682431899908,0.002284333592604057,0.4997400413904818
GLOBAL_018,461.0,1.8502511662165448,-0.049734695327516176,-0.003719952241409804,-0.00016975158169445226,0.026955053903698498,0.48656001513858915
GLOBAL_018,462.0,1.8506951594098142,-0.021236607058430446,-0.0028769236414761664,7.478852564007411e-05,0.011579751237506816,0.4942625323920978
GLOBAL_018,463.0,1.9035719088882894,-0.052824297988835034,0.0031604330679548057,-0.0007728276133905608,0.027799715002418755,0.4861249533726085
GLOBAL_018,464.0,1.8992293002798724,-0.06585566239665885,-0.008285644107081595,-0.0001667564122394133,0.034948305551169435,0.482662529904379
GLOBAL_018,465.0,1.9094413350965982,-0.03164996745020632,0.0005981553976977588,-0.0002353545484651172,0.01657847175418625,0.4917122440819568
H1C1B_V2_012,435.0,1.6072877099101213,0.35498855628872117,-0.00974704286070945,-0.0044268703966490915,0.22094510076922508,0.61043093097146
H1C1B_V2_012,436.0,1.5854617207651533,0.3375682941743995,-0.026284154165201266,-0.007623322105735901,0.2135592603047953,0.6064574091424569
H1C1B_V2_012,437.0,1.5129837551320346,0.2931013917444023,-0.014448809723334025,-0.012240500440741778,0.19395932769815716,0.5968620418924537
H1C1B_V2_012,438.0,1.0194048377975218,-0.2157232991514365,0.1380564752179605,-0.005505745402555773,0.2512421063487912,0.39419154630582376
H1C1B_V2_012,439.0,1.4313077362154076,0.24682159537537118,0.13111485445863852,0.061805643326148296,0.19526566020178932,0.5862224066600815
