module,is_package,import_ok,path,public_callables_preview
fmmax.farfield,False,True,C:\Users\DELL\AppData\Local\Programs\Python\Python312\Lib\site-packages\fmmax\farfield.py,"Callable(*args, **kwargs) | Tuple(*args, **kwargs) | farfield_profile(flux: jax.Array, wavelength: jax.Array, in_plane_wavevector: jax.Array, primitive_lattice_vectors: fmmax._basis.LatticeVectors, expansion: fmmax._basis.Expansion, brillouin_grid_axes: Tuple[int, int]) -> Tuple[jax.Array, jax.Array, jax.Array, jax.Array] | farfield_integrated_flux(flux: jax.Array, wavelength: jax.Array, in_plane_wavevector: jax.Array, primitive_lattice_vectors: fmmax._basis.LatticeVectors, expansion: fmmax._basis.Expansion, brillouin_grid_axes: Tuple[int, int], angle_bounds_fn: Callable[[jax.Array, jax.Array], jax.Array], upsample_factor: int) -> jax.Array"
fmmax.fft,False,True,C:\Users\DELL\AppData\Local\Programs\Python\Python312\Lib\site-packages\fmmax\fft.py,"Tuple(*args, **kwargs) | fourier_convolution_matrix(x: jax.Array, expansion: fmmax._basis.Expansion) -> jax.Array | fft(x: jax.Array, expansion: fmmax._basis.Expansion, axes: Tuple[int, int] = (-2, -1), centered_coordinates: bool = True) -> jax.Array | ifft(y: jax.Array, expansion: fmmax._basis.Expansion, shape: Tuple[int, int], axis: int = -1, centered_coordinates: bool = True) -> jax.Array"
fmmax.fields,False,True,C:\Users\DELL\AppData\Local\Programs\Python\Python312\Lib\site-packages\fmmax\fields.py,"Tuple(*args, **kwargs) | amplitude_poynting_flux(forward_amplitude: jax.Array, backward_amplitude: jax.Array, layer_solve_result: fmmax._fmm_result.LayerSolveResult) -> Tuple[jax.Array, jax.Array] | colocate_amplitudes(forward_amplitude_start: jax.Array, backward_amplitude_end: jax.Array, z_offset: jax.Array, layer_solve_result: fmmax._fmm_result.LayerSolveResult, layer_thickness: jax.Array) -> Tuple[jax.Array, jax.Array] | directional_poynting_flux(forward_amplitude: jax.Array, backward_amplitude: jax.Array, layer_solve_result: fmmax._fmm_result.LayerSolveResult) -> Tuple[jax.Array, jax.Array] | eigenmode_poynting_flux(layer_solve_result: fmmax._fmm_result.LayerSolveResult) -> jax.Array | field_conversion_matrix(layer_solve_result: fmmax._fmm_result.LayerSolveResult) -> jax.Array | fields_from_wave_amplitudes(forward_amplitude: jax.Array, backward_amplitude: jax.Array, layer_solve_result: fmmax._fmm_result.LayerSolveResult) -> Tuple[Tuple[jax.Array, jax.Array, jax.Array], Tuple[jax.Array, jax.Array, jax.Array]] | fields_on_coordinates(electric_field: Tuple[jax.Array, jax.Array, jax.Array], magnetic_field: Tuple[jax.Array, jax.Array, jax.Array], layer_solve_result: fmmax._fmm_result.LayerSolveResult, x: jax.Array, y: jax.Array, brillouin_grid_axes: Optional[Tuple[int, int]] = None) -> Tuple[Tuple[jax.Array, jax.Array, jax.Array], Tuple[jax.Array, jax.Array, jax.Array], Tuple[jax.Array, jax.Array]] | fields_on_grid(electric_field: Tuple[jax.Array, jax.Array, jax.Array], magnetic_field: Tuple[jax.Array, jax.Array, jax.Array], layer_solve_result: fmmax._fmm_result.LayerSolveResult, shape: Tuple[int, int], num_unit_cells: Optional[Tuple[int, int]] = None, brillouin_grid_axes: Optional[Tuple[int, int]] = None) -> Tuple[Tuple[jax.Array, jax.Array, jax.Array], Tuple[jax.Array, jax.Array, jax.Array], Tuple[jax.Array, jax.Array]] | layer_amplitudes_interior(s_matrix_before: fmmax._scattering.ScatteringMatrix, s_matrix_after: fmmax._scattering.ScatteringMatrix, forward_amplitude_0_start: jax.Array, backward_amplitude_N_end: jax.Array) -> Tuple[jax.Array, jax.Array] | layer_fields_3d(forward_amplitude_start: jax.Array, backward_amplitude_end: jax.Array, layer_solve_result: fmmax._fmm_result.LayerSolveResult, layer_thickness: jax.Array, layer_znum: int, grid_shape: Tuple[int, int], num_unit_cells: Optional[Tuple[int, int]] = None, brillouin_grid_axes: Optional[Tuple[int, int]] = None) -> Tuple[jax.Array, jax.Array, Tuple[jax.Array, jax.Array, jax.Array]] | layer_fields_3d_on_coordinates(forward_amplitude_start: jax.Array, backward_amplitude_end: jax.Array, layer_solve_result: fmmax._fmm_result.LayerSolveResult, layer_thickness: jax.Array, layer_znum: int, x: jax.Array, y: jax.Array, brillouin_grid_axes: Optional[Tuple[int, int]] = None) -> Tuple[jax.Array, jax.Array, Tuple[jax.Array, jax.Array, jax.Array]]"
fmmax.fmm,False,True,C:\Users\DELL\AppData\Local\Programs\Python\Python312\Lib\site-packages\fmmax\fmm.py,"Callable(*args, **kwargs) | Optional(*args, **kwds) | Tuple(*args, **kwargs) | Formulation(*values) | broadcast_result(layer_solve_result: 'LayerSolveResult', shape: Tuple[int, ...]) -> 'LayerSolveResult' | LayerSolveResult(wavelength: jax.Array, in_plane_wavevector: jax.Array, primitive_lattice_vectors: fmmax._basis.LatticeVectors, expansion: fmmax._basis.Expansion, eigenvalues: jax.Array, eigenvectors: jax.Array, omega_script_k_matrix: jax.Array, z_permittivity_matrix: jax.Array, inverse_z_permittivity_matrix: jax.Array, transverse_permittivity_matrix: jax.Array, z_permeability_matrix: jax.Array, inverse_z_permeability_matrix: jax.Array, transverse_permeability_matrix: jax.Array, tangent_vector_field: Optional[Tuple[jax.Array, jax.Array]]) -> None | TensorComponents(*args, **kwargs) | VectorFn(*args, **kwargs) | eigensolve_isotropic_media(wavelength: jax.Array, in_plane_wavevector: jax.Array, primitive_lattice_vectors: fmmax._basis.LatticeVectors, permittivity: jax.Array, expansion: fmmax._basis.Expansion, formulation: Union[fmmax._fmm.Formulation, Callable[[jax.Array, fmmax._basis.Expansion, fmmax._basis.LatticeVectors], Tuple[jax.Array, jax.Array]]] = <Formulation.JONES_DIRECT_FOURIER: 'jones_direct_fourier'>) -> 'LayerSolveResult' | eigensolve_anisotropic_media(wavelength: jax.Array, in_plane_wavevector: jax.Array, primitive_lattice_vectors: fmmax._basis.LatticeVectors, permittivity_xx: jax.Array, permittivity_xy: jax.Array, permittivity_yx: jax.Array, permittivity_yy: jax.Array, permittivity_zz: jax.Array, expansion: fmmax._basis.Expansion, formulation: Union[fmmax._fmm.Formulation, Callable[[jax.Array, fmmax._basis.Expansion, fmmax._basis.LatticeVectors], Tuple[jax.Array, jax.Array]]] = <Formulation.JONES_DIRECT_FOURIER: 'jones_direct_fourier'>) -> 'LayerSolveResult' | eigensolve_general_anisotropic_media(wavelength: jax.Array, in_plane_wavevector: jax.Array, primitive_lattice_vectors: fmmax._basis.LatticeVectors, permittivity_xx: jax.Array, permittivity_xy: jax.Array, permittivity_yx: jax.Array, permittivity_yy: jax.Array, permittivity_zz: jax.Array, permeability_xx: jax.Array, permeability_xy: jax.Array, permeability_yx: jax.Array, permeability_yy: jax.Array, permeability_zz: jax.Array, expansion: fmmax._basis.Expansion, formulation: Union[fmmax._fmm.Formulation, Callable[[jax.Array, fmmax._basis.Expansion, fmmax._basis.LatticeVectors], Tuple[jax.Array, jax.Array]]] = <Formulation.JONES_DIRECT_FOURIER: 'jones_direct_fourier'>, vector_field_source: Optional[jax.Array] = None) -> 'LayerSolveResult'"
fmmax.fmm_matrices,False,True,C:\Users\DELL\AppData\Local\Programs\Python\Python312\Lib\site-packages\fmmax\fmm_matrices.py,"Tuple(*args, **kwargs) | omega_script_k_matrix_patterned(wavelength: jax.Array, z_permittivity_matrix: jax.Array, transverse_permeability_matrix: jax.Array, transverse_wavevectors: jax.Array) -> jax.Array | script_k_matrix_uniform(permittivity: jax.Array, transverse_wavevectors: jax.Array) -> jax.Array | script_k_matrix_patterned(z_permittivity_matrix: jax.Array, transverse_wavevectors: jax.Array) -> jax.Array | k_matrix_patterned(z_permeability_matrix: jax.Array, transverse_wavevectors: jax.Array) -> jax.Array | transverse_permittivity_fft(permittivity: jax.Array, expansion: fmmax._basis.Expansion) -> jax.Array | transverse_permittivity_vector(permittivity: jax.Array, tx: jax.Array, ty: jax.Array, expansion: fmmax._basis.Expansion) -> jax.Array | transverse_permittivity_fft_anisotropic(permittivity_xx: jax.Array, permittivity_xy: jax.Array, permittivity_yx: jax.Array, permittivity_yy: jax.Array, expansion: fmmax._basis.Expansion) -> jax.Array | transverse_permeability_fft_anisotropic(permeability_xx: jax.Array, permeability_xy: jax.Array, permeability_yx: jax.Array, permeability_yy: jax.Array, expansion: fmmax._basis.Expansion) -> jax.Array | transverse_permittivity_vector_anisotropic(permittivity_xx: jax.Array, permittivity_xy: jax.Array, permittivity_yx: jax.Array, permittivity_yy: jax.Array, tx: jax.Array, ty: jax.Array, expansion: fmmax._basis.Expansion) -> jax.Array | transverse_permeability_vector_anisotropic(permeability_xx: jax.Array, permeability_xy: jax.Array, permeability_yx: jax.Array, permeability_yy: jax.Array, tx: jax.Array, ty: jax.Array, expansion: fmmax._basis.Expansion) -> jax.Array"
fmmax.misc,False,True,C:\Users\DELL\AppData\Local\Programs\Python\Python312\Lib\site-packages\fmmax\misc.py,"Tuple(*args, **kwargs) | diag(x: jax.Array) -> jax.Array | matrix_adjoint(x: jax.Array) -> jax.Array | batch_compatible_shapes(*shapes: Tuple[int, ...]) -> bool | atleast_nd(x: jax.Array, n: int) -> jax.Array"
fmmax.pml,False,True,C:\Users\DELL\AppData\Local\Programs\Python\Python312\Lib\site-packages\fmmax\pml.py,"Tuple(*args, **kwargs) | PMLParams(num_x: int, num_y: int, a_max: float = 4.0, p: float = 4.0, sigma_max: float = 1.0) -> None | apply_uniaxial_pml(permittivity: jax.Array, pml_params: fmmax.pml.PMLParams) -> Tuple[Tuple[jax.Array, jax.Array, jax.Array, jax.Array, jax.Array], Tuple[jax.Array, jax.Array, jax.Array, jax.Array, jax.Array]]"
fmmax.scattering,False,True,C:\Users\DELL\AppData\Local\Programs\Python\Python312\Lib\site-packages\fmmax\scattering.py,"Sequence(*args, **kwargs) | Tuple(*args, **kwargs) | ScatteringMatrix(s11: jax.Array, s12: jax.Array, s21: jax.Array, s22: jax.Array, start_layer_solve_result: fmmax._fmm_result.LayerSolveResult, start_layer_thickness: jax.Array, end_layer_solve_result: fmmax._fmm_result.LayerSolveResult, end_layer_thickness: jax.Array) -> None | append_layer(s_matrix: fmmax._scattering.ScatteringMatrix, next_layer_solve_result: fmmax._fmm_result.LayerSolveResult, next_layer_thickness: jax.Array, force_x64_solve: bool = False) -> fmmax._scattering.ScatteringMatrix | prepend_layer(s_matrix: fmmax._scattering.ScatteringMatrix, next_layer_solve_result: fmmax._fmm_result.LayerSolveResult, next_layer_thickness: jax.Array, force_x64_solve: bool = False) -> fmmax._scattering.ScatteringMatrix | set_end_layer_thickness(s_matrix: fmmax._scattering.ScatteringMatrix, thickness: jax.Array) -> fmmax._scattering.ScatteringMatrix | set_start_layer_thickness(s_matrix: fmmax._scattering.ScatteringMatrix, thickness: jax.Array) -> fmmax._scattering.ScatteringMatrix | stack_s_matrix(layer_solve_results: Sequence[fmmax._fmm_result.LayerSolveResult], layer_thicknesses: Sequence[jax.Array], force_x64_solve: bool = False) -> 'ScatteringMatrix' | stack_s_matrices_interior(layer_solve_results: Sequence[fmmax._fmm_result.LayerSolveResult], layer_thicknesses: Sequence[jax.Array], force_x64_solve: bool = False) -> Tuple[Tuple[ForwardRef('ScatteringMatrix'), ForwardRef('ScatteringMatrix')], ...] | stack_s_matrix_scan(layer_solve_results: fmmax._fmm_result.LayerSolveResult, layer_thicknesses: jax.Array, force_x64_solve: bool = False) -> 'ScatteringMatrix' | redheffer_star_product(a: 'ScatteringMatrix', b: 'ScatteringMatrix', force_x64_solve: bool = False) -> 'ScatteringMatrix'"
fmmax.sources,False,True,C:\Users\DELL\AppData\Local\Programs\Python\Python312\Lib\site-packages\fmmax\sources.py,"Optional(*args, **kwds) | Tuple(*args, **kwargs) | amplitudes_for_fields(ex: jax.Array, ey: jax.Array, hx: jax.Array, hy: jax.Array, layer_solve_result: fmmax._fmm_result.LayerSolveResult, brillouin_grid_axes: Optional[Tuple[int, int]] = None) -> Tuple[jax.Array, jax.Array] | dirac_delta_source(location: jax.Array, in_plane_wavevector: jax.Array, primitive_lattice_vectors: fmmax._basis.LatticeVectors, expansion: fmmax._basis.Expansion) -> jax.Array | gaussian_source(fwhm: jax.Array, location: jax.Array, in_plane_wavevector: jax.Array, primitive_lattice_vectors: fmmax._basis.LatticeVectors, expansion: fmmax._basis.Expansion) -> jax.Array | amplitudes_for_source(jx: jax.Array, jy: jax.Array, jz: jax.Array, s_matrix_before_source: fmmax._scattering.ScatteringMatrix, s_matrix_after_source: fmmax._scattering.ScatteringMatrix) -> Tuple[jax.Array, jax.Array, jax.Array, jax.Array, jax.Array, jax.Array]"
fmmax.translate,False,True,C:\Users\DELL\AppData\Local\Programs\Python\Python312\Lib\site-packages\fmmax\translate.py,"translate_layer_solve_result(solve_result: fmmax._fmm_result.LayerSolveResult, dx: jax.Array, dy: jax.Array) -> fmmax._fmm_result.LayerSolveResult"
fmmax.utils,False,True,C:\Users\DELL\AppData\Local\Programs\Python\Python312\Lib\site-packages\fmmax\utils.py,"absolute_axes(axes: Tuple[int, ...], ndim: int) -> Tuple[int, ...] | angular_frequency_for_wavelength(wavelength: jax.Array) -> jax.Array | interpolate_permittivity(permittivity_solid: jax.Array, permittivity_void: jax.Array, density: jax.Array) -> jax.Array | solve(a: jax.Array, b: jax.Array, *, force_x64_solve: bool) -> jax.Array"
fmmax.vector,False,True,C:\Users\DELL\AppData\Local\Programs\Python\Python312\Lib\site-packages\fmmax\vector.py,"Callable(*args, **kwargs) | Dict(*args, **kwargs) | List(*args, **kwargs) | Tuple(*args, **kwargs) | compute_field_jones_direct(arr: jax.Array, expansion: fmmax._basis.Expansion, primitive_lattice_vectors: fmmax._basis.LatticeVectors, fourier_loss_weight: float, smoothness_loss_weight: float) -> Tuple[jax.Array, jax.Array] | compute_field_pol(arr: jax.Array, expansion: fmmax._basis.Expansion, primitive_lattice_vectors: fmmax._basis.LatticeVectors, fourier_loss_weight: float, smoothness_loss_weight: float) -> Tuple[jax.Array, jax.Array] | compute_field_jones(arr: jax.Array, expansion: fmmax._basis.Expansion, primitive_lattice_vectors: fmmax._basis.LatticeVectors, fourier_loss_weight: float, smoothness_loss_weight: float) -> Tuple[jax.Array, jax.Array] | compute_field_normal(arr: jax.Array, expansion: fmmax._basis.Expansion, primitive_lattice_vectors: fmmax._basis.LatticeVectors, fourier_loss_weight: float, smoothness_loss_weight: float) -> Tuple[jax.Array, jax.Array] | compute_tangent_field(arr: jax.Array, expansion: fmmax._basis.Expansion, primitive_lattice_vectors: fmmax._basis.LatticeVectors, use_jones_direct: bool, fourier_loss_weight: float, smoothness_loss_weight: float, steps: int = 1) -> Tuple[jax.Array, jax.Array] | VectorFn(*args, **kwargs)"
