selection,rank_ascending_eta_plus1_mae,geometry_id,polarization,wavelength_nm,eta_plus1_truth,eta_plus1_prediction,absolute_error,spectral_provider
Worst,22,K6X_D135_D155_D190_D220_D225_D230,s,445,0.5143383853068383,0.6381219363506829,0.12378355104384464,LF_ridge_residual/ensemble_raw
Worst,22,K6X_D135_D155_D190_D220_D225_D230,s,446,0.5438623880893885,0.6358812725536993,0.09201888446431084,LF_ridge_residual/ensemble_raw
Worst,22,K6X_D135_D155_D190_D220_D225_D230,s,447,0.5683545993991824,0.6314344126841936,0.06307981328501122,LF_ridge_residual/ensemble_raw
Worst,22,K6X_D135_D155_D190_D220_D225_D230,s,448,0.5593880570975035,0.6256410520141988,0.06625299491669534,LF_ridge_residual/ensemble_raw
Worst,22,K6X_D135_D155_D190_D220_D225_D230,s,449,0.5345716431939079,0.6178998915586674,0.0833282483647595,LF_ridge_residual/ensemble_raw
Worst,22,K6X_D135_D155_D190_D220_D225_D230,s,450,0.5199116253906817,0.6050798266849475,0.08516820129426583,LF_ridge_residual/ensemble_raw
Worst,22,K6X_D135_D155_D190_D220_D225_D230,s,451,0.517106989665609,0.5829729384171309,0.06586594875152196,LF_ridge_residual/ensemble_raw
Worst,22,K6X_D135_D155_D190_D220_D225_D230,s,452,0.5156131916090246,0.543853008365538,0.028239816756513325,LF_ridge_residual/ensemble_raw
Worst,22,K6X_D135_D155_D190_D220_D225_D230,s,453,0.5098526075680031,0.4901718274656417,0.019680780102361406,LF_ridge_residual/ensemble_raw
Worst,22,K6X_D135_D155_D190_D220_D225_D230,s,454,0.49764480487574486,0.44178135152160386,0.055863453354141,LF_ridge_residual/ensemble_raw
Worst,22,K6X_D135_D155_D190_D220_D225_D230,s,455,0.4807633790952504,0.4208599999222658,0.059903379172984605,LF_ridge_residual/ensemble_raw
