kind,lambda_nm,monitor,order_m,power_raw,state_air,state_substrate,u1
reflection,446.99999999999994,reflection_monitor,-2,0.02694962840439389,EVANESCENT,PROPAGATING,-0.8398572050751468
reflection,446.99999999999994,reflection_monitor,-1,0.11086521626787664,PROPAGATING,PROPAGATING,-0.659728322383787
reflection,446.99999999999994,reflection_monitor,0,0.01509391296643844,PROPAGATING,PROPAGATING,-0.479599439692427
reflection,446.99999999999994,reflection_monitor,1,0.1431342224946725,PROPAGATING,PROPAGATING,-0.2994705570010671
reflection,446.99999999999994,reflection_monitor,2,0.07493675928968153,PROPAGATING,PROPAGATING,-0.11934167430970717
reflection,446.99999999999994,reflection_monitor,3,0.03769149536482812,PROPAGATING,PROPAGATING,0.060787208381652795
reflection,446.99999999999994,reflection_monitor,4,0.014649559022843421,PROPAGATING,PROPAGATING,0.2409160910730127
reflection,446.99999999999994,reflection_monitor,5,0.11007128444833505,PROPAGATING,PROPAGATING,0.4210449737643727
reflection,446.99999999999994,reflection_monitor,6,0.2423749872810953,PROPAGATING,PROPAGATING,0.6011738564557326
reflection,446.99999999999994,reflection_monitor,7,0.06952264546003116,EVANESCENT,PROPAGATING,0.7813027391470926
reflection,446.99999999999994,reflection_monitor,8,0.15471028899980402,EVANESCENT,PROPAGATING,0.9614316218384524
transmission,448.00000000000006,transmission_monitor,-1,0.17147303315321727,PROPAGATING,PROPAGATING,-0.9429974958233579
transmission,448.00000000000006,transmission_monitor,0,0.10870572198624115,PROPAGATING,PROPAGATING,-0.6855262314555418
transmission,448.00000000000006,transmission_monitor,1,0.188035557906548,PROPAGATING,PROPAGATING,-0.4280549670877258
transmission,448.00000000000006,transmission_monitor,2,0.205553556610004,PROPAGATING,PROPAGATING,-0.17058370271990964
transmission,448.00000000000006,transmission_monitor,3,0.049711439063408525,PROPAGATING,PROPAGATING,0.0868875616479065
transmission,448.00000000000006,transmission_monitor,4,0.06489534255466688,PROPAGATING,PROPAGATING,0.34435882601572254
transmission,448.00000000000006,transmission_monitor,5,0.02671120560143619,PROPAGATING,PROPAGATING,0.6018300903835387
transmission,448.00000000000006,transmission_monitor,6,0.1849141431244779,PROPAGATING,PROPAGATING,0.8593013547513548
reflection,448.00000000000006,reflection_monitor,-2,0.024919518225698926,EVANESCENT,PROPAGATING,-0.841736080254286
