monitor,z_nm,wavelength_nm,signed_T_result,raw_Pz_integral_W,sourcepower_W,raw_Pz_over_sourcepower,raw_vs_T_difference
N1_DIAG_LOWER_OUTSIDE,-110.0,448.00000000000006,0.6122882807284342,1.1520927207787138e-15,9.408090576289273e-16,0.612288280728437,2.7755575615628914e-15
N1_DIAG_LOWER_OUTSIDE,-110.0,449.0,0.6376242250590469,1.1998454498506104e-15,9.408719138137385e-16,0.6376242250590446,-2.3314683517128287e-15
N1_DIAG_LOWER_OUTSIDE,-110.0,450.0,0.7421576876216821,1.3966433269526102e-15,9.409343527979162e-16,0.7421576876216817,-4.440892098500626e-16
N1_DIAG_LOWER_OUTSIDE,-110.0,450.9999999999999,0.7452180673576615,1.4024950047985667e-15,9.409963782624261e-16,0.7452180673576606,-8.881784197001252e-16
N1_DIAG_LOWER_OUTSIDE,-110.0,451.99999999999994,0.7521682180463166,1.4156678286214269e-15,9.410579938477605e-16,0.7521682180463186,1.9984014443252818e-15
N1_DIAG_LOWER_OUTSIDE,-110.0,453.00000000000006,0.7567233338498205,1.424333721922277e-15,9.411192031544697e-16,0.7567233338498223,1.7763568394002505e-15
N1_DIAG_LOWER_OUTSIDE,-110.0,453.9999999999999,0.7609591353734315,1.4323990528906283e-15,9.411800097436879e-16,0.7609591353734311,-4.440892098500626e-16
N1_DIAG_LOWER_OUTSIDE,-110.0,455.00000000000006,0.7674527595977899,1.4447151111545262e-15,9.412404171376484e-16,0.7674527595977898,-1.1102230246251565e-16
N1_DIAG_LOWER_INSIDE,-90.0,445.0,0.7737565540256897,1.4556186048832054e-15,9.406179484425252e-16,0.7737565540256903,6.661338147750939e-16
N1_DIAG_LOWER_INSIDE,-90.0,445.99999999999994,0.7662227840922823,1.4415440826172521e-15,9.406820787279247e-16,0.7662227840922825,2.220446049250313e-16
N1_DIAG_LOWER_INSIDE,-90.0,446.99999999999994,0.7658742462100656,1.4409859310644153e-15,9.407457805215036e-16,0.765874246210067,1.3322676295501878e-15
N1_DIAG_LOWER_INSIDE,-90.0,448.00000000000006,0.6122146987669123,1.151954267626953e-15,9.408090576289273e-16,0.6122146987669125,2.220446049250313e-16
N1_DIAG_LOWER_INSIDE,-90.0,449.0,0.6375706431667272,1.1997446224554674e-15,9.408719138137385e-16,0.6375706431667261,-1.1102230246251565e-15
N1_DIAG_LOWER_INSIDE,-90.0,450.0,0.7421852400221715,1.396695176952857e-15,9.409343527979162e-16,0.742185240022172,5.551115123125783e-16
N1_DIAG_LOWER_INSIDE,-90.0,450.9999999999999,0.7451912040668272,1.4024444482798012e-15,9.409963782624261e-16,0.7451912040668268,-3.3306690738754696e-16
N1_DIAG_LOWER_INSIDE,-90.0,451.99999999999994,0.752187806668547,1.4157046966804956e-15,9.410579938477605e-16,0.7521878066685447,-2.3314683517128287e-15
N1_DIAG_LOWER_INSIDE,-90.0,453.00000000000006,0.75670757699323,1.424304063761635e-15,9.411192031544697e-16,0.7567075769932293,-6.661338147750939e-16
N1_DIAG_LOWER_INSIDE,-90.0,453.9999999999999,0.760963038748788,1.4324064004483432e-15,9.411800097436879e-16,0.760963038748789,9.992007221626409e-16
N1_DIAG_LOWER_INSIDE,-90.0,455.00000000000006,0.7674569439745997,1.444722988163672e-15,9.412404171376484e-16,0.7674569439745986,-1.1102230246251565e-15
N1_DIAG_UPPER_INSIDE,590.0,445.0,0.7712941647692355,1.4509862698218594e-15,9.406179484425252e-16,0.771294164769236,4.440892098500626e-16
N1_DIAG_UPPER_INSIDE,590.0,445.99999999999994,0.7684581560156869,1.445749631232528e-15,9.406820787279247e-16,0.7684581560156867,-2.220446049250313e-16
N1_DIAG_UPPER_INSIDE,590.0,446.99999999999994,0.764281360571098,1.4379889301769844e-15,9.407457805215036e-16,0.7642813605710957,-2.220446049250313e-15
N1_DIAG_UPPER_INSIDE,590.0,448.00000000000006,0.5320070772065595,1.0010341539172492e-15,9.408090576289273e-16,0.532007077206561,1.5543122344752192e-15
N1_DIAG_UPPER_INSIDE,590.0,449.0,0.6328667999982172,1.1908931946070032e-15,9.408719138137385e-16,0.6328667999982199,2.7755575615628914e-15
N1_DIAG_UPPER_INSIDE,590.0,450.0,0.7483078293452197,1.4082170861971108e-15,9.409343527979162e-16,0.7483078293452171,-2.55351295663786e-15
N1_DIAG_UPPER_INSIDE,590.0,450.9999999999999,0.7395999155558578,1.391921683802515e-15,9.409963782624261e-16,0.7395999155558568,-9.992007221626409e-16
N1_DIAG_UPPER_INSIDE,590.0,451.99999999999994,0.7567892563622236,1.4243651587155445e-15,9.410579938477605e-16,0.7567892563622232,-4.440892098500626e-16
N1_DIAG_UPPER_INSIDE,590.0,453.00000000000006,0.7521056738959865,1.415642185009894e-15,9.411192031544697e-16,0.7521056738959873,7.771561172376096e-16
N1_DIAG_UPPER_INSIDE,590.0,453.9999999999999,0.7640736496851975,1.4382616901112194e-15,9.411800097436879e-16,0.7640736496851979,3.3306690738754696e-16
N1_DIAG_UPPER_INSIDE,590.0,455.00000000000006,0.7649059038234061,1.4399207039715857e-15,9.412404171376484e-16,0.7649059038234063,2.220446049250313e-16
N1_DIAG_UPPER_OUTSIDE,610.0,445.0,0.7712796048003827,1.4509588790857972e-15,9.406179484425252e-16,0.7712796048003838,1.1102230246251565e-15
N1_DIAG_UPPER_OUTSIDE,610.0,445.99999999999994,0.7684712559691571,1.445774277015453e-15,9.406820787279247e-16,0.7684712559691579,7.771561172376096e-16
N1_DIAG_UPPER_OUTSIDE,610.0,446.99999999999994,0.7642667241063535,1.437961391792086e-15,9.407457805215036e-16,0.7642667241063522,-1.3322676295501878e-15
N1_DIAG_UPPER_OUTSIDE,610.0,448.00000000000006,0.5320027624764244,1.001026035242863e-15,9.408090576289273e-16,0.5320027624764251,6.661338147750939e-16
N1_DIAG_UPPER_OUTSIDE,610.0,449.0,0.6328510759509939,1.1908636059781922e-15,9.408719138137385e-16,0.6328510759509949,9.992007221626409e-16
N1_DIAG_UPPER_OUTSIDE,610.0,450.0,0.7483164404477922,1.4082332911615687e-15,9.409343527979162e-16,0.7483164404477929,6.661338147750939e-16
N1_DIAG_UPPER_OUTSIDE,610.0,450.9999999999999,0.7395961356820226,1.391914570107334e-15,9.409963782624261e-16,0.7395961356820202,-2.4424906541753444e-15
N1_DIAG_UPPER_OUTSIDE,610.0,451.99999999999994,0.7567860318438168,1.4243590897979036e-15,9.410579938477605e-16,0.7567860318438191,2.3314683517128287e-15
N1_DIAG_UPPER_OUTSIDE,610.0,453.00000000000006,0.7521149498740671,1.415659644612093e-15,9.411192031544697e-16,0.7521149498740676,4.440892098500626e-16
N1_DIAG_UPPER_OUTSIDE,610.0,453.9999999999999,0.7640573969234737,1.438231096562344e-15,9.411800097436879e-16,0.764057396923474,2.220446049250313e-16
N1_DIAG_UPPER_OUTSIDE,610.0,455.00000000000006,0.764925209293141,1.4399570461483556e-15,9.412404171376484e-16,0.7649252092931397,-1.3322676295501878e-15
N1_DIAG_PML_UPPER,1100.0,445.0,0.7710227055636133,1.4504755910196972e-15,9.406179484425252e-16,0.7710227055636107,-2.55351295663786e-15
N1_DIAG_PML_UPPER,1100.0,445.99999999999994,0.7687327503329839,1.4462662431389342e-15,9.406820787279247e-16,0.768732750332985,1.1102230246251565e-15
N1_DIAG_PML_UPPER,1100.0,446.99999999999994,0.7640020074585612,1.4374633296531985e-15,9.407457805215036e-16,0.7640020074585606,-5.551115123125783e-16
N1_DIAG_PML_UPPER,1100.0,448.00000000000006,0.5321161881317688,1.0012394590106929e-15,9.408090576289273e-16,0.5321161881317689,1.1102230246251565e-16
N1_DIAG_PML_UPPER,1100.0,449.0,0.6325567413427461,1.1903097436458621e-15,9.408719138137385e-16,0.6325567413427456,-4.440892098500626e-16
N1_DIAG_PML_UPPER,1100.0,450.0,0.7485452226100121,1.4086638291530464e-15,9.409343527979162e-16,0.7485452226100114,-6.661338147750939e-16
N1_DIAG_PML_UPPER,1100.0,450.9999999999999,0.7394392119571893,1.3916192407938761e-15,9.409963782624261e-16,0.7394392119571898,4.440892098500626e-16
N1_DIAG_PML_UPPER,1100.0,451.99999999999994,0.7568410133831461,1.4244625714320955e-15,9.410579938477605e-16,0.7568410133831442,-1.887379141862766e-15
N1_DIAG_PML_UPPER,1100.0,453.00000000000006,0.7521854619082257,1.4157923650708956e-15,9.411192031544697e-16,0.7521854619082274,1.7763568394002505e-15
N1_DIAG_PML_UPPER,1100.0,453.9999999999999,0.7638543655553645,1.437848918432313e-15,9.411800097436879e-16,0.7638543655553645,0.0
N1_DIAG_PML_UPPER,1100.0,455.00000000000006,0.7652343764972385,1.4405390474846583e-15,9.412404171376484e-16,0.7652343764972387,2.220446049250313e-16
