monitor,wavelength_nm,z_nm,monitor_T_signed,raw_power_W,sourcepower_W,raw_over_sourcepower,path_C_available
N1_DIAG_LOWER_INSIDE,453.00000000000006,-90.0,0.7590174778578279,7.143475217388153e-16,9.411476580946668e-16,0.7590174778578279,False
N1_DIAG_LOWER_INSIDE,453.9999999999999,-90.0,0.7602504220790773,7.155541368465288e-16,9.412084703480778e-16,0.7602504220790772,False
N1_DIAG_LOWER_INSIDE,455.00000000000006,-90.0,0.7668420432997316,7.218045538172369e-16,9.412688833691253e-16,0.7668420432997316,False
N1_DIAG_UPPER_INSIDE,445.0,590.0,0.7817551266639527,7.353551117228731e-16,9.406463566934492e-16,0.7817551266639529,False
N1_DIAG_UPPER_INSIDE,445.99999999999994,590.0,0.7705585171650552,7.248724825306579e-16,9.407104929519437e-16,0.7705585171650553,False
N1_DIAG_UPPER_INSIDE,446.99999999999994,590.0,0.7795580153601074,7.333880687831554e-16,9.407742006787982e-16,0.7795580153601075,False
N1_DIAG_UPPER_INSIDE,448.00000000000006,590.0,0.7557708862771358,7.110575788836061e-16,9.408374836800294e-16,0.7557708862771358,False
N1_DIAG_UPPER_INSIDE,449.0,590.0,0.6244962569621676,5.87588744076255e-16,9.409003457195286e-16,0.6244962569621675,False
N1_DIAG_UPPER_INSIDE,450.0,590.0,0.6837845993647614,6.434158647326067e-16,9.409627905196206e-16,0.6837845993647614,False
N1_DIAG_UPPER_INSIDE,450.9999999999999,590.0,0.7428161201012978,6.990084070199764e-16,9.410248217616128e-16,0.7428161201012977,False
N1_DIAG_UPPER_INSIDE,451.99999999999994,590.0,0.7486553944427211,7.045494422534957e-16,9.410864430863326e-16,0.7486553944427211,False
N1_DIAG_UPPER_INSIDE,453.00000000000006,590.0,0.7582195968456492,7.135965978927651e-16,9.411476580946668e-16,0.7582195968456491,False
N1_DIAG_UPPER_INSIDE,453.9999999999999,590.0,0.7570010651496648,7.124958145813815e-16,9.412084703480778e-16,0.7570010651496647,False
N1_DIAG_UPPER_INSIDE,455.00000000000006,590.0,0.7684053700325637,7.232760646253909e-16,9.412688833691253e-16,0.7684053700325638,False
N1_DIAG_UPPER_OUTSIDE,445.0,610.0,0.781758520881202,7.353583044809624e-16,9.406463566934492e-16,0.781758520881202,False
N1_DIAG_UPPER_OUTSIDE,445.99999999999994,610.0,0.7705521093178069,7.248664546015142e-16,9.407104929519437e-16,0.770552109317807,False
N1_DIAG_UPPER_OUTSIDE,446.99999999999994,610.0,0.7795618303889744,7.333916578638883e-16,9.407742006787982e-16,0.7795618303889744,False
N1_DIAG_UPPER_OUTSIDE,448.00000000000006,610.0,0.7557635206357113,7.110506490120626e-16,9.408374836800294e-16,0.7557635206357113,False
N1_DIAG_UPPER_OUTSIDE,449.0,610.0,0.6244823018731381,5.875756137281627e-16,9.409003457195286e-16,0.6244823018731381,False
N1_DIAG_UPPER_OUTSIDE,450.0,610.0,0.6837835030317774,6.434148331240627e-16,9.409627905196206e-16,0.6837835030317774,False
N1_DIAG_UPPER_OUTSIDE,450.9999999999999,610.0,0.7428187897616434,6.990109192366274e-16,9.410248217616128e-16,0.7428187897616434,False
N1_DIAG_UPPER_OUTSIDE,451.99999999999994,610.0,0.74865203490784,7.045462806407641e-16,9.410864430863326e-16,0.7486520349078399,False
N1_DIAG_UPPER_OUTSIDE,453.00000000000006,610.0,0.7582203282254659,7.135972862291668e-16,9.411476580946668e-16,0.7582203282254659,False
N1_DIAG_UPPER_OUTSIDE,453.9999999999999,610.0,0.7570003063953048,7.124951004353511e-16,9.412084703480778e-16,0.7570003063953048,False
N1_DIAG_UPPER_OUTSIDE,455.00000000000006,610.0,0.7684023503938808,7.232732223334597e-16,9.412688833691253e-16,0.7684023503938809,False
N1_DIAG_PML_UPPER,445.0,1100.0,0.7818141704658169,7.35410651059982e-16,9.406463566934492e-16,0.781814170465817,False
N1_DIAG_PML_UPPER,445.99999999999994,1100.0,0.7704671057576685,7.247864908605537e-16,9.407104929519437e-16,0.7704671057576685,False
N1_DIAG_PML_UPPER,446.99999999999994,1100.0,0.779683503316374,7.33506124614907e-16,9.407742006787982e-16,0.7796835033163741,False
N1_DIAG_PML_UPPER,448.00000000000006,1100.0,0.7555822842489096,7.108801350259528e-16,9.408374836800294e-16,0.7555822842489096,False
N1_DIAG_PML_UPPER,449.0,1100.0,0.6246432492000912,5.877270491237355e-16,9.409003457195286e-16,0.6246432492000912,False
N1_DIAG_PML_UPPER,450.0,1100.0,0.6835921132985914,6.432347425066473e-16,9.409627905196206e-16,0.6835921132985915,False
N1_DIAG_PML_UPPER,450.9999999999999,1100.0,0.7431284643405083,6.993023307020077e-16,9.410248217616128e-16,0.7431284643405082,False
N1_DIAG_PML_UPPER,451.99999999999994,1100.0,0.7483112063821956,7.04225531535863e-16,9.410864430863326e-16,0.7483112063821956,False
N1_DIAG_PML_UPPER,453.00000000000006,1100.0,0.7585452545310536,7.139030898607239e-16,9.411476580946668e-16,0.7585452545310535,False
N1_DIAG_PML_UPPER,453.9999999999999,1100.0,0.7567488479354374,7.12258425602983e-16,9.412084703480778e-16,0.7567488479354373,False
N1_DIAG_PML_UPPER,455.00000000000006,1100.0,0.7685161265265101,7.233803162667737e-16,9.412688833691253e-16,0.7685161265265102,False
