candidate_id,family_id,top_pair_count,bottom_pair_count,top_termination_nm,bottom_termination_nm,cavity_physical_thickness_nm,cavity_optical_thickness_proxy_nm,spacer_or_cap_thickness_nm,target_wavelength_nm,te_tm_angle_grid_deg,wavelength_grid_nm,source_position_status,negative_reference_excluded,normal_angle_resonance_strength_proxy,normal_offaxis_proxy,offaxis_20_60_penalty,offaxis_30_40_lobe_penalty,te_tm_mismatch_proxy,te_tm_offaxis_risk_guard,angular_fwhm_deg_proxy,spectral_center_nm_proxy,spectral_fwhm_nm_proxy,center_only_false_positive_risk,source_position_stability_status,d5_like_risk_flag,hard_pass,hard_fail_reasons,v2_proxy_score
E1_0108,E0A_lower_Q_angle_stable_cavity,6,8,35,65,280,686.0,100,453,0:0.5:60,445:0.5:460,requires_tri_point_FDTD,D5_BASE_13461,0.834293,2.165585,0.318524,0.280083,0.297619,0.289728,9.836063,452.76,8.220125,medium,requires_tri_point_FDTD,low,False,spectral_FWHM_proxy_above_8nm,2.270789
E1_0390,E0D_reduced_center_contrast_control,5,8,0,100,270,661.5,100,453,0:0.5:60,445:0.5:460,requires_tri_point_FDTD,D5_BASE_13461,0.778388,2.456571,0.318,0.189279,0.839286,0.546783,10.10406,451.2,8.758919,medium,requires_tri_point_FDTD,low,False,TE_TM_offaxis_risk_guard_fail;spectral_FWHM_proxy_above_8nm,2.230175
E1_0365,E0D_reduced_center_contrast_control,5,4,0,50,270,661.5,50,453,0:0.5:60,445:0.5:460,requires_tri_point_FDTD,D5_BASE_13461,0.896151,2.314599,0.279933,0.310947,0.39881,0.359271,8.677768,452.1,9.64142,medium,requires_tri_point_FDTD,low,False,TE_TM_offaxis_risk_guard_fail;spectral_FWHM_proxy_above_8nm,2.218491
E1_0028,E0A_lower_Q_angle_stable_cavity,4,8,35,65,220,539.0,100,453,0:0.5:60,445:0.5:460,requires_tri_point_FDTD,D5_BASE_13461,0.784293,2.208937,0.325084,0.235011,0.380952,0.315279,10.230383,452.16,8.502517,medium,requires_tri_point_FDTD,low,False,spectral_FWHM_proxy_above_8nm,2.198339
E1_0198,E0C_MQW_lateral_extent_robust_cavity,4,6,10,75,260,637.0,85,453,0:0.5:60,445:0.5:460,requires_tri_point_FDTD,D5_BASE_13461,0.935893,2.315305,0.345345,0.285707,0.547619,0.429759,9.918123,451.83,8.178561,medium,requires_tri_point_FDTD,low,False,TE_TM_offaxis_risk_guard_fail;spectral_FWHM_proxy_above_8nm,2.182397
E1_0222,E0C_MQW_lateral_extent_robust_cavity,6,4,10,75,260,637.0,85,453,0:0.5:60,445:0.5:460,requires_tri_point_FDTD,D5_BASE_13461,0.935893,2.315305,0.345345,0.285707,0.547619,0.429759,9.918123,451.83,8.178561,medium,requires_tri_point_FDTD,low,False,TE_TM_offaxis_risk_guard_fail;spectral_FWHM_proxy_above_8nm,2.182397
E1_0064,E0A_lower_Q_angle_stable_cavity,5,8,35,65,220,539.0,100,453,0:0.5:60,445:0.5:460,requires_tri_point_FDTD,D5_BASE_13461,0.809293,2.18683,0.321804,0.257445,0.339286,0.302457,10.033223,452.16,8.361167,medium,requires_tri_point_FDTD,low,False,spectral_FWHM_proxy_above_8nm,2.159049
E1_0100,E0A_lower_Q_angle_stable_cavity,6,8,35,65,220,539.0,100,453,0:0.5:60,445:0.5:460,requires_tri_point_FDTD,D5_BASE_13461,0.834293,2.165585,0.318524,0.280083,0.297619,0.289728,9.836063,452.16,8.220125,medium,requires_tri_point_FDTD,low,False,spectral_FWHM_proxy_above_8nm,2.120789
E1_0003,E0A_lower_Q_angle_stable_cavity,4,4,35,25,220,539.0,60,453,0:0.5:60,445:0.5:460,requires_tri_point_FDTD,D5_BASE_13461,0.813473,2.079061,0.250769,0.337795,0.071429,0.191294,8.449556,452.88,9.356693,medium,requires_tri_point_FDTD,low,False,30_40_lobe_penalty_above_E1_guard;spectral_FWHM_proxy_above_8nm,2.108401
E1_0011,E0A_lower_Q_angle_stable_cavity,4,4,35,25,280,686.0,60,453,0:0.5:60,445:0.5:460,requires_tri_point_FDTD,D5_BASE_13461,0.813473,2.079061,0.250769,0.337795,0.071429,0.191294,8.449556,453.48,9.356693,medium,requires_tri_point_FDTD,low,False,30_40_lobe_penalty_above_E1_guard;spectral_FWHM_proxy_above_8nm,2.018401
E1_0022,E0A_lower_Q_angle_stable_cavity,4,6,0,65,280,686.0,65,453,0:0.5:60,445:0.5:460,requires_tri_point_FDTD,D5_BASE_13461,0.828293,2.224672,0.286197,0.286551,0.547619,0.430138,9.154865,452.13,8.929826,medium,requires_tri_point_FDTD,low,False,TE_TM_offaxis_risk_guard_fail;spectral_FWHM_proxy_above_8nm,2.001877
E1_0082,E0A_lower_Q_angle_stable_cavity,6,4,0,65,280,686.0,65,453,0:0.5:60,445:0.5:460,requires_tri_point_FDTD,D5_BASE_13461,0.828293,2.224672,0.286197,0.286551,0.547619,0.430138,9.154865,452.13,8.929826,medium,requires_tri_point_FDTD,low,False,TE_TM_offaxis_risk_guard_fail;spectral_FWHM_proxy_above_8nm,2.001877
E1_0005,E0A_lower_Q_angle_stable_cavity,4,4,0,25,250,612.5,25,453,0:0.5:60,445:0.5:460,requires_tri_point_FDTD,D5_BASE_13461,0.985893,2.150319,0.272978,0.411132,0.178571,0.283224,8.076044,452.55,9.466698,high,requires_tri_point_FDTD,high,False,30_40_lobe_penalty_above_E1_guard;spectral_FWHM_proxy_above_8nm;center_only_false_positive_risk_high;D5_like_risk_high,1.968706
E1_0058,E0A_lower_Q_angle_stable_cavity,5,6,0,65,280,686.0,65,453,0:0.5:60,445:0.5:460,requires_tri_point_FDTD,D5_BASE_13461,0.853293,2.203045,0.282917,0.30896,0.505952,0.417306,8.957705,452.13,8.78844,medium,requires_tri_point_FDTD,low,False,TE_TM_offaxis_risk_guard_fail;spectral_FWHM_proxy_above_8nm,1.96363
E1_0043,E0A_lower_Q_angle_stable_cavity,5,4,35,25,250,612.5,60,453,0:0.5:60,445:0.5:460,requires_tri_point_FDTD,D5_BASE_13461,0.896074,2.064185,0.288489,0.367248,0.113095,0.227464,8.866393,453.18,9.225873,high,requires_tri_point_FDTD,high,False,30_40_lobe_penalty_above_E1_guard;spectral_FWHM_proxy_above_8nm;center_only_false_positive_risk_high;D5_like_risk_high,1.961202
