geometry_id,polarization,wavelength_nm,output,delta_hf_minus_lf,lf_available,source
K6X_D105_D120_D125_D130_D165_D190,p,452,eta_minus1,,False,no_authoritative_m6_lf_row
K6X_D105_D120_D125_D130_D165_D190,p,452,T_total,,False,no_authoritative_m6_lf_row
K6X_D105_D120_D125_D130_D165_D190,p,452,R_total,,False,no_authoritative_m6_lf_row
K6X_D105_D120_D125_D130_D165_D190,p,453,eta_plus1,,False,no_authoritative_m6_lf_row
K6X_D105_D120_D125_D130_D165_D190,p,453,eta_0,,False,no_authoritative_m6_lf_row
K6X_D105_D120_D125_D130_D165_D190,p,453,eta_minus1,,False,no_authoritative_m6_lf_row
K6X_D105_D120_D125_D130_D165_D190,p,453,T_total,,False,no_authoritative_m6_lf_row
K6X_D105_D120_D125_D130_D165_D190,p,453,R_total,,False,no_authoritative_m6_lf_row
K6X_D105_D120_D125_D130_D165_D190,p,454,eta_plus1,,False,no_authoritative_m6_lf_row
K6X_D105_D120_D125_D130_D165_D190,p,454,eta_0,,False,no_authoritative_m6_lf_row
K6X_D105_D120_D125_D130_D165_D190,p,454,eta_minus1,,False,no_authoritative_m6_lf_row
K6X_D105_D120_D125_D130_D165_D190,p,454,T_total,,False,no_authoritative_m6_lf_row
K6X_D105_D120_D125_D130_D165_D190,p,454,R_total,,False,no_authoritative_m6_lf_row
K6X_D105_D120_D125_D130_D165_D190,p,455,eta_plus1,,False,no_authoritative_m6_lf_row
K6X_D105_D120_D125_D130_D165_D190,p,455,eta_0,,False,no_authoritative_m6_lf_row
K6X_D105_D120_D125_D130_D165_D190,p,455,eta_minus1,,False,no_authoritative_m6_lf_row
K6X_D105_D120_D125_D130_D165_D190,p,455,T_total,,False,no_authoritative_m6_lf_row
K6X_D105_D120_D125_D130_D165_D190,p,455,R_total,,False,no_authoritative_m6_lf_row
K6X_D105_D120_D125_D130_D165_D190,s,445,eta_plus1,,False,no_authoritative_m6_lf_row
K6X_D105_D120_D125_D130_D165_D190,s,445,eta_0,,False,no_authoritative_m6_lf_row
K6X_D105_D120_D125_D130_D165_D190,s,445,eta_minus1,,False,no_authoritative_m6_lf_row
K6X_D105_D120_D125_D130_D165_D190,s,445,T_total,,False,no_authoritative_m6_lf_row
K6X_D105_D120_D125_D130_D165_D190,s,445,R_total,,False,no_authoritative_m6_lf_row
