geometry_id,wavelength_nm,eta_plus1_P,eta_plus1_S,abs_delta_eta_plus1,T_P,T_S,abs_delta_T,R_P,R_S,abs_delta_R
K6X_D110_D190_D210_D215_D220_D225,454,0.027508995763197795,0.03279978170966338,0.005290785946465582,0.5576377995514804,0.7062426498373212,0.1486048502858408,0.4409707678897592,0.29323248092467746,0.14773828696508173
K6X_D110_D190_D210_D215_D220_D225,455,0.02683500978535579,0.028487932542487923,0.0016529227571321324,0.565269457224969,0.7664485948813871,0.20117913765641804,0.4345165157889093,0.23372840210148013,0.2007881136874292
K6X_D150_D205_D215_D220_D225_D230,445,0.10999449277321156,0.14577795115203884,0.03578345837882728,0.763912232017314,0.5737236940564776,0.19018853796083635,0.2350911013481674,0.4270143539820354,0.191923252633868
K6X_D150_D205_D215_D220_D225_D230,446,0.10292820017389724,0.096202635228097,0.006725564945800247,0.7577906687178039,0.5614592639418667,0.19633140477593714,0.2421539515257351,0.43788545678154284,0.19573150525580774
K6X_D150_D205_D215_D220_D225_D230,447,0.08718471089024361,0.15117269709565118,0.06398798620540756,0.7290526208550093,0.6879574487180912,0.04109517213691816,0.27007734675692097,0.3112147898585195,0.04113744310159856
K6X_D150_D205_D215_D220_D225_D230,448,0.05222826314447394,0.1773457840739121,0.12511752092943818,0.667867540228566,0.716980477342933,0.04911293711436704,0.3325080489697791,0.28308978316396055,0.04941826580581854
K6X_D150_D205_D215_D220_D225_D230,449,0.062299475696627464,0.1679717865046873,0.10567231080805983,0.6833173946743019,0.6605886500392723,0.022728744635029607,0.3160906196450277,0.33947747903499775,0.02338685938997004
K6X_D150_D205_D215_D220_D225_D230,450,0.044731926512179575,0.14654861023487778,0.1018166837226982,0.6580806108146225,0.5400062667373792,0.11807434407724338,0.34175273424746555,0.4596884331148278,0.11793569886736227
K6X_D150_D205_D215_D220_D225_D230,451,0.05780173568433651,0.13778376455192684,0.07998202886759033,0.6780363909356201,0.37444192429763146,0.3035944666379886,0.32215743909899514,0.625804630925873,0.3036471918268779
K6X_D150_D205_D215_D220_D225_D230,452,0.032566724871339874,0.16515115996331367,0.1325844350919738,0.6704811296100098,0.3374712449119674,0.33300988469804244,0.32842352206644304,0.663608803202634,0.335185281136191
K6X_D150_D205_D215_D220_D225_D230,453,0.052216021153987525,0.1835528659388408,0.13133684478485327,0.7245177475216251,0.4746900936060062,0.2498276539156189,0.27483301751780326,0.5261539447071262,0.2513209271893229
K6X_D150_D205_D215_D220_D225_D230,454,0.055472022575606426,0.19457528712673522,0.13910326455112879,0.7427761524283654,0.5693966537106638,0.17337949871770153,0.25676018398928974,0.4307819501674762,0.1740217661781865
K6X_D150_D205_D215_D220_D225_D230,455,0.05016817161806359,0.21038369434131934,0.16021552272325576,0.740025022305423,0.6364260281653537,0.10359899414006934,0.2592999785009335,0.3633711737418651,0.10407119524093161
