geometry_id,wavelength_nm,role,p_T_total,s_T_total,abs_delta_T_total,p_R_total,s_R_total,abs_delta_R_total,p_eta_plus1,s_eta_plus1,abs_delta_eta_plus1,p_eta_0,s_eta_0,abs_delta_eta_0,p_eta_minus1,s_eta_minus1,abs_delta_eta_minus1,p_directionality,s_directionality,abs_delta_directionality,p_non_target_efficiency,s_non_target_efficiency,abs_delta_non_target_efficiency
K6X_D110_D125_D135_D150_D175_D190,455,exploitation_1,0.6500265149705191,0.8951606708884816,0.2451341559179625,0.3487502167840042,0.10438127809032147,0.24436893869368273,0.4819701208962985,0.8048087867006857,0.3228386658043872,0.10748939442789347,0.002259283972670174,0.1052301104552233,0.006142183894191243,0.014887777561954557,0.008745593667763315,0.9874164534802546,0.9818374527708958,0.0055790007093587946,0.16805639407422063,0.09035188418779594,0.07770450988642469
K6X_D120_D125_D180_D185_D190_D195,445,exploitation_2,0.7176538048067074,0.8495257493227303,0.1318719445160229,0.2816201283727883,0.15024618780476812,0.1313739405680202,0.20550204976906278,0.42345334321903066,0.2179512934499679,0.25417991862893674,0.22032543973919352,0.03385447888974322,0.128213351535481,0.0954329795478368,0.03278037198764419,0.6158003165743154,0.8160811427077945,0.20028082613347908,0.5121517550376447,0.4260724061036996,0.08607934893394503
K6X_D120_D125_D180_D185_D190_D195,446,exploitation_2,0.7144255433464964,0.8628083914118134,0.14838284806531699,0.28366417670341104,0.13675160487452626,0.14691257182888479,0.249115280854452,0.42594434141033455,0.17682906055588254,0.22728170749075433,0.2226671437095828,0.004614563781171532,0.11567631492550644,0.0992089276176257,0.016467387307880735,0.6828975331019354,0.8110857658731558,0.1281882327712205,0.46531026249204444,0.4368640500014789,0.02844621249056556
K6X_D120_D125_D180_D185_D190_D195,447,exploitation_2,0.7267526003861808,0.8745282238584328,0.14777562347225193,0.271652056647902,0.1252237803447125,0.1464282763031895,0.2617119444000081,0.42836768656637664,0.16665574216636853,0.22882916922465527,0.2249409381195653,0.0038882311050899565,0.11603495160035407,0.10306203591657799,0.012972915683776079,0.6928235471185902,0.8060664815000376,0.11324293438144739,0.4650406559861727,0.4461605372920561,0.0188801186941166
K6X_D120_D125_D180_D185_D190_D195,448,exploitation_2,0.7389515116538442,0.883396532092718,0.14444502043887375,0.26027954817943194,0.11621918572130623,0.1440603624581257,0.26894549310995514,0.43044466246605906,0.16149916935610392,0.23303245307082143,0.2262586387688765,0.00677381430194493,0.11807338800568278,0.10719028709604113,0.010883100909641646,0.6949156907659927,0.8006262666083244,0.10571057584233168,0.47000601854388907,0.4529518696266589,0.017054148917230172
K6X_D120_D125_D180_D185_D190_D195,449,exploitation_2,0.7504503012431049,0.8911210300699167,0.14067072882681186,0.24942666140365574,0.10856325378256051,0.14086340762109523,0.27443320737785587,0.43399808676278284,0.15956487938492697,0.2375623834609043,0.22567016669236686,0.01189221676853744,0.1205497340015018,0.11201912809444121,0.00853060590706059,0.6947976194097938,0.7948432301283161,0.10004561071852236,0.476017093865249,0.4571229433071339,0.018894150558115108
K6X_D120_D125_D180_D185_D190_D195,450,exploitation_2,0.7611769147405038,0.8984777364963072,0.1373008217558035,0.23897939776289798,0.10134924277723169,0.13763015498566628,0.2790277661866596,0.43904085309434426,0.16001308690768468,0.2419362858311926,0.22419303575263325,0.01774325007855934,0.12316436385565807,0.11651319644607164,0.006651167409586434,0.6937673448689833,0.7902756778706634,0.09650833300168016,0.48214914855384416,0.459436883401963,0.022712265151881184
K6X_D120_D125_D180_D185_D190_D195,451,exploitation_2,0.7710578846531183,0.9047536812442443,0.13369579659112596,0.22910118509907013,0.09491329154447296,0.13418789355459715,0.2829669353226018,0.44456477516053555,0.16159783983793374,0.24599520846252929,0.22265755987403596,0.023337648588493326,0.12581098751835706,0.11999791962925084,0.005813067889106224,0.6922265599766607,0.7874497894801006,0.09522322950343987,0.4880909493305165,0.4601889060837087,0.027902043246807784
K6X_D120_D125_D180_D185_D190_D195,452,exploitation_2,0.7800119935868033,0.9101152462177745,0.13010325263097122,0.2200284111864843,0.08973411455594289,0.13029429663054143,0.28632908427142784,0.4502604501150766,0.16393136584364876,0.2496415129027012,0.2207381581174371,0.028903354785264096,0.12844451932427284,0.12322255317255962,0.00522196615171322,0.6903261967232761,0.7851330336450161,0.09480683692173997,0.49368290931537545,0.4598547961026979,0.033828113212677535
K6X_D120_D125_D180_D185_D190_D195,453,exploitation_2,0.7879638272584204,0.914141603213104,0.1261777759546836,0.21194849315613354,0.08568241544342778,0.12626607771270576,0.2891440325432988,0.455562530042005,0.16641849749870619,0.2527878018214547,0.2185007891034443,0.03428701271801041,0.13105076183509398,0.1261586505433229,0.004892111291771084,0.6881190257747922,0.783128662400805,0.0950096366260128,0.4988197947151216,0.458579073171099,0.040240721544022584
