execution_order,candidate_id,role,uW,uD,uPsi,J2_width_nm,D_nm,Psi_deg,direct_gap_nm,nearest_periodic_gap_nm,exact_geometry_hash_sha256,canonical_relative_geometry_hash_sha256,symmetry_equivalence_hash_sha256,manufacturing_pass
15,POSTD8_QMAP_W0_D0_PP,PHASE_A_NEW,0,0,1,100.0,200.50997481422215,0.571510017763747,92.50997481422215,123.49002518577785,3df71e0da11a74af6291dd34d82767d4749fd24bee96dc010c9ea8cf6b38c5ad,1a9d1dc71e8d349ca7f52de82ba0795b8312074ef9eb2d9a3afe341a7c44cde7,1a9d1dc71e8d349ca7f52de82ba0795b8312074ef9eb2d9a3afe341a7c44cde7,True
16,POSTD8_QMAP_W0_DP_PM,PHASE_B_NEW,0,1,-1,100.0,201.0,0.0,93.0,123.0,8e4e78ec73b5f5925c3a335157d15c99a70848295ecb980d22183223709f9afd,9a0be02debe28bc790c1bf42f18c70438e32093fb682534ba69212921fc3da09,9a0be02debe28bc790c1bf42f18c70438e32093fb682534ba69212921fc3da09,True
17,POSTD8_QMAP_W0_DP_P0,PHASE_A_NEW,0,1,0,100.0,201.0024875467963,0.2850512775838264,93.00248754679629,122.99751245320371,99625727152d9ac10cf538e87a711faf8bf163d133a753ad02c34dbdbaf4debd,17ba5597092df5c0e8c7f00e34c4bdef9e78c38ecdf18d0a1cb301b56a341d1d,17ba5597092df5c0e8c7f00e34c4bdef9e78c38ecdf18d0a1cb301b56a341d1d,True
18,POSTD8_QMAP_W0_DP_PP,PHASE_B_NEW,0,1,1,100.0,201.00995000248122,0.5700884449988864,93.00995000248122,122.99004999751878,dcdfb8522c217f2423c170d2d10c62149e8bed8ab6f30cfe0644a1a679917776,6fab5d0f57aeb23a7089ae9ea3e8f79298cbea4a424623b3ee0e2fd065d62473,6fab5d0f57aeb23a7089ae9ea3e8f79298cbea4a424623b3ee0e2fd065d62473,True
19,POSTD8_QMAP_WP_DM_PM,BASELINE_EXISTING,1,-1,-1,101.0,200.0,0.0,92.0,124.0,269444892fd097f6d586f34938499aec81a9eea82d4f580ccdabd8c366ea9a39,f8ee14f0fb03b4442bbe9d5af79f783dd1a7c72dc0356bff5d2113d6f0490737,f8ee14f0fb03b4442bbe9d5af79f783dd1a7c72dc0356bff5d2113d6f0490737,True
20,POSTD8_QMAP_WP_DM_P0,PHASE_B_NEW,1,-1,0,101.0,200.0024999843752,0.2864765102770745,92.00249998437519,123.99750001562481,cf881276c799f8009f545e3be4c4754d1da32b61ac2fb91d39f751d5ece09118,749f11cb1fbf5c3ceff95afe7fa1cc1e1a69492798da7f5aa1ffae986aa7cc78,749f11cb1fbf5c3ceff95afe7fa1cc1e1a69492798da7f5aa1ffae986aa7cc78,True
21,POSTD8_QMAP_WP_DM_PP,BASELINE_EXISTING,1,-1,1,101.0,200.0099997500125,0.5729386976834859,92.0099997500125,123.9900002499875,426b9fb434143c9073fceeafa65d79fa2b715eafc7bce65004fdcb21569575c0,099881aede70942ffbfff42673a465f96cbcc10710f204587e3871ba9d34225d,099881aede70942ffbfff42673a465f96cbcc10710f204587e3871ba9d34225d,True
23,POSTD8_QMAP_WP_D0_P0,PHASE_A_NEW,1,0,0,101.0,200.50249375007783,0.2857621168765344,92.50249375007783,123.49750624992217,627736789f4e17a1de8df4bdc02e3c48f7a8e800c7411a4537f46c6de23a60b7,93912d312155b1911e4a49c7e3b138dfa3aa7ad178e905abc96e0b1029b21253,93912d312155b1911e4a49c7e3b138dfa3aa7ad178e905abc96e0b1029b21253,True
24,POSTD8_QMAP_WP_D0_PP,PHASE_B_NEW,1,0,1,101.0,200.50997481422215,0.571510017763747,92.50997481422215,123.49002518577785,fb7bd02c3f1f2f4d4edc789a045a5e401cc4e4312eadb6bcfb13455332c61b76,8f33e706bddf6c16cb15d83777bbc5d964110de85425eec00433e885ac2c9d28,8f33e706bddf6c16cb15d83777bbc5d964110de85425eec00433e885ac2c9d28,True
25,POSTD8_QMAP_WP_DP_PM,BASELINE_EXISTING,1,1,-1,101.0,201.0,0.0,93.0,123.0,206aea9c27c6fb5776c6df37c5306fd4d25c893b45cf134f5c3955be462b33d0,25e363fc92d0bce3aa6d7574dea3a0fe56ab2ce4bf9f58699e044d1e367a939d,25e363fc92d0bce3aa6d7574dea3a0fe56ab2ce4bf9f58699e044d1e367a939d,True
26,POSTD8_QMAP_WP_DP_P0,PHASE_B_NEW,1,1,0,101.0,201.0024875467963,0.2850512775838264,93.00248754679629,122.99751245320371,1c6e32fc0585b7cc427b0ec76375be029a7ec5644eeb3a04f5a5540a89a1b53e,022054a70e62482f4b9ec5c43e831a7605fb7a2b6569d264143bd31d646a79de,022054a70e62482f4b9ec5c43e831a7605fb7a2b6569d264143bd31d646a79de,True
27,POSTD8_QMAP_WP_DP_PP,BASELINE_EXISTING,1,1,1,101.0,201.00995000248122,0.5700884449988864,93.00995000248122,122.99004999751878,71611e620b6d6f33b5dc1c681bd5e0e41fdedca4e6fc433cfc7ee924f5156a56,1294eae1b03114190ad2e3587a805affec91b588c24fbe77bdcbee6041f30c1e,1294eae1b03114190ad2e3587a805affec91b588c24fbe77bdcbee6041f30c1e,True
