family,candidate_id,source_role,anchor_id,J1_side_nm,J2_length_nm,J2_width_nm,D_nm,Psi_deg,delta_J1_side_nm,delta_J2_length_nm,inactive_displacement_norm,active_displacement_norm,full_displacement_norm,u_J2_width,u_D,u_Psi,actual_phase_deg,actual_delta_phase_deg,predicted_delta_phase_deg,phase_residual_deg,relative_phase_residual,phase_gradient_alignment_cosine,actual_Txx,actual_Tyy,actual_sigma2_over_sigma1,actual_projection_error,predicted_Txx,predicted_Tyy,predicted_sigma2_over_sigma1,Jones_residual_frobenius,Jones_predicted_delta_frobenius,projector_metric_residual,Txx_residual,Tyy_residual
S2_D7_TO_D8,D8_TRV_PLAN_c011ef1be0120947,D8,D7_TRV_PROP_693ec7d86d7c23e2,110.0,106.0,100.0,200.50249375007783,-0.2857621168765344,0.0,-1.0,1.0,2.0,2.23606797749979,0.0,0.0,-2.0,82.16383295988524,-1.2270698784802505,-0.04257053932055906,-1.1844993391596914,-0.9653071597085542,-0.04092434128693051,0.9774548685395849,0.10382227593047541,0.325909197180083,0.0,0.9799960748715144,0.10234828975526002,0.3231673312168792,0.020890111865839146,0.0031945729013384966,0.0019854070839389146,-0.002458067588648416,0.003063138831051679
S2_D7_TO_D8,D8_TRV_PLAN_2709798bc19d7b76,D8,D7_TRV_PROP_693ec7d86d7c23e2,110.0,106.0,99.0,200.50249375007783,0.2857621168765344,0.0,-1.0,1.0,1.0,1.4142135623730951,-1.0,0.0,0.0,81.33538126937266,-2.0555215689928445,-0.5144941647821362,-1.5410274042107084,-0.7497014030194654,-0.9891974649947607,0.971890902114346,0.1103789931693038,0.337004624128004,0.0,0.9752203389935831,0.10740896724699683,0.33187026506037076,0.027240139474159226,0.018488233636630134,-0.00018354133375474428,-0.003764775211166027,0.002291367862217897
S2_D7_TO_D8,D8_TRV_PLAN_2c6c4edac3638079,D8,D7_TRV_PROP_693ec7d86d7c23e2,110.0,106.0,99.0,200.5,0.0,0.0,-1.0,1.0,1.4142223570421317,1.7320579883935188,-1.0,-0.004987500155664293,-1.0,81.38171932524544,-2.0091835131200355,-0.5354142924452844,-1.4737692206747512,-0.7335164812228395,-0.7279051679267267,0.9744860779149304,0.11039959842967856,0.3365859065866864,0.0,0.9767741012462267,0.10783134250350214,0.33225799386784166,0.025885874045664368,0.019403447937001293,0.0008062459102285668,-0.002674806476802516,0.0027262886770294953
S2_D7_TO_D8,D8_TRV_PLAN_9cf1d115c3f947b9,D8,D7_TRV_PROP_693ec7d86d7c23e2,110.0,107.0,100.0,200.50249375007783,0.2857621168765344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.3909028383655,0.0,0.0,0.0,0.0,,0.9768751966102096,0.10157449401387007,0.32245731402229666,0.0,0.9768751966102096,0.10157449401387007,0.32245731402229666,0.0,0.0,0.0,0.0,0.0
S2_D7_TO_D8,D8_TRV_PLAN_28f33b5793175bc4,D8,D7_TRV_PROP_693ec7d86d7c23e2,110.0,106.0,98.0,200.5,0.0,0.0,-1.0,1.0,2.2360735397472515,2.449494820398239,-2.0,-0.004987500155664293,-1.0,80.98568863029162,-2.4052142080738577,-1.0499084572274204,-1.3553057508464372,-0.5634865062317225,-0.9027508225473717,0.9680024224190202,0.11676185870889624,0.34730599333944423,0.0,0.9752833197042157,0.11421777385412217,0.34221689868661276,0.024210471023609403,0.037869009037630075,0.0006227045764738225,-0.007938942688015094,0.0025754176630313486
S2_D7_TO_D8,D8_TRV_PLAN_b90dc117dcee89fd,D8,D7_TRV_PROP_693ec7d86d7c23e2,110.0,107.0,99.0,200.5,0.0,0.0,0.0,0.0,1.4142223570421317,1.4142223570421317,-1.0,-0.004987500155664293,-1.0,82.9016431841621,-0.48925965420340845,-0.5354142924452844,0.046154638241875934,0.09433567195934628,-0.7279051679267267,0.9823666132265115,0.10669756307081033,0.3295645219460173,0.0,0.9767741012462267,0.10783134250350214,0.33225799386784166,0.0035792116392237175,0.019403447937001293,0.0008062459102285668,0.005205728834778656,-0.0009757466818387378
S3_D8_TO_RECALIBRATION,POSTD8_CAL_PROBE_WP_DP_PP,RECALIBRATION,D8_TRV_PLAN_d6f4911593b64495,110.0,106.0,101.0,201.00995000248122,0.5700884449988864,0.0,0.0,0.0,1.7378215668451202,1.7378215668451202,1.0,1.014912504806773,0.9949755804937478,82.4501398706154,0.6180461853657562,0.46136929686923545,0.15667688849652073,0.25350352806368387,0.5104415847931792,0.9794618918517679,0.09636036677604139,0.31365523021306524,0.0016022427570426014,0.982476141456005,0.09616005727584859,0.3128496404943388,0.0032864436733110406,0.02053187133006494,0.0013915093507763567,-0.0033548325837406967,-0.002703927865996464
S3_D8_TO_RECALIBRATION,POSTD8_CAL_PROBE_WP_DM_PM,RECALIBRATION,D8_TRV_PLAN_d6f4911593b64495,110.0,106.0,101.0,200.5,0.0,0.0,0.0,0.0,1.4142223570421317,1.4142223570421317,1.0,-0.004987500155664293,-1.0,82.64455456768272,0.8124608824330721,0.493574037118988,0.3188868453140841,0.39249501386345576,0.6710226033237333,0.9771216977205929,0.099114731252371,0.3184892478855604,5.284244209581049e-09,0.9832326061162078,0.09870443601718223,0.3168380865325937,0.006688948608446871,0.017670494689263083,0.001173333861982265,-0.005931234040111755,0.0022209733014760674
S3_D8_TO_RECALIBRATION,POSTD8_CAL_PROBE_WM_DP_PM,RECALIBRATION,D8_TRV_PLAN_d6f4911593b64495,110.0,106.0,99.0,201.0,0.0,0.0,0.0,0.0,1.7291760682031412,1.7291760682031412,-1.0,0.9950124998443357,-1.0,81.38053948598713,-0.45155419926248896,-0.6086257181565576,0.15707151889406867,0.34784643604379994,-0.6767271880553115,0.9799921795828526,0.1085588204204742,0.3328290710551936,1.1272647500761548e-08,0.9831151567386485,0.10838681429813486,0.33203613624079215,0.0032947214134791225,0.018869152431679363,0.0013909785653574624,-0.003361100548734508,-0.002691946383825236
S3_D8_TO_RECALIBRATION,POSTD8_CAL_PROBE_WM_DM_PP,RECALIBRATION,D8_TRV_PLAN_d6f4911593b64495,110.0,106.0,99.0,200.0099997500125,0.5729386976834859,0.0,0.0,0.0,1.7263039857177105,1.7263039857177105,-1.0,-0.9849880001306701,1.0049497951158735,81.72959473856618,-0.10249894668345405,-0.42099116159998995,0.3184922149165359,3.1072730522795577,-0.4688762621476943,0.968959068932956,0.11164225518894094,0.33943986984200286,0.0029309667474329013,0.9752104371523028,0.11128391391847244,0.33780746489472047,0.006680670868278786,0.01882898659966077,0.0011738646474011593,-0.005924966075117943,0.002208991819304826
S4_D8_TO_D8_LOWEST_PHASE,D8_TRV_PLAN_28f33b5793175bc4,D8_LOWEST_PHASE,D8_TRV_PLAN_d6f4911593b64495,110.0,106.0,98.0,200.5,0.0,0.0,0.0,0.0,2.2360735397472515,2.2360735397472515,-2.0,-0.004987500155664293,-1.0,80.98568863029162,-0.8464050549580122,-1.0499084572274204,0.20350340226940822,0.24043264046846158,-0.9027508225473717,0.9680024224190202,0.11676185870889624,0.34730599333944423,5.63002310389168e-17,0.9797092032380976,0.11684428160558107,0.3453448472574197,0.007106757467758715,0.037869009037630075,0.0006227045764738788,-0.011391951487591756,0.0003287068783538044
