candidate_id,target_phase_deg,predicted_phase_deg,beyond_support_distance_deg,classification,txx_prediction_fields,c0_c1_c5_disagreement,physics_claim,source_row
LPML_INV_B1_GRA_ebc3e1ce8dc2,70.0,,0,TARGET_PHASE_ONLY_NOT_PREDICTED,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B1_GRA_ebc3e1ce8dc2
LPML_INV_B2_GRA_a0a7ec17c40d,130.0,,23.10216705151761,TARGET_PHASE_OUTSIDE_OBSERVED_SUPPORT_NOT_SURROGATE_PHYSICS,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B2_GRA_a0a7ec17c40d
LPML_INV_B1_GRA_6b00e3e79beb,110.0,,3.102167051517611,TARGET_PHASE_OUTSIDE_OBSERVED_SUPPORT_NOT_SURROGATE_PHYSICS,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B1_GRA_6b00e3e79beb
LPML_INV_B3_GRA_a89060359acd,225.0,,118.10216705151761,TARGET_PHASE_OUTSIDE_OBSERVED_SUPPORT_NOT_SURROGATE_PHYSICS,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B3_GRA_a89060359acd
LPML_INV_B5_GRA_134a1276c277,355.0,,248.1021670515176,TARGET_PHASE_OUTSIDE_OBSERVED_SUPPORT_NOT_SURROGATE_PHYSICS,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B5_GRA_134a1276c277
LPML_INV_B0_GRA_590ad651d09c,55.0,,7.053626948833056,TARGET_PHASE_OUTSIDE_OBSERVED_SUPPORT_NOT_SURROGATE_PHYSICS,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B0_GRA_590ad651d09c
LPML_INV_B1_GRA_b03bb70d2d6e,75.0,,0,TARGET_PHASE_ONLY_NOT_PREDICTED,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B1_GRA_b03bb70d2d6e
LPML_INV_B1_GRA_012d91036d7d,75.0,,0,TARGET_PHASE_ONLY_NOT_PREDICTED,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B1_GRA_012d91036d7d
LPML_INV_B1_GRA_f803eed35bb4,75.0,,0,TARGET_PHASE_ONLY_NOT_PREDICTED,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B1_GRA_f803eed35bb4
LPML_INV_B1_GRA_7155c914cc8a,75.0,,0,TARGET_PHASE_ONLY_NOT_PREDICTED,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B1_GRA_7155c914cc8a
LPML_INV_B1_GRA_39c15322fa0e,75.0,,0,TARGET_PHASE_ONLY_NOT_PREDICTED,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B1_GRA_39c15322fa0e
LPML_INV_B1_GRA_a1ab8859d82e,75.0,,0,TARGET_PHASE_ONLY_NOT_PREDICTED,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B1_GRA_a1ab8859d82e
LPML_INV_B1_GRA_5c0c362c5758,75.0,,0,TARGET_PHASE_ONLY_NOT_PREDICTED,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B1_GRA_5c0c362c5758
LPML_INV_B1_GRA_984acc64aa79,75.0,,0,TARGET_PHASE_ONLY_NOT_PREDICTED,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B1_GRA_984acc64aa79
LPML_INV_B1_GRA_7057ac4514cc,75.0,,0,TARGET_PHASE_ONLY_NOT_PREDICTED,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B1_GRA_7057ac4514cc
LPML_INV_B1_GRA_f41fc4e501ca,75.0,,0,TARGET_PHASE_ONLY_NOT_PREDICTED,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B1_GRA_f41fc4e501ca
LPML_INV_B1_GRA_1cb9a1369963,75.0,,0,TARGET_PHASE_ONLY_NOT_PREDICTED,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B1_GRA_1cb9a1369963
LPML_INV_B1_GRA_151588940798,75.0,,0,TARGET_PHASE_ONLY_NOT_PREDICTED,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B1_GRA_151588940798
LPML_INV_B1_GRA_a7d21db655a2,75.0,,0,TARGET_PHASE_ONLY_NOT_PREDICTED,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B1_GRA_a7d21db655a2
LPML_INV_B1_GRA_76553b4b796a,75.0,,0,TARGET_PHASE_ONLY_NOT_PREDICTED,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B1_GRA_76553b4b796a
LPML_INV_B1_GRA_5141ba0ec9a7,75.0,,0,TARGET_PHASE_ONLY_NOT_PREDICTED,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B1_GRA_5141ba0ec9a7
LPML_INV_B1_GRA_8fbefeefbed6,75.0,,0,TARGET_PHASE_ONLY_NOT_PREDICTED,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B1_GRA_8fbefeefbed6
LPML_INV_B1_GRA_a4842ee20587,75.0,,0,TARGET_PHASE_ONLY_NOT_PREDICTED,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B1_GRA_a4842ee20587
LPML_INV_B1_GRA_0218b8405d1e,75.0,,0,TARGET_PHASE_ONLY_NOT_PREDICTED,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B1_GRA_0218b8405d1e
LPML_INV_B1_GRA_b738d20f69df,75.0,,0,TARGET_PHASE_ONLY_NOT_PREDICTED,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B1_GRA_b738d20f69df
LPML_INV_B1_GRA_67f7491620af,75.0,,0,TARGET_PHASE_ONLY_NOT_PREDICTED,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B1_GRA_67f7491620af
LPML_INV_B1_GRA_38491c497b84,75.0,,0,TARGET_PHASE_ONLY_NOT_PREDICTED,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B1_GRA_38491c497b84
LPML_INV_B1_GRA_822719c5fa37,75.0,,0,TARGET_PHASE_ONLY_NOT_PREDICTED,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B1_GRA_822719c5fa37
LPML_INV_B1_GRA_c47b749763b8,75.0,,0,TARGET_PHASE_ONLY_NOT_PREDICTED,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B1_GRA_c47b749763b8
LPML_INV_B1_GRA_00fe2d26b984,75.0,,0,TARGET_PHASE_ONLY_NOT_PREDICTED,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B1_GRA_00fe2d26b984
LPML_INV_B1_GRA_006b721760b0,75.0,,0,TARGET_PHASE_ONLY_NOT_PREDICTED,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B1_GRA_006b721760b0
LPML_INV_B1_GRA_1e7c87065177,75.0,,0,TARGET_PHASE_ONLY_NOT_PREDICTED,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B1_GRA_1e7c87065177
LPML_INV_B1_GRA_eefc073a82db,75.0,,0,TARGET_PHASE_ONLY_NOT_PREDICTED,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B1_GRA_eefc073a82db
LPML_INV_B1_GRA_33e66e9a1f78,75.0,,0,TARGET_PHASE_ONLY_NOT_PREDICTED,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B1_GRA_33e66e9a1f78
LPML_INV_B1_GRA_9a8f16c82b13,75.0,,0,TARGET_PHASE_ONLY_NOT_PREDICTED,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B1_GRA_9a8f16c82b13
LPML_INV_B2_GRA_0e7a02a635cf,135.0,,28.10216705151761,TARGET_PHASE_OUTSIDE_OBSERVED_SUPPORT_NOT_SURROGATE_PHYSICS,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B2_GRA_0e7a02a635cf
LPML_INV_B2_GRA_54e3e50c0d10,135.0,,28.10216705151761,TARGET_PHASE_OUTSIDE_OBSERVED_SUPPORT_NOT_SURROGATE_PHYSICS,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B2_GRA_54e3e50c0d10
LPML_INV_B4_GRA_64e1426be42f,255.0,,148.1021670515176,TARGET_PHASE_OUTSIDE_OBSERVED_SUPPORT_NOT_SURROGATE_PHYSICS,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B4_GRA_64e1426be42f
LPML_INV_B4_GRA_2d33e8cf6ce9,255.0,,148.1021670515176,TARGET_PHASE_OUTSIDE_OBSERVED_SUPPORT_NOT_SURROGATE_PHYSICS,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B4_GRA_2d33e8cf6ce9
LPML_INV_B0_GRA_f550e86fb315,50.0,,12.053626948833056,TARGET_PHASE_OUTSIDE_OBSERVED_SUPPORT_NOT_SURROGATE_PHYSICS,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B0_GRA_f550e86fb315
LPML_INV_B1_GRA_0804122e5aab,80.0,,0,TARGET_PHASE_ONLY_NOT_PREDICTED,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B1_GRA_0804122e5aab
LPML_INV_B1_GRA_fb507fd5eb33,80.0,,0,TARGET_PHASE_ONLY_NOT_PREDICTED,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B1_GRA_fb507fd5eb33
LPML_INV_B1_GRA_2e8dfa17c7e5,80.0,,0,TARGET_PHASE_ONLY_NOT_PREDICTED,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B1_GRA_2e8dfa17c7e5
LPML_INV_B1_GRA_bbaae7a5479a,80.0,,0,TARGET_PHASE_ONLY_NOT_PREDICTED,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B1_GRA_bbaae7a5479a
LPML_INV_B1_GRA_b5f9818ff32c,80.0,,0,TARGET_PHASE_ONLY_NOT_PREDICTED,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B1_GRA_b5f9818ff32c
LPML_INV_B1_GRA_7454bc828162,80.0,,0,TARGET_PHASE_ONLY_NOT_PREDICTED,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B1_GRA_7454bc828162
