candidate_id,source_class,uW,uD,uPsi,phase_deg,Txx,Tyy,cross_power,sigma2_over_sigma1,projection_error,projector_status,geometry_hash
POSTD8_QMAP_WP_D0_P0,ORIGINAL_22_TRAINING_PHYSICS,1,0,0,82.57998639367311,0.9816069781783847,0.09873291023699277,8.924481349940574e-07,0.3171474534346893,,,
POSTD8_QMAP_WP_D0_PP,ORIGINAL_22_TRAINING_PHYSICS,1,0,1,82.63727196569766,0.9815419555774425,0.09761526418147484,2.695674751014614e-06,0.3153560350955787,,,
POSTD8_QMAP_WP_DP_PM,ORIGINAL_22_TRAINING_PHYSICS,1,1,-1,82.03018419230494,0.9780293823351156,0.1110015062876845,3.876948361596674e-06,0.33689122752633405,,,
POSTD8_QMAP_WP_DP_P0,ORIGINAL_22_TRAINING_PHYSICS,1,1,0,82.45435489413802,0.9750299715623636,0.09747346001353885,1.3001132030049788e-06,0.3161787797024404,,,
POSTD8_QMAP_WP_DP_PP,ORIGINAL_22_TRAINING_PHYSICS,1,1,1,82.3366078516424,0.9813901787040578,0.11101004124119114,2.991049747291905e-06,0.3363264428038453,,,
POSTD8_BOUNDED_PROJECTOR_03,BOUNDED_6_EXTERNAL_PHYSICS,2,0,1,83.80432515500394,0.9882174507087657,0.0841956581302347,8.41859714931143e-05,0.29182324993464487,4.321732097833283e-05,PASS,66a3dc9d521806535cafd737ac827e01ef8d81ada8b1ff979243c6ca5fca38db
POSTD8_BOUNDED_PROJECTOR_04,BOUNDED_6_EXTERNAL_PHYSICS,2,0,0,83.06449517805245,0.9727606462320078,0.08720212917962429,3.0338222673103343e-06,0.29940676340331035,1.5114956043527293e-06,PASS,c87fd82c28de5256465253f23cba3493d376b40b8354c93e0df34bbbc45394e6
POSTD8_BOUNDED_PHASE_01,BOUNDED_6_EXTERNAL_PHYSICS,0,2,-1,81.83392589906441,0.9762270540517638,0.10167929035288596,7.94823527640629e-10,0.32273111092141216,4.1826207488380155e-10,PASS,1d24e97bd1d0721929dc296512155b0b49a10233ce0f5adc601a9975997d49f2
POSTD8_BOUNDED_PHASE_02,BOUNDED_6_EXTERNAL_PHYSICS,0,1,-2,81.90232041389848,0.9806735766691383,0.1024085263881075,3.784839789427542e-07,0.32315111810696895,1.960292982062354e-07,PASS,41321ebd023430fd12fd568c34b8e6f9bc10549914b69e00eaa6995f657daf7a
POSTD8_BOUNDED_DIAG_05,BOUNDED_6_EXTERNAL_PHYSICS,0,2,0,81.83820546830535,0.9755510973240265,0.10134172015198815,2.467110486738905e-07,0.32230654124377034,1.2994182958131056e-07,PASS,4baa01a6354ad138f6420c8bface03eb2a8af4a4bdf9577a7cd74dc51da44e8a
POSTD8_BOUNDED_DIAG_06,BOUNDED_6_EXTERNAL_PHYSICS,2,1,1,83.81848144155789,0.989826910242413,0.08355668162373117,8.716321409896625e-05,0.2904896138839077,4.4699697074843127e-05,PASS,cc1559c84261dbe4d281882efe8f8bb749c198482c88c31bb62566cd71ce4dac
