candidate_id,target_bin,selection_role,geometry_family,calibrated_risk_class,exact_geometry_hash_sha256,physics_origin,physics_label,x_y_provenance,material,reference_plane,normalization,wavelength_nm,phase_deg,Txx,Tyy,leakage,cross_power,sigma_ratio,projection_error,frobenius
LPML_INV_B1_DER_28e629198bb5,1,DIVERSITY_BACKUP,J1108_L106_W99_P-4,CALIBRATED_LOW_RISK,825c1acb884670c9adc43b03c6f86e7ac6d3e2becc613a089e3c348cd759e36f,PROSPECTIVE_SINGLE_DIMER_FDTD_PHYSICS,FORMAL_WEIGHTED_G0_450NM,ACCEPTED_ACCEPTED,APCD_TIO2_NATIVE_M1,field_monitor_z_1000nm,"sqrt(T)/norm(weighted Ex,Ey)",450.0,73.68021806835918,1.0000951072747868,0.3241237415525009,0.3241241757527348,4.3420023389572957e-07,0.569291166849308,0.24476624068764452,1.150747271570748
LPML_INV_B1_GRA_78e4d56686f5,1,LOWEST_CALIBRATED_RISK,J1110_L107_W98_P8,CALIBRATED_LOW_RISK,719d15ec806b53073dd1d5cba0329434798a309645c09cb6d0e984509db7eb75,PROSPECTIVE_SINGLE_DIMER_FDTD_PHYSICS,FORMAL_WEIGHTED_G0_450NM,ACCEPTED_ACCEPTED,APCD_TIO2_NATIVE_M1,field_monitor_z_1000nm,"sqrt(T)/norm(weighted Ex,Ey)",450.0,79.85158076462312,0.9875994421905824,0.09243911613770435,0.09245816029007331,1.904415236896533e-05,0.3059304237976279,0.08560484188780038,1.0392581981782274
LPML_INV_B2_DER_887193d2b26e,2,BEST_SINGLE_BIN_PARETO,J1111_L110_W99_P-4,CALIBRATED_MODERATE_RISK,e44d7eb9bc02fe0fed0f41981f2f0239d0ca1eba21511872ec767905c7e14a5b,PROSPECTIVE_SINGLE_DIMER_FDTD_PHYSICS,FORMAL_WEIGHTED_G0_450NM,ACCEPTED_ACCEPTED,APCD_TIO2_NATIVE_M1,field_monitor_z_1000nm,"sqrt(T)/norm(weighted Ex,Ey)",450.0,88.9573036868486,0.9880483119608185,0.011978050536794651,0.012001874128871015,2.382359207636423e-05,0.11009433064486339,0.012001271831966642,1.0000250927300223
LPML_INV_B2_DER_efda342ea028,2,BEST_SINGLE_BIN_PARETO,J1111_L109_W100_P-9,CALIBRATED_MODERATE_RISK,2a64bf1a1f1c557393943c7009cadab3f1e7c404a6bc606675a16b01d9c9fd18,PROSPECTIVE_SINGLE_DIMER_FDTD_PHYSICS,FORMAL_WEIGHTED_G0_450NM,ACCEPTED_ACCEPTED,APCD_TIO2_NATIVE_M1,field_monitor_z_1000nm,"sqrt(T)/norm(weighted Ex,Ey)",450.0,90.51246107778405,0.9884211188276448,0.010268225660920642,0.01033641312510647,6.818746418582724e-05,0.10188536216536427,0.01034927176458611,0.9993785728905495
LPML_INV_B2_DER_1c4c70e363d7,2,BEST_SINGLE_BIN_PARETO,J1112_L110_W99_P-3,CALIBRATED_MODERATE_RISK,17bde7ad75b47ea506f88c1b8c21bcdb15392421df862949bbada11c23d8685d,PROSPECTIVE_SINGLE_DIMER_FDTD_PHYSICS,FORMAL_WEIGHTED_G0_450NM,ACCEPTED_ACCEPTED,APCD_TIO2_NATIVE_M1,field_monitor_z_1000nm,"sqrt(T)/norm(weighted Ex,Ey)",450.0,93.39134416839238,0.973951969575276,6.98731369755061e-05,8.463811152401279e-05,1.4764974548506675e-05,0.00847366695910531,8.689417918805731e-05,0.9869329296800263
LPML_INV_B2_DER_12be3c1d9a57,2,DIVERSITY_BACKUP,J1111_L109_W100_P-8,CALIBRATED_MODERATE_RISK,ae013ed48905a04f9757ddbe7a29c25cedd77c15ef8c5fb507d91969d03ff5f6,PROSPECTIVE_SINGLE_DIMER_FDTD_PHYSICS,FORMAL_WEIGHTED_G0_450NM,ACCEPTED_ACCEPTED,APCD_TIO2_NATIVE_M1,field_monitor_z_1000nm,"sqrt(T)/norm(weighted Ex,Ey)",450.0,91.48965495507878,0.9824726552341653,0.011424130448787182,0.011477063583247911,5.293313446072902e-05,0.10780906747693261,0.011546925730713142,0.9969702697760917
LPML_INV_B2_DER_645b1376ee7c,2,LOWEST_CALIBRATED_RISK,J1112_L108_W101_P-7,CALIBRATED_MODERATE_RISK,570e5769b8e5dc64522cae47e0788e2c599fa17c9a05eca3cf36c0dc969de5c7,PROSPECTIVE_SINGLE_DIMER_FDTD_PHYSICS,FORMAL_WEIGHTED_G0_450NM,ACCEPTED_ACCEPTED,APCD_TIO2_NATIVE_M1,field_monitor_z_1000nm,"sqrt(T)/norm(weighted Ex,Ey)",450.0,94.41830545502455,0.968574416016084,0.002957079029862238,0.0037299571986179653,0.0007728781687557271,0.0552487276662736,0.0038362032521627176,0.9860549544597917
LPML_INV_B3_DER_ae6a205f794c,3,BEST_TUPLE_RELEVANT,J1111_L107_W98_P4,CALIBRATED_LOW_RISK,03cf2be9690df3daa46d26326e642d759ea1660d2357067199c81c1ea129c42a,PROSPECTIVE_SINGLE_DIMER_FDTD_PHYSICS,FORMAL_WEIGHTED_G0_450NM,ACCEPTED_ACCEPTED,APCD_TIO2_NATIVE_M1,field_monitor_z_1000nm,"sqrt(T)/norm(weighted Ex,Ey)",450.0,84.21084119929537,0.9776930129183722,0.02886666334709407,0.028947003737156356,8.034039006228651e-05,0.17181548972802582,0.028756062999889642,1.003314515321855
LPML_INV_B3_DER_c6034e02ce52,3,BEST_SINGLE_BIN_PARETO,J1110_L107_W101_P6,CALIBRATED_LOW_RISK,4a7661e49cb3047e912b73c5d6bb71393baed1691e1c08f3dc6c87cb1de8ea70,PROSPECTIVE_SINGLE_DIMER_FDTD_PHYSICS,FORMAL_WEIGHTED_G0_450NM,ACCEPTED_ACCEPTED,APCD_TIO2_NATIVE_M1,field_monitor_z_1000nm,"sqrt(T)/norm(weighted Ex,Ey)",450.0,82.12462997289572,0.9804171944086865,0.06440375505077417,0.064409732649625,5.977598850838559e-06,0.2563026338304649,0.061646317664275085,1.022167758764828
LPML_INV_B3_DER_1a143aaeb4c4,3,BEST_SINGLE_BIN_PARETO,J1111_L107_W99_P10,CALIBRATED_LOW_RISK,1ba9fb1c5cb0e50b39a7c07314559281900c57f77ab2f92996c24e5bf240443b,PROSPECTIVE_SINGLE_DIMER_FDTD_PHYSICS,FORMAL_WEIGHTED_G0_450NM,ACCEPTED_ACCEPTED,APCD_TIO2_NATIVE_M1,field_monitor_z_1000nm,"sqrt(T)/norm(weighted Ex,Ey)",450.0,85.61437482610506,0.9871126334081394,0.02504197047802165,0.02506260240708552,2.0631929063871865e-05,0.15926180532255982,0.024761129812566396,1.0060692003114025
LPML_INV_B3_DER_e74126c376f7,3,BEST_SINGLE_BIN_PARETO,J1112_L109_W99_P10,CALIBRATED_MODERATE_RISK,0b0560ef3dd59c23ed45bbfcbdbbcc882e424f3def9493fa060f72437fe4abfc,PROSPECTIVE_SINGLE_DIMER_FDTD_PHYSICS,FORMAL_WEIGHTED_G0_450NM,ACCEPTED_ACCEPTED,APCD_TIO2_NATIVE_M1,field_monitor_z_1000nm,"sqrt(T)/norm(weighted Ex,Ey)",450.0,91.60036496362665,0.9808705404218562,2.48057105034566e-06,0.0001096455678338748,0.00010716499678352914,0.001587312971991967,0.00011177143983109872,0.9904444386181841
LPML_INV_B3_DER_a37ca6b0686f,3,DIVERSITY_BACKUP,J1111_L109_W102_P3,CALIBRATED_MODERATE_RISK,0d770aa1d0a3214ee2c8559ace4514856ff84ebd91da4dc6272f175afd68ad08,PROSPECTIVE_SINGLE_DIMER_FDTD_PHYSICS,FORMAL_WEIGHTED_G0_450NM,ACCEPTED_ACCEPTED,APCD_TIO2_NATIVE_M1,field_monitor_z_1000nm,"sqrt(T)/norm(weighted Ex,Ey)",450.0,89.02563362074449,0.9851548049087354,0.006571658158327963,0.006601488870676279,2.983071234831652e-05,0.08168367374487895,0.0066563619631988535,0.995869616857253
LPML_INV_B3_DER_ea265a89dcd0,3,LOWEST_CALIBRATED_RISK,J1112_L109_W100_P4,CALIBRATED_MODERATE_RISK,f99bfd37497c11eacd23ec1352a0a193f0f133bc24d3c4678b9e4c56dd34d55c,PROSPECTIVE_SINGLE_DIMER_FDTD_PHYSICS,FORMAL_WEIGHTED_G0_450NM,ACCEPTED_ACCEPTED,APCD_TIO2_NATIVE_M1,field_monitor_z_1000nm,"sqrt(T)/norm(weighted Ex,Ey)",450.0,93.56729265025069,0.9865948231226782,0.0022008366705077395,0.002250621799889976,4.978512938223649e-05,0.04723665513190203,0.002276009675168278,0.9944070820959433
