candidate_id,wavelength_nm,angle_deg_internal_GaN,polarization,cavity_spacer_nm,phase_error_rad,phase_error_deg,roundtrip_phase_rad
R2_4D2_OPT_13003,453.0,30.0,TE,238.0,2.531572425525856,145.04841551432847,16.317983496012904
R2_4D2_OPT_13003,453.0,30.0,TM,238.0,0.1665175825608736,9.540754695459295,12.3998530317983
R2_4D2_OPT_13003,453.0,36.0,TE,238.0,1.0580269502614221,60.62047886107736,17.791528971277337
R2_4D2_OPT_13003,453.0,36.0,TM,238.0,1.5912372737196285,91.17117998803806,17.25831864781913
R2_4D2_OPT_13003,453.0,40.0,TE,238.0,0.7809391069839857,44.74451488689785,13.347309721343159
R2_4D2_OPT_13003,453.0,40.0,TM,238.0,2.305455397898524,132.0928641552393,16.544100523640235
R2_4D2_OPT_13003,453.0,60.0,TE,238.0,0.5478172217118211,31.387614748669836,12.018553392647352
R2_4D2_OPT_13003,453.0,60.0,TM,238.0,1.1546414937285578,66.15608444132748,13.72101210808773
R2_4D2_OPT_13003,456.0,0.0,TE,238.0,2.502075745626798,143.35838024646407,16.34748017591196
R2_4D2_OPT_13003,456.0,0.0,TM,238.0,2.502075745626798,143.35838024646407,22.630665483091548
R2_4D2_OPT_13003,456.0,5.0,TE,238.0,2.480973417177272,142.14930588840738,16.368582504361488
R2_4D2_OPT_13003,456.0,5.0,TM,238.0,2.4918954682342873,142.77509331760075,22.64084576048406
R2_4D2_OPT_13003,456.0,7.0,TE,238.0,2.463594687618831,141.15357803140944,16.38596123391993
R2_4D2_OPT_13003,456.0,7.0,TM,238.0,2.480224228884503,142.1063805611711,22.652516999833843
R2_4D2_OPT_13003,456.0,10.0,TE,238.0,2.4348386746440456,139.50597985233082,16.414717246894714
R2_4D2_OPT_13003,456.0,10.0,TM,238.0,2.4475299605013676,140.23313696854945,16.402025961037392
R2_4D2_OPT_13003,456.0,20.0,TE,238.0,2.4135375914405026,138.2855176857108,16.436018330098257
R2_4D2_OPT_13003,456.0,20.0,TM,238.0,1.5820580507965123,90.64524925533377,10.98431256356266
R2_4D2_OPT_13003,456.0,30.0,TE,238.0,2.5798798977388246,147.81622979107706,16.269676023799935
R2_4D2_OPT_13003,456.0,30.0,TM,238.0,0.34119190458613907,19.548856136816045,12.907562518945312
R2_4D2_OPT_13003,456.0,36.0,TE,238.0,1.3532347452239706,77.53463959179474,11.213135869135202
R2_4D2_OPT_13003,456.0,36.0,TM,238.0,1.3629944728602517,78.09383079455085,17.486561448678508
R2_4D2_OPT_13003,456.0,40.0,TE,238.0,1.6461160150294556,94.3155002500814,14.212486629388629
R2_4D2_OPT_13003,456.0,40.0,TM,238.0,2.1048434037841526,120.5986435727825,16.744712517754607
R2_4D2_OPT_13003,456.0,60.0,TE,238.0,0.6049140304360693,34.65902091223499,11.961456583923104
R2_4D2_OPT_13003,456.0,60.0,TM,238.0,1.0982923741886412,62.9275177124121,13.664662988547814
R2_4D2_OPT_13010,450.0,0.0,TE,228.0,3.052062278052584,174.8702873434966,15.797493643486176
