candidate_id,wavelength_nm,angle_deg_internal_GaN,polarization,phase_error_deg,R_top,R_bottom
R2_4B_OPT_06361,446.0,40.0,TE,106.89497388785898,0.9999999999999998,1.0
R2_4B_OPT_06361,446.0,60.0,TE,171.8210095446698,1.0,1.0
R2_4B_OPT_06361,446.25,20.0,TE,71.65079322827037,0.9999562041019223,0.999999814255629
R2_4B_OPT_06361,446.25,30.0,TE,113.47637106508661,1.0,1.0
R2_4B_OPT_06361,446.25,36.0,TE,114.69427010833847,0.9999999999999998,1.0
R2_4B_OPT_06361,446.25,40.0,TE,103.8039803825572,1.0000000000000004,0.9999999999999996
R2_4B_OPT_06361,446.25,60.0,TE,171.4212193451105,0.9999999999999998,1.0
R2_4B_OPT_06361,446.5,20.0,TE,72.1792106677622,0.9999564428481961,0.9999998126252984
R2_4B_OPT_06361,446.5,30.0,TE,113.92976925888108,1.0,1.0
R2_4B_OPT_06361,446.5,36.0,TE,113.18534172801834,0.9999999999999998,0.9999999999999996
R2_4B_OPT_06361,446.5,40.0,TE,100.52399211295703,1.0,1.0
R2_4B_OPT_06361,446.5,60.0,TE,171.02186640538343,1.0,1.0
R2_4B_OPT_06361,446.75,20.0,TE,72.70683140376258,0.999956676083456,0.9999998109657025
R2_4B_OPT_06361,446.75,30.0,TE,114.38176937253812,0.9999999999999998,0.9999999999999996
R2_4B_OPT_06361,446.75,36.0,TE,111.414670806271,1.0,0.9999999999999996
R2_4B_OPT_06361,446.75,40.0,TE,97.0401042162579,0.9999999999999998,1.0
R2_4B_OPT_06361,446.75,60.0,TE,170.62295000433681,1.0,1.0
R2_4B_OPT_06361,447.0,20.0,TE,73.23365459636629,0.9999569039078341,0.9999998092763227
R2_4B_OPT_06361,447.0,30.0,TE,114.8323666355917,0.9999999999999998,1.0
R2_4B_OPT_06361,447.0,36.0,TE,109.31946636903761,1.0,0.9999999999999998
R2_4B_OPT_06361,447.0,40.0,TE,93.33644532117323,0.9999999999999998,1.0000000000000004
R2_4B_OPT_06361,447.0,60.0,TE,170.22446942241726,1.0,1.0
R2_4B_OPT_06361,447.25,20.0,TE,73.75967941370733,0.9999571264187447,0.9999998075566284
R2_4B_OPT_06361,447.25,30.0,TE,115.28155618450509,1.0,1.0
R2_4B_OPT_06361,447.25,36.0,TE,106.81518357647747,0.9999999999999998,1.0
R2_4B_OPT_06361,447.25,40.0,TE,89.39614615025812,1.0,1.0000000000000004
R2_4B_OPT_06361,447.25,60.0,TE,169.8264239416652,0.9999999999999998,1.0
R2_4B_OPT_06361,447.5,20.0,TE,74.28490503166422,0.9999573437109623,0.9999998058060767
R2_4B_OPT_06361,447.5,30.0,TE,115.72933306069935,0.9999999999999998,1.0
R2_4B_OPT_06361,447.5,36.0,TE,103.78554168677815,0.9999999999999998,0.9999999999999998
R2_4B_OPT_06361,447.5,40.0,TE,85.20127083254201,1.0,1.0
R2_4B_OPT_06361,447.5,60.0,TE,169.4288128457119,1.0,1.0
R2_4B_OPT_06361,447.75,20.0,TE,74.80933063357776,0.9999575558766955,0.9999998040241134
R2_4B_OPT_06361,447.75,30.0,TE,116.17569220852634,1.0,1.0
R2_4B_OPT_06361,447.75,36.0,TE,100.06678254118063,0.9999999999999996,1.0
R2_4B_OPT_06361,447.75,40.0,TE,80.73265100833008,0.9999999999999998,0.9999999999999998
R2_4B_OPT_06361,447.75,60.0,TE,169.03163541977426,1.0,1.0
R2_4B_OPT_06361,448.0,20.0,TE,75.33295540996862,0.9999577630056611,0.999999802210171
R2_4B_OPT_06361,448.0,30.0,TE,116.62062847318305,0.9999999999999998,1.0
R2_4B_OPT_06361,448.0,36.0,TE,95.42220257532725,1.0,1.0
R2_4B_OPT_06361,448.0,40.0,TE,75.96949830444477,0.9999999999999998,1.0
R2_4B_OPT_06361,448.0,60.0,TE,168.63489095064924,0.9999999999999998,1.0
R2_4B_OPT_06361,448.25,20.0,TE,75.85577855825835,0.9999579651851551,0.9999998003636694
R2_4B_OPT_06361,448.25,30.0,TE,117.06413659856457,1.0,1.0
R2_4B_OPT_06361,448.25,36.0,TE,89.49999904061268,1.0,1.0
R2_4B_OPT_06361,448.25,40.0,TE,70.88853651810236,0.9999999999999998,1.0
R2_4B_OPT_06361,448.25,60.0,TE,168.23857872671127,0.9999999999999998,1.0
R2_4B_OPT_06361,448.5,20.0,TE,76.37779928249712,0.999958162500121,0.9999997984840144
R2_4B_OPT_06361,448.5,30.0,TE,117.50621122505669,0.9999999999999998,1.0
R2_4B_OPT_06361,448.5,36.0,TE,81.762608343277,1.0,1.0
R2_4B_OPT_06361,448.5,40.0,TE,65.46210095248055,1.0,0.9999999999999998
R2_4B_OPT_06361,448.5,60.0,TE,167.8426980379081,1.0,0.9999999999999998
