monitor_name,wavelength_nm,path_a_monitor_T,path_b_raw_pz_over_source,path_c_eh_poynting_over_source,sourcepower_W,raw_pz_W,eh_poynting_W,run_id
reflection_monitor,448.00000000000006,0.1969305464388587,0.19693054643885868,0.19693054643885868,9.123094777851611e-16,-3.5932320796316317e-16,-1.7966160398158158e-16,RUN3A
reflection_monitor,449.0,0.1904595757454484,0.1904595757454484,0.1904595757454484,9.12497875266428e-16,-3.4758791638373394e-16,-1.7379395819186697e-16,RUN3A
reflection_monitor,450.0,0.1815062781284073,0.1815062781284072,0.1815062781284072,9.126850306871428e-16,-3.3131612604706877e-16,-1.6565806302353439e-16,RUN3A
reflection_monitor,450.9999999999999,0.17723757639117793,0.17723757639117785,0.17723757639117782,9.128709549133734e-16,-3.23590071213493e-16,-1.6179503560674647e-16,RUN3A
reflection_monitor,451.99999999999994,0.16784701803745,0.16784701803744997,0.16784701803744997,9.130556586929349e-16,-3.065073392276576e-16,-1.532536696138288e-16,RUN3A
reflection_monitor,453.00000000000006,0.16545810062432678,0.16545810062432692,0.16545810062432692,9.13239152656925e-16,-3.0220563122876907e-16,-1.5110281561438454e-16,RUN3A
reflection_monitor,453.9999999999999,0.15380443459201404,0.15380443459201404,0.15380443459201404,9.134214473212383e-16,-2.8097653849892437e-16,-1.4048826924946219e-16,RUN3A
reflection_monitor,455.00000000000006,0.11403130769514702,0.114031307695147,0.114031307695147,9.136025530880568e-16,-2.0835858768451213e-16,-1.0417929384225607e-16,RUN3A
transmission_monitor,445.0,0.622990259536397,0.622990259536397,0.622990259536397,9.117367225106233e-16,1.1360061947715143e-15,5.680030973857572e-16,RUN3B
transmission_monitor,445.99999999999994,0.765690405600639,0.7656904056006393,0.7656904056006393,9.119289125760426e-16,1.3965104378986e-15,6.982552189493e-16,RUN3B
transmission_monitor,446.99999999999994,0.8166479954518507,0.8166479954518506,0.8166479954518506,9.121198272574593e-16,1.4897616570833849e-15,7.448808285416924e-16,RUN3B
transmission_monitor,448.00000000000006,0.8420752222065713,0.8420752222065714,0.8420752222065714,9.123094777851607e-16,1.5364664124542007e-15,7.682332062271003e-16,RUN3B
transmission_monitor,449.0,0.8579647513465921,0.857964751346592,0.8579647513465921,9.124978752664276e-16,1.5657820253145082e-15,7.828910126572542e-16,RUN3B
transmission_monitor,450.0,0.8736487589674989,0.8736487589674997,0.8736487589674997,9.126850306871424e-16,1.5947322887760726e-15,7.973661443880363e-16,RUN3B
transmission_monitor,450.9999999999999,0.8571431997116374,0.857143199711637,0.8571431997116369,9.12870954913373e-16,1.5649222624365322e-15,7.82461131218266e-16,RUN3B
transmission_monitor,451.99999999999994,0.8072568643723462,0.807256864372346,0.8072568643723459,9.130556586929347e-16,1.4741408960677707e-15,7.370704480338853e-16,RUN3B
transmission_monitor,453.00000000000006,0.8517306770088897,0.8517306770088897,0.8517306770088897,9.132391526569247e-16,1.5556676035270146e-15,7.778338017635073e-16,RUN3B
transmission_monitor,453.9999999999999,0.8711745565023101,0.8711745565023102,0.8711745565023102,9.13421447321238e-16,1.5914990485395555e-15,7.957495242697777e-16,RUN3B
transmission_monitor,455.00000000000006,0.8806215359352457,0.8806215359352456,0.8806215359352456,9.136025530880562e-16,1.6090761670695316e-15,8.045380835347658e-16,RUN3B
reflection_monitor,445.0,0.3687450812394079,0.36874508123940786,0.36874508123940786,9.117367225106233e-16,-6.723968636222625e-16,-3.3619843181113126e-16,RUN3B
reflection_monitor,445.99999999999994,0.22808157021418313,0.22808157021418327,0.22808157021418324,9.119289125760426e-16,-4.159883566081129e-16,-2.0799417830405643e-16,RUN3B
reflection_monitor,446.99999999999994,0.17771218553855245,0.1777121855385525,0.1777121855385525,9.121198272574593e-16,-3.2418961594994016e-16,-1.6209480797497008e-16,RUN3B
reflection_monitor,448.00000000000006,0.15343277840163522,0.15343277840163513,0.15343277840163513,9.123094777851607e-16,-2.7995635587744405e-16,-1.3997817793872203e-16,RUN3B
reflection_monitor,449.0,0.13710700260194764,0.13710700260194755,0.13710700260194755,9.124978752664276e-16,-2.502196971168514e-16,-1.251098485584257e-16,RUN3B
reflection_monitor,450.0,0.12231268382166317,0.12231268382166331,0.12231268382166331,9.126850306871424e-16,-2.2326591117440304e-16,-1.1163295558720152e-16,RUN3B
reflection_monitor,450.9999999999999,0.1405517443169692,0.14055174431696915,0.14055174431696915,9.12870954913373e-16,-2.5661121009874376e-16,-1.2830560504937188e-16,RUN3B
reflection_monitor,451.99999999999994,0.18723459753475813,0.187234597534758,0.187234597534758,9.130556586929347e-16,-3.4191121756440995e-16,-1.7095560878220497e-16,RUN3B
reflection_monitor,453.00000000000006,0.1433360495139316,0.14333604951393175,0.14333604951393175,9.132391526569247e-16,-2.6180018480658807e-16,-1.3090009240329403e-16,RUN3B
reflection_monitor,453.9999999999999,0.12559830746468292,0.1255983074646829,0.1255983074646829,9.13421447321238e-16,-2.29448375570977e-16,-1.147241877854885e-16,RUN3B
reflection_monitor,455.00000000000006,0.11508459576619288,0.11508459576619286,0.11508459576619286,9.136025530880562e-16,-2.102831610262014e-16,-1.051415805131007e-16,RUN3B
transmission_monitor,445.0,0.798202425399808,0.7982024253998076,0.7982024253998076,9.117367225106235e-16,1.455500926468102e-15,7.27750463234051e-16,RUN3C
transmission_monitor,445.99999999999994,0.7941150473261219,0.7941150473261223,0.7941150473261223,9.119289125760426e-16,1.4483529431367666e-15,7.241764715683833e-16,RUN3C
transmission_monitor,446.99999999999994,0.7986076182672975,0.7986076182672978,0.7986076182672978,9.121198272574593e-16,1.4568516856409172e-15,7.284258428204586e-16,RUN3C
transmission_monitor,448.00000000000006,0.7868185947934396,0.7868185947934391,0.7868185947934391,9.123094777851605e-16,1.4356441226553124e-15,7.178220613276562e-16,RUN3C
transmission_monitor,449.0,0.8034309855772098,0.8034309855772098,0.8034309855772098,9.124978752664278e-16,1.466258134524832e-15,7.33129067262416e-16,RUN3C
transmission_monitor,450.0,0.7337437248947121,0.7337437248947118,0.7337437248947118,9.126850306871424e-16,1.3393538281440565e-15,6.696769140720282e-16,RUN3C
transmission_monitor,450.9999999999999,0.7969954584506863,0.7969954584506865,0.7969954584506865,9.128709549133728e-16,1.455108010434999e-15,7.275540052174995e-16,RUN3C
transmission_monitor,451.99999999999994,0.7681834721673008,0.768183472167301,0.768183472167301,9.130556586929347e-16,1.4027885323534812e-15,7.013942661767406e-16,RUN3C
