record_id,geometry_id,source_id,source_relative_path,source_row_identifier,source_candidate_id,source_commit,extraction_rule,dedup_action,conflict_status,notes
MAN_EX_N2_L79_H42_C158,GEO_2a88fe4a74b41faf,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L79_H42_C158,EX_N2_L79_H42_C158,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L79_H42_C159,GEO_bba5323b71f57764,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L79_H42_C159,EX_N2_L79_H42_C159,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L79_H42_C160,GEO_932536a4b5b4c7d9,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L79_H42_C160,EX_N2_L79_H42_C160,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L79_H42_C161,GEO_1fb1685ffb268a20,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L79_H42_C161,EX_N2_L79_H42_C161,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L79_H42_C162,GEO_866cf98938b21a3e,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L79_H42_C162,EX_N2_L79_H42_C162,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L80_H42_C152,GEO_55093f31dd433c23,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L80_H42_C152,EX_N2_L80_H42_C152,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L80_H42_C153,GEO_346896dd07b19566,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L80_H42_C153,EX_N2_L80_H42_C153,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L80_H42_C154,GEO_9d5bf9e0ff3722b2,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L80_H42_C154,EX_N2_L80_H42_C154,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L80_H42_C155,GEO_2cd8baad4152183d,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L80_H42_C155,EX_N2_L80_H42_C155,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L80_H42_C156,GEO_aeffca830b04e592,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L80_H42_C156,EX_N2_L80_H42_C156,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
