source_id,relative_path,file_type,source_stage,simulation_method,fidelity_level,row_count,size_bytes,sha256,git_commit,included_in_database,exclusion_reason,notes
SRC_00067,outputs/mdc_native_m1_zl1_alternative_tolerance/comparison_summary.csv,csv,tolerance,TMM,tolerance,16,9354,42a5644b5540db866a2d88e251fcdb3d9e5f7ba94b14033144571c788531c416,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,true,,
SRC_00068,outputs/mdc_native_m1_zl1_alternative_tolerance/independent_mc_metrics.csv,csv,tolerance,TMM,tolerance,1800,832043,12ebfab265377a9ab8dfd7a635bb2708d930723320d923d19089e64e68354d4d,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,true,,
SRC_00069,outputs/mdc_native_m1_zl1_alternative_tolerance/local_basin_metrics.csv,csv,tolerance,TMM,tolerance,686,286034,5542a054ba942956741c0a501fe9a57479b74c9f232c0bee51811d3d7538f5c0,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,true,,
SRC_00070,outputs/mdc_native_m1_zl1_alternative_tolerance/nominal_metrics.csv,csv,tolerance,TMM,tolerance,2,1133,b30b09d99440aa65fe388d7fabe7e8ed2b310a68ff95c83f8007ba96e55f56f6,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,true,,
SRC_00071,outputs/mdc_native_m1_zl1_alternative_tolerance/run_manifest.json,json,tolerance,TMM,tolerance,,1581,bfc9601f582fb5a9ad08cb94693b4d37d3053e469064caaa8fa3349e3c067fc6,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,true,,
SRC_00072,outputs/mdc_native_m1_zl1_alternative_tolerance/summary.json,json,tolerance,TMM,tolerance,,3042,502cf2b43b750f7a70c8d3e05b80beaccc49ad2388ca1f929fdce0867dd1ca4a,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,true,,
SRC_00073,reports/mdc_defect_450/mdc0v_mdc1a_integer_tmm_freeze.md,md,other,metadata,unknown,,2874,319d70b2b93d3bd2312415192a52c0d16093ac70572b3166d07df28981d6f5a2,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,true,,
SRC_00074,reports/mdc_defect_450/mdc1b_legacy_material_source_audit.md,md,other,metadata,unknown,,263,66216649fef40af21ec45fb8501e1295abeaffcdbe762d22911070dda8938a06,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,true,,
SRC_00075,reports/mdc_defect_450/mdc1b_local_integer_refine_decision.md,md,other,metadata,unknown,,2594,272ec564118c6f7fa22273872b231d4dedfeed1297bff55e7a0aefa6ffc695fe,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,true,,
SRC_00076,reports/mdc_defect_450/mdc1c1_rcwa_media_control_negative_decision.md,md,other,metadata,unknown,,789,3c52773f6f521c128981d5a6ab362eb8f0d44a689bd4b871f4e75d78af92f443,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,true,,
