record_id,geometry_id,parent_group_id,split,simulation_method,source_stage,usable_for_training
TMM_GEO_3e6aa28cbedc11a2,GEO_3e6aa28cbedc11a2,GEO_3e6aa28cbedc11a2,train,TMM,coarse,true
TMM_GEO_a66d47c96cb0f599,GEO_a66d47c96cb0f599,GEO_a66d47c96cb0f599,train,TMM,coarse,true
TMM_GEO_d311a6e971f0d0c2,GEO_d311a6e971f0d0c2,GEO_d311a6e971f0d0c2,test,TMM,coarse,true
TMM_GEO_4092083e65afc807,GEO_4092083e65afc807,GEO_4092083e65afc807,validation,TMM,coarse,true
TMM_GEO_1b3ff74bbe54d3c6,GEO_1b3ff74bbe54d3c6,GEO_1b3ff74bbe54d3c6,train,TMM,coarse,true
TMM_GEO_f1086b24c0169b5a,GEO_f1086b24c0169b5a,GEO_f1086b24c0169b5a,train,TMM,coarse,true
TMM_GEO_fc888557ff23fff3,GEO_fc888557ff23fff3,GEO_fc888557ff23fff3,test,TMM,coarse,true
TMM_GEO_ffc7ded655ae2cfe,GEO_ffc7ded655ae2cfe,GEO_ffc7ded655ae2cfe,train,TMM,coarse,true
TMM_GEO_ab83b559c9bcaf91,GEO_ab83b559c9bcaf91,GEO_ab83b559c9bcaf91,test,TMM,coarse,true
TMM_GEO_41ea427aa145a7e5,GEO_41ea427aa145a7e5,GEO_41ea427aa145a7e5,train,TMM,coarse,true
TMM_GEO_baabc3917250ce3e,GEO_baabc3917250ce3e,GEO_baabc3917250ce3e,test,TMM,coarse,true
TMM_GEO_abb5288065b7f522,GEO_abb5288065b7f522,GEO_abb5288065b7f522,train,TMM,coarse,true
TMM_GEO_7da837563d62d734,GEO_7da837563d62d734,GEO_7da837563d62d734,train,TMM,coarse,true
TMM_GEO_2a88fe4a74b41faf,GEO_2a88fe4a74b41faf,GEO_2a88fe4a74b41faf,train,TMM,coarse,true
TMM_GEO_bba5323b71f57764,GEO_bba5323b71f57764,GEO_bba5323b71f57764,train,TMM,coarse,true
TMM_GEO_932536a4b5b4c7d9,GEO_932536a4b5b4c7d9,GEO_932536a4b5b4c7d9,train,TMM,coarse,true
TMM_GEO_1fb1685ffb268a20,GEO_1fb1685ffb268a20,GEO_1fb1685ffb268a20,train,TMM,coarse,true
TMM_GEO_866cf98938b21a3e,GEO_866cf98938b21a3e,GEO_866cf98938b21a3e,train,TMM,coarse,true
TMM_GEO_55093f31dd433c23,GEO_55093f31dd433c23,GEO_55093f31dd433c23,train,TMM,coarse,true
TMM_GEO_346896dd07b19566,GEO_346896dd07b19566,GEO_346896dd07b19566,train,TMM,coarse,true
TMM_GEO_9d5bf9e0ff3722b2,GEO_9d5bf9e0ff3722b2,GEO_9d5bf9e0ff3722b2,train,TMM,coarse,true
TMM_GEO_2cd8baad4152183d,GEO_2cd8baad4152183d,GEO_2cd8baad4152183d,train,TMM,coarse,true
TMM_GEO_aeffca830b04e592,GEO_aeffca830b04e592,GEO_aeffca830b04e592,test,TMM,coarse,true
TMM_GEO_46ae06436effde3b,GEO_46ae06436effde3b,GEO_46ae06436effde3b,train,TMM,coarse,true
TMM_GEO_a2d16ad8bd73fc1c,GEO_a2d16ad8bd73fc1c,GEO_a2d16ad8bd73fc1c,validation,TMM,coarse,true
TMM_GEO_2e9488043aea8a33,GEO_2e9488043aea8a33,GEO_2e9488043aea8a33,train,TMM,coarse,true
TMM_GEO_4f8f4c5504adf535,GEO_4f8f4c5504adf535,GEO_4f8f4c5504adf535,train,TMM,coarse,true
TMM_GEO_71ddd589aae1ea67,GEO_71ddd589aae1ea67,GEO_71ddd589aae1ea67,train,TMM,coarse,true
TMM_GEO_d0440e1d58cfd0dc,GEO_d0440e1d58cfd0dc,GEO_d0440e1d58cfd0dc,test,TMM,coarse,true
TMM_GEO_9c43055ace111e3a,GEO_9c43055ace111e3a,GEO_9c43055ace111e3a,train,TMM,coarse,true
TMM_GEO_dee5d0594ed0947a,GEO_dee5d0594ed0947a,GEO_dee5d0594ed0947a,validation,TMM,coarse,true
TMM_GEO_182760dcd09678a2,GEO_182760dcd09678a2,GEO_182760dcd09678a2,test,TMM,coarse,true
TMM_GEO_e977da05ac485aa9,GEO_e977da05ac485aa9,GEO_e977da05ac485aa9,train,TMM,coarse,true
TMM_GEO_04bcea5183cdf430,GEO_04bcea5183cdf430,GEO_04bcea5183cdf430,train,TMM,coarse,true
TMM_GEO_4bf739edfd413ce3,GEO_4bf739edfd413ce3,GEO_4bf739edfd413ce3,train,TMM,coarse,true
TMM_GEO_e212631965c711e2,GEO_e212631965c711e2,GEO_e212631965c711e2,validation,TMM,coarse,true
TMM_GEO_f3c3d792d0d97769,GEO_f3c3d792d0d97769,GEO_f3c3d792d0d97769,test,TMM,coarse,true
TMM_GEO_f25878507b984f42,GEO_f25878507b984f42,GEO_f25878507b984f42,validation,TMM,coarse,true
TMM_GEO_1664d7c4a7138817,GEO_1664d7c4a7138817,GEO_1664d7c4a7138817,train,TMM,coarse,true
TMM_GEO_cb2a471e4c13a787,GEO_cb2a471e4c13a787,GEO_cb2a471e4c13a787,validation,TMM,coarse,true
TMM_GEO_7df2799e1058127c,GEO_7df2799e1058127c,GEO_7df2799e1058127c,train,TMM,coarse,true
TMM_GEO_7e7d7f6d176db180,GEO_7e7d7f6d176db180,GEO_7e7d7f6d176db180,train,TMM,coarse,true
TMM_GEO_9833d8abbaffbd5f,GEO_9833d8abbaffbd5f,GEO_9833d8abbaffbd5f,train,TMM,coarse,true
TMM_GEO_b2138a311d687a01,GEO_b2138a311d687a01,GEO_b2138a311d687a01,test,TMM,coarse,true
TMM_GEO_1028aaecc7f9d4f4,GEO_1028aaecc7f9d4f4,GEO_1028aaecc7f9d4f4,train,TMM,coarse,true
TMM_GEO_9e909d1e0e017be1,GEO_9e909d1e0e017be1,GEO_9e909d1e0e017be1,train,TMM,coarse,true
TMM_GEO_9edd118f2737bacf,GEO_9edd118f2737bacf,GEO_9edd118f2737bacf,train,TMM,coarse,true
TMM_GEO_9521e85446af16c4,GEO_9521e85446af16c4,GEO_9521e85446af16c4,train,TMM,coarse,true
TMM_GEO_36ff7dd03b772e55,GEO_36ff7dd03b772e55,GEO_36ff7dd03b772e55,test,TMM,coarse,true
TMM_GEO_d9617596874663c7,GEO_d9617596874663c7,GEO_d9617596874663c7,test,TMM,coarse,true
TMM_GEO_aae1e324dc229d82,GEO_aae1e324dc229d82,GEO_aae1e324dc229d82,train,TMM,coarse,true
TMM_GEO_f10d0acbf2bce979,GEO_f10d0acbf2bce979,GEO_f10d0acbf2bce979,train,TMM,coarse,true
TMM_GEO_5235003640ead811,GEO_5235003640ead811,GEO_5235003640ead811,train,TMM,coarse,true
TMM_GEO_69f4b457ab6f1ba8,GEO_69f4b457ab6f1ba8,GEO_69f4b457ab6f1ba8,train,TMM,coarse,true
TMM_GEO_1ff10566d209ed03,GEO_1ff10566d209ed03,GEO_1ff10566d209ed03,train,TMM,coarse,true
TMM_GEO_3e551275c5816c7f,GEO_3e551275c5816c7f,GEO_3e551275c5816c7f,train,TMM,coarse,true
TMM_GEO_065f31a91c9731f7,GEO_065f31a91c9731f7,GEO_065f31a91c9731f7,test,TMM,coarse,true
TMM_GEO_7621848447e71112,GEO_7621848447e71112,GEO_7621848447e71112,train,TMM,coarse,true
TMM_GEO_f3f654b1c46e5b41,GEO_f3f654b1c46e5b41,GEO_f3f654b1c46e5b41,train,TMM,coarse,true
TMM_GEO_b4b7985ad88bdf3a,GEO_b4b7985ad88bdf3a,GEO_b4b7985ad88bdf3a,train,TMM,coarse,true
TMM_GEO_7b16ff413767394b,GEO_7b16ff413767394b,GEO_7b16ff413767394b,test,TMM,coarse,true
TMM_GEO_409dab59c8a71c44,GEO_409dab59c8a71c44,GEO_409dab59c8a71c44,train,TMM,coarse,true
TMM_GEO_5fcedf68842fe2d6,GEO_5fcedf68842fe2d6,GEO_5fcedf68842fe2d6,train,TMM,coarse,true
TMM_GEO_8e95c2f7e064961d,GEO_8e95c2f7e064961d,GEO_8e95c2f7e064961d,test,TMM,coarse,true
TMM_GEO_93a95a696bb40177,GEO_93a95a696bb40177,GEO_93a95a696bb40177,train,TMM,coarse,true
TMM_GEO_8b8a32c93e11b244,GEO_8b8a32c93e11b244,GEO_8b8a32c93e11b244,train,TMM,coarse,true
TMM_GEO_4782c5de44fe735f,GEO_4782c5de44fe735f,GEO_4782c5de44fe735f,validation,TMM,coarse,true
TMM_GEO_fe4d13021d9d713a,GEO_fe4d13021d9d713a,GEO_fe4d13021d9d713a,train,TMM,coarse,true
TMM_GEO_0cba1cf9e845f645,GEO_0cba1cf9e845f645,GEO_0cba1cf9e845f645,train,TMM,coarse,true
TMM_GEO_eeeef26bc117f6a9,GEO_eeeef26bc117f6a9,GEO_eeeef26bc117f6a9,train,TMM,coarse,true
TMM_GEO_a3b489ca6fd51959,GEO_a3b489ca6fd51959,GEO_a3b489ca6fd51959,validation,TMM,coarse,true
TMM_GEO_b826ae260c5c320e,GEO_b826ae260c5c320e,GEO_b826ae260c5c320e,train,TMM,coarse,true
TMM_GEO_3a08d31c7ed102e7,GEO_3a08d31c7ed102e7,GEO_3a08d31c7ed102e7,validation,TMM,coarse,true
TMM_GEO_1f48b96b1331ba14,GEO_1f48b96b1331ba14,GEO_1f48b96b1331ba14,train,TMM,coarse,true
TMM_GEO_fd46c1e3b45ab658,GEO_fd46c1e3b45ab658,GEO_fd46c1e3b45ab658,train,TMM,coarse,true
TMM_GEO_62aa5c4d022d8383,GEO_62aa5c4d022d8383,GEO_62aa5c4d022d8383,train,TMM,coarse,true
TMM_GEO_45e67d8a739719ab,GEO_45e67d8a739719ab,GEO_45e67d8a739719ab,train,TMM,coarse,true
TMM_GEO_cb6c91312050f834,GEO_cb6c91312050f834,GEO_cb6c91312050f834,train,TMM,coarse,true
TMM_GEO_c97c7b4cb9e68f5d,GEO_c97c7b4cb9e68f5d,GEO_c97c7b4cb9e68f5d,test,TMM,coarse,true
TMM_GEO_3d87e7b2aef30290,GEO_3d87e7b2aef30290,GEO_3d87e7b2aef30290,train,TMM,coarse,true
TMM_GEO_f51525ae8a8147ee,GEO_f51525ae8a8147ee,GEO_f51525ae8a8147ee,test,TMM,coarse,true
TMM_GEO_210561106aa0ee0f,GEO_210561106aa0ee0f,GEO_210561106aa0ee0f,validation,TMM,coarse,true
TMM_GEO_0e46bb83d02ac86b,GEO_0e46bb83d02ac86b,GEO_0e46bb83d02ac86b,train,TMM,coarse,true
TMM_GEO_b31f58b70773ef69,GEO_b31f58b70773ef69,GEO_b31f58b70773ef69,train,TMM,coarse,true
TMM_GEO_781ce14f96e06695,GEO_781ce14f96e06695,GEO_781ce14f96e06695,validation,TMM,coarse,true
TMM_GEO_06054ea369f8a7c9,GEO_06054ea369f8a7c9,GEO_06054ea369f8a7c9,train,TMM,coarse,true
TMM_GEO_8dc8f312f5250891,GEO_8dc8f312f5250891,GEO_8dc8f312f5250891,train,TMM,coarse,true
TMM_GEO_33d1d253b910fc7c,GEO_33d1d253b910fc7c,GEO_33d1d253b910fc7c,train,TMM,coarse,true
TMM_GEO_144ff38a829c41bc,GEO_144ff38a829c41bc,GEO_144ff38a829c41bc,train,TMM,coarse,true
TMM_GEO_eab1a9fa420a5f11,GEO_eab1a9fa420a5f11,GEO_eab1a9fa420a5f11,train,TMM,coarse,true
TMM_GEO_2b4280d44a4a43a8,GEO_2b4280d44a4a43a8,GEO_2b4280d44a4a43a8,validation,TMM,coarse,true
TMM_GEO_60643b71df36c3a2,GEO_60643b71df36c3a2,GEO_60643b71df36c3a2,train,TMM,coarse,true
TMM_GEO_3ffb9e70c5ae0afc,GEO_3ffb9e70c5ae0afc,GEO_3ffb9e70c5ae0afc,train,TMM,coarse,true
TMM_GEO_e42428f29e811250,GEO_e42428f29e811250,GEO_e42428f29e811250,train,TMM,coarse,true
TMM_GEO_8f97f02ac05a2234,GEO_8f97f02ac05a2234,GEO_8f97f02ac05a2234,train,TMM,coarse,true
TMM_GEO_b172380878e2f487,GEO_b172380878e2f487,GEO_b172380878e2f487,train,TMM,coarse,true
TMM_GEO_34a134a7c05a7ce9,GEO_34a134a7c05a7ce9,GEO_34a134a7c05a7ce9,train,TMM,coarse,true
TMM_GEO_2a6739922f50db03,GEO_2a6739922f50db03,GEO_2a6739922f50db03,train,TMM,coarse,true
TMM_GEO_f7babdeba7eef1b7,GEO_f7babdeba7eef1b7,GEO_f7babdeba7eef1b7,train,TMM,coarse,true
TMM_GEO_7421d6f6281704df,GEO_7421d6f6281704df,GEO_7421d6f6281704df,validation,TMM,coarse,true
TMM_GEO_fcda8403d5ee90ba,GEO_fcda8403d5ee90ba,GEO_fcda8403d5ee90ba,train,TMM,coarse,true
TMM_GEO_f032f581a4277fbd,GEO_f032f581a4277fbd,GEO_f032f581a4277fbd,train,TMM,coarse,true
TMM_GEO_5c6717ae79ea4515,GEO_5c6717ae79ea4515,GEO_5c6717ae79ea4515,train,TMM,coarse,true
TMM_GEO_92652fcfc2cd4e68,GEO_92652fcfc2cd4e68,GEO_92652fcfc2cd4e68,train,TMM,coarse,true
TMM_GEO_173324fc8a1fc179,GEO_173324fc8a1fc179,GEO_173324fc8a1fc179,validation,TMM,coarse,true
TMM_GEO_248d412f1eace28e,GEO_248d412f1eace28e,GEO_248d412f1eace28e,train,TMM,coarse,true
TMM_GEO_d1e8e829950a97fa,GEO_d1e8e829950a97fa,GEO_d1e8e829950a97fa,train,TMM,coarse,true
TMM_GEO_5d514161483cf66a,GEO_5d514161483cf66a,GEO_5d514161483cf66a,test,TMM,coarse,true
TMM_GEO_4598ca2973be31a6,GEO_4598ca2973be31a6,GEO_4598ca2973be31a6,train,TMM,coarse,true
TMM_GEO_2dcb17dcea559328,GEO_2dcb17dcea559328,GEO_2dcb17dcea559328,train,TMM,coarse,true
TMM_GEO_372bc2c962870a59,GEO_372bc2c962870a59,GEO_372bc2c962870a59,train,TMM,coarse,true
TMM_GEO_0b59cdd0e5db52f1,GEO_0b59cdd0e5db52f1,GEO_0b59cdd0e5db52f1,train,TMM,coarse,true
TMM_GEO_a304887494775aa1,GEO_a304887494775aa1,GEO_a304887494775aa1,train,TMM,coarse,true
TMM_GEO_3da4cce5ecc0cb03,GEO_3da4cce5ecc0cb03,GEO_3da4cce5ecc0cb03,train,TMM,coarse,true
TMM_GEO_c176b805320472bb,GEO_c176b805320472bb,GEO_c176b805320472bb,train,TMM,coarse,true
TMM_GEO_db4b8a422d966aac,GEO_db4b8a422d966aac,GEO_db4b8a422d966aac,validation,TMM,coarse,true
TMM_GEO_d70baca7e76ca550,GEO_d70baca7e76ca550,GEO_d70baca7e76ca550,train,TMM,coarse,true
TMM_GEO_cc2339ef6b0c58a8,GEO_cc2339ef6b0c58a8,GEO_cc2339ef6b0c58a8,validation,TMM,coarse,true
TMM_GEO_e86ce12020070015,GEO_e86ce12020070015,GEO_e86ce12020070015,test,TMM,coarse,true
TMM_GEO_f15a12e5a54a6fc2,GEO_f15a12e5a54a6fc2,GEO_f15a12e5a54a6fc2,train,TMM,coarse,true
TMM_GEO_51ab183b264f9c0d,GEO_51ab183b264f9c0d,GEO_51ab183b264f9c0d,train,TMM,coarse,true
TMM_GEO_cafa457d48e1576a,GEO_cafa457d48e1576a,GEO_cafa457d48e1576a,test,TMM,coarse,true
TMM_GEO_7cd21d29b222927a,GEO_7cd21d29b222927a,GEO_7cd21d29b222927a,train,TMM,coarse,true
TMM_GEO_6d5cf46bd6800999,GEO_6d5cf46bd6800999,GEO_6d5cf46bd6800999,train,TMM,coarse,true
TMM_GEO_2bf186a4201fcf69,GEO_2bf186a4201fcf69,GEO_2bf186a4201fcf69,train,TMM,coarse,true
TMM_GEO_3d4aa6078593d49f,GEO_3d4aa6078593d49f,GEO_3d4aa6078593d49f,train,TMM,coarse,true
TMM_GEO_99d568d2aa218d0e,GEO_99d568d2aa218d0e,GEO_99d568d2aa218d0e,train,TMM,coarse,true
TMM_GEO_91b18b3d95713e08,GEO_91b18b3d95713e08,GEO_91b18b3d95713e08,validation,TMM,coarse,true
TMM_GEO_a744f8886e274932,GEO_a744f8886e274932,GEO_a744f8886e274932,train,TMM,coarse,true
TMM_GEO_dd38a74608e22c5f,GEO_dd38a74608e22c5f,GEO_dd38a74608e22c5f,validation,TMM,coarse,true
TMM_GEO_d8b2b6e3647653ad,GEO_d8b2b6e3647653ad,GEO_d8b2b6e3647653ad,test,TMM,coarse,true
TMM_GEO_f9af5a0d468da56f,GEO_f9af5a0d468da56f,GEO_f9af5a0d468da56f,train,TMM,coarse,true
TMM_GEO_0fcbe91853634f84,GEO_0fcbe91853634f84,GEO_0fcbe91853634f84,train,TMM,coarse,true
TMM_GEO_ae32a6209729b18c,GEO_ae32a6209729b18c,GEO_ae32a6209729b18c,train,TMM,coarse,true
TMM_GEO_ecc087d5b9c99c7f,GEO_ecc087d5b9c99c7f,GEO_ecc087d5b9c99c7f,validation,TMM,coarse,true
TMM_GEO_72c1e9492fd01abd,GEO_72c1e9492fd01abd,GEO_72c1e9492fd01abd,train,TMM,coarse,true
TMM_GEO_36e7b62d94143a54,GEO_36e7b62d94143a54,GEO_36e7b62d94143a54,test,TMM,coarse,true
TMM_GEO_2febe88c5bae7868,GEO_2febe88c5bae7868,GEO_2febe88c5bae7868,train,TMM,coarse,true
TMM_GEO_1b8f9c8f7b2d9a37,GEO_1b8f9c8f7b2d9a37,GEO_1b8f9c8f7b2d9a37,train,TMM,coarse,true
TMM_GEO_f709eddc51e86200,GEO_f709eddc51e86200,GEO_f709eddc51e86200,train,TMM,coarse,true
TMM_GEO_9b1f1213b8ea4a47,GEO_9b1f1213b8ea4a47,GEO_9b1f1213b8ea4a47,train,TMM,coarse,true
TMM_GEO_6bb167d3f95ae9f4,GEO_6bb167d3f95ae9f4,GEO_6bb167d3f95ae9f4,train,TMM,coarse,true
TMM_GEO_27e3938718e8f638,GEO_27e3938718e8f638,GEO_27e3938718e8f638,train,TMM,coarse,true
TMM_GEO_6ec4618eea4ac6ae,GEO_6ec4618eea4ac6ae,GEO_6ec4618eea4ac6ae,train,TMM,coarse,true
TMM_GEO_23a60455fa039c78,GEO_23a60455fa039c78,GEO_23a60455fa039c78,train,TMM,coarse,true
TMM_GEO_73177dc5fc7e5a73,GEO_73177dc5fc7e5a73,GEO_73177dc5fc7e5a73,validation,TMM,coarse,true
TMM_GEO_fa1808eaab9999b9,GEO_fa1808eaab9999b9,GEO_fa1808eaab9999b9,validation,TMM,coarse,true
TMM_GEO_51e8dcf7060bccf4,GEO_51e8dcf7060bccf4,GEO_51e8dcf7060bccf4,train,TMM,coarse,true
TMM_GEO_17d0c32fe5d007a5,GEO_17d0c32fe5d007a5,GEO_17d0c32fe5d007a5,validation,TMM,coarse,true
TMM_GEO_c7a4e110925f5bb3,GEO_c7a4e110925f5bb3,GEO_c7a4e110925f5bb3,test,TMM,coarse,true
TMM_GEO_15c6db1ea731c209,GEO_15c6db1ea731c209,GEO_15c6db1ea731c209,test,TMM,coarse,true
TMM_GEO_b78c81ff6325b506,GEO_b78c81ff6325b506,GEO_b78c81ff6325b506,test,TMM,coarse,true
TMM_GEO_72ab05cf5012ed97,GEO_72ab05cf5012ed97,GEO_72ab05cf5012ed97,train,TMM,coarse,true
TMM_GEO_a32572dcb3530145,GEO_a32572dcb3530145,GEO_a32572dcb3530145,train,TMM,coarse,true
TMM_GEO_253ac4a28fcdafa9,GEO_253ac4a28fcdafa9,GEO_253ac4a28fcdafa9,train,TMM,coarse,true
TMM_GEO_4928a6232575cb32,GEO_4928a6232575cb32,GEO_4928a6232575cb32,train,TMM,coarse,true
TMM_GEO_da3665c7264b1d5d,GEO_da3665c7264b1d5d,GEO_da3665c7264b1d5d,test,TMM,coarse,true
TMM_GEO_ad8ca8c1199e356e,GEO_ad8ca8c1199e356e,GEO_ad8ca8c1199e356e,train,TMM,coarse,true
TMM_GEO_225a8c36a00c327c,GEO_225a8c36a00c327c,GEO_225a8c36a00c327c,train,TMM,coarse,true
TMM_GEO_c5d0a44535fc84e1,GEO_c5d0a44535fc84e1,GEO_c5d0a44535fc84e1,train,TMM,coarse,true
TMM_GEO_da6152e4930e5dc5,GEO_da6152e4930e5dc5,GEO_da6152e4930e5dc5,validation,TMM,coarse,true
TMM_GEO_d7cd4c57e41c7830,GEO_d7cd4c57e41c7830,GEO_d7cd4c57e41c7830,train,TMM,coarse,true
TMM_GEO_ba8408a2c8323338,GEO_ba8408a2c8323338,GEO_ba8408a2c8323338,train,TMM,coarse,true
TMM_GEO_fabfa2b506b16ca8,GEO_fabfa2b506b16ca8,GEO_fabfa2b506b16ca8,train,TMM,coarse,true
TMM_GEO_5654d640eadffef8,GEO_5654d640eadffef8,GEO_5654d640eadffef8,train,TMM,coarse,true
TMM_GEO_59f04994cff74b7c,GEO_59f04994cff74b7c,GEO_59f04994cff74b7c,train,TMM,coarse,true
TMM_GEO_77452e89d792f71f,GEO_77452e89d792f71f,GEO_77452e89d792f71f,train,TMM,coarse,true
TMM_GEO_ab1b0f4478eb20ba,GEO_ab1b0f4478eb20ba,GEO_ab1b0f4478eb20ba,validation,TMM,coarse,true
TMM_GEO_fa77cdb922574ae4,GEO_fa77cdb922574ae4,GEO_fa77cdb922574ae4,train,TMM,coarse,true
TMM_GEO_aa82c411e3a0f4a2,GEO_aa82c411e3a0f4a2,GEO_aa82c411e3a0f4a2,train,TMM,coarse,true
TMM_GEO_1c402c9292c9dc63,GEO_1c402c9292c9dc63,GEO_1c402c9292c9dc63,train,TMM,coarse,true
TMM_GEO_f5891ef97a8e0d83,GEO_f5891ef97a8e0d83,GEO_f5891ef97a8e0d83,train,TMM,coarse,true
TMM_GEO_062e106f9150436f,GEO_062e106f9150436f,GEO_062e106f9150436f,test,TMM,coarse,true
TMM_GEO_2990e7813ae540d4,GEO_2990e7813ae540d4,GEO_2990e7813ae540d4,validation,TMM,coarse,true
TMM_GEO_2cce590e138a8255,GEO_2cce590e138a8255,GEO_2cce590e138a8255,validation,TMM,coarse,true
TMM_GEO_7459505cfa604669,GEO_7459505cfa604669,GEO_7459505cfa604669,validation,TMM,coarse,true
TMM_GEO_18bce4a2716e94ca,GEO_18bce4a2716e94ca,GEO_18bce4a2716e94ca,test,TMM,coarse,true
TMM_GEO_2791eaef4fe072dd,GEO_2791eaef4fe072dd,GEO_2791eaef4fe072dd,train,TMM,coarse,true
TMM_GEO_531a8a28840bcc86,GEO_531a8a28840bcc86,GEO_531a8a28840bcc86,validation,TMM,coarse,true
TMM_GEO_d1ee01194ec2d47b,GEO_d1ee01194ec2d47b,GEO_d1ee01194ec2d47b,train,TMM,coarse,true
TMM_GEO_500833aabde9a41b,GEO_500833aabde9a41b,GEO_500833aabde9a41b,train,TMM,coarse,true
TMM_GEO_89c026235342723f,GEO_89c026235342723f,GEO_89c026235342723f,train,TMM,coarse,true
TMM_GEO_d12b59634eba80e7,GEO_d12b59634eba80e7,GEO_d12b59634eba80e7,test,TMM,coarse,true
TMM_GEO_69e73ade486bfe0d,GEO_69e73ade486bfe0d,GEO_69e73ade486bfe0d,train,TMM,coarse,true
TMM_GEO_f508ef79c0a46f0e,GEO_f508ef79c0a46f0e,GEO_f508ef79c0a46f0e,test,TMM,coarse,true
TMM_GEO_6af5ee323027ddbe,GEO_6af5ee323027ddbe,GEO_6af5ee323027ddbe,train,TMM,coarse,true
TMM_GEO_b53182111e92fcfc,GEO_b53182111e92fcfc,GEO_b53182111e92fcfc,validation,TMM,coarse,true
TMM_GEO_9bc39b4e9cf2170a,GEO_9bc39b4e9cf2170a,GEO_9bc39b4e9cf2170a,validation,TMM,coarse,true
TMM_GEO_296423ddca425758,GEO_296423ddca425758,GEO_296423ddca425758,train,TMM,coarse,true
TMM_GEO_55bcffdeefb8eec8,GEO_55bcffdeefb8eec8,GEO_55bcffdeefb8eec8,train,TMM,coarse,true
TMM_GEO_0ac98722c87a5d52,GEO_0ac98722c87a5d52,GEO_0ac98722c87a5d52,test,TMM,coarse,true
TMM_GEO_002c3b5257b0c6a5,GEO_002c3b5257b0c6a5,GEO_002c3b5257b0c6a5,test,TMM,coarse,true
TMM_GEO_c432598a6df8d580,GEO_c432598a6df8d580,GEO_c432598a6df8d580,train,TMM,coarse,true
TMM_GEO_46d474132dc81b1b,GEO_46d474132dc81b1b,GEO_46d474132dc81b1b,train,TMM,coarse,true
