selection,rank,geometry_id,polarization,wavelength_nm,diffraction_order_m,fdt_absolute_order_efficiency,predicted_raw_order_efficiency,absolute_prediction_error,spectral_provider
Best,1,K6X_D110_D190_D210_D215_D220_D225,P_XLIKE,453,-2,0.004388725175852404,0.03175914058647798,0.027370415410625577,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,P_XLIKE,453,-1,0.06203528801347303,0.0495120012637528,0.012523286749720232,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,P_XLIKE,453,0,0.3876371293914999,0.4348705245362184,0.04723339514471847,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,P_XLIKE,453,1,0.028951032840567072,-0.0003735895403177217,0.029324622380884794,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,P_XLIKE,453,2,0.028288344068322376,0.07802370486889844,0.04973536080057606,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,P_XLIKE,453,3,0.010863969637322293,0.0247850986713025,0.013921129033980208,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,P_XLIKE,454,-3,0.016870989475918943,0.021699015306294728,0.004828025830375785,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,P_XLIKE,454,-2,0.00789767162078357,0.026798263251931565,0.018900591631147996,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,P_XLIKE,454,-1,0.04261669001073551,0.052873081133988094,0.010256391123252585,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,P_XLIKE,454,0,0.4233810389646068,0.4076426917901474,0.015738347174459433,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,P_XLIKE,454,1,0.027508995763197795,0.018136068263486557,0.009372927499711237,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,P_XLIKE,454,2,0.025093859653497617,0.08027979630408946,0.05518593665059185,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,P_XLIKE,454,3,0.014268554062740132,0.030264575997304855,0.015996021934564723,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,P_XLIKE,455,-3,0.022582733973072318,0.022073296085092214,0.0005094378879801041,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,P_XLIKE,455,-2,0.015452573927844986,0.02099242933583277,0.005539855407987786,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,P_XLIKE,455,-1,0.032052679938144965,0.049908924984793844,0.01785624504664888,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,P_XLIKE,455,0,0.426714004072625,0.402895594715905,0.02381840935671997,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,P_XLIKE,455,1,0.02683500978535579,0.02944748246448105,0.0026124726791252606,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,P_XLIKE,455,2,0.022978544457405273,0.07862328067503768,0.05564473621763241,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,P_XLIKE,455,3,0.018653911070520675,0.03354124144894834,0.014887330378427668,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,S_YLIKE,445,-3,0.0299841218611594,0.017016683571689437,0.012967438289469963,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,S_YLIKE,445,-2,0.050734138736040366,0.02010082852560026,0.030633310210440107,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,S_YLIKE,445,-1,0.04979770193813163,0.07325354616427787,0.023455844226146244,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,S_YLIKE,445,0,0.4703322284205785,0.4693275575334413,0.0010046708871371823,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,S_YLIKE,445,1,0.026333580527421636,0.0011085576820274584,0.025225022845394178,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,S_YLIKE,445,2,0.006217362030480244,0.06985089562138838,0.06363353359090813,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,S_YLIKE,445,3,0.01304913722573279,0.03488542622758866,0.02183628900185587,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,S_YLIKE,446,-3,0.025940397167253892,0.017028591529161516,0.008911805638092376,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,S_YLIKE,446,-2,0.04122975210573216,0.01916861601332242,0.02206113609240974,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,S_YLIKE,446,-1,0.04700543604751076,0.07272111876889273,0.02571568272138197,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,S_YLIKE,446,0,0.569837391173928,0.46908068356576665,0.1007567076081613,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,S_YLIKE,446,1,0.025310544627278803,0.00704603347031052,0.018264511156968283,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,S_YLIKE,446,2,0.0037324983414872056,0.06712634592445432,0.06339384758296712,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,S_YLIKE,446,3,0.005657319736779144,0.03410782374732708,0.028450504010547932,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,S_YLIKE,447,-3,0.021059581668381348,0.016052624868317586,0.005006956800063762,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,S_YLIKE,447,-2,0.03314252448251567,0.020932577235094996,0.012209947247420676,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,S_YLIKE,447,-1,0.041023354383002746,0.06725844650808936,0.026235092125086616,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,S_YLIKE,447,0,0.627675194829935,0.4843958944281381,0.14327930040179687,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,S_YLIKE,447,1,0.023543231141579562,0.008894822631194663,0.0146484085103849,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,S_YLIKE,447,2,0.0035696409918067125,0.06042056351350658,0.05685092252169987,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,S_YLIKE,447,3,0.003581047004288705,0.03026136423215786,0.026680317227869156,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,S_YLIKE,448,-3,0.016577314129515953,0.014987702682117571,0.0015896114473983817,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,S_YLIKE,448,-2,0.026363896071570154,0.02355288361962307,0.0028110124519470855,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,S_YLIKE,448,-1,0.03459077669792757,0.058871971450372824,0.024281194752445258,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,S_YLIKE,448,0,0.6606993231689832,0.504551239594164,0.15614808357481913,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,S_YLIKE,448,1,0.02115764828927555,0.008274870725755001,0.012882777563520548,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,S_YLIKE,448,2,0.004401988740635804,0.053381052325906876,0.04897906358527107,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,S_YLIKE,448,3,0.004218961854105664,0.02570253921125039,0.021483577357144724,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,S_YLIKE,449,-3,0.01268124277736461,0.014460350894031512,0.0017791081166669016,LF_ridge_residual/ensemble_raw
