model,slice,value,rows,order_profile_mae,order_profile_rmse,eta_plus1_mae,R_mae,T_mae
residual_mlp,geometry,K6X_D125_D135_D150_D175_D190_D210,22,0.14276668152137226,0.35773564908566685,0.9451363410893251,0.046378340595452094,0.9671880976280843
residual_mlp,geometry,K6X_D130_D145_D155_D180_D195_D230,22,0.1597955782182124,0.4011631271858574,1.057084638538207,0.04261258757296904,1.0562757810116898
residual_mlp,geometry,K6X_D140_D160_D165_D170_D180_D190,22,0.12964018327858579,0.18781118356520302,0.20499311905735615,0.11714590023171119,0.8777156254787684
residual_mlp,geometry,K6X_D200_D205_D215_D220_D225_D230,22,0.2877902006909692,0.48186565494896727,0.5170287312566032,0.1313189044039825,0.9893934696235448
residual_mlp,polarization,p,143,0.17156477768239947,0.3409118806557677,0.5263865507974791,0.0738953406215025,0.9779997540649078
residual_mlp,polarization,s,143,0.157921575546736,0.3161233169988272,0.4686344558689359,0.08685691790438559,0.9802055458181576
residual_mlp,wavelength,445,26,0.1637405295264109,0.31960771856321835,0.512073410875982,0.07365366905762341,0.9892046632232938
residual_mlp,wavelength,446,26,0.16455308911235067,0.3229864782069096,0.5125465002719893,0.07166031424007178,0.9908527949172247
residual_mlp,wavelength,447,26,0.16243918088853912,0.32203824200868714,0.500853800918499,0.07574898433699212,0.9929367543240221
residual_mlp,wavelength,448,26,0.16615294464583283,0.33669382254811897,0.5094313844244359,0.08094292519394886,0.9777881960586097
residual_mlp,wavelength,449,26,0.16634755984628033,0.335198873366561,0.4976608732100166,0.08690904517801222,0.9632833211769474
residual_mlp,wavelength,450,26,0.16784197748202592,0.3400059603922753,0.5064438769013615,0.07666345552512868,0.9769378093531261
residual_mlp,wavelength,451,26,0.1666713884216093,0.3411656869186832,0.5068193563070096,0.06900549916514888,0.9906481405333378
residual_mlp,wavelength,452,26,0.16245551490785112,0.3276353707272107,0.5019413459100928,0.08512324888448611,0.9726693769335193
residual_mlp,wavelength,453,26,0.16368975727611074,0.33163813500011113,0.48573090791312346,0.09257379729124107,0.9687338864025197
residual_mlp,wavelength,454,26,0.16636664200885423,0.33016869726253334,0.47846707497664315,0.08956377622042513,0.9715300456280948
residual_mlp,wavelength,455,26,0.16191635864437978,0.3075947026808757,0.4606470049561289,0.0822927067993063,0.9755441608061657
circular_cnn,geometry,K6X_D100_D105_D115_D120_D125_D130,22,0.09491785289176187,0.1891835673086019,0.054514979833909176,0.02579263411297232,0.6644249702423332
circular_cnn,geometry,K6X_D100_D110_D115_D220_D225_D230,22,0.11182176150393328,0.2686413733354956,0.016923484019950762,0.026305860362612975,0.7542718380857191
circular_cnn,geometry,K6X_D100_D115_D130_D145_D155_D185,22,0.017778070374321456,0.034458863270266926,0.07107482458626681,0.03638477666292661,0.04172202601937899
circular_cnn,geometry,K6X_D100_D130_D135_D155_D160_D225,22,0.0726371071294464,0.12037700908645801,0.2827038373410488,0.07063598813982253,0.05889866716734662
circular_cnn,geometry,K6X_D100_D140_D145_D155_D225_D230,22,0.13699308540115515,0.22714578248774506,0.5380843634577821,0.11740555275271504,0.11721814099257193
circular_cnn,geometry,K6X_D100_D200_D205_D210_D215_D220,22,0.06972500090102025,0.165186404762446,0.01960311293584637,0.16056725361945848,0.3451113739826856
circular_cnn,geometry,K6X_D110_D125_D135_D150_D175_D190,22,0.021423298196078664,0.05128530471864505,0.09059010019920875,0.0578394225769929,0.06922889759063586
circular_cnn,geometry,K6X_D120_D125_D180_D185_D190_D195,22,0.06105973650397175,0.08310913945810339,0.08623766423959942,0.06763202999525597,0.21390240191662757
circular_cnn,geometry,K6X_D120_D145_D200_D215_D220_D230,22,0.05873672561980267,0.08581676101307627,0.06600485396625631,0.08055869926555247,0.1585416517716715
circular_cnn,geometry,K6X_D125_D135_D150_D175_D190_D210,22,0.02095044713211842,0.04208946946910417,0.09822697314552392,0.03253869406737483,0.09714114834630992
circular_cnn,geometry,K6X_D130_D145_D155_D180_D195_D230,22,0.053082718535705294,0.10712041641386581,0.2586689101732771,0.0446016058531056,0.150460011777808
circular_cnn,geometry,K6X_D140_D160_D165_D170_D180_D190,22,0.045374774521836234,0.0755563646398474,0.12898502207899107,0.10787290696826668,0.08968045174326458
circular_cnn,geometry,K6X_D200_D205_D215_D220_D225_D230,22,0.037413788533557146,0.09318496303760729,0.023338481227141553,0.21992653179948943,0.11803187401378401
circular_cnn,polarization,p,143,0.05968902869827106,0.1296225384419609,0.13481950494463332,0.08168908659073283,0.20972167050789015
