source_fsp_path,material_name,frequency_hz,wavelength_nm,epsilon_real,epsilon_imag,n_real,k_imag,data_kind,interpolation_method
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,930925797633749.4,322.0369,2.0626675676010002,0.0,1.436199,0.0,native_sampled,none
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,943015807708011.1,317.9082000000001,2.06421378186384,0.0,1.4367372,0.0,native_sampled,none
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,955105892622752.2,313.88400000000007,2.06578127226276,0.0,1.4372826,0.0,native_sampled,none
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,967195684611426.2,309.9605,2.067369487225,0.0,1.437835,0.0,native_sampled,none
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,979285717552259.8,306.1338,2.06897787459364,0.0,1.4383942,0.0,native_sampled,none
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,991375536746797.6,302.4005,2.07060760835236,0.0,1.4389606,0.0,native_sampled,none
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,1003465551111588.6,298.75710000000004,2.072258137156,0.0,1.439534,0.0,native_sampled,none
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,1015555386931932.8,295.20050000000003,2.07392890904164,0.0,1.4401142,0.0,native_sampled,none
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,1027645518506140.1,291.7275,2.07562167652324,0.0,1.4407018,0.0,native_sampled,none
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,1039735537063966.8,288.3353000000001,2.07733358309764,0.0,1.4412958,0.0,native_sampled,none
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,1051825489411134.8,285.0211,2.079066958609,0.0,1.441897,0.0,native_sampled,none
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,1063915527666403.2,281.7822,2.0808206750249996,0.0,1.442505,0.0,native_sampled,none
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,1076005121023113.4,278.61620000000005,2.0825953343999997,0.0,1.44312,0.0,native_sampled,none
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,1088095320709464.8,275.5204,2.0843915400608397,0.0,1.4437422,0.0,native_sampled,none
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,1100185282027738.6,272.4927,2.086207585641,0.0,1.444371,0.0,native_sampled,none
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,1112274911707711.5,269.5309,2.08804465204624,0.0,1.4450068,0.0,native_sampled,none
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,1124364933483402.4,266.6327,2.0899016094606404,0.0,1.4456492,0.0,native_sampled,none
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,1136454801092661.8,263.7962,2.0917790618425602,0.0,1.4462984,0.0,native_sampled,none
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,1148545176544416.5,261.0193,2.0936781932430404,0.0,1.4469548,0.0,native_sampled,none
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,1160634896422924.2,258.3004000000001,2.0955967158297604,0.0,1.4476176,0.0,native_sampled,none
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,1172724885824654.0,255.63750000000002,2.09753581368384,0.0,1.4482872,0.0,native_sampled,none
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,1184814618087254.8,253.029,2.09949493453956,0.0,1.4489634,0.0,native_sampled,none
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,1196904809338807.2,250.47310000000002,2.1014752648915596,0.0,1.4496466,0.0,native_sampled,none
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,1208994605764282.8,247.96840000000003,2.10347567316496,0.0,1.4503364,0.0,native_sampled,none
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,1221084886678190.5,245.51320000000004,2.10549560626276,0.0,1.4510326,0.0,native_sampled,none
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,1233174368578683.2,243.10630000000003,2.1075362523073595,0.0,1.4517356,0.0,native_sampled,none
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,1245264544374568.8,240.7460000000001,2.1095958970470403,0.0,1.4524448,0.0,native_sampled,none
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,1257354673949832.8,238.43110000000001,2.11167572939236,0.0,1.4531606,0.0,native_sampled,none
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,1269444233664916.0,236.16039999999998,2.1137763592422396,0.0,1.4538832,0.0,native_sampled,none
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,1281534571525791.2,233.9324,2.115896070544,0.0,1.454612,0.0,native_sampled,none
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,1293624050793497.5,231.7462,2.1180354725478403,0.0,1.4553472,0.0,native_sampled,none
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,1305714574414754.8,229.6003,2.1201940110499597,0.0,1.4560886,0.0,native_sampled,none
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,1317804380688888.5,227.49390000000005,2.12237229636496,0.0,1.4568364,0.0,native_sampled,none
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,1329894173603908.8,225.42579999999998,2.12456977417216,0.0,1.4575904,0.0,native_sampled,none
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,1341984342525276.8,223.39490000000004,2.12678588918016,0.0,1.4583504,0.0,native_sampled,none
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,1354074307939058.8,221.40030000000002,2.1290206687489603,0.0,1.4591164,0.0,native_sampled,none
