source_fsp_path,material_name,frequency_hz,wavelength_nm,epsilon_real,epsilon_imag,n_real,k_imag,data_kind,interpolation_method
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,814653418478260.9,368.0,2.0488563004778433,0.0,1.4313826534081804,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,812445685636856.2,369.0,2.0486117418526297,0.0,1.4312972234489347,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,810249886486486.5,370.0,2.048368505165931,0.0,1.431212250215156,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,808065924528301.9,371.0,2.0481299903320895,0.0,1.4311289216321812,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,805893704301075.1,372.0,2.0478931446125133,0.0,1.4310461713769103,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,803733131367292.1,373.0,2.0476575688431757,0.0,1.4309638600758496,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,801584112299465.1,374.0,2.0474232528373104,0.0,1.4308819842451406,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,799446554666666.6,375.0,2.04719018651681,0.0,1.4308005404376984,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,797320367021276.5,376.0,2.0469594014294694,0.0,1.4307198892269126,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,795205458885941.6,377.0,2.046732380125937,0.0,1.430640548889181,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
