frequency_hz,wavelength_nm,epsilon_real,epsilon_imag,n_real,k_imag,material_name
459417965012250.44,652.5484,5.625641114123559,0.0,2.3718434,0.0,tio22
471507978011888.06,635.8163,5.65504285151556,0.0,2.3780334,0.0,tio22
483597842305713.1,619.921,5.68595566038564,0.0,2.3845242,0.0,tio22
495687850332233.3,604.8009,5.718478299556001,0.0,2.391334,0.0,tio22
507777779471542.1,590.4009,5.752706310400001,0.0,2.39848,0.0,tio22
519867768531983.4,576.6706000000001,5.78876093304336,0.0,2.4059844,0.0,tio22
531957669441563.5,563.5645,5.82676065251856,0.0,2.4138684,0.0,tio22
544047660354732.4,551.0408,5.866848408100839,0.0,2.4221578,0.0,tio22
556137559021536.8,539.0617000000001,5.909178546752039,0.0,2.4308802,0.0,tio22
568227508248319.8,527.5923,5.953928916542761,0.0,2.4400674,0.0,tio22
580317448211462.1,516.6008000000002,6.001292700712961,0.0,2.4497536,0.0,tio22
592407426106775.5,506.05789999999996,6.051493728466559,0.0,2.4599784,0.0,tio22
604497302882141.4,495.93680000000006,6.104785434424961,0.0,2.4707864,0.0,tio22
616587311103684.0,486.21250000000003,6.161455843984,0.0,2.482228,0.0,tio22
628677205138674.1,476.86230000000006,6.22184378253376,0.0,2.4943624,0.0,tio22
640767148807273.2,467.8649,6.286337664049,0.0,2.507257,0.0,tio22
652857145034839.9,459.20070000000004,6.355392596892161,0.0,2.5209904,0.0,tio22
664947086801954.4,450.85159999999996,6.429550336073639,0.0,2.5356558,0.0,tio22
677037001070684.9,442.80069999999995,6.509467445409641,0.0,2.5513658,0.0,tio22
689126894715633.8,435.0323,6.595945045351841,0.0,2.5682572,0.0,tio22
701216910933154.1,427.53170000000006,6.68999363060484,0.0,2.5865022,0.0,tio22
713306857673380.9,420.28540000000004,6.792916452741759,0.0,2.6063224,0.0,tio22
725396880472976.5,413.28059999999994,6.9065048885290015,0.0,2.628023,0.0,tio22
737486843351443.0,406.5055,7.03349331898756,0.0,2.6520734,0.0,tio22
749576716031293.9,399.94900000000007,7.179001090209639,0.0,2.6793658,0.0,tio22
761666669207313.1,393.60060000000004,7.347359949681959,0.0,2.7106014,0.0,tio22
773756597615283.0,387.45060000000007,7.54097953192336,0.0,2.7460844,0.0,tio22
785846588820985.5,381.4898,7.75652132683024,0.0,2.7850532,0.0,tio22
797936433368635.4,375.7097,7.98997735836304,0.0,2.8266548,0.0,tio22
810026362995508.6,370.10209999999995,8.238828752896,0.0,2.870336,0.0,tio22
822116358442974.4,364.6594,8.50059274162176,0.0,2.9155776,0.0,tio22
834206261156537.1,359.3745,8.77233861641956,0.0,2.9618134,0.0,tio22
846296394681014.6,354.24050000000005,9.050389935059561,0.0,3.0083866,0.0,tio22
858386336253103.8,349.2512,9.33001667845776,0.0,3.0545076,0.0,tio22
870476256567571.6,344.4005000000001,9.60521791505796,0.0,3.0992286,0.0,tio22
882566165424379.8,339.6827,9.868500767889001,0.0,3.141417,0.0,tio22
894656094856224.6,335.09240000000005,10.110822781504002,0.0,3.179752,0.0,tio22
906746045740711.8,330.62450000000007,10.32171372875776,0.0,3.2127424,0.0,tio22
918835930024500.9,326.2742,10.489671273686442,0.0,3.2387762,0.0,tio22
930925797633749.4,322.0369,10.602949151089,0.0,3.256217,0.0,tio22
943015807708011.1,317.9082000000001,10.650719439936,0.0,3.263544,0.0,tio22
955105892622752.2,313.88400000000007,10.624520175161761,0.0,3.2595276,0.0,tio22
967195684611426.2,309.9605,10.519731780664959,0.0,3.2434136,0.0,tio22
979285717552259.8,306.1338,10.33674069243204,0.0,3.2150802,0.0,tio22
991375536746797.6,302.4005,10.081362883502441,0.0,3.1751162,0.0,tio22
1003465551111588.6,298.75710000000004,9.764287545796,0.0,3.124786,0.0,tio22
1015555386931932.8,295.20050000000003,9.399730546404,0.0,3.065898,0.0,tio22
1027645518506140.1,291.7275,9.003504341055999,0.0,3.000584,0.0,tio22
1039735537063966.8,288.3353000000001,8.59111624087236,0.0,2.9310606,0.0,tio22
1051825489411134.8,285.0211,8.17628731147264,0.0,2.8594208,0.0,tio22
1063915527666403.2,281.7822,7.77005367033856,0.0,2.7874816,0.0,tio22
1076005121023113.4,278.61620000000005,7.380524090943999,0.0,2.716712,0.0,tio22
1088095320709464.8,275.5204,7.0130172633840395,0.0,2.6482102,0.0,tio22
1100185282027738.6,272.4927,6.6705283449795605,0.0,2.5827366,0.0,tio22
1112274911707711.5,269.5309,6.35423702742544,0.0,2.5207612,0.0,tio22
1124364933483402.4,266.6327,6.064006720416159,0.0,2.4625204,0.0,tio22
1136454801092661.8,263.7962,5.798835801159841,0.0,2.4080772,0.0,tio22
1148545176544416.5,261.0193,5.55717540090244,0.0,2.3573662,0.0,tio22
1160634896422924.2,258.3004000000001,5.337201464834559,0.0,2.3102384,0.0,tio22
1172724885824654.0,255.63750000000002,5.1369769201,0.0,2.26649,0.0,tio22
1184814618087254.8,253.029,4.95456759464164,0.0,2.2258858,0.0,tio22
1196904809338807.2,250.47310000000002,4.78812383495524,0.0,2.1881782,0.0,tio22
1208994605764282.8,247.96840000000003,4.635911093195561,0.0,2.1531166,0.0,tio22
