case_id,polarization,wavelength_nm,order_n,u_x,transmitted_fraction,eta_abs,power_source_norm
CONTROL0_NEG0378_P,P_XLIKE,448.00000000000006,1,-0.28027473568390304,0.7856882296357491,0.6176136275352448,0.7856882296357491
CONTROL0_NEG0378_P,P_XLIKE,448.00000000000006,2,-0.022803471316086957,0.060298223928251356,0.047399214356978504,0.060298223928251356
CONTROL0_NEG0378_P,P_XLIKE,448.00000000000006,3,0.2346677930517292,0.025829609732102937,0.020304133831633903,0.025829609732102937
CONTROL0_NEG0378_P,P_XLIKE,448.00000000000006,4,0.4921390574195452,0.008659219639330301,0.006806837434169809,0.008659219639330301
CONTROL0_NEG0378_P,P_XLIKE,448.00000000000006,5,0.7496103217873614,0.046111433286291685,0.03624726514739714,0.046111433286291685
CONTROL0_NEG0378_P,P_XLIKE,449.0,-1,-0.7969923029561861,0.00537478337994459,0.004219707740344167,0.005374783379944589
CONTROL0_NEG0378_P,P_XLIKE,449.0,0,-0.5389463259446917,0.0725608677921197,0.05696706896337352,0.07256086779211969
CONTROL0_NEG0378_P,P_XLIKE,449.0,1,-0.2809003489331975,0.7814266290208487,0.6134930027681076,0.7814266290208486
CONTROL0_NEG0378_P,P_XLIKE,449.0,2,-0.022854371921703222,0.05752302059180569,0.045160952187383176,0.05752302059180568
CONTROL0_NEG0378_P,P_XLIKE,449.0,3,0.23519160508979106,0.025001272689843652,0.019628337819425964,0.02500127268984365
CONTROL0_NEG0378_P,P_XLIKE,449.0,4,0.4932375821012853,0.0102106940419094,0.008016349987927393,0.010210694041909399
CONTROL0_NEG0378_P,P_XLIKE,449.0,5,0.7512835591127796,0.04790273248352831,0.037608126087206935,0.047902732483528304
CONTROL0_NEG0378_P,P_XLIKE,450.0,-1,-0.7987673414928368,0.005541343133727099,0.004343414081073194,0.0055413431337270995
CONTROL0_NEG0378_P,P_XLIKE,450.0,0,-0.5401466518376643,0.07657855528190788,0.06002378255467571,0.07657855528190789
CONTROL0_NEG0378_P,P_XLIKE,450.0,1,-0.28152596218249193,0.7774766182535606,0.6094015133035777,0.7774766182535608
CONTROL0_NEG0378_P,P_XLIKE,450.0,2,-0.022905272527319488,0.05495672847044383,0.04307616809278741,0.05495672847044385
CONTROL0_NEG0378_P,P_XLIKE,450.0,3,0.23571541712785296,0.024258036839867658,0.019013927895601492,0.024258036839867665
CONTROL0_NEG0378_P,P_XLIKE,450.0,4,0.49433610678302536,0.011698701874171193,0.009169673348918973,0.011698701874171194
CONTROL0_NEG0378_P,P_XLIKE,450.0,5,0.7529567964381978,0.04949001614632148,0.03879125111277735,0.049490016146321494
CONTROL0_NEG0378_P,P_XLIKE,450.9999999999999,-1,-0.8005423800294875,0.00526287863195741,0.004117912725005053,0.00526287863195741
CONTROL0_NEG0378_P,P_XLIKE,450.9999999999999,0,-0.5413469777306369,0.08192715957405629,0.06410349098399198,0.08192715957405629
CONTROL0_NEG0378_P,P_XLIKE,450.9999999999999,1,-0.2821515754317863,0.7738192734441286,0.605470970510408,0.7738192734441286
CONTROL0_NEG0378_P,P_XLIKE,450.9999999999999,2,-0.022956173132935753,0.05082073770840553,0.03976442877341292,0.05082073770840553
CONTROL0_NEG0378_P,P_XLIKE,450.9999999999999,3,0.23623922916591486,0.022792304240245885,0.01783372299204765,0.022792304240245885
CONTROL0_NEG0378_P,P_XLIKE,450.9999999999999,4,0.4954346314647654,0.01319139898305196,0.010321543309602197,0.01319139898305196
CONTROL0_NEG0378_P,P_XLIKE,450.9999999999999,5,0.754630033763616,0.052186247418154204,0.040832864928437955,0.052186247418154204
CONTROL0_NEG0378_P,P_XLIKE,451.99999999999994,-1,-0.8023174185661383,0.004098711304983775,0.003121864952256946,0.004098711304983775
CONTROL0_NEG0378_P,P_XLIKE,451.99999999999994,0,-0.5425473036236095,0.08936226407019959,0.06806454504757821,0.08936226407019959
CONTROL0_NEG0378_P,P_XLIKE,451.99999999999994,1,-0.28277718868108076,0.7773845162067891,0.5921103720143089,0.7773845162067891
CONTROL0_NEG0378_P,P_XLIKE,451.99999999999994,2,-0.023007073738552018,0.042175808178567205,0.03212404279991172,0.042175808178567205
CONTROL0_NEG0378_P,P_XLIKE,451.99999999999994,3,0.23676304120397673,0.018456769240827314,0.014057965232821129,0.018456769240827314
CONTROL0_NEG0378_P,P_XLIKE,451.99999999999994,4,0.49653315614650545,0.012071816837110675,0.00919473929476726,0.012071816837110675
CONTROL0_NEG0378_P,P_XLIKE,451.99999999999994,5,0.7563032710890342,0.05645011416152233,0.04299635174047899,0.05645011416152233
CONTROL0_NEG0378_P,P_XLIKE,453.00000000000006,-1,-0.804092457102789,0.013482855647110483,0.010811497238474532,0.013482855647110482
CONTROL0_NEG0378_P,P_XLIKE,453.00000000000006,0,-0.5437476295165821,0.07099999605921828,0.05693276568532047,0.07099999605921826
CONTROL0_NEG0378_P,P_XLIKE,453.00000000000006,1,-0.28340280193037515,0.7429593297391596,0.5957567856550672,0.7429593297391595
