candidate_id,top_pair_count,bottom_pair_count,cavity_spacer_nm,top_termination_nm,bottom_termination_nm,top_high_scale,top_low_scale,bottom_high_scale,bottom_low_scale,top_chirp,bottom_chirp,valid,score,corrected_proxy_peak_abs_angle_deg,corrected_proxy_angular_FWHM_deg,angular_fwhm_bounded,normal_window_response_0_5,normal_window_response_0_10,offaxis_20_60_response,offaxis_30_40_response,corrected_normal_offaxis_ratio,offaxis_peak_30_40_to_normal_ratio,offaxis_peak_20_60_to_normal_ratio,strongest_peak_angle,second_peak_angle,second_to_first_peak_ratio,spectral_peak_nm_normal_window,spectral_fwhm_nm_normal_window,spectral_fwhm_bounded,near_normal_spectrum_0_5_peak,near_normal_spectrum_0_10_peak,top_R_proxy,bottom_R_proxy,top_outcoupling_proxy,extraction_proxy,model_lam0_nm,model_spec_fwhm_nm,model_angle_fwhm_deg,total_stack_thickness_nm,distance_to_R2_4B_OPT_06361,distance_to_R2_4B_OPT_06176,failure_mode,pass_level
R2_4D2_OPT_01617,9,6,238,5,60,1.0786,0.8209,1.1801,0.8843,-0.0255,0.0885,True,-583.163653,30.5,12.312,True,0.0,0.0,4e-10,1e-09,0.040001,59.860669,24.99942,30.5,0.0,0.076383,445.0,999.0,False,9.8047e-06,1.66304e-05,0.601329,0.143889,0.398671,0.17682155,430.843,7.642,12.008,2448,1.584775,1.480419,peak_angle_gt7;spectral_fwhm_gt8;spectral_peak_outside_450_456;30_40_resonance_risk;peak_angle_rule;normal5_below_population_threshold;normal10_below_population_threshold;offaxis20_60_above_threshold;offaxis30_40_above_threshold;normal_offaxis_ratio_below_threshold;30_40_to_normal_above_threshold;spectral_fwhm_rule;spectral_peak_rule,fail_corrected_proxy
R2_4D2_OPT_06884,8,7,262,10,18,0.8794,1.2459,1.141,1.1259,-0.0953,-0.0604,True,-583.373281,26.0,14.796,True,0.0002619775,0.0004929314,0.0172635869,0.0199402474,0.028553,40.452381,35.022293,26.0,0.0,0.079648,461.0,999.0,False,0.0484401915,0.0911440357,0.43164,0.0006,0.56836,0.19914798,466.92,9.182,14.0,2863,1.364231,1.346243,peak_angle_gt7;spectral_fwhm_gt8;spectral_peak_outside_450_456;30_40_resonance_risk;peak_angle_rule;offaxis20_60_above_threshold;offaxis30_40_above_threshold;normal_offaxis_ratio_below_threshold;30_40_to_normal_above_threshold;spectral_fwhm_rule;spectral_peak_rule,fail_corrected_proxy
R2_4D2_OPT_00252,10,10,311,23,25,0.9397,0.8945,1.1391,0.9861,0.0981,-0.1225,True,-583.37511,29.5,10.855,True,3.9e-09,6.2e-09,1.379e-07,3.785e-07,0.04522,60.686804,22.113954,29.5,0.0,0.078807,445.0,999.0,False,0.000243257,0.000388295,0.754825,0.080812,0.245175,0.09868976,433.798,7.816,9.865,3328,1.340881,1.088071,peak_angle_gt7;spectral_fwhm_gt8;spectral_peak_outside_450_456;30_40_resonance_risk;peak_angle_rule;normal5_below_population_threshold;normal10_below_population_threshold;offaxis20_60_above_threshold;offaxis30_40_above_threshold;normal_offaxis_ratio_below_threshold;30_40_to_normal_above_threshold;spectral_fwhm_rule;spectral_peak_rule,fail_corrected_proxy
R2_4D2_OPT_05996,9,12,263,64,69,0.9823,0.8644,1.0365,1.2181,-0.1473,0.0861,True,-583.587336,32.0,11.719,True,0.0,1e-10,1.7e-09,4.5e-09,0.044656,59.228602,22.393256,32.0,0.0,0.077371,461.0,999.0,False,2.18813e-05,3.6364e-05,0.663639,0.09607,0.336361,0.13873064,474.426,7.685,11.247,3753,1.239063,1.301385,peak_angle_gt7;spectral_fwhm_gt8;spectral_peak_outside_450_456;30_40_resonance_risk;peak_angle_rule;normal5_below_population_threshold;normal10_below_population_threshold;offaxis20_60_above_threshold;offaxis30_40_above_threshold;normal_offaxis_ratio_below_threshold;30_40_to_normal_above_threshold;spectral_fwhm_rule;spectral_peak_rule,fail_corrected_proxy
R2_4D2_OPT_11294,10,10,347,3,75,0.808,0.9555,1.0761,0.9766,0.0356,0.0806,True,-583.756525,38.5,10.508,True,0.0193859035,0.0312393677,0.625244034,0.6647558821,0.049963,21.279428,20.014619,38.5,0.0,0.074498,458.5,999.0,False,0.0712289364,0.1147816985,0.772823,0.116892,0.227177,0.0967728,458.431,7.927,10.266,3335,1.140261,1.032667,peak_angle_gt7;spectral_fwhm_gt8;spectral_peak_outside_450_456;30_40_resonance_risk;peak_angle_rule;offaxis20_60_above_threshold;offaxis30_40_above_threshold;normal_offaxis_ratio_below_threshold;30_40_to_normal_above_threshold;spectral_fwhm_rule;spectral_peak_rule,fail_corrected_proxy
R2_4D2_OPT_02957,9,10,333,85,61,0.7544,0.8362,1.0451,1.0911,-0.0171,-0.0341,True,-583.759275,36.0,9.19,True,0.0012280081,0.0019601193,0.0345660812,0.061160095,0.056706,31.20223,17.634682,36.0,0.0,0.072902,461.0,999.0,False,0.035252833,0.056269794,0.86959,0.035675,0.13041,0.04866742,461.505,7.716,8.761,3221,1.049995,1.081561,peak_angle_gt7;spectral_fwhm_gt8;spectral_peak_outside_450_456;30_40_resonance_risk;peak_angle_rule;offaxis20_60_above_threshold;offaxis30_40_above_threshold;normal_offaxis_ratio_below_threshold;30_40_to_normal_above_threshold;spectral_fwhm_rule;spectral_peak_rule,fail_corrected_proxy
R2_4D2_OPT_08533,8,8,259,56,79,0.7545,0.7505,1.0695,0.8391,-0.0438,-0.0108,True,-584.053187,32.0,9.122,True,0.0,0.0,5e-10,1.7e-09,0.055994,59.61307,17.859137,32.0,0.0,0.074026,461.0,999.0,False,0.001040216,0.0016603699,0.84783,0.477882,0.15217,0.10052672,467.25,5.042,8.79,2425,1.178977,1.131195,peak_angle_gt7;spectral_fwhm_gt8;spectral_peak_outside_450_456;30_40_resonance_risk;peak_angle_rule;normal5_below_population_threshold;normal10_below_population_threshold;offaxis20_60_above_threshold;offaxis30_40_above_threshold;normal_offaxis_ratio_below_threshold;30_40_to_normal_above_threshold;spectral_fwhm_rule;spectral_peak_rule,fail_corrected_proxy
R2_4D2_OPT_00180,7,5,318,21,58,1.0283,0.7539,1.0329,1.2132,-0.0092,-0.0101,True,-584.246082,34.0,12.677,True,2.13742e-05,3.68133e-05,0.0008539475,0.0018904626,0.04311,51.352734,23.196723,34.0,0.0,0.073986,445.0,999.0,False,0.0137153042,0.0236221677,0.567179,0.012004,0.432821,0.15486428,437.024,9.066,12.716,2174,1.625039,1.622631,peak_angle_gt7;spectral_fwhm_gt8;spectral_peak_outside_450_456;30_40_resonance_risk;peak_angle_rule;offaxis20_60_above_threshold;offaxis30_40_above_threshold;normal_offaxis_ratio_below_threshold;30_40_to_normal_above_threshold;spectral_fwhm_rule;spectral_peak_rule,fail_corrected_proxy
R2_4D2_OPT_09669,9,4,353,48,10,0.9907,0.8508,1.1504,0.8429,0.1322,-0.1052,True,-584.380403,30.0,12.041,True,1.2835e-06,2.1193e-06,5.02996e-05,0.0001270356,0.042134,59.941493,23.733773,30.0,0.0,0.078456,461.0,999.0,False,0.0042901347,0.0070839097,0.672107,0.11706,0.327893,0.13971143,470.06,8.45,11.019,2223,1.673768,1.639099,peak_angle_gt7;spectral_fwhm_gt8;spectral_peak_outside_450_456;30_40_resonance_risk;peak_angle_rule;offaxis20_60_above_threshold;offaxis30_40_above_threshold;normal_offaxis_ratio_below_threshold;30_40_to_normal_above_threshold;spectral_fwhm_rule;spectral_peak_rule,fail_corrected_proxy
R2_4D2_OPT_05689,8,9,342,38,77,1.2178,0.8226,1.1064,1.0535,-0.117,0.1047,True,-584.49347,23.5,15.202,True,0.0290984683,0.0637852274,2.0948817247,1.5250098982,0.030448,23.908512,32.842741,23.5,0.5,0.080285,461.0,999.0,False,0.1769821042,0.3879531947,0.390528,0.020252,0.609472,0.22133803,461.135,10.08,14.381,3099,1.367433,1.637328,peak_angle_gt7;angular_fwhm_gt15;spectral_fwhm_gt8;spectral_peak_outside_450_456;30_40_resonance_risk;peak_angle_rule;angular_fwhm_rule;offaxis20_60_above_threshold;offaxis30_40_above_threshold;normal_offaxis_ratio_below_threshold;30_40_to_normal_above_threshold;spectral_fwhm_rule;spectral_peak_rule,fail_corrected_proxy
