candidate_id,score,failure_mode,pass_level,corrected_proxy_peak_abs_angle_deg,corrected_proxy_angular_FWHM_deg,corrected_normal_offaxis_ratio,offaxis_20_60_response,offaxis_30_40_response,spectral_fwhm_nm_normal_window
R2_4D2_OPT_07960,-28.468927,peak_angle_gt7;spectral_peak_outside_450_456;peak_angle_rule;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy,7.5,11.99,5.498649,0.0893965652,0.1373839784,5.532
R2_4D2_OPT_13215,-28.5773,angular_fwhm_gt15;spectral_peak_outside_450_456;angular_fwhm_rule;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy,6.0,23.589,7.838841,0.1289449905,0.2731938739,5.034
R2_4D2_OPT_12913,-28.701559,angular_fwhm_gt15;spectral_peak_outside_450_456;angular_fwhm_rule;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy,6.0,24.502,6.682395,0.1234009886,0.2073367347,5.279
R2_4D2_OPT_12052,-28.725484,peak_angle_gt7;spectral_peak_outside_450_456;30_40_resonance_risk;peak_angle_rule;offaxis20_60_above_threshold;offaxis30_40_above_threshold;normal_offaxis_ratio_below_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy,13.0,6.947,0.692975,0.0007418964,0.0009719988,3.897
R2_4D2_OPT_12070,-28.836471,30_40_resonance_risk;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold,fail_corrected_proxy,6.5,7.644,7.094109,0.0837813942,0.2071733622,4.628
R2_4D2_OPT_12945,-28.83788,angular_fwhm_gt15;spectral_peak_outside_450_456;angular_fwhm_rule;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy,6.0,23.742,7.419002,0.1196740504,0.2454476516,5.387
R2_4D2_OPT_12308,-28.929165,offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold,fail_corrected_proxy,6.0,9.922,8.786895,0.2777455488,0.5103457613,7.373
R2_4D2_OPT_01640,-29.012302,spectral_peak_outside_450_456;30_40_resonance_risk;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy,7.0,11.672,6.074637,0.100963098,0.1939545103,5.191
R2_4D2_OPT_13205,-29.410754,spectral_peak_outside_450_456;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy,6.0,11.504,8.137286,0.2305725285,0.5238370981,4.903
R2_4D2_OPT_00633,-29.564975,spectral_fwhm_gt8;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_fwhm_rule,fail_corrected_proxy,6.5,11.3,7.870105,0.2691130566,0.4060727108,8.597
