candidate_id,stack,layer_index,material,thickness_nm
R2_4D2_OPT_13010,bottom,8,SiO2,75
R2_4D2_OPT_13010,bottom,9,TiO2,50
R2_4D2_OPT_13010,bottom,10,SiO2,77
R2_4D2_OPT_13010,bottom,11,TiO2,48
R2_4D2_OPT_13010,bottom,12,SiO2,79
R2_4D2_OPT_13010,bottom,13,TiO2,47
R2_4D2_OPT_13010,bottom,14,SiO2,80
R2_4D2_OPT_13010,bottom,15,TiO2,46
R2_4D2_OPT_13010,bottom,16,SiO2,82
R2_4D2_OPT_13010,bottom,17,TiO2,45
R2_4D2_OPT_13010,bottom,18,SiO2,84
R2_4D2_OPT_13010,bottom,19,TiO2,44
R2_4D2_OPT_13010,bottom,20,SiO2,87
R2_4D2_OPT_13010,bottom,21,TiO2,43
R2_4D2_OPT_13010,bottom,22,SiO2,89
R2_4D2_OPT_13013,top,0,SiO2_termination,90
R2_4D2_OPT_13013,top,1,TiO2,43
R2_4D2_OPT_13013,top,2,SiO2,82
R2_4D2_OPT_13013,top,3,TiO2,45
R2_4D2_OPT_13013,top,4,SiO2,79
R2_4D2_OPT_13013,top,5,TiO2,46
R2_4D2_OPT_13013,top,6,SiO2,76
R2_4D2_OPT_13013,top,7,TiO2,48
R2_4D2_OPT_13013,top,8,SiO2,74
R2_4D2_OPT_13013,top,9,TiO2,50
R2_4D2_OPT_13013,top,10,SiO2,71
R2_4D2_OPT_13013,top,11,TiO2,51
R2_4D2_OPT_13013,top,12,SiO2,69
R2_4D2_OPT_13013,bottom,0,SiO2_termination,70
R2_4D2_OPT_13013,bottom,1,TiO2,51
R2_4D2_OPT_13013,bottom,2,SiO2,74
R2_4D2_OPT_13013,bottom,3,TiO2,50
R2_4D2_OPT_13013,bottom,4,SiO2,76
R2_4D2_OPT_13013,bottom,5,TiO2,49
R2_4D2_OPT_13013,bottom,6,SiO2,77
R2_4D2_OPT_13013,bottom,7,TiO2,49
R2_4D2_OPT_13013,bottom,8,SiO2,78
R2_4D2_OPT_13013,bottom,9,TiO2,48
R2_4D2_OPT_13013,bottom,10,SiO2,80
R2_4D2_OPT_13013,bottom,11,TiO2,47
R2_4D2_OPT_13013,bottom,12,SiO2,81
R2_4D2_OPT_13013,bottom,13,TiO2,46
R2_4D2_OPT_13013,bottom,14,SiO2,83
R2_4D2_OPT_13013,bottom,15,TiO2,45
R2_4D2_OPT_13013,bottom,16,SiO2,84
R2_4D2_OPT_13013,bottom,17,TiO2,44
R2_4D2_OPT_13013,bottom,18,SiO2,86
R2_4D2_OPT_13013,bottom,19,TiO2,43
R2_4D2_OPT_13013,bottom,20,SiO2,88
