candidate_uid,wavelength_nm,basis,target_order_n,target_order_m,txx_re,txx_im,tyx_re,tyx_im,txy_re,txy_im,tyy_re,tyy_im,eta_x_plus1,eta_y_plus1,theta_deg,alpha_star_from_alpha_re,alpha_star_from_alpha_im,alpha_star_from_alpha_eta_proxy,beta_star_from_alpha_re,beta_star_from_alpha_im,alpha_star_from_beta_re,alpha_star_from_beta_im,beta_star_from_beta_re,beta_star_from_beta_im,target_projector_error,alpha_basis_psi_deg,alpha_basis_chi_deg
K6_L1_B,453.0,"Cartesian transverse Ex,Ey from gratingvector",1,0,0.1633360008133288,-0.033024317936721614,-0.009248346986689854,-0.004961258421684669,0.0015792776604392506,0.008332996949663357,0.06315094919090408,-0.09140369896217132,0.02875469447440027,0.012416878868216524,10.06735894808831,0.033613979249878405,-0.03886073471327714,0.0026400563034669586,0.06554166517300503,0.08718001203781957,0.07636928982013415,0.10047426740916758,0.09903265769963772,0.004803900668813286,0.5575250770025306,112.5,22.5
K6_L1_B,453.5,"Cartesian transverse Ex,Ey from gratingvector",1,0,0.19708497615626647,0.025751084886756696,-0.0020076642894664345,-0.010815479190012519,-0.002264771624463922,0.006593718912172025,0.11679362781956552,-0.022917020237809147,0.04087467516752296,0.01421608320942677,10.078586802923537,0.07087363408345354,0.006428783308416147,0.005064401263021837,0.020267506564360625,0.11549071196984814,0.020010399229363138,0.13289991007203267,0.12462712255602089,0.03785709514849138,0.5160003828596853,112.5,22.5
K6_L1_B,454.0,"Cartesian transverse Ex,Ey from gratingvector",1,0,-0.1991976749668676,0.07237135760271668,0.0031223193360693734,0.010765304307473859,0.0009655010243784294,-0.00704760511001842,-0.121891066670689,0.03670464489359213,0.04646522879054923,0.01625686624736755,10.089815048847298,-0.09562251593539559,0.004291090984680314,0.009162079015653787,-0.05783438852324149,-0.0966283052006224,-0.059991206834932434,-0.11444121461811467,-0.14739601739501057,0.03214007571686723,0.5169457486163958,112.5,22.5
K6_L1_C,450.0,"Cartesian transverse Ex,Ey from gratingvector",1,0,0.0831747008767303,0.012212055719319893,-0.0007837212461071079,0.01011216180447645,-0.00021302127569124848,0.009823967398648785,0.04164628468653284,-0.052961650247640726,0.0073897618813408145,0.004638907172060516,10.000000005514977,0.0184913778202443,-0.0338667384300085,0.0014888870255776374,0.024753097003579968,0.05558437405695843,0.02532379697399583,0.05529617965113077,0.04715159912400953,0.026315003164428516,0.6335527204155902,112.5,22.5
K6_L1_C,450.5,"Cartesian transverse Ex,Ey from gratingvector",1,0,-0.08302785113700453,-0.01291815697273082,0.0056754046358806496,-0.006646921757936636,0.005154681611016495,-0.009121917377105994,-0.0638917422257206,0.04054792041674012,0.0073569174684073885,0.0058394897155921634,10.011225523725704,-0.0395829883390309,0.02675528724205835,0.002282658361252907,-0.01699978382403277,-0.060130732131998904,-0.017520506848896927,-0.06260572775116827,-0.04545623328970796,-0.022201191727309742,0.6750944385788353,112.5,22.5
K6_L1_C,451.0,"Cartesian transverse Ex,Ey from gratingvector",1,0,-0.0585225387261855,0.02892380020033932,0.005350298353859133,-0.0029172927732358765,0.010114274500021808,-0.013891081182933638,-0.07757445578117514,0.0313075176578466,0.004431712328190813,0.00730243966811319,10.022451430195186,-0.06392714002095677,0.028977251690821493,0.004926360346812229,-0.02278013867146699,-0.03902449552811707,-0.018016162525304323,-0.04999828393781483,-0.039520295943637346,0.01540639370705852,0.7952185688750801,112.5,22.5
K6_L1_C,451.5,"Cartesian transverse Ex,Ey from gratingvector",1,0,0.03350245364563734,-0.006218827413787145,-0.006882399591428833,0.001643812215647598,-0.008110559851986844,0.016546367589641262,0.08335403494920982,-0.04297027216996096,0.0012475060000878104,0.009144533038356311,10.0336777253947,0.059600698760372564,-0.04553042605151134,0.005625262989156819,0.009290397603304135,0.03850404630625684,0.008062237342746126,0.05340660168025051,0.013748684275249836,-0.006680830754695716,0.942212290951113,112.5,22.5
K6_L1_C,452.0,"Cartesian transverse Ex,Ey from gratingvector",1,0,0.07461993926007497,-0.04371049765577936,-0.007448261626529517,0.00322825726943422,0.0012328979076205975,0.015423939078131301,0.06036224021031563,-0.08522431755196531,0.007779300771743417,0.01115371446601153,10.044904409795663,0.039164606409761035,-0.061738974431516574,0.005345567359086951,0.046363027007307336,0.04734097220423295,0.05504418654145744,0.05953665401293003,0.04485139625878152,-0.019195176348579947,0.7745135878252931,112.5,22.5
K6_L1_C,452.5,"Cartesian transverse Ex,Ey from gratingvector",1,0,0.05381150651391938,0.14341591237389642,0.0028052930732628063,-0.007058898214665234,-0.014348773485498971,-0.006405704724477243,0.04341561401911847,0.10610602185632498,0.024259401623813855,0.013398089047053119,10.056131483869633,0.022087088357111068,0.08527358682822066,0.007759424082644918,-0.07415744936834648,0.046742004741160914,-0.09131151592710825,0.0473951982313489,0.02127562115868486,0.10213475137427111,0.6035961291794606,112.5,22.5
K6_L1_C,453.0,"Cartesian transverse Ex,Ey from gratingvector",1,0,0.13401501309838934,-0.15311234766309664,-0.007461326392318579,-0.002363758856013246,-0.00740886611073674,0.01404561780137814,0.11212879510620062,-0.056295388787111454,0.04276971929294907,0.016002156648793845,10.06735894808831,0.11166914281943882,-0.034747909375654744,0.01367741466400694,0.08319968772145382,0.05169558518024005,0.08325214800303568,0.06810496183763143,0.1166302220197827,-0.09494751585359074,0.5286069703112262,112.5,22.5
K6_L1_C,453.5,"Cartesian transverse Ex,Ey from gratingvector",1,0,0.19356146955045112,-0.0884954190882138,-0.0034566208701218683,-0.008014258086669217,-0.013915289852881636,0.0039060545994222067,0.13079489381559384,0.03705057449672883,0.04680469922144664,0.01869554122005591,10.078586802923537,0.12898730182320628,0.047685803360122805,0.018911659873731217,0.04345245533970863,0.07835768816109952,0.032993786356948884,0.09027800084719095,0.1610861772827798,-0.04399355859891953,0.5412194232164786,112.5,22.5
K6_L1_C,454.0,"Cartesian transverse Ex,Ey from gratingvector",1,0,-0.1494194946841973,0.13823439323961303,0.002279284306562808,0.007465009683183421,0.013811927066395625,-0.0075463573132954626,-0.14383010797135376,-0.02101777663812269,0.04280784895814476,0.021384407431059103,10.089815048847298,-0.14722572640196196,-0.02025320117728842,0.02208560667251308,-0.052628803134695624,-0.05634032843379899,-0.041096160374862814,-0.07135169543027789,-0.1397998149699626,0.09229756660104489,0.5839246878406373,112.5,22.5
