group_id,candidate_id,parent_id,refinement_family,intended_reassigned_bin,height_nm,wavelength_nm,phase_bin_deg,txx_re,txx_im,txy_re,txy_im,tyx_re,tyx_im,tyy_re,tyy_im,selected_Tx,leakage_xin_to_yout,leakage_yin_to_xout,y_direct_leakage,conversion_to_leakage_ratio,selected_phase_deg,nearest_bin_deg,phase_error_deg,matrix_error,pass_level,result_csv,status,error_message
LPML1B2E_SCOUT_01_0283_LOCAL_REFINEMENT,LPML1B2D_B2D_0283_A03,LPML1A4_0283_B240_exploration_B240_H650,reassigned_B120_cleanup,120,650.000000,451,120,-0.701795,0.636337,0.021449,-0.078569,0.011494,0.025707,0.046094,-0.115344,0.897441,0.000793,0.006633,0.015429,40.677852,137.800534,120,17.800534,0.159584,loose,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1b2e_0283_local_refinement\scout_01\lp_ml1b2e_scout01_results.csv,ok,
LPML1B2E_SCOUT_01_0283_LOCAL_REFINEMENT,LPML1B2D_B2D_0283_A03,LPML1A4_0283_B240_exploration_B240_H650,reassigned_B120_cleanup,120,650.000000,451.5,120,-0.690853,0.659913,0.021536,-0.089784,0.032224,0.016530,0.071343,-0.106127,0.912762,0.001312,0.008525,0.016353,36.690280,136.312167,120,16.312167,0.169388,loose,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1b2e_0283_local_refinement\scout_01\lp_ml1b2e_scout01_results.csv,ok,
LPML1B2E_SCOUT_01_0283_LOCAL_REFINEMENT,LPML1B2D_B2D_0283_A03,LPML1A4_0283_B240_exploration_B240_H650,reassigned_B120_cleanup,120,650.000000,452,120,-0.670862,0.685589,0.013685,-0.089348,0.024194,0.031827,0.029518,-0.098894,0.920087,0.001598,0.008170,0.010651,48.884536,134.377977,120,14.377977,0.148975,strict,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1b2e_0283_local_refinement\scout_01\lp_ml1b2e_scout01_results.csv,ok,
LPML1B2E_SCOUT_01_0283_LOCAL_REFINEMENT,LPML1B2D_B2D_0283_A03,LPML1A4_0283_B240_exploration_B240_H650,reassigned_B120_cleanup,120,650.000000,452.5,120,-0.653162,0.713196,-0.001797,-0.064901,-0.005061,0.021153,-0.000169,-0.101075,0.935269,0.000473,0.004215,0.010216,64.807728,132.484188,120,12.484188,0.126238,strict,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1b2e_0283_local_refinement\scout_01\lp_ml1b2e_scout01_results.csv,ok,
LPML1B2E_SCOUT_01_0283_LOCAL_REFINEMENT,LPML1B2D_B2D_0283_A03,LPML1A4_0283_B240_exploration_B240_H650,reassigned_B120_cleanup,120,650.000000,453,120,-0.633416,0.740484,-0.006494,-0.061686,-0.003251,-0.001242,0.012628,-0.100932,0.949533,0.000012,0.003847,0.010347,66.896719,130.543952,120,10.543952,0.122316,strict,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1b2e_0283_local_refinement\scout_01\lp_ml1b2e_scout01_results.csv,ok,
LPML1B2E_SCOUT_01_0283_LOCAL_REFINEMENT,LPML1B2D_B2D_0283_A03,LPML1A4_0283_B240_exploration_B240_H650,reassigned_B120_cleanup,120,650.000000,453.5,120,-0.598622,0.766572,-0.010802,-0.057362,0.006764,0.017726,0.003737,-0.082196,0.945980,0.000360,0.003407,0.006770,92.951157,127.986578,120,7.986578,0.105541,strict,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1b2e_0283_local_refinement\scout_01\lp_ml1b2e_scout01_results.csv,ok,
LPML1B2E_SCOUT_01_0283_LOCAL_REFINEMENT,LPML1B2D_B2D_0283_A03,LPML1A4_0283_B240_exploration_B240_H650,reassigned_B120_cleanup,120,650.000000,454,120,-0.558386,0.794576,-0.019003,-0.038337,-0.028340,0.044025,-0.023385,-0.065345,0.943147,0.002741,0.001831,0.004817,141.877317,125.097514,120,5.097514,0.099775,strict,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1b2e_0283_local_refinement\scout_01\lp_ml1b2e_scout01_results.csv,ok,
LPML1B2E_SCOUT_01_0283_LOCAL_REFINEMENT,LPML1B2D_B2D_0283_A04,LPML1A4_0283_B240_exploration_B240_H650,reassigned_B120_cleanup,120,650.000000,450,120,-0.682088,0.616218,0.047996,-0.135208,0.019131,0.048435,0.144689,-0.087088,0.844969,0.002712,0.020585,0.028519,17.207745,137.904406,120,17.904406,0.247635,loose,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1b2e_0283_local_refinement\scout_01\lp_ml1b2e_scout01_results.csv,ok,
LPML1B2E_SCOUT_01_0283_LOCAL_REFINEMENT,LPML1B2D_B2D_0283_A04,LPML1A4_0283_B240_exploration_B240_H650,reassigned_B120_cleanup,120,650.000000,450.5,120,-0.691452,0.633388,0.038176,-0.128013,0.011436,0.039528,0.108575,-0.121992,0.879286,0.001693,0.017845,0.026671,19.752393,137.509531,120,17.509531,0.229243,loose,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1b2e_0283_local_refinement\scout_01\lp_ml1b2e_scout01_results.csv,ok,
LPML1B2E_SCOUT_01_0283_LOCAL_REFINEMENT,LPML1B2D_B2D_0283_A04,LPML1A4_0283_B240_exploration_B240_H650,reassigned_B120_cleanup,120,650.000000,451,120,-0.695327,0.653486,0.026387,-0.107364,0.016448,0.016650,0.090627,-0.129812,0.910523,0.000548,0.012223,0.025065,24.418776,136.776762,120,16.776762,0.203847,loose,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1b2e_0283_local_refinement\scout_01\lp_ml1b2e_scout01_results.csv,ok,
LPML1B2E_SCOUT_01_0283_LOCAL_REFINEMENT,LPML1B2D_B2D_0283_A04,LPML1A4_0283_B240_exploration_B240_H650,reassigned_B120_cleanup,120,650.000000,451.5,120,-0.679812,0.676093,0.016714,-0.097308,0.030363,0.016454,0.074322,-0.120457,0.919246,0.001193,0.009748,0.020034,30.866022,135.157155,120,15.157155,0.183563,loose,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1b2e_0283_local_refinement\scout_01\lp_ml1b2e_scout01_results.csv,ok,
LPML1B2E_SCOUT_01_0283_LOCAL_REFINEMENT,LPML1B2D_B2D_0283_A04,LPML1A4_0283_B240_exploration_B240_H650,reassigned_B120_cleanup,120,650.000000,452,120,-0.655552,0.703059,0.005454,-0.092912,0.016065,0.028391,0.042215,-0.122743,0.924041,0.001064,0.008662,0.016848,36.222012,132.997340,120,12.997340,0.169585,strict,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1b2e_0283_local_refinement\scout_01\lp_ml1b2e_scout01_results.csv,ok,
LPML1B2E_SCOUT_01_0283_LOCAL_REFINEMENT,LPML1B2D_B2D_0283_A04,LPML1A4_0283_B240_exploration_B240_H650,reassigned_B120_cleanup,120,650.000000,452.5,120,-0.640773,0.731533,-0.003528,-0.079975,-0.007636,0.014163,0.020903,-0.120882,0.945730,0.000259,0.006408,0.015049,44.073747,131.216172,120,11.216172,0.151535,strict,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1b2e_0283_local_refinement\scout_01\lp_ml1b2e_scout01_results.csv,ok,
LPML1B2E_SCOUT_01_0283_LOCAL_REFINEMENT,LPML1B2D_B2D_0283_A04,LPML1A4_0283_B240_exploration_B240_H650,reassigned_B120_cleanup,120,650.000000,453,120,-0.620851,0.756240,-0.008331,-0.065492,-0.000975,-0.000517,0.013390,-0.102448,0.957354,0.000001,0.004359,0.010675,63.681308,129.384992,120,9.384992,0.125317,strict,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1b2e_0283_local_refinement\scout_01\lp_ml1b2e_scout01_results.csv,ok,
LPML1B2E_SCOUT_01_0283_LOCAL_REFINEMENT,LPML1B2D_B2D_0283_A04,LPML1A4_0283_B240_exploration_B240_H650,reassigned_B120_cleanup,120,650.000000,453.5,120,-0.579427,0.780678,-0.016098,-0.053970,0.001462,0.024728,-0.005140,-0.086322,0.945193,0.000614,0.003172,0.007478,88.752192,126.583158,120,6.583158,0.109163,strict,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1b2e_0283_local_refinement\scout_01\lp_ml1b2e_scout01_results.csv,ok,
LPML1B2E_SCOUT_01_0283_LOCAL_REFINEMENT,LPML1B2D_B2D_0283_A04,LPML1A4_0283_B240_exploration_B240_H650,reassigned_B120_cleanup,120,650.000000,454,120,-0.540301,0.810769,-0.025340,-0.046265,-0.039113,0.044204,-0.021906,-0.084826,0.949271,0.003484,0.002783,0.007675,90.771658,123.679730,120,3.679730,0.121188,strict,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1b2e_0283_local_refinement\scout_01\lp_ml1b2e_scout01_results.csv,ok,
LPML1B2E_SCOUT_01_0283_LOCAL_REFINEMENT,LPML1B2D_B2D_0283_A05,LPML1A4_0283_B240_exploration_B240_H650,reassigned_B120_cleanup,120,650.000000,450,120,-0.674161,0.607917,0.045846,-0.130720,-0.033796,0.095202,0.131685,-0.116747,0.824056,0.010206,0.019189,0.030971,16.428476,137.957779,120,17.957779,0.270656,loose,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1b2e_0283_local_refinement\scout_01\lp_ml1b2e_scout01_results.csv,ok,
LPML1B2E_SCOUT_01_0283_LOCAL_REFINEMENT,LPML1B2D_B2D_0283_A05,LPML1A4_0283_B240_exploration_B240_H650,reassigned_B120_cleanup,120,650.000000,450.5,120,-0.687665,0.630620,0.047415,-0.120088,-0.013266,0.028638,0.120480,-0.118781,0.870566,0.000996,0.016669,0.028625,19.220379,137.477755,120,17.477755,0.230591,loose,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1b2e_0283_local_refinement\scout_01\lp_ml1b2e_scout01_results.csv,ok,
LPML1B2E_SCOUT_01_0283_LOCAL_REFINEMENT,LPML1B2D_B2D_0283_A05,LPML1A4_0283_B240_exploration_B240_H650,reassigned_B120_cleanup,120,650.000000,451,120,-0.684787,0.650851,0.038259,-0.103764,0.037484,0.030255,0.091799,-0.126293,0.892541,0.002320,0.012231,0.024377,24.381205,136.455433,120,16.455433,0.208842,loose,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1b2e_0283_local_refinement\scout_01\lp_ml1b2e_scout01_results.csv,ok,
LPML1B2E_SCOUT_01_0283_LOCAL_REFINEMENT,LPML1B2D_B2D_0283_A05,LPML1A4_0283_B240_exploration_B240_H650,reassigned_B120_cleanup,120,650.000000,451.5,120,-0.668995,0.673244,0.013655,-0.092557,0.019863,0.062225,0.057922,-0.135397,0.900812,0.004266,0.008753,0.021687,29.592526,134.818615,120,14.818615,0.196287,strict,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1b2e_0283_local_refinement\scout_01\lp_ml1b2e_scout01_results.csv,ok,
LPML1B2E_SCOUT_01_0283_LOCAL_REFINEMENT,LPML1B2D_B2D_0283_A05,LPML1A4_0283_B240_exploration_B240_H650,reassigned_B120_cleanup,120,650.000000,452,120,-0.654237,0.703101,0.007610,-0.089982,-0.020283,0.035468,0.044694,-0.131090,0.922377,0.001669,0.008155,0.019182,33.740962,132.938249,120,12.938249,0.177334,strict,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1b2e_0283_local_refinement\scout_01\lp_ml1b2e_scout01_results.csv,ok,
LPML1B2E_SCOUT_01_0283_LOCAL_REFINEMENT,LPML1B2D_B2D_0283_A05,LPML1A4_0283_B240_exploration_B240_H650,reassigned_B120_cleanup,120,650.000000,452.5,120,-0.636470,0.731584,0.009378,-0.077274,-0.000906,0.001671,0.029408,-0.117801,0.940308,0.000004,0.006059,0.014742,45.204457,131.022915,120,11.022915,0.148747,strict,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1b2e_0283_local_refinement\scout_01\lp_ml1b2e_scout01_results.csv,ok,
LPML1B2E_SCOUT_01_0283_LOCAL_REFINEMENT,LPML1B2D_B2D_0283_A05,LPML1A4_0283_B240_exploration_B240_H650,reassigned_B120_cleanup,120,650.000000,453,120,-0.602001,0.755164,-0.006247,-0.055869,0.016837,0.035590,0.000854,-0.103778,0.932678,0.001550,0.003160,0.010771,66.949819,128.561145,120,8.561145,0.128835,strict,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1b2e_0283_local_refinement\scout_01\lp_ml1b2e_scout01_results.csv,ok,
LPML1B2E_SCOUT_01_0283_LOCAL_REFINEMENT,LPML1B2D_B2D_0283_A05,LPML1A4_0283_B240_exploration_B240_H650,reassigned_B120_cleanup,120,650.000000,453.5,120,-0.564087,0.784805,-0.019825,-0.050394,-0.034331,0.064103,-0.011370,-0.096338,0.934112,0.005288,0.002933,0.009410,75.680010,125.707092,120,5.707092,0.137384,strict,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1b2e_0283_local_refinement\scout_01\lp_ml1b2e_scout01_results.csv,ok,
LPML1B2E_SCOUT_01_0283_LOCAL_REFINEMENT,LPML1B2D_B2D_0283_A05,LPML1A4_0283_B240_exploration_B240_H650,reassigned_B120_cleanup,120,650.000000,454,120,-0.538527,0.818782,-0.016963,-0.047229,-0.067465,0.029104,-0.011294,-0.083845,0.960416,0.005399,0.002518,0.007158,99.258542,123.333611,120,3.333611,0.125283,strict,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1b2e_0283_local_refinement\scout_01\lp_ml1b2e_scout01_results.csv,ok,
LPML1B2E_SCOUT_01_0283_LOCAL_REFINEMENT,LPML1B2D_B2D_0283_B01,LPML1A4_0283_B240_exploration_B240_H650,phase_tuning_scout,120,650.000000,450,120,-0.682539,0.705156,0.011170,-0.095503,0.018609,0.008990,0.062895,-0.133825,0.963104,0.000427,0.009246,0.021865,30.957588,134.066246,120,14.066246,0.180958,strict,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1b2e_0283_local_refinement\scout_01\lp_ml1b2e_scout01_results.csv,ok,
LPML1B2E_SCOUT_01_0283_LOCAL_REFINEMENT,LPML1B2D_B2D_0283_B01,LPML1A4_0283_B240_exploration_B240_H650,phase_tuning_scout,120,650.000000,450.5,120,-0.663559,0.726708,0.000223,-0.101581,0.012889,-0.001517,0.052573,-0.128326,0.968415,0.000168,0.010319,0.019231,32.771836,132.399269,120,12.399269,0.175180,strict,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1b2e_0283_local_refinement\scout_01\lp_ml1b2e_scout01_results.csv,ok,
LPML1B2E_SCOUT_01_0283_LOCAL_REFINEMENT,LPML1B2D_B2D_0283_B01,LPML1A4_0283_B240_exploration_B240_H650,phase_tuning_scout,120,650.000000,451,120,-0.640108,0.752208,-0.005039,-0.092665,0.009447,0.002276,0.016502,-0.127494,0.975556,0.000094,0.008612,0.016527,38.806302,130.396862,120,10.396862,0.160828,strict,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1b2e_0283_local_refinement\scout_01\lp_ml1b2e_scout01_results.csv,ok,
LPML1B2E_SCOUT_01_0283_LOCAL_REFINEMENT,LPML1B2D_B2D_0283_B01,LPML1A4_0283_B240_exploration_B240_H650,phase_tuning_scout,120,650.000000,451.5,120,-0.609553,0.777328,-0.012726,-0.066506,-0.008075,0.014013,-0.000125,-0.119441,0.975795,0.000262,0.004585,0.014266,51.763038,128.102297,120,8.102297,0.139953,strict,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1b2e_0283_local_refinement\scout_01\lp_ml1b2e_scout01_results.csv,ok,
LPML1B2E_SCOUT_01_0283_LOCAL_REFINEMENT,LPML1B2D_B2D_0283_B01,LPML1A4_0283_B240_exploration_B240_H650,phase_tuning_scout,120,650.000000,452,120,-0.573612,0.801571,-0.025788,-0.056976,-0.032757,0.015817,-0.004596,-0.113464,0.971546,0.001323,0.003911,0.012895,57.808301,125.587859,120,5.587859,0.136603,strict,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1b2e_0283_local_refinement\scout_01\lp_ml1b2e_scout01_results.csv,ok,
