candidate_id,wavelength_nm,harmonic_order,target_order_m,target_order_n,Jxx_real,Jxx_imag,Jxy_real,Jxy_imag,Jyx_real,Jyx_imag,Jyy_real,Jyy_imag,T0_x,T0_y,R0_x,R0_y,non_target_propagating_orders,energy_balance_error_max,S0,S1,S2,S3,DoLP,x_fidelity,useful_power,leakage_power,leakage_fraction,rank_contrast,rank_one_error,total_power,orientation_deg,state_flip_438_458
H1C1B_V2_015,445.0,121,0,0,0.30987981345062987,0.1676490145804711,-0.0634247386396119,-0.09301836127984778,0.06342473863966899,0.09301836127985234,0.4633650842714747,-0.2938586214140635,0.1368068038806996,0.3137352037079761,0.8631931961192286,0.68626479629165,0,3.739231146937527e-13,0.22527100379433787,-0.08846419991364632,0.03319392083152442,0.07993078458133428,0.41943603707261734,0.3036493857984268,0.06840340194034578,0.1568676018539921,0.6963506142015732,1.8542873939541762,0.5392907287513558,0.22527100379433784,79.71634334704734,True
H1C1B_V2_015,446.0,121,0,0,-0.5542845730307648,0.34236822018164914,-0.037065177940596536,-0.008684560853522589,0.03706517794048547,0.0086845608534446,0.3543036595679964,-0.84551609304752,0.42589663510322445,0.8418777957986036,0.5741033648967724,0.1581222042012991,0,9.736655925962623e-14,0.6338872154509141,-0.20799058034768003,-0.023360730910786734,0.01691251902577695,0.33018234018755244,0.33594038870169796,0.21294831755161703,0.42093889789929706,0.664059611298302,1.4109190242213236,0.7087578966850298,0.633887215450914,-86.7958037908809,True
H1C1B_V2_015,447.0,121,0,0,-0.1274594183645233,0.9876541997269401,-0.021548685502600362,-0.007663598852978709,0.02154868550261673,0.007663598853002208,0.194145195175215,-0.9456088082745763,0.9922297981623556,0.932391451690356,0.00777020183754565,0.0676085483096201,0,9.869882688917642e-14,0.9623106249263558,0.029919173235998686,0.007885595497294562,-0.00039496987458346317,0.03215271997338282,0.5155454862811518,0.4961148990811772,0.4661957258451786,0.4844545137188482,1.0326893604031016,0.9683454079643645,0.9623106249263558,7.3826416587981525,True
H1C1B_V2_015,448.0,121,0,0,0.20321624324367848,0.962003302124228,-0.0181581818554587,-0.004343080645720776,0.018158181855446674,0.004343080645729425,0.08417944820258602,-0.976927511393699,0.9670957767337836,0.9618221239353691,0.03290422326639238,0.03817787606463694,0,1.758593271006248e-13,0.9644589503345762,0.0026368263992075924,0.010582424661434345,0.0015191791711611155,0.011307881563912938,0.501366997733959,0.48354788836689194,0.48091106196768424,0.498633002266041,1.0114829879246168,0.9886473741410345,0.9644589503345764,38.00425239624944,True
H1C1B_V2_015,449.0,121,0,0,0.37831759280968513,0.8750867304281595,-0.01551096976707225,-0.0017334512802529844,0.015510969767046886,0.0017334512802567848,-0.0053064985447737745,-0.9877804970689876,0.9091445818372164,0.9759820643531179,0.09085541816282912,0.02401793564686701,0,4.551914400963142e-14,0.9425633230951671,-0.03341874125794997,0.009179571263359563,0.002394586166229092,0.03676841017088104,0.48227241584777014,0.45457229091860857,0.48799103217655854,0.5177275841522299,1.0375610088511964,0.9637987467428208,0.9425633230951671,82.3203090529865,True
H1C1B_V2_015,450.0,121,0,0,0.49728973722723935,0.7776835513608366,-0.013178109084106588,0.00013133887655065145,0.013178109084090828,-0.00013133887655299788,-0.08729941654074322,-0.988538992931175,0.8522624686176726,0.9850042084826691,0.14773753138230294,0.014995791517327831,0,2.4424906541753444e-14,0.9186333385501706,-0.06637086993249786,0.007471805953024626,0.0027248283418868664,0.07270596240276894,0.46387521160659845,0.42613123430883637,0.49250210424133417,0.5361247883934015,1.0756178964711045,0.9296981793263275,0.9186333385501708,86.78844004451157,True
H1C1B_V2_015,451.0,121,0,0,0.5871133665430608,0.665798032313028,-0.01326500080415416,0.0016496816171501479,0.013265000804180714,-0.001649681617163376,-0.1504037965500151,-0.9825985241131481,0.7881678067011991,0.9882998433017672,0.21183219329881206,0.011700156698216092,0,1.6653345369377348e-14,0.8882338250014834,-0.10006601830028478,0.0070638362646040604,0.003481927028808507,0.11293764091657599,0.44367135348616243,0.3940839033505993,0.49414992165088406,0.5563286465138375,1.1201811468341405,0.8927127570627332,0.8882338250014832,87.98104423854589,True
H1C1B_V2_015,452.0,121,0,0,0.6511214632416518,0.528344960990506,-0.01121094171645429,0.002997043222683857,0.011210941716446269,-0.002997043222666085,-0.22909462286071075,-0.9703149219381718,0.7032422251802571,0.99413006144182,0.2967577748197261,0.005869938558173656,0,1.6764367671839864e-14,0.8486861433110386,-0.14544391813078122,0.005376502793943689,0.003690066790869289,0.17149244120113596,0.41431230539280944,0.3516211125901287,0.4970650307209099,0.5856876946071905,1.1891760864506091,0.8409183563258054,0.8486861433110386,88.94147957281925,True
H1C1B_V2_015,453.0,121,0,0,0.6716191911808026,0.34688992735832896,-0.009835543130782822,0.00446628508215945,0.009835543130780215,-0.004466285082141283,-0.3045589025949099,-0.9512936594783619,0.5715216452761348,0.9978324373246621,0.42847835472379536,0.002167562675342178,0,6.983302824892235e-14,0.7846770413003983,-0.21315539602426348,0.0038031837568679714,0.00430524308452148,0.2716905311195074,0.364176352304756,0.2857608226380674,0.4989162186623309,0.635823647695244,1.3214742829995463,0.7567305795237661,0.7846770413003985,89.4889098209177,True
H1C1B_V2_015,454.0,121,0,0,0.5829600692561356,0.11129936430817772,-0.008090937053797178,0.006289955556583404,0.008090937053788952,-0.006289955556553676,-0.38420050151626994,-0.923128186836391,0.35233501764583475,0.9998807015005085,0.6476649823540555,0.00011929849948929484,0,1.0969003483296547e-13,0.6761078595731717,-0.32377284192733635,0.001318731975827854,0.005318267054022816,0.4788814727414026,0.2605612497007986,0.17616750882291765,0.49994035075025406,0.7394387502992015,1.684747542224254,0.5935607412608361,0.6761078595731715,89.88331733097598,True
H1C1B_V2_015,455.0,121,0,0,0.24232060060841742,-0.06418759715104927,-0.004716232602778918,0.008098705336329563,0.004716232602770081,-0.008098705336338888,-0.47376805216524953,-0.8794476838608996,0.06292715298533781,0.9979722277788434,0.9370728470148011,0.0020277722211545684,0,1.389999226830696e-13,0.5304496903820907,-0.4675225373967529,-0.003225310564043909,0.006324828188441367,0.8813911498315379,0.059314911598883586,0.03146357649266888,0.49898611388942177,0.9406850884011164,3.984171337396413,0.25099322175573974,0.5304496903820907,-89.802369151646,True
H1C1B_V2_015,456.0,121,0,0,-0.18806565988802315,0.22506730033233696,0.0005110804848175304,0.007039283276693786,-0.0005110804847918561,-0.007039283276716755,-0.583476588012762,-0.8010359372456625,0.08607379482031577,0.9821533142303629,0.9139262051792919,0.017846685769652298,0,3.922417946000678e-13,0.5341135545253393,-0.44803975970502385,-0.007425118169302301,0.005136738112715915,0.8389625724680313,0.08057630637815237,0.043036897410157725,0.4910766571151815,0.9194236936218476,3.3799002380139678,0.29586672078451665,0.5341135545253394,-89.52527763072598,True
H1C1B_V2_015,457.0,121,0,0,-0.10562147602520941,0.6944431374898973,0.004050538924245591,0.0024708525582878525,-0.004050538924254061,-0.0024708525583124587,-0.7232593054311901,-0.6107336452483195,0.4934296793824981,0.8961221203090494,0.5065703206176919,0.10387787969085047,0,1.900701818158268e-13,0.6947758998457737,-0.2013462204632758,-0.005726665461758307,0.0023871107560390053,0.2899174289390594,0.3550998814812297,0.24671483969124894,0.4480610601545248,0.6449001185187704,1.3478332990415598,0.7419315138682928,0.6947758998457737,-89.18541969908567,True
H1C1B_V2_015,458.0,121,0,0,0.17366356123993643,0.8578936189571351,0.003790048955980535,-0.007667316250988446,-0.0037900489559337114,0.007667316250967837,-0.5649735422781126,-0.007878393936581407,0.7662136461594878,0.31933032477487955,0.23378635384066904,0.6806696752254114,0,2.9176661087149114e-13,0.5427719854671837,0.22344166069230484,0.003838677041064354,0.00022130193932497124,0.4117283832688339,0.7058338185048187,0.3831068230797443,0.15966516238743947,0.29416618149518126,1.549125958398236,0.6455253006243464,0.5427719854671837,0.49211583570001755,True
H1C1B_V2_015,459.0,121,0,0,0.3880835512194992,0.8582988816899515,-0.009784250691948954,-0.004387064300351823,0.009784250691768942,0.004387064300335183,0.18049294854574427,-0.5573169361976698,0.8874007909321338,0.3432948497422725,0.11259920906788215,0.6567051502577248,0,1.5987211554602254e-14,0.6153478203372031,0.2720529705949343,0.008241516115436777,-0.0004505011441598575,0.4423153318496195,0.7210562559934417,0.4437003954660687,0.17164742487113444,0.2789437440065583,1.6081852875338207,0.6218188959641068,0.6153478203372031,0.8675878804926477,True
H1C1B_V2_015,460.0,121,0,0,0.5341639576979101,0.8098365587895717,-0.008019225656418437,0.0010581115196923382,0.008019225656442572,-0.0010581115197013102,-0.12783138310216757,-0.8547475265076976,0.9412318132357471,0.7469996241569569,0.05876818676423521,0.2530003758430356,0,1.765254609153999e-14,0.8441157186963522,0.09711609453939468,0.0035473744252295016,-6.979399345056342e-05,0.11512741503883701,0.557525344208363,0.47061590661787345,0.3734998120784787,0.44247465579163703,1.122591861865818,0.8907956969667831,0.8441157186963519,1.045960827008477,True
H1C1B_V2_015,461.0,121,0,0,0.6379522750139788,0.7483771040919639,-0.006455611808797147,0.0023978098934071407,0.006455611808823189,-0.0023978098934134794,-0.3064181261462259,-0.8756887919711366,0.9670988195406967,0.8607703528309439,0.03290118045931066,0.1392296471690497,0,7.327471962526033e-15,0.9139345861858201,0.05316423335487608,0.002202287440494951,2.6918973489737513e-05,0.0582206086068066,0.5290853602426568,0.48354940977034816,0.43038517641547197,0.47091463975734316,1.0600186819833752,0.9433795998094339,0.9139345861858204,1.186038688929936,True
H1C1B_V2_015,462.0,121,0,0,0.715582041552175,0.6843582985696764,-0.005500037082859031,0.0029483513350931074,0.005500037082903701,-0.002948351335120373,-0.41562900059614444,-0.8566951102759762,0.9804428821966695,0.9067129212908247,0.019557117803362282,0.09328707870917559,0,3.175237850427948e-14,0.9435779017437472,0.03686498045292175,0.0016781358049488086,6.349190630831197e-05,0.039109813766122305,0.5195346777329114,0.49022144109833443,0.4533564606454128,0.4804653222670886,1.0399054863952755,0.9616258526208917,0.9435779017437471,1.3031848532400796,True
H1C1B_V2_015,463.0,121,0,0,0.7759928095641915,0.6208994375409146,-0.00482657121849046,0.003266353663365038,0.004826571218553569,-0.003266353663414745,-0.49447036605250155,-0.8282720693397903,0.987714916889934,0.9305695286084944,0.012285083110087573,0.06943047139150753,0,2.1538326677728037e-14,0.9591422227492141,0.02857269414071878,0.0013984743372576082,8.13469113814299e-05,0.029825501117346404,0.5148949204106666,0.4938574584449665,0.46528476430424764,0.48510507958933335,1.030283977339974,0.9706061843083669,0.9591422227492141,1.4010367031735929,True
H1C1B_V2_015,464.0,121,0,0,0.8243282714522474,0.5588412702913658,-0.004302696258276466,0.0034935607529726926,0.004302696258290148,-0.003493560752980629,-0.557379543952363,-0.7964402035687275,0.9918513826581432,0.9450196720389656,0.008148617341843448,0.054980327961012584,0,2.1760371282653068e-14,0.9684355273485545,0.023415855309588507,0.0012103108810710024,8.971444371919709e-05,0.02421133142628572,0.5120895272056458,0.4959256913290716,0.47250983601948293,0.4879104727943542,1.0245118356335117,0.9760746193641046,0.9684355273485544,1.4794259758838404,True
H1C1B_V2_015,465.0,121,0,0,0.863906687546334,0.49797513786374015,-0.003974115070930583,0.003820254288931235,0.003974115070857759,-0.003820254288843656,-0.6106215001228732,-0.762747637705385,0.9943443906511183,0.9546729631708827,0.005655609348871852,0.04532703682912474,0,9.769962616701378e-15,0.9745086769110002,0.019835713740119165,0.0010436631025876133,8.46225585233425e-05,0.020382733973007206,0.5101772894434324,0.49717219532555973,0.47733648158544045,0.48982271055656756,1.0205949508867456,0.9798206420001866,0.9745086769110005,1.5059302285253569,True
