candidate_id,wavelength_nm,input_polarization,order_m,order_n,target_order,reflected_power,transmitted_power,propagating_estimate,energy_balance_error
H1C1B_V2_015,435.0,x,-5,5,False,-0.0,0.0,False,-7.993605777301127e-15
H1C1B_V2_015,435.0,x,5,-5,False,-1.9852334701272664e-23,-4.235164736271502e-22,False,-7.993605777301127e-15
H1C1B_V2_015,435.0,x,5,5,False,1.0587911840678754e-22,0.0,False,-7.993605777301127e-15
H1C1B_V2_015,435.0,y,0,0,True,0.00011293236442667008,0.9998870676355769,True,3.552713678800501e-15
H1C1B_V2_015,435.0,y,0,-1,False,9.188772304390369e-20,-7.578163955577694e-21,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,0,1,False,-4.064477059309617e-20,-9.235356473924904e-20,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,-1,0,False,-2.1583887284027375e-19,1.1743107042970946e-23,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,1,0,False,-4.012142793743149e-21,-1.1365155131143142e-19,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,-1,1,False,-8.131516293641283e-20,1.6263032587282567e-19,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,1,-1,False,6.776263578034403e-21,-2.710505431213761e-20,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,-1,-1,False,3.4558944247975454e-19,0.0,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,1,1,False,-0.0,-1.2536087619363645e-19,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,0,2,False,5.331787821040822e-20,1.1199996933614079e-20,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,0,-2,False,-1.7803994522599622e-20,2.6816002163326198e-21,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,-2,0,False,1.0817442736115276e-21,1.1188793372686281e-21,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,2,0,False,3.4071759216783873e-22,-2.954273971302873e-21,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,-1,-2,False,-6.776263578034403e-21,-2.0328790734103208e-20,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,-2,-1,False,-0.0,6.776263578034403e-21,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,-2,1,False,6.776263578034403e-21,3.3881317890172014e-21,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,1,-2,False,-0.0,1.3552527156068805e-20,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,2,-1,False,6.776263578034403e-21,6.776263578034403e-21,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,2,1,False,-6.776263578034403e-21,0.0,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,1,2,False,-0.0,4.0657581468206416e-20,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,-1,2,False,-1.3552527156068805e-20,0.0,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,-2,2,False,1.6940658945086007e-20,1.0164395367051604e-20,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,2,2,False,6.776263578034403e-21,2.0328790734103208e-20,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,2,-2,False,-5.082197683525802e-21,-3.3881317890172014e-21,False,3.552713678800501e-15
