path,read_status,terms_hit,line_numbers,evidence_snippets,supports_sio2_tio2,supports_453_or_450,supports_100_52_nm,supports_m8,supports_dipole_source,supports_planewave
F:\wc_312\MDC_blue_oujizi_source1\source1_20_p0.log,ok,100;dipole;ITO;MDC;oujizi;source,11;39;41;47;48;49;50;63;68;69;70;71,"L11: Running fsp file: N:\Program Files\ANSYS Inc\v251\Lumerical\bin\fdtd-engine-msmpi.exe -t 1 -remote -hide -shared-solve-license QU5TWVNfTElDRU5TSU5HX0NPTlRFWFRfREFUQT08QU5TWVNfTElDR | L39: Starting to add sources to simulation | L41: Adding dipole source | L47: Starting to add monitors to Simulation | L48: Adding analysis monitor | L49: Adding frequency monitor | L50: Adding time monitor | L63: 100% complete. Max time remaining: 0 mins, 0 secs. Auto Shutoff: 9.68726e-06 | L68: collecting TM monitor data | L69: collecting TE monitor data | L70: collecting TM source data | L71: collecting TE source data",false,false,false,false,true,false
F:\wc_312\MDC_blue_oujizi_source1\source1_21_p0.log,ok,100;52;dipole;ITO;MDC;oujizi;source,11;39;41;47;48;49;50;61;63;68;69;70,"L11: Running fsp file: N:\Program Files\ANSYS Inc\v251\Lumerical\bin\fdtd-engine-msmpi.exe -t 1 -remote -hide -shared-solve-license QU5TWVNfTElDRU5TSU5HX0NPTlRFWFRfREFUQT08QU5TWVNfTElDR | L39: Starting to add sources to simulation | L41: Adding dipole source | L47: Starting to add monitors to Simulation | L48: Adding analysis monitor | L49: Adding frequency monitor | L50: Adding time monitor | L61: 15.2211% complete. Elapsed simulation time: 1.52211e-13 secs. Max time remaining: 23 secs. Auto Shutoff: 0.000179127 | L63: 100% complete. Max time remaining: 0 mins, 0 secs. Auto Shutoff: 9.01025e-06 | L68: collecting TM monitor data | L69: collecting TE monitor data | L70: collecting TM source data",false,false,true,false,true,false
F:\wc_312\MDC_blue_oujizi_source1\source1_22_p0.log,ok,100;52;dipole;ITO;MDC;oujizi;source,11;39;41;47;48;49;50;62;65;70;71;72,"L11: Running fsp file: N:\Program Files\ANSYS Inc\v251\Lumerical\bin\fdtd-engine-msmpi.exe -t 1 -remote -hide -shared-solve-license QU5TWVNfTElDRU5TSU5HX0NPTlRFWFRfREFUQT08QU5TWVNfTElDR | L39: Starting to add sources to simulation | L41: Adding dipole source | L47: Starting to add monitors to Simulation | L48: Adding analysis monitor | L49: Adding frequency monitor | L50: Adding time monitor | L62: 15.2211% complete. Elapsed simulation time: 1.52211e-13 secs. Max time remaining: 29 secs. Auto Shutoff: 0.000178947 | L65: 100% complete. Max time remaining: 0 mins, 0 secs. Auto Shutoff: 9.80548e-06 | L70: collecting TM monitor data | L71: collecting TE monitor data | L72: collecting TM source data",false,false,true,false,true,false
F:\wc_312\MDC_blue_oujizi_source1\source1_23_p0.log,ok,100;52;dipole;ITO;MDC;oujizi;source,11;39;41;47;48;49;50;61;64;69;70;71,"L11: Running fsp file: N:\Program Files\ANSYS Inc\v251\Lumerical\bin\fdtd-engine-msmpi.exe -t 1 -remote -hide -shared-solve-license QU5TWVNfTElDRU5TSU5HX0NPTlRFWFRfREFUQT08QU5TWVNfTElDR | L39: Starting to add sources to simulation | L41: Adding dipole source | L47: Starting to add monitors to Simulation | L48: Adding analysis monitor | L49: Adding frequency monitor | L50: Adding time monitor | L61: 15.2211% complete. Elapsed simulation time: 1.52211e-13 secs. Max time remaining: 28 secs. Auto Shutoff: 0.000289239 | L64: 100% complete. Max time remaining: 0 mins, 0 secs. Auto Shutoff: 9.2389e-06 | L69: collecting TM monitor data | L70: collecting TE monitor data | L71: collecting TM source data",false,false,true,false,true,false
F:\wc_312\MDC_blue_oujizi_source1\source1_24_p0.log,ok,100;52;dipole;ITO;MDC;oujizi;source,11;39;41;47;48;49;50;61;64;69;70;71,"L11: Running fsp file: N:\Program Files\ANSYS Inc\v251\Lumerical\bin\fdtd-engine-msmpi.exe -t 1 -remote -hide -shared-solve-license QU5TWVNfTElDRU5TSU5HX0NPTlRFWFRfREFUQT08QU5TWVNfTElDR | L39: Starting to add sources to simulation | L41: Adding dipole source | L47: Starting to add monitors to Simulation | L48: Adding analysis monitor | L49: Adding frequency monitor | L50: Adding time monitor | L61: 15.2211% complete. Elapsed simulation time: 1.52211e-13 secs. Max time remaining: 29 secs. Auto Shutoff: 0.000189698 | L64: 100% complete. Max time remaining: 0 mins, 0 secs. Auto Shutoff: 9.18038e-06 | L69: collecting TM monitor data | L70: collecting TE monitor data | L71: collecting TM source data",false,true,true,false,true,false
F:\wc_312\MDC_blue_oujizi_source1\source1_25_p0.log,ok,100;52;dipole;ITO;MDC;oujizi;source,11;39;41;47;48;49;50;61;64;69;70;71,"L11: Running fsp file: N:\Program Files\ANSYS Inc\v251\Lumerical\bin\fdtd-engine-msmpi.exe -t 1 -remote -hide -shared-solve-license QU5TWVNfTElDRU5TSU5HX0NPTlRFWFRfREFUQT08QU5TWVNfTElDR | L39: Starting to add sources to simulation | L41: Adding dipole source | L47: Starting to add monitors to Simulation | L48: Adding analysis monitor | L49: Adding frequency monitor | L50: Adding time monitor | L61: 15.2211% complete. Elapsed simulation time: 1.52211e-13 secs. Max time remaining: 29 secs. Auto Shutoff: 0.000199618 | L64: 100% complete. Max time remaining: 0 mins, 0 secs. Auto Shutoff: 9.60554e-06 | L69: collecting TM monitor data | L70: collecting TE monitor data | L71: collecting TM source data",false,false,true,false,true,false
F:\wc_312\MDC_blue_oujizi_source1\source1_26_p0.log,ok,100;dipole;ITO;MDC;oujizi;source,11;39;41;47;48;49;50;63;68;69;70;71,"L11: Running fsp file: N:\Program Files\ANSYS Inc\v251\Lumerical\bin\fdtd-engine-msmpi.exe -t 1 -remote -hide -shared-solve-license QU5TWVNfTElDRU5TSU5HX0NPTlRFWFRfREFUQT08QU5TWVNfTElDR | L39: Starting to add sources to simulation | L41: Adding dipole source | L47: Starting to add monitors to Simulation | L48: Adding analysis monitor | L49: Adding frequency monitor | L50: Adding time monitor | L63: 100% complete. Max time remaining: 0 mins, 0 secs. Auto Shutoff: 8.53619e-06 | L68: collecting TM monitor data | L69: collecting TE monitor data | L70: collecting TM source data | L71: collecting TE source data",false,false,true,false,true,false
F:\wc_312\MDC_blue_oujizi_source1\source1_27_p0.log,ok,100;dipole;ITO;MDC;oujizi;source,11;39;41;47;48;49;50;63;68;69;70;71,"L11: Running fsp file: N:\Program Files\ANSYS Inc\v251\Lumerical\bin\fdtd-engine-msmpi.exe -t 1 -remote -hide -shared-solve-license QU5TWVNfTElDRU5TSU5HX0NPTlRFWFRfREFUQT08QU5TWVNfTElDR | L39: Starting to add sources to simulation | L41: Adding dipole source | L47: Starting to add monitors to Simulation | L48: Adding analysis monitor | L49: Adding frequency monitor | L50: Adding time monitor | L63: 100% complete. Max time remaining: 0 mins, 0 secs. Auto Shutoff: 9.57666e-06 | L68: collecting TM monitor data | L69: collecting TE monitor data | L70: collecting TM source data | L71: collecting TE source data",false,false,true,false,true,false
F:\wc_312\MDC_blue_oujizi_source1\source1_28_p0.log,ok,100;52;dipole;ITO;MDC;oujizi;source,11;39;41;47;48;49;50;61;63;68;69;70,"L11: Running fsp file: N:\Program Files\ANSYS Inc\v251\Lumerical\bin\fdtd-engine-msmpi.exe -t 1 -remote -hide -shared-solve-license QU5TWVNfTElDRU5TSU5HX0NPTlRFWFRfREFUQT08QU5TWVNfTElDR | L39: Starting to add sources to simulation | L41: Adding dipole source | L47: Starting to add monitors to Simulation | L48: Adding analysis monitor | L49: Adding frequency monitor | L50: Adding time monitor | L61: 15.2211% complete. Elapsed simulation time: 1.52211e-13 secs. Max time remaining: 27 secs. Auto Shutoff: 0.000189611 | L63: 100% complete. Max time remaining: 0 mins, 0 secs. Auto Shutoff: 9.20681e-06 | L68: collecting TM monitor data | L69: collecting TE monitor data | L70: collecting TM source data",false,false,true,false,true,false
F:\wc_312\MDC_blue_oujizi_source1\source1_29_p0.log,ok,100;52;dipole;ITO;MDC;oujizi;source,11;39;41;47;48;49;50;53;63;66;68;69,"L11: Running fsp file: N:\Program Files\ANSYS Inc\v251\Lumerical\bin\fdtd-engine-msmpi.exe -t 1 -remote -hide -shared-solve-license QU5TWVNfTElDRU5TSU5HX0NPTlRFWFRfREFUQT08QU5TWVNfTElDR | L39: Starting to add sources to simulation | L41: Adding dipole source | L47: Starting to add monitors to Simulation | L48: Adding analysis monitor | L49: Adding frequency monitor | L50: Adding time monitor | L53: Peak memory used by end of meshing: 0.080052 GiB | L63: 100% complete. Max time remaining: 0 mins, 0 secs. Auto Shutoff: 9.2393e-06 | L66: Peak memory used running the simulation: 0.080052 GiB | L68: collecting TM monitor data | L69: collecting TE monitor data",false,false,true,false,true,false
F:\wc_312\MDC_blue_oujizi_source1\source1_2_p0.log,ok,100;dipole;ITO;MDC;oujizi;source,11;39;41;47;48;49;50;63;68;69;70;71,"L11: Running fsp file: N:\Program Files\ANSYS Inc\v251\Lumerical\bin\fdtd-engine-msmpi.exe -t 1 -remote -hide -shared-solve-license QU5TWVNfTElDRU5TSU5HX0NPTlRFWFRfREFUQT08QU5TWVNfTElDR | L39: Starting to add sources to simulation | L41: Adding dipole source | L47: Starting to add monitors to Simulation | L48: Adding analysis monitor | L49: Adding frequency monitor | L50: Adding time monitor | L63: 100% complete. Max time remaining: 0 mins, 0 secs. Auto Shutoff: 8.36348e-06 | L68: collecting TM monitor data | L69: collecting TE monitor data | L70: collecting TM source data | L71: collecting TE source data",false,false,true,false,true,false
