geometry_uid,exact_hash,source_stage,source_file,material_contract,solver_lineage,H_global_nm,J1_side_nm,J2_length_nm,J2_width_nm,D_nm,Psi_deg,wavelength_count,mean_useful_power,worst_useful_power,mean_DoLP,worst_DoLP,mean_x_fidelity,worst_x_fidelity,mean_leakage_power,worst_leakage_power,mean_rank_contrast,worst_rank_contrast,mean_rank_error,worst_rank_error,mean_total_power,useful_power_range,DoLP_range,x_fidelity_range,phase_txx_mean_deg,phase_txx_range_deg,fabrication_margin,qualification,pareto_rank,promotion_role
GLOBAL_017,b791f1fd275bed1dddf7d90810bc429f739c2e78be5aba39b1757b11330eab62,H1C1A,reports\stage_h1c1a_broadband_global\h1c1a_broadband_full_jones.csv,APCD_TIO2_NATIVE_M1,historical real FDTD H1C1A/B/C,550.0,103.0,107.0,100.0,200.06249023742558,-1.4320961841646465,9,0.4935828468915854,0.48067751407492515,0.060620644143762496,0.017006433051526226,0.530265258556827,0.5084063351563014,0.43886146667141596,0.357962675884756,1.063807147802384,1.0171769920096898,0.9417847865931994,0.8627298510492027,0.9324443135630014,0.021347512514863387,0.12940291335080367,0.06475664919582513,61.22045371921968,15.671629997044022,FABRICATION_MARGIN_NOT_AVAILABLE_FROM_EXISTING_PHYSICS,NATIVE_COMPATIBLE_HISTORICAL_FULL_JONES,,
GLOBAL_018,e845c395735b0c26f05551b883ad65b8e18131eacb85b8fe822ac1f970164940,H1C1A,reports\stage_h1c1a_broadband_global\h1c1a_broadband_full_jones.csv,APCD_TIO2_NATIVE_M1,historical real FDTD H1C1A/B/C,550.0,109.0,114.0,106.0,185.06755523321746,1.5481576989779677,9,0.4907957604176281,0.4813098120952413,0.827311013879258,0.6184264044317742,0.9130479703371451,0.8079159997017232,0.04957477844484867,0.00038211768792099357,19.714647365402577,2.0631081656753816,0.274385177538084,0.007011584846177427,0.5403705388624768,0.022866494221353395,0.38132436150187476,0.19131556710953768,95.19449719103594,38.83250958736107,FABRICATION_MARGIN_NOT_AVAILABLE_FROM_EXISTING_PHYSICS,NATIVE_COMPATIBLE_HISTORICAL_FULL_JONES,5,P0_BACKUP
GLOBAL_019,0157d50c33999d7398a61684ea8b5aec0196cea3b2288079897a91aa22c2c9cf,H1C1A,reports\stage_h1c1a_broadband_global\h1c1a_broadband_full_jones.csv,APCD_TIO2_NATIVE_M1,historical real FDTD H1C1A/B/C,550.0,112.0,103.0,97.0,207.0024154448445,0.27678905217775984,9,0.2560010646408708,0.0031432354400367755,0.6923792341239762,0.17829617878570603,0.7406839320077098,0.030336689512767807,0.0573415348872947,0.007284759253459349,3.502619593715609,1.2134007773224749,0.40158286853934144,0.13804388325695804,0.3133425995281655,0.3741602937421978,0.7841157081085542,0.950721601983601,101.51103773439564,123.15073113477916,FABRICATION_MARGIN_NOT_AVAILABLE_FROM_EXISTING_PHYSICS,NATIVE_COMPATIBLE_HISTORICAL_FULL_JONES,,
GLOBAL_020,0e944f6b8331e30e84ea6c1a2987c21e6995988a3a5e09a8ffe4af6507578d07,H1C1A,reports\stage_h1c1a_broadband_global\h1c1a_broadband_full_jones.csv,APCD_TIO2_NATIVE_M1,historical real FDTD H1C1A/B/C,550.0,106.0,110.0,103.0,192.21082175569617,-2.6837751594689845,9,0.4002165509733969,0.017045693355106254,0.4392240399009346,0.049136349228656874,0.6223238989287309,0.06629003780709038,0.22754176285779013,0.006238659232051154,2.797932289346291,1.0504145925392736,0.6172332652143956,0.09952585929527324,0.6277583138311871,0.4823748138636,0.9300178240884605,0.9213722856590487,80.37452093227351,76.49608782129332,FABRICATION_MARGIN_NOT_AVAILABLE_FROM_EXISTING_PHYSICS,NATIVE_COMPATIBLE_HISTORICAL_FULL_JONES,,
SEED1_H1B2_C_UPPER_EDGE_LOCAL_CONTINUATION,5f2f0f47d5f02ee7ced8156302ec2f3191ad2f9cd805ee9be80d49d25820de9b,H1C1A,reports\stage_h1c1a_broadband_global\h1c1a_broadband_full_jones.csv,APCD_TIO2_NATIVE_M1,historical real FDTD H1C1A/B/C,550.0,112.0,112.0,102.0,188.13027401245128,-2.132368436554014,9,0.4897814081767166,0.480277494142122,0.4913841036612597,0.041303515975368174,0.7449152317002032,0.5196345352362718,0.19806260335436754,0.003311379130338147,3.358930047195695,1.0421943202407646,0.5708100719083141,0.06496721439222214,0.6878440115310842,0.020722727038482047,0.9501929348656335,0.4735705450183314,101.54408820289369,26.268861688623986,FABRICATION_MARGIN_NOT_AVAILABLE_FROM_EXISTING_PHYSICS,NATIVE_COMPATIBLE_HISTORICAL_FULL_JONES,,
SEED2_H1B1_A_LOWER_COMPATIBLE_EDGE,220e4066a378f940c3c2153ab01f747aec264b6d35898101b1878b415c8a3693,H1C1A,reports\stage_h1c1a_broadband_global\h1c1a_broadband_full_jones.csv,APCD_TIO2_NATIVE_M1,historical real FDTD H1C1A/B/C,550.0,108.0,106.0,98.0,196.01020381602586,0.5846305207051778,9,0.383349965196421,0.013062125214339622,0.700231299880184,0.060256692065598694,0.8434182184861192,0.46989504597992215,0.05764249104047318,0.0012528967043646294,5.815285643961379,1.0621966690141582,0.38438246219304045,0.05665899684159916,0.44099245623689426,0.4978819995000104,0.9333103352018723,0.5268833199932831,79.86926931197348,66.32847543729577,FABRICATION_MARGIN_NOT_AVAILABLE_FROM_EXISTING_PHYSICS,NATIVE_COMPATIBLE_HISTORICAL_FULL_JONES,,
SEED3_H1B1_D_D_PSI_CONTRAST,81b90f264a0ca2202464ca91b9737b05efed58942ea81ccf88071321739f32b5,H1C1A,reports\stage_h1c1a_broadband_global\h1c1a_broadband_full_jones.csv,APCD_TIO2_NATIVE_M1,historical real FDTD H1C1A/B/C,550.0,111.0,110.0,101.0,199.0226117806718,0.863690044599587,9,0.28774203639804186,0.008794999088530082,0.32213973989494366,0.025521398406439556,0.525802379588625,0.06599167389610629,0.22102462758239017,0.05294596424090808,1.6875992526684849,1.0259837259551234,0.7125836784085012,0.22975078734164261,0.508766663980432,0.4810885942070594,0.8499255987922053,0.7588709353723738,83.73304401537858,146.59238552090943,FABRICATION_MARGIN_NOT_AVAILABLE_FROM_EXISTING_PHYSICS,NATIVE_COMPATIBLE_HISTORICAL_FULL_JONES,,
SEED4_LPML_R2_HIGH_UNCERTAINTY_007,f447ce0e428d39f1d9055da8692b608a9f0b342aab7aee33131b269a1e037adb,H1C1A,reports\stage_h1c1a_broadband_global\h1c1a_broadband_full_jones.csv,APCD_TIO2_NATIVE_M1,historical real FDTD H1C1A/B/C,550.0,112.0,112.0,102.0,192.12756179163884,-2.0879838327233444,9,0.4944587457006188,0.48775749077696967,0.4671662803406416,0.005203053054900969,0.7326451432690261,0.49762351780928976,0.21234426519726618,0.0009425217250030347,5.777696221553879,1.005218271983361,0.5883109128147016,0.02615648403351179,0.7068030108978851,0.013482001433759272,0.9932101761095827,0.5004558963396897,98.40531331242303,27.093632774580556,FABRICATION_MARGIN_NOT_AVAILABLE_FROM_EXISTING_PHYSICS,NATIVE_COMPATIBLE_HISTORICAL_FULL_JONES,9,
H1C1B_V2_001,9b09f33f512b2331ff106e1054f7daecffbc23911d5740b24567851215d4684b,H1C1B,reports\stage_h1c1b_broadband_adaptive\h1c1b_broadband_full_jones.csv,APCD_TIO2_NATIVE_M1,historical real FDTD H1C1A/B/C,550.0,109.0,113.0,106.0,185.06755523321746,1.5481576989779677,9,0.4843780517857803,0.43341465260835965,0.8006379654711963,0.3775139186629776,0.8996077552295552,0.687016507226697,0.05837770781976375,0.0032973296445475172,5.349373492239197,1.48976752532472,0.3023898660323458,0.0760115435894006,0.5427557596055441,0.06561854203312872,0.6107921997505885,0.30636938435350913,91.93887727403015,47.4961538383389,FABRICATION_MARGIN_NOT_AVAILABLE_FROM_EXISTING_PHYSICS,NATIVE_COMPATIBLE_HISTORICAL_FULL_JONES,,
H1C1B_V2_002,1223fccd0ea879a8b9b0942a1f977ff1fc2bd8e38b439dfb33388a977386db0c,H1C1B,reports\stage_h1c1b_broadband_adaptive\h1c1b_broadband_full_jones.csv,APCD_TIO2_NATIVE_M1,historical real FDTD H1C1A/B/C,550.0,109.0,114.0,105.0,185.06755523321746,1.5481576989779677,9,0.48755022337243314,0.46596556735059225,0.8102939712884747,0.24989028202011135,0.9045050764748479,0.6236607913507186,0.06199422861992506,0.000961116373763959,7.0569598229737345,1.2910431745602609,0.28855932213136115,0.033876421951876776,0.5495444519923582,0.03430408055379042,0.7477179085342412,0.374390735575002,93.8014325634935,43.30055063320759,FABRICATION_MARGIN_NOT_AVAILABLE_FROM_EXISTING_PHYSICS,NATIVE_COMPATIBLE_HISTORICAL_FULL_JONES,,
