candidate_id,wavelength_nm,source_position_label,position_id,cone_half_angle_deg,R_power_incoh,L_power_incoh,L_fraction_incoh,DoCP_RminusL_incoh,total_cone_power_incoh,status,data_source
BW2_J1J2_D194_T90_PSI99_H525,453.0,center,,5.0,1.2635802855935891e-12,5.404590468328157e-12,0.8105057095530374,-0.6210114191060747,6.668170753921746e-12,ok,reused_existing_453_data
BW2_J1J2_D194_T90_PSI99_H525,453.0,center,,10.0,5.4478710058525905e-12,2.2317057398864877e-11,0.8037858795657129,-0.6075717591314259,2.7764928404717467e-11,ok,reused_existing_453_data
BW2_J1J2_D194_T90_PSI99_H525,453.0,center,,20.0,2.6629887673050484e-11,8.397496112716709e-11,0.7592339941519987,-0.5184679883039974,1.1060484880021757e-10,ok,reused_existing_453_data
BW2_J1J2_D194_T90_PSI99_H525,454.0,center,center,5.0,1.2071323823993496e-12,5.37503968509244e-12,0.8166057693384882,-0.6332115386769764,6.582172067491789e-12,ok,new_spectral_run
BW2_J1J2_D194_T90_PSI99_H525,454.0,center,center,10.0,5.2903699609164695e-12,2.2243677004485925e-11,0.807860792582942,-0.6157215851658839,2.7534046965402393e-11,ok,new_spectral_run
BW2_J1J2_D194_T90_PSI99_H525,454.0,center,center,20.0,2.6384992787452284e-11,8.387196107422743e-11,0.7606954313235158,-0.5213908626470316,1.1025695386167971e-10,ok,new_spectral_run
BW2_J1J2_D194_T90_PSI99_H525,455.0,center,center,5.0,1.1155085854375564e-12,5.1853751171625924e-12,0.822959978617408,-0.6459199572348159,6.300883702600148e-12,ok,new_boundary_scout
BW2_J1J2_D194_T90_PSI99_H525,455.0,center,center,10.0,4.979025636851031e-12,2.1515646191689938e-11,0.8120744552311286,-0.6241489104622573,2.6494671828540968e-11,ok,new_boundary_scout
BW2_J1J2_D194_T90_PSI99_H525,455.0,center,center,20.0,2.545765036514702e-11,8.143636526602459e-11,0.7618421366731473,-0.5236842733462946,1.0689401563117161e-10,ok,new_boundary_scout
BW2_J1J2_D194_T90_PSI99_H525,456.0,center,center,5.0,1.0715076239326876e-12,5.149838997867745e-12,0.8277691810036784,-0.6555383620073566,6.221346621800433e-12,ok,new_boundary_scout
BW2_J1J2_D194_T90_PSI99_H525,456.0,center,center,10.0,4.844742353713348e-12,2.141217809875664e-11,0.8154870308388505,-0.6309740616777012,2.625692045246999e-11,ok,new_boundary_scout
BW2_J1J2_D194_T90_PSI99_H525,456.0,center,center,20.0,2.5204741958038683e-11,8.126143569281527e-11,0.7632605723791895,-0.5265211447583792,1.0646617765085396e-10,ok,new_boundary_scout
BW2_J1J2_D194_T90_PSI99_H525,458.0,center,center,5.0,9.798193823597403e-13,5.1214352846320575e-12,0.8394069030324812,-0.6788138060649624,6.101254666991798e-12,ok,new_boundary_scout
BW2_J1J2_D194_T90_PSI99_H525,458.0,center,center,10.0,4.575595652782994e-12,2.127330764054693e-11,0.8229868555404559,-0.6459737110809118,2.5848903293329926e-11,ok,new_boundary_scout
BW2_J1J2_D194_T90_PSI99_H525,458.0,center,center,20.0,2.477786718961759e-11,8.099467979656786e-11,0.7657438730973006,-0.5314877461946013,1.0577254698618545e-10,ok,new_boundary_scout
BW2_J1J2_D194_T90_PSI99_H525,460.0,center,center,5.0,9.093928481017252e-13,5.12931896100215e-12,0.8494061520321705,-0.698812304064341,6.038711809103876e-12,ok,new_boundary_scout
BW2_J1J2_D194_T90_PSI99_H525,460.0,center,center,10.0,4.349956541091589e-12,2.115836375933213e-11,0.8294691108681377,-0.6589382217362754,2.550832030042372e-11,ok,new_boundary_scout
BW2_J1J2_D194_T90_PSI99_H525,460.0,center,center,20.0,2.4286852079014825e-11,8.040050814894449e-11,0.7680058793522961,-0.5360117587045923,1.0468736022795932e-10,ok,new_boundary_scout
BW2_J1J2_D194_T90_PSI99_H525,462.0,center,center,5.0,8.812645469841706e-13,5.234589231351496e-12,0.8559049024183844,-0.7118098048367687,6.115853778335666e-12,ok,new_boundary_extend
BW2_J1J2_D194_T90_PSI99_H525,462.0,center,center,10.0,4.278129387340624e-12,2.1418561870753856e-11,0.8335143873438177,-0.6670287746876353,2.569669125809448e-11,ok,new_boundary_extend
BW2_J1J2_D194_T90_PSI99_H525,462.0,center,center,20.0,2.4385968834499453e-11,8.111687605389258e-11,0.7688596088541824,-0.5377192177083648,1.0550284488839204e-10,ok,new_boundary_extend
BW2_J1J2_D194_T90_PSI99_H525,464.0,center,center,5.0,8.438244130894981e-13,5.172568811133846e-12,0.8597458009074154,-0.7194916018148307,6.016393224223344e-12,ok,new_boundary_extend
BW2_J1J2_D194_T90_PSI99_H525,464.0,center,center,10.0,4.135190674352627e-12,2.105133400113247e-11,0.8358173377378441,-0.6716346754756881,2.5186524675485096e-11,ok,new_boundary_extend
BW2_J1J2_D194_T90_PSI99_H525,464.0,center,center,20.0,2.3966942318574045e-11,7.989234098905565e-11,0.7692363979868385,-0.5384727959736769,1.038592833076297e-10,ok,new_boundary_extend
