diameter_nm,wavelength_nm,T,R,txx_real,txx_imag,txx_amplitude,txx_wrapped_phase_deg,txx_unwrapped_phase_vs_diameter_deg,tyx_amplitude,cross_pol,energy_residual,reconstruction_residual
110,447,0.982013146910932,0.017861895675881926,0.21887745920513751,0.958446470280807,0.983121039619148,77.13613515232694,77.13613515232694,1.061683685399326e-09,1.099812028762356e-18,0.0001249574131860741,0.03894699250751299
110,448,0.9826255258664913,0.017248768071184736,0.23082652699014436,0.9560571374653071,0.9835273944637682,76.42650116297088,76.42650116297088,1.2237526189501109e-09,1.4611959108140845e-18,0.00012570606232394088,0.03879482146042479
110,449,0.9834043777132983,0.016619434820440666,0.24255233944008978,0.9536512239446452,0.9840133608335714,75.72992139531216,75.72992139531216,1.3852699987925946e-09,1.8723422475496396e-18,2.3812533738915703e-05,0.03865118111624255
110,450,0.9840481792423891,0.015973653547624967,0.2540069999574547,0.9511056473459124,0.9844396926377326,75.04727899768095,75.04727899768095,1.2994609626261646e-09,1.6475155746588987e-18,2.1832790014043174e-05,0.03850517332315084
110,451,0.9847744873138936,0.01533134967877929,0.26531470734960483,0.9484905904136602,0.9848991288651139,74.37246756886985,74.37246756886985,1.0395707741368354e-09,1.0544002631357642e-18,0.00010583699267290025,0.038361068708472335
110,452,0.9854885411669182,0.01466678354149483,0.2763275282403988,0.9458175214759063,0.9853566292435825,73.71388946360041,73.71388946360041,4.530707604352783e-10,2.0027079279191362e-19,0.00015532470841302798,0.03822148887057375
110,453,0.9861402892450343,0.014014695350780053,0.2871988309235455,0.9430207178802055,0.9857845823683536,73.06178178604999,73.06178178604999,3.285347599907192e-10,1.0530178008093392e-19,0.00015498459581432707,0.03807749425326312
110,454,0.9868980196367648,0.013347058324838805,0.29782454439080924,0.9402153285796945,0.9862577367695606,72.42377384936633,72.42377384936633,2.491438574242227e-10,6.055719437050291e-20,0.0002450779616036281,0.03794169703753314
110,455,0.9875073184697476,0.012689373356999486,0.30825334111500946,0.9372776436792898,0.9866658520743322,71.79491756671999,71.79491756671999,1.3051272728160687e-10,1.661710113874967e-20,0.00019669182674708283,0.03780012268516397
115,445,0.9744033177805541,0.024922766109504977,-0.12166759626649937,0.9715213047446775,0.9791101314735071,97.13822255928581,97.13822255928581,2.634554149510535e-09,6.7725281409057534e-18,0.0006739161099409106,0.03899840032066426
115,446,0.9749994782092922,0.02451202940038959,-0.10523444378917518,0.9738335177369233,0.9795029394685284,96.16756648771162,96.16756648771162,2.3946839175423243e-09,5.595427552520228e-18,0.0004884923903181841,0.03884316751958217
115,447,0.9756426782044814,0.024050857151479796,-0.08909855667973417,0.9758692223348263,0.9799282075248117,95.21674077213704,95.21674077213704,1.7601649114627916e-09,3.0229773708442724e-18,0.00030646464403884244,0.0386920728409933
115,448,0.9762960550520513,0.023540095441240787,-0.07323424632815555,0.9776159593128741,0.9803551492895237,94.284085827708,94.284085827708,1.758901293592015e-09,3.018589911785296e-18,0.0001638495067079089,0.03854394881500811
115,449,0.97693691324807,0.022986027214645925,-0.05764149572710632,0.9790767731521379,0.9807720783931713,93.3693033493645,93.3693033493645,1.1460769774904377e-09,1.2815747919052417e-18,7.705953728410347e-05,0.03839738954373628
115,450,0.9775731121046075,0.022397992156287735,-0.04228518527145286,0.9802837991495855,0.9811953749221335,92.46995988663384,92.46995988663384,1.171380239019969e-09,1.3387480178100617e-18,2.8895739104754098e-05,0.03825209640012506
115,451,0.9782387561664909,0.021783224364295268,-0.027157590137839107,0.9812486394062978,0.9816243818481718,91.5853455670283,91.5853455670283,1.0553112462267368e-09,1.086572014646075e-18,2.198053078618714e-05,0.03810844203021302
115,452,0.978967461325563,0.021142775710498243,-0.012275032096112129,0.9820148627225338,0.9820915777161097,90.71615097993045,90.71615097993045,1.541265625356744e-09,2.3176109360051385e-18,0.00011023703606124688,0.03796768609212975
115,453,0.9797611074093713,0.020472435548979904,0.002361611521297201,0.982588357501592,0.9825911955165556,89.86229216798448,89.86229216798448,1.543911083237741e-09,2.325506889705994e-18,0.0002335429583511829,0.03783074250460827
115,454,0.9805815666704624,0.019768768445465976,0.01672572123004121,0.9829551900361069,0.9830974800952264,89.02516333103665,89.02516333103665,1.5707497032255832e-09,2.407018067669781e-18,0.00035033511592834354,0.03769696486706908
115,455,0.9813784627579893,0.019035325912380257,0.030835641487253117,0.9831160986521549,0.9835995629395958,88.2034948903806,88.2034948903806,1.071166152889077e-09,1.1193430716375116e-18,0.00041378867036960185,0.03756495809092608
120,445,0.9703324643336085,0.02852775144049465,-0.4656297242138884,0.8589779217954008,0.9770640256418447,118.46097630228722,118.46097630228722,1.3531674896080375e-09,1.786650766189774e-18,0.001139784225896813,0.03883300665709288
120,446,0.9704260731359118,0.028535181323224572,-0.4469596735593124,0.8689937056555966,0.9772016221114724,117.21864691848181,117.21864691848181,1.5569119447524017e-09,2.3651842763443346e-18,0.0010387455408636462,0.038663545934478405
120,447,0.9704722395744859,0.028509857900437714,-0.4282561876302247,0.878502872241638,0.9773283270121571,115.98849780373548,115.98849780373548,1.4695500595311501e-09,2.1071572524317515e-18,0.0010179025250763689,0.03848674928430873
120,448,0.9709450383325057,0.028451581107221,-0.40990780775636815,0.8875832092397643,0.9776647504047544,114.78865709507654,114.78865709507654,2.1150733446488392e-09,4.364877339296592e-18,0.0006033805602733283,0.038332835476115545
120,449,0.9710600679375702,0.028249581971703866,-0.39168725748986716,0.8959394800134228,0.977817191261565,113.61401022757167,113.61401022757167,2.690833452217881e-09,7.06463967192065e-18,0.0006903500907259746,0.038167321362244544
120,450,0.971507548243009,0.028072508732385884,-0.3735692967099179,0.904002549942458,0.9781485724299805,112.45233272568994,112.45233272568994,2.531406794118795e-09,6.252114701687313e-18,0.00041994302460511557,0.03801102431001946
120,451,0.9719997930644617,0.027771101189809664,-0.3558228020179647,0.9114992312390199,0.9784889958426921,111.32422821323742,111.32422821323742,2.2761614138533837e-09,5.054794405813748e-18,0.0002291057457286215,0.0378655889203775
120,452,0.9723066009963255,0.027419047236424562,-0.3380871072644984,0.9184986166649663,0.9787454219121198,110.20798914052529,110.20798914052529,2.614194191663899e-09,6.66747256338426e-18,0.00027435176724995014,0.037708199715895785
120,453,0.9730427440422927,0.02704905650941216,-0.32065898202170656,0.9252258136577578,0.9792165179416946,109.11497373558392,109.11497373558392,2.9499309340952953e-09,8.489786267868945e-18,9.180055170490004e-05,0.0375713270777015
120,454,0.9734663720677201,0.026546038933029644,-0.303436932720476,0.9313382430242008,0.9795227894532194,108.04599510581298,108.04599510581298,3.4207217608290225e-09,1.141565613411562e-17,1.2411000749775608e-05,0.037426244937234454
120,455,0.9741442037053225,0.026070511970714486,-0.2863027315063362,0.9372135010154689,0.979968571207088,106.98701769312396,106.98701769312396,3.0163043604258913e-09,8.875643640773374e-18,0.00021471567603699449,0.037286077539175455
125,445,0.9695913485656411,0.027984934837552072,-0.7814042738073744,0.5859501322808809,0.9766935018952527,143.1349396155113,143.1349396155113,1.2058658951388368e-09,1.4188437925568652e-18,0.0024237165968068186,0.038798246290981275
125,446,0.9703522586162237,0.02857738024973911,-0.7655822494242439,0.6072323382811329,0.9771628796100768,141.5798122774938,141.5798122774938,1.6612843543843009e-09,2.692928558062488e-18,0.0010703611340372385,0.03866361196226431
125,447,0.9687319540508728,0.028791598118464337,-0.7483026686706483,0.6272991088843779,0.9764533045398273,140.02703194519344,140.02703194519344,1.390571538605493e-09,1.8867521361480178e-18,0.002476447830662906,0.03841456884794725
125,448,0.9696842140253563,0.029410291057926252,-0.7317225045457095,0.6474325082050565,0.9770295166162262,138.497403318641,138.497403318641,8.619710376923783e-10,7.249474509537828e-19,0.0009054949167174309,0.03828353959755759
125,449,0.968686993705806,0.029571345588676544,-0.7147329962795527,0.6655423058418224,0.9766216344296275,137.04106140461406,137.04106140461406,1.1759648606505826e-09,1.349289276433172e-18,0.0017416607055174352,0.03807410979481163
125,450,0.9687869091966717,0.030003914685822173,-0.6972982468370746,0.6840128205580265,0.9767795983382356,135.55105283840365,135.55105283840365,1.29238240254822e-09,1.6296154222561259e-18,0.0012091761175061742,0.03790151883306203
