case_type,candidate_physics_claim,absolute_candidate_efficiency_claim,wavelength_nm,n,u_x,normalized_power,absolute_power
corrected_blank_calibration,False,False,448.00000000000006,-3,-0.7724137931034484,1.6654171491693082e-17,1.6266293104747613e-17
corrected_blank_calibration,False,False,448.00000000000006,-2,-0.5149425287356322,5.40029041210649e-17,5.274516762235661e-17
corrected_blank_calibration,False,False,448.00000000000006,-1,-0.2574712643678161,5.489650796877809e-18,5.361795928981861e-18
corrected_blank_calibration,False,False,448.00000000000006,0,0.0,1.0,0.9767098359027383
corrected_blank_calibration,False,False,448.00000000000006,1,0.2574712643678161,5.066460565364108e-18,4.948461867404472e-18
corrected_blank_calibration,False,False,448.00000000000006,2,0.5149425287356322,4.8983377891459145e-17,4.784254698232888e-17
corrected_blank_calibration,False,False,448.00000000000006,3,0.7724137931034484,2.5710761576230005e-17,2.5111953720054038e-17
corrected_blank_calibration,False,False,449.0,-3,-0.7741379310344828,1.5954334094793184e-17,1.5582778299754912e-17
corrected_blank_calibration,False,False,449.0,-2,-0.5160919540229885,5.180049338220927e-17,5.059412692481618e-17
corrected_blank_calibration,False,False,449.0,-1,-0.25804597701149423,4.391939512766155e-18,4.289656924992191e-18
corrected_blank_calibration,False,False,449.0,0,0.0,0.9999999999999998,0.9767112940702718
corrected_blank_calibration,False,False,449.0,1,0.25804597701149423,4.6413034156709625e-18,4.53321346529276e-18
corrected_blank_calibration,False,False,449.0,2,0.5160919540229885,5.184714240215885e-17,5.063968954945824e-17
corrected_blank_calibration,False,False,449.0,3,0.7741379310344828,2.524450863324779e-17,2.4656596695347605e-17
corrected_blank_calibration,False,False,450.0,-3,-0.7758620689655172,1.7684289759130548e-17,1.7272601348877442e-17
corrected_blank_calibration,False,False,450.0,-2,-0.5172413793103449,5.4607363735811124e-17,5.33361100371489e-17
corrected_blank_calibration,False,False,450.0,-1,-0.25862068965517243,5.427912797960625e-18,5.301551557491177e-18
corrected_blank_calibration,False,False,450.0,0,0.0,1.0,0.9767201049145585
corrected_blank_calibration,False,False,450.0,1,0.25862068965517243,3.888930333211007e-18,3.798396443059264e-18
corrected_blank_calibration,False,False,450.0,2,0.5172413793103449,4.8432640100150025e-17,4.7305133319907586e-17
corrected_blank_calibration,False,False,450.0,3,0.7758620689655172,2.2918765711022063e-17,2.2385219249781655e-17
corrected_blank_calibration,False,False,450.9999999999999,-3,-0.7775862068965518,1.8277564167326092e-17,1.78521539362974e-17
corrected_blank_calibration,False,False,450.9999999999999,-2,-0.5183908045977011,5.719648702824471e-17,5.586523902725494e-17
corrected_blank_calibration,False,False,450.9999999999999,-1,-0.2591954022988506,7.443956133329762e-18,7.270698084858059e-18
corrected_blank_calibration,False,False,450.9999999999999,0,0.0,1.0,0.9767250041015216
corrected_blank_calibration,False,False,450.9999999999999,1,0.2591954022988506,4.592152992111617e-18,4.4852706500550345e-18
corrected_blank_calibration,False,False,450.9999999999999,2,0.5183908045977011,4.4922403854971696e-17,4.387683508949744e-17
corrected_blank_calibration,False,False,450.9999999999999,3,0.7775862068965518,2.314400989733401e-17,2.2605333161899217e-17
corrected_blank_calibration,False,False,451.99999999999994,-3,-0.7793103448275862,1.59621106827017e-17,1.5590524746927664e-17
corrected_blank_calibration,False,False,451.99999999999994,-2,-0.5195402298850574,5.449202726498446e-17,5.322349383942521e-17
corrected_blank_calibration,False,False,451.99999999999994,-1,-0.2597701149425287,7.637067178436084e-18,7.459281996358394e-18
corrected_blank_calibration,False,False,451.99999999999994,0,0.0,1.0,0.9767207518378677
corrected_blank_calibration,False,False,451.99999999999994,1,0.2597701149425287,6.065974338004513e-18,5.924763016044979e-18
corrected_blank_calibration,False,False,451.99999999999994,2,0.5195402298850574,4.7685332929182574e-17,4.657525423023023e-17
corrected_blank_calibration,False,False,451.99999999999994,3,0.7793103448275862,2.6238476537941394e-17,2.562766453121837e-17
corrected_blank_calibration,False,False,453.00000000000006,-3,-0.7810344827586206,1.3397284132794383e-17,1.308533834149325e-17
corrected_blank_calibration,False,False,453.00000000000006,-2,-0.5206896551724137,4.931725849578543e-17,4.816894283167169e-17
corrected_blank_calibration,False,False,453.00000000000006,-1,-0.26034482758620686,5.9045863173736135e-18,5.767102418934059e-18
corrected_blank_calibration,False,False,453.00000000000006,0,0.0,1.0,0.9767157441605989
corrected_blank_calibration,False,False,453.00000000000006,1,0.26034482758620686,6.2123974105487515e-18,6.067746359865502e-18
corrected_blank_calibration,False,False,453.00000000000006,2,0.5206896551724137,5.3026374414603703e-17,5.17916947464982e-17
corrected_blank_calibration,False,False,453.00000000000006,3,0.7810344827586206,2.8009412934722114e-17,2.7357234598038614e-17
corrected_blank_calibration,False,False,453.9999999999999,-3,-0.7827586206896551,1.3414169653443337e-17,1.3101860529652275e-17
corrected_blank_calibration,False,False,453.9999999999999,-2,-0.52183908045977,4.7782027161959656e-17,4.666956448842535e-17
corrected_blank_calibration,False,False,453.9999999999999,-1,-0.260919540229885,5.0863376263405165e-18,4.967917352225365e-18
corrected_blank_calibration,False,False,453.9999999999999,0,0.0,0.9999999999999998,0.9767179682485306
corrected_blank_calibration,False,False,453.9999999999999,1,0.260919540229885,4.893621169136566e-18,4.779687725697067e-18
corrected_blank_calibration,False,False,453.9999999999999,2,0.52183908045977,5.287204922233135e-17,5.1641080493571794e-17
corrected_blank_calibration,False,False,453.9999999999999,3,0.7827586206896551,2.63557807125968e-17,2.5742164589211363e-17
corrected_blank_calibration,False,False,455.00000000000006,-3,-0.7844827586206898,1.477152212558136e-17,1.4427678736309214e-17
corrected_blank_calibration,False,False,455.00000000000006,-2,-0.5229885057471265,4.995401256065283e-17,4.8791210458027794e-17
corrected_blank_calibration,False,False,455.00000000000006,-1,-0.26149425287356326,6.634055534776231e-18,6.479631629080912e-18
corrected_blank_calibration,False,False,455.00000000000006,0,0.0,1.0,0.9767225485397556
corrected_blank_calibration,False,False,455.00000000000006,1,0.26149425287356326,4.1816147011645375e-18,4.084277367932735e-18
corrected_blank_calibration,False,False,455.00000000000006,2,0.5229885057471265,4.720980886819066e-17,4.611088483381393e-17
corrected_blank_calibration,False,False,455.00000000000006,3,0.7844827586206898,2.4419197120660463e-17,2.385078044498615e-17
